Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Ильинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	3	1	1	0	0	0	0	0	0	0	1	1	0									
		0.22%	0.00%	0.67%	0.31%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.48%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	619	94	77	70	27	31	29	50	55	26	36	57	17	41	9									
		19.18%	20.48%	17.30%	21.67%	15.88%	23.66%	16.96%	23.58%	18.71%	20.00%	27.27%	19.79%	8.81%	19.62%	12.68%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	0	0	0	0	0	0	0	0	2	3	4	0	1	0									
		0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	2.27%	1.39%	0.00%	0.48%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	1	3	2	0	0	0	0	1	0	0	1	1	0	0									
		0.28%	0.22%	0.67%	0.62%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.35%	0.52%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	2	0	0	0	2	1	0	0	0	0	2	0									
		0.22%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.94%	0.34%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	3	11	6	1	2	2	2	5	0	0	1	1	0	1									
		1.08%	0.65%	2.47%	1.86%	0.59%	1.53%	1.17%	0.94%	1.70%	0.00%	0.00%	0.35%	0.52%	0.00%	1.41%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	627	127	121	91	16	23	23	37	53	14	18	54	14	26	10									
		19.42%	27.67%	27.19%	28.17%	9.41%	17.56%	13.45%	17.45%	18.03%	10.77%	13.64%	18.75%	7.25%	12.44%	14.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	5	0	3	0	0	0	0	1	1	1	0	0	2	0									
		0.40%	1.09%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.34%	0.77%	0.76%	0.00%	0.00%	0.96%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	82	17	15	7	5	1	3	7	5	2	2	11	1	4	2									
		2.54%	3.70%	3.37%	2.17%	2.94%	0.76%	1.75%	3.30%	1.70%	1.54%	1.52%	3.82%	0.52%	1.91%	2.82%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
