Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Севская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	292	26	5	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	9	5	5	5	5	5	5	40	40	35	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	102	19	0	0	0	0	2	1	0	0	2	3	3	3	0	0	0	3	0	0	0	0	2	4	6	0	1	0	0	0	0	26	19	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	106	1	10	7	1	4	3	3	2	3	2	1	3	3	1	1	0	4	1	1	3	1	4	7	3	2	1	2	1	4	1	8	11	5	2					
14	Число погашенных открепительных удостоверений	190	7	5	1	1	5	3	4	5	5	3	2	2	2	5	5	5	2	5	5	5	5	3	1	3	5	4	5	5	5	5	14	21	29	8					
15	Число открепительных удостоверений выданных ТИК	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	152	5	2	2	2	8	11	7	0	3	3	6	3	3	2	2	3	3	0	2	0	5	3	1	5	7	3	2	3	1	4	17	20	10	4					
		1.66%	1.94%	2.77%	3.57%	2.94%	2.64%	6.07%	4.51%	0.0%	1.06%	1.21%	2.83%	1.68%	1.20%	0.74%	1.06%	1.59%	0.91%	0.0%	1.15%	0.0%	3.22%	3.57%	0.59%	1.82%	1.85%	1.64%	1.45%	2.22%	0.60%	2.31%	1.16%	1.47%	2.48%	1.39%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	115	2	2	0	0	4	3	5	2	0	6	0	2	2	11	4	0	2	3	5	0	0	3	1	3	5	3	0	1	1	3	21	16	4	1					
		1.25%	0.77%	2.77%	0.0%	0.0%	1.32%	1.65%	3.22%	1.13%	0.0%	2.43%	0.0%	1.12%	0.80%	4.11%	2.13%	0.0%	0.60%	2.12%	2.89%	0.0%	0.0%	3.57%	0.59%	1.09%	1.32%	1.64%	0.0%	0.74%	0.60%	1.73%	1.43%	1.18%	0.99%	0.34%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	117	3	0	1	0	7	0	2	1	2	0	3	1	7	2	2	3	7	3	2	1	0	4	2	2	3	4	1	3	3	6	12	19	7	4					
		1.28%	1.16%	0.0%	1.78%	0.0%	2.31%	0.0%	1.29%	0.56%	0.70%	0.0%	1.41%	0.56%	2.82%	0.74%	1.06%	1.59%	2.12%	2.12%	1.15%	1.63%	0.0%	4.76%	1.19%	0.72%	0.79%	2.19%	0.72%	2.22%	1.80%	3.46%	0.82%	1.40%	1.74%	1.39%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	82	1	1	0	0	4	0	1	4	0	1	1	2	0	0	1	4	3	1	4	0	1	1	2	0	2	2	2	0	1	1	17	12	9	4					
		0.89%	0.38%	1.38%	0.0%	0.0%	1.32%	0.0%	0.64%	2.27%	0.0%	0.40%	0.47%	1.12%	0.0%	0.0%	0.53%	2.12%	0.91%	0.70%	2.31%	0.0%	0.64%	1.19%	1.19%	0.0%	0.53%	1.09%	1.45%	0.0%	0.60%	0.57%	1.16%	0.88%	2.23%	1.39%					
22	"5. ""За Русь Святую"""	41	1	0	0	1	2	1	1	0	1	1	0	0	2	5	2	1	0	0	1	1	2	0	2	2	0	1	0	2	0	0	4	6	2	0					
		0.44%	0.38%	0.0%	0.0%	1.47%	0.66%	0.55%	0.64%	0.0%	0.35%	0.40%	0.0%	0.0%	0.80%	1.87%	1.06%	0.53%	0.0%	0.0%	0.57%	1.63%	1.29%	0.0%	1.19%	0.72%	0.0%	0.54%	0.0%	1.48%	0.0%	0.0%	0.27%	0.44%	0.49%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	33	3	0	0	2	1	0	1	1	1	0	0	0	1	1	1	2	2	0	0	1	2	1	0	1	1	0	0	1	0	1	1	2	3	3					
		0.36%	1.16%	0.0%	0.0%	2.94%	0.33%	0.0%	0.64%	0.56%	0.35%	0.0%	0.0%	0.0%	0.40%	0.37%	0.53%	1.06%	0.60%	0.0%	0.0%	1.63%	1.29%	1.19%	0.0%	0.36%	0.26%	0.0%	0.0%	0.74%	0.0%	0.57%	0.06%	0.14%	0.74%	1.04%					
24	"7. ""Новый курс - Автомобильная Россия"""	30	1	0	0	0	1	1	0	1	1	0	1	1	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	7	2	2					
		0.32%	0.38%	0.0%	0.0%	0.0%	0.33%	0.55%	0.0%	0.56%	0.35%	0.0%	0.47%	0.56%	0.0%	0.0%	1.06%	1.06%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.51%	0.49%	0.69%					
25	"8. ""Народно-республиканская партия России"""	9	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.53%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.0%	1.15%	0.0%	0.07%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	0	0	0	0	1	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	1	1	0	0					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.35%	0.40%	0.0%	0.56%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.38%	0.0%	0.72%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.07%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	571	14	3	2	4	24	3	3	31	40	62	9	6	15	12	8	42	27	14	10	0	16	4	14	8	38	12	11	3	7	17	40	50	11	11					
		6.25%	5.44%	4.16%	3.57%	5.88%	7.92%	1.65%	1.93%	17.61%	14.13%	25.20%	4.24%	3.37%	6.04%	4.49%	4.27%	22.34%	8.20%	9.92%	5.78%	0.0%	10.32%	4.76%	8.38%	2.91%	10.07%	6.59%	8.02%	2.22%	4.21%	9.82%	2.73%	3.69%	2.73%	3.83%					
28	"11. ""Истинные патриоты России"""	25	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	1	0	1					
		0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.45%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.60%	0.0%	0.13%	0.07%	0.0%	0.34%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	72	4	2	0	2	1	1	2	0	2	0	2	3	1	4	0	1	1	0	1	0	2	0	0	0	3	0	0	4	0	2	19	7	7	1					
		0.78%	1.55%	2.77%	0.0%	2.94%	0.33%	0.55%	1.29%	0.0%	0.70%	0.0%	0.94%	1.68%	0.40%	1.49%	0.0%	0.53%	0.30%	0.0%	0.57%	0.0%	1.29%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	2.96%	0.0%	1.15%	1.29%	0.51%	1.74%	0.34%					
30	"13. ""Демократическая партия России"""	18	0	1	0	0	1	0	0	0	0	1	3	1	0	1	0	0	1	0	0	0	0	0	2	1	1	0	0	0	2	0	2	1	0	0					
		0.19%	0.0%	1.38%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.40%	1.41%	0.56%	0.0%	0.37%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.36%	0.26%	0.0%	0.0%	0.0%	1.20%	0.0%	0.13%	0.07%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	30	0	2	1	1	1	3	0	0	0	1	0	2	0	1	0	3	1	0	2	0	0	0	0	1	0	1	0	0	0	0	4	2	4	0					
		0.32%	0.0%	2.77%	1.78%	1.47%	0.33%	1.65%	0.0%	0.0%	0.0%	0.40%	0.0%	1.12%	0.0%	0.37%	0.0%	1.59%	0.30%	0.0%	1.15%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.27%	0.14%	0.99%	0.0%					
32	"15. ""Партия СЛОН"""	18	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	2	0	0	1	0	0	0	5	0	0	1					
		0.19%	0.0%	1.38%	0.0%	0.0%	0.33%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.53%	0.30%	0.0%	0.57%	1.63%	0.0%	1.19%	0.0%	0.72%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.34%					
33	"16. ""Родина"" (народно-патриотический союз)"""	356	8	1	2	1	9	6	0	5	7	6	6	2	3	2	1	3	11	5	4	0	7	3	4	3	13	6	2	5	7	2	105	87	22	8					
		3.89%	3.11%	1.38%	3.57%	1.47%	2.97%	3.31%	0.0%	2.84%	2.47%	2.43%	2.83%	1.12%	1.20%	0.74%	0.53%	1.59%	3.34%	3.54%	2.31%	0.0%	4.51%	3.57%	2.39%	1.09%	3.44%	3.29%	1.45%	3.70%	4.21%	1.15%	7.18%	6.43%	5.47%	2.78%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	50	2	1	0	0	0	1	0	0	5	2	1	3	2	0	1	1	3	0	0	0	3	2	1	2	1	0	0	2	1	2	7	4	0	3					
		0.54%	0.77%	1.38%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	1.76%	0.81%	0.47%	1.68%	0.80%	0.0%	0.53%	0.53%	0.91%	0.0%	0.0%	0.0%	1.93%	2.38%	0.59%	0.72%	0.26%	0.0%	0.0%	1.48%	0.60%	1.15%	0.47%	0.29%	0.0%	1.04%					
35	"18. ""ЛДПР"""	925	26	11	0	3	20	16	8	17	30	16	33	18	18	22	21	7	25	26	17	8	18	5	13	10	15	27	4	21	3	9	191	188	37	42					
		10.12%	10.11%	15.27%	0.0%	4.41%	6.60%	8.83%	5.16%	9.65%	10.60%	6.50%	15.56%	10.11%	7.25%	8.23%	11.22%	3.72%	7.59%	18.43%	9.82%	13.11%	11.61%	5.95%	7.78%	3.64%	3.97%	14.83%	2.91%	15.55%	1.80%	5.20%	13.06%	13.89%	9.20%	14.63%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	321	2	3	2	1	2	6	0	7	7	2	9	0	3	8	6	4	13	4	2	0	4	1	3	4	6	1	44	5	4	3	81	58	13	13					
		3.51%	0.77%	4.16%	3.57%	1.47%	0.66%	3.31%	0.0%	3.97%	2.47%	0.81%	4.24%	0.0%	1.20%	2.99%	3.20%	2.12%	3.95%	2.83%	1.15%	0.0%	2.58%	1.19%	1.79%	1.45%	1.59%	0.54%	32.11%	3.70%	2.40%	1.73%	5.54%	4.28%	3.23%	4.52%					
37	"20. ""Политическая партия ""Единая Россия"""	4106	127	20	24	30	174	89	92	80	105	92	103	56	86	133	101	67	171	38	60	17	77	23	46	146	192	74	52	65	116	84	648	605	195	118					
		44.94%	49.41%	27.77%	42.85%	44.11%	57.42%	49.17%	59.35%	45.45%	37.10%	37.39%	48.58%	31.46%	34.67%	49.81%	54.01%	35.63%	51.97%	26.95%	34.68%	27.86%	49.67%	27.38%	27.54%	53.28%	50.92%	40.65%	37.95%	48.14%	69.87%	48.55%	44.32%	44.71%	48.50%	41.11%					
38	"21. ""Российская Конституционно-демократическая партия"""	32	4	0	0	0	3	4	0	1	0	0	1	1	1	1	0	0	2	0	0	0	0	0	0	1	1	3	1	0	0	0	4	1	3	0					
		0.35%	1.55%	0.0%	0.0%	0.0%	0.99%	2.20%	0.0%	0.56%	0.0%	0.0%	0.47%	0.56%	0.40%	0.37%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.26%	1.64%	0.72%	0.0%	0.0%	0.0%	0.27%	0.07%	0.74%	0.0%					
39	"22. ""Развитие предпринимательства"""	22	0	1	0	0	0	1	0	2	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	6	2	0	0					
		0.24%	0.0%	1.38%	0.0%	0.0%	0.0%	0.55%	0.0%	1.13%	1.06%	0.40%	0.0%	1.12%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.60%	0.57%	0.41%	0.14%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1552	42	20	14	15	26	32	22	13	60	42	22	56	69	46	26	34	46	38	50	25	13	25	64	67	72	36	10	12	12	20	208	214	52	49					
		16.98%	16.34%	27.77%	24.99%	22.05%	8.58%	17.67%	14.19%	7.38%	21.20%	17.07%	10.37%	31.46%	27.82%	17.22%	13.90%	18.08%	13.98%	26.95%	28.90%	40.98%	8.38%	29.76%	38.32%	24.45%	19.09%	19.78%	7.29%	8.88%	7.22%	11.56%	14.22%	15.81%	12.93%	17.07%					
																																									
41	Против всех	242	4	0	3	5	9	1	3	10	8	7	8	11	10	5	5	6	3	4	3	1	1	2	7	5	10	3	3	4	5	9	39	30	14	4					
		2.64%	1.55%	0.0%	5.35%	7.35%	2.97%	0.55%	1.93%	5.68%	2.82%	2.84%	3.77%	6.17%	4.03%	1.87%	2.67%	3.19%	0.91%	2.83%	1.73%	1.63%	0.64%	2.38%	4.19%	1.82%	2.65%	1.64%	2.18%	2.96%	3.01%	5.20%	2.66%	2.21%	3.48%	1.39%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
