Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Покачевская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1271	128	153	153	101	155	134	191	256					
		15.33%	14.84%	14.11%	12.68%	11.28%	13.82%	11.94%	17.71%	27.76%					
															
41	Против всех	623	57	68	79	72	108	70	88	81					
		7.51%	6.61%	6.27%	6.55%	8.04%	9.63%	6.23%	8.16%	8.78%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
