Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Нижнесалдинская городская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	53	7	12	19	2	5	0	4	3	1	0									
		0.94%	0.57%	0.95%	1.56%	0.37%	1.01%	0.00%	0.69%	2.75%	1.82%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	827	167	202	186	77	72	19	74	14	11	5									
		14.66%	13.65%	16.04%	15.28%	14.18%	14.52%	14.73%	12.76%	12.84%	20.00%	16.67%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	3	4	8	1	0	1	2	0	0	0									
		0.34%	0.25%	0.32%	0.66%	0.18%	0.00%	0.78%	0.34%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	636	147	171	158	43	46	13	48	7	3	0									
		11.27%	12.02%	13.58%	12.98%	7.92%	9.27%	10.08%	8.28%	6.42%	5.45%	0.00%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
