Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Куньинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544					
		3.25%	1.79%	2.52%	3.43%	2.52%	2.18%	5.81%	4.36%	4.10%	6.53%	4.18%	5.04%	3.61%	0.0%	8.69%	3.47%	3.75%	0.43%	2.26%	0.0%	2.67%	3.87%	2.59%					
28	"11. ""Истинные патриоты России"""	12	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	3	2	0	1	0	1					
		0.18%	0.12%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	1.31%	0.90%	0.0%	0.14%	0.0%	0.51%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	52	4	4	1	0	0	0	3	6	3	1	0	3	2	0	1	1	4	1	2	8	3	5					
		0.81%	0.51%	0.91%	0.49%	0.0%	0.0%	0.0%	1.19%	1.36%	1.22%	0.52%	0.0%	0.83%	0.60%	0.0%	0.43%	0.41%	1.74%	0.45%	1.61%	1.18%	1.29%	2.59%					
30	"13. ""Демократическая партия России"""	26	2	2	1	2	0	1	1	2	2	1	0	2	0	0	0	1	3	0	2	1	1	2					
		0.40%	0.25%	0.45%	0.49%	1.68%	0.0%	0.38%	0.39%	0.45%	0.81%	0.52%	0.0%	0.55%	0.0%	0.0%	0.0%	0.41%	1.31%	0.0%	1.61%	0.14%	0.43%	1.03%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	1	2	0	1	0	1	2	1	0	0	0	2	0	0	2	1	0	1	0	0	2	1					
		0.26%	0.12%	0.45%	0.0%	0.84%	0.0%	0.38%	0.79%	0.22%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.86%	0.41%	0.0%	0.45%	0.0%	0.0%	0.86%	0.51%					
32	"15. ""Партия СЛОН"""	11	1	1	0	0	1	1	2	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0					
		0.17%	0.12%	0.22%	0.0%	0.0%	0.72%	0.38%	0.79%	0.0%	0.0%	0.52%	0.45%	0.27%	0.30%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	312	46	33	8	7	7	12	9	18	6	7	6	9	18	6	4	8	9	15	6	48	11	19					
		4.90%	5.91%	7.58%	3.92%	5.88%	5.10%	4.65%	3.57%	4.10%	2.44%	3.66%	2.75%	2.5%	5.45%	2.37%	1.73%	3.33%	3.93%	6.78%	4.83%	7.12%	4.74%	9.84%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	3	1	0	0	0	3	1	1	3	0	1	4	1	0	0	1	1	0	1	3	0	1					
		0.39%	0.38%	0.22%	0.0%	0.0%	0.0%	1.16%	0.39%	0.22%	1.22%	0.0%	0.45%	1.11%	0.30%	0.0%	0.0%	0.41%	0.43%	0.0%	0.80%	0.44%	0.0%	0.51%					
35	"18. ""ЛДПР"""	783	85	71	48	11	13	39	34	52	22	10	14	43	40	27	30	23	43	35	11	77	24	31					
		12.30%	10.92%	16.32%	23.52%	9.24%	9.48%	15.11%	13.49%	11.87%	8.97%	5.23%	6.42%	11.94%	12.12%	10.67%	13.04%	9.58%	18.77%	15.83%	8.87%	11.42%	10.34%	16.06%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	341	31	22	14	3	9	38	21	23	20	10	4	16	26	8	5	12	8	12	1	28	18	12					
		5.36%	3.98%	5.05%	6.86%	2.52%	6.56%	14.72%	8.33%	5.25%	8.16%	5.23%	1.83%	4.44%	7.87%	3.16%	2.17%	5.0%	3.49%	5.42%	0.80%	4.15%	7.75%	6.21%					
37	"20. ""Политическая партия ""Единая Россия"""	2528	304	160	72	42	63	83	102	189	55	99	107	148	114	131	130	117	80	59	50	281	93	49					
		39.74%	39.07%	36.78%	35.29%	35.29%	45.98%	32.17%	40.47%	43.15%	22.44%	51.83%	49.08%	41.11%	34.54%	51.77%	56.52%	48.75%	34.93%	26.69%	40.32%	41.69%	40.08%	25.38%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	2	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	2	2	0	0	0	0					
		0.18%	0.25%	0.22%	0.0%	0.0%	0.72%	0.38%	0.0%	0.0%	0.40%	0.0%	0.0%	0.27%	0.30%	0.0%	0.0%	0.0%	0.87%	0.90%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	9	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1					
		0.14%	0.12%	0.0%	0.0%	0.84%	0.72%	0.38%	0.0%	0.0%	0.0%	0.52%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.14%	0.0%	0.51%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1148	147	49	24	35	14	34	27	73	89	29	53	84	86	42	47	43	46	43	23	102	25	33					
		18.04%	18.89%	11.26%	11.76%	29.41%	10.21%	13.17%	10.71%	16.66%	36.32%	15.18%	24.31%	23.33%	26.06%	16.60%	20.43%	17.91%	20.08%	19.45%	18.54%	15.13%	10.77%	17.09%					
																													
41	Против всех	171	26	24	8	3	7	4	6	5	11	5	9	5	8	1	2	5	7	3	6	20	2	4					
		2.68%	3.34%	5.51%	3.92%	2.52%	5.10%	1.55%	2.38%	1.14%	4.48%	2.61%	4.12%	1.38%	2.42%	0.39%	0.86%	2.08%	3.05%	1.35%	4.83%	2.96%	0.86%	2.07%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
