Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Называевская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140					
		0.47%	0.67%	0.56%	0.94%	0.82%	0.34%	0.33%	0.15%	1.07%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.60%	0.57%	0.00%	1.15%	0.75%	0.00%	0.37%	1.41%	0.00%	0.43%	0.00%	0.00%	1.26%	2.47%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	1.96%	0.48%	0.00%	0.00%	0.64%	0.83%	0.00%	0.00%	0.00%					
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
