Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
Наименование Избирательной комиссии:    Тогучинская 																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3256	30	134	183	186	99	166	166	128	201	11	78	50	4	29	14	30	158	152	123	62	37	14	7	65	24	9	31	14	18	33	18	7	2	56	16	57	5	55	33	37	55	44	33	6	36	15	20	33	28	52	24	50	14	33	5	9	36	16	1	15	32	2	2	25	21	107					
		11.71%	16.13%	12.69%	14.77%	13.38%	11.02%	16.29%	15.63%	14.55%	14.31%	10.09%	15.09%	12.11%	4.04%	6.22%	10.94%	14.08%	11.09%	10.69%	10.42%	10.95%	14.02%	12.17%	4.83%	13.27%	12.50%	9.68%	8.33%	8.97%	12.50%	9.22%	10.91%	4.49%	1.90%	12.58%	6.61%	9.50%	4.17%	10.50%	10.51%	8.62%	11.51%	13.50%	21.71%	9.23%	11.29%	14.29%	13.99%	6.99%	11.11%	12.15%	13.04%	12.22%	5.71%	9.82%	8.33%	12.50%	9.07%	9.58%	2.56%	8.67%	8.42%	2.94%	3.08%	10.50%	7.07%	12.71%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4871	39	185	226	149	138	202	193	134	273	27	103	60	22	76	35	40	248	244	196	84	43	21	42	77	35	23	78	30	19	54	35	38	11	62	28	103	18	90	58	87	82	53	22	11	58	24	27	86	55	73	42	54	59	54	8	24	73	36	5	48	78	9	8	38	57	161					
		17.51%	20.97%	17.52%	18.24%	10.72%	15.37%	19.82%	18.17%	15.23%	19.43%	24.77%	19.92%	14.53%	22.22%	16.31%	27.34%	18.78%	17.40%	17.16%	16.61%	14.84%	16.29%	18.26%	28.97%	15.71%	18.23%	24.73%	20.97%	19.23%	13.19%	15.08%	21.21%	24.36%	10.48%	13.93%	11.57%	17.17%	15.00%	17.18%	18.47%	20.28%	17.15%	16.26%	14.47%	16.92%	18.18%	22.86%	18.88%	18.22%	21.83%	17.06%	22.83%	13.20%	24.08%	16.07%	13.33%	33.33%	18.39%	21.56%	12.82%	27.75%	20.53%	13.24%	12.31%	15.97%	19.19%	19.12%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	251	1	8	11	17	8	17	12	7	18	2	4	7	0	3	1	2	16	10	6	3	2	0	0	2	4	1	2	3	2	4	1	0	0	0	0	3	0	6	2	5	6	3	0	1	1	0	2	3	1	8	2	5	2	2	0	1	5	0	0	2	3	1	0	4	5	4					
		0.90%	0.54%	0.76%	0.89%	1.22%	0.89%	1.67%	1.13%	0.80%	1.28%	1.83%	0.77%	1.69%	0.00%	0.64%	0.78%	0.94%	1.12%	0.70%	0.51%	0.53%	0.76%	0.00%	0.00%	0.41%	2.08%	1.08%	0.54%	1.92%	1.39%	1.12%	0.61%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	1.15%	0.64%	1.17%	1.26%	0.92%	0.00%	1.54%	0.31%	0.00%	1.40%	0.64%	0.40%	1.87%	1.09%	1.22%	0.82%	0.60%	0.00%	1.39%	1.26%	0.00%	0.00%	1.16%	0.79%	1.47%	0.00%	1.68%	1.68%	0.48%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5641	25	189	241	321	222	215	221	175	261	16	97	71	16	120	18	43	360	400	331	83	45	27	14	110	40	9	67	33	31	64	11	16	6	65	41	72	9	76	41	72	119	60	22	21	58	16	12	82	36	111	33	115	68	74	4	7	85	25	4	24	90	11	10	33	64	183					
		20.28%	13.44%	17.90%	19.45%	23.09%	24.72%	21.10%	20.81%	19.89%	18.58%	14.68%	18.76%	17.19%	16.16%	25.75%	14.06%	20.19%	25.26%	28.13%	28.05%	14.66%	17.05%	23.48%	9.66%	22.45%	20.83%	9.68%	18.01%	21.15%	21.53%	17.88%	6.67%	10.26%	5.71%	14.61%	16.94%	12.00%	7.50%	14.50%	13.06%	16.78%	24.90%	18.40%	14.47%	32.31%	18.18%	15.24%	8.39%	17.37%	14.29%	25.93%	17.93%	28.12%	27.76%	22.02%	6.67%	9.72%	21.41%	14.97%	10.26%	13.87%	23.68%	16.18%	15.38%	13.87%	21.55%	21.73%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	406	1	19	25	51	19	17	13	13	23	0	6	1	0	1	0	2	20	24	19	4	3	4	0	8	2	2	6	2	4	9	0	3	0	3	2	2	0	6	4	9	5	5	2	0	3	0	3	2	1	8	1	1	3	7	1	1	4	0	0	1	11	2	2	1	7	8					
		1.46%	0.54%	1.80%	2.02%	3.67%	2.12%	1.67%	1.22%	1.48%	1.64%	0.00%	1.16%	0.24%	0.00%	0.21%	0.00%	0.94%	1.40%	1.69%	1.61%	0.71%	1.14%	3.48%	0.00%	1.63%	1.04%	2.15%	1.61%	1.28%	2.78%	2.51%	0.00%	1.92%	0.00%	0.67%	0.83%	0.33%	0.00%	1.15%	1.27%	2.10%	1.05%	1.53%	1.32%	0.00%	0.94%	0.00%	2.10%	0.42%	0.40%	1.87%	0.54%	0.24%	1.22%	2.08%	1.67%	1.39%	1.01%	0.00%	0.00%	0.58%	2.89%	2.94%	3.08%	0.42%	2.36%	0.95%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12726	86	484	515	597	386	393	423	403	578	53	205	214	56	221	58	95	594	560	483	321	130	48	82	216	84	46	176	71	67	189	98	88	86	252	143	360	88	281	171	210	205	156	71	26	154	50	77	254	125	167	78	172	94	157	41	29	186	86	29	81	160	43	43	135	135	361					
		45.75%	46.24%	45.83%	41.57%	42.95%	42.98%	38.57%	39.83%	45.80%	41.14%	48.62%	39.65%	51.82%	56.57%	47.42%	45.31%	44.60%	41.68%	39.38%	40.93%	56.71%	49.24%	41.74%	56.55%	44.08%	43.75%	49.46%	47.31%	45.51%	46.53%	52.79%	59.39%	56.41%	81.90%	56.63%	59.09%	60.00%	73.33%	53.63%	54.46%	48.95%	42.89%	47.85%	46.71%	40.00%	48.28%	47.62%	53.85%	53.81%	49.60%	39.02%	42.39%	42.05%	38.37%	46.73%	68.33%	40.28%	46.85%	51.50%	74.36%	46.82%	42.11%	63.24%	66.15%	56.72%	45.45%	42.87%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	136	1	9	6	9	4	1	6	7	9	0	3	1	0	7	1	1	8	4	10	0	0	0	0	0	1	1	3	2	1	0	1	1	0	0	3	0	0	2	0	3	3	1	1	0	2	0	0	1	0	3	1	2	0	2	0	0	3	0	0	1	4	0	0	1	0	6					
		0.49%	0.54%	0.85%	0.48%	0.65%	0.45%	0.10%	0.56%	0.80%	0.64%	0.00%	0.58%	0.24%	0.00%	1.50%	0.78%	0.47%	0.56%	0.28%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	1.08%	0.81%	1.28%	0.69%	0.00%	0.61%	0.64%	0.00%	0.00%	1.24%	0.00%	0.00%	0.38%	0.00%	0.70%	0.63%	0.31%	0.66%	0.00%	0.63%	0.00%	0.00%	0.21%	0.00%	0.70%	0.54%	0.49%	0.00%	0.60%	0.00%	0.00%	0.76%	0.00%	0.00%	0.58%	1.05%	0.00%	0.00%	0.42%	0.00%	0.71%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
