Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
"Наименование Избирательной комиссии:    Брянск, Советская"																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №1121	УИК №1122	УИК №1123									
		1.74%	1.53%	1.09%	2.80%	1.61%	2.19%	2.90%	3.01%	0.53%	1.38%	0.00%	1.15%	2.21%	2.36%	0.44%	2.75%	0.89%	2.54%	2.32%	1.61%	1.62%	0.84%	1.61%	0.00%	1.89%	1.48%	6.21%	0.66%	2.42%	1.13%	4.66%	2.07%	2.09%	1.47%	2.98%	2.52%	1.05%	1.79%	1.38%	1.07%	2.01%	0.68%	0.92%	0.57%	1.72%	2.05%	2.04%	3.29%	1.88%	1.40%	1.55%	3.23%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1076	5	29	46	28	5	18	18	22	22	0	27	17	17	19	15	14	14	13	3	31	23	25	92	15	76	79	13	9	10	39	17	15	20	24	24	25	19	16	17	20	14	15	18	13	6	21	13	2	23	0	7	3									
		2.31%	0.64%	2.63%	4.03%	3.76%	0.69%	3.73%	1.87%	1.96%	1.78%	0.00%	3.09%	2.50%	1.82%	2.10%	2.29%	2.50%	2.37%	2.51%	0.35%	2.79%	2.42%	2.69%	6.19%	1.18%	4.50%	6.21%	1.07%	1.98%	1.13%	3.71%	2.51%	2.62%	1.55%	3.41%	3.36%	2.03%	1.89%	1.84%	1.51%	2.24%	0.95%	1.26%	1.28%	1.72%	1.12%	1.95%	2.14%	0.54%	1.47%	0.00%	1.88%	3.49%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23415	473	518	410	403	358	154	408	663	720	328	351	211	445	553	234	279	199	273	458	472	456	412	1003	413	981	570	757	197	460	384	258	169	792	230	228	724	429	504	640	461	828	628	929	362	243	529	209	170	1078	136	278	47									
		50.34%	60.41%	46.96%	35.90%	54.09%	49.11%	31.88%	42.32%	58.93%	58.39%	73.87%	40.21%	31.03%	47.64%	61.24%	35.73%	49.73%	33.67%	52.80%	52.76%	42.48%	48.00%	44.30%	67.45%	32.44%	58.05%	44.78%	62.15%	43.30%	52.04%	36.54%	38.11%	29.49%	61.44%	32.67%	31.89%	58.67%	42.77%	58.06%	56.99%	51.57%	55.98%	52.55%	65.98%	47.95%	45.25%	49.07%	34.38%	45.58%	68.79%	42.11%	74.73%	54.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	415	8	6	31	3	6	3	13	8	3	1	13	12	12	3	7	6	5	3	1	9	11	9	0	27	11	7	9	9	7	25	2	5	13	11	7	4	7	13	8	4	10	8	3	10	5	10	8	2	7	7	2	1									
		0.89%	1.02%	0.54%	2.71%	0.40%	0.82%	0.62%	1.35%	0.71%	0.24%	0.23%	1.49%	1.76%	1.28%	0.33%	1.07%	1.07%	0.85%	0.58%	0.12%	0.81%	1.16%	0.97%	0.00%	2.12%	0.65%	0.55%	0.74%	1.98%	0.79%	2.38%	0.30%	0.87%	1.01%	1.56%	0.98%	0.32%	0.70%	1.50%	0.71%	0.45%	0.68%	0.67%	0.21%	1.32%	0.93%	0.93%	1.32%	0.54%	0.45%	2.17%	0.54%	1.16%									
24	"6. Политическая партия ""Гражданская Платформа"""	209	6	10	23	5	3	1	8	5	3	0	7	1	3	5	4	4	3	2	1	5	0	2	0	8	1	1	0	3	8	22	4	5	5	0	4	2	3	4	1	3	9	5	3	4	2	3	2	0	5	1	0	0									
		0.45%	0.77%	0.91%	2.01%	0.67%	0.41%	0.21%	0.83%	0.44%	0.24%	0.00%	0.80%	0.15%	0.32%	0.55%	0.61%	0.71%	0.51%	0.39%	0.12%	0.45%	0.00%	0.22%	0.00%	0.63%	0.06%	0.08%	0.00%	0.66%	0.90%	2.09%	0.59%	0.87%	0.39%	0.00%	0.56%	0.16%	0.30%	0.46%	0.09%	0.34%	0.61%	0.42%	0.21%	0.53%	0.37%	0.28%	0.33%	0.00%	0.32%	0.31%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5806	127	152	123	91	82	102	131	90	100	31	121	100	67	52	100	59	72	59	194	179	116	130	76	236	153	210	185	67	98	147	79	73	133	91	116	114	111	81	163	116	211	115	127	93	76	170	90	52	178	129	21	17									
		12.48%	16.22%	13.78%	10.77%	12.21%	11.25%	21.12%	13.59%	8.00%	8.11%	6.98%	13.86%	14.71%	7.17%	5.76%	15.27%	10.52%	12.18%	11.41%	22.35%	16.11%	12.21%	13.98%	5.11%	18.54%	9.05%	16.50%	15.19%	14.73%	11.09%	13.99%	11.67%	12.74%	10.32%	12.93%	16.22%	9.24%	11.07%	9.33%	14.51%	12.98%	14.27%	9.62%	9.02%	12.32%	14.15%	15.77%	14.80%	13.94%	11.36%	39.94%	5.65%	19.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	439	8	15	37	5	9	3	17	31	9	0	8	12	5	2	8	6	11	6	9	12	7	11	0	9	7	8	6	2	7	8	8	9	19	3	6	13	9	4	7	8	7	18	10	4	7	5	12	1	3	6	1	1									
		0.94%	1.02%	1.36%	3.24%	0.67%	1.23%	0.62%	1.76%	2.76%	0.73%	0.00%	0.92%	1.76%	0.54%	0.22%	1.22%	1.07%	1.86%	1.16%	1.04%	1.08%	0.74%	1.18%	0.00%	0.71%	0.41%	0.63%	0.49%	0.44%	0.79%	0.76%	1.18%	1.57%	1.47%	0.43%	0.84%	1.05%	0.90%	0.46%	0.62%	0.89%	0.47%	1.51%	0.71%	0.53%	1.30%	0.46%	1.97%	0.27%	0.19%	1.86%	0.27%	1.16%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	710	9	34	51	17	12	4	15	13	14	0	16	13	23	4	14	8	8	7	6	70	15	9	0	43	28	15	8	7	7	9	9	11	13	17	8	14	11	9	15	14	22	9	19	15	7	13	8	1	14	1	0	1									
		1.53%	1.15%	3.08%	4.47%	2.28%	1.65%	0.83%	1.56%	1.16%	1.14%	0.00%	1.83%	1.91%	2.46%	0.44%	2.14%	1.43%	1.35%	1.35%	0.69%	6.30%	1.58%	0.97%	0.00%	3.38%	1.66%	1.18%	0.66%	1.54%	0.79%	0.86%	1.33%	1.92%	1.01%	2.41%	1.12%	1.13%	1.10%	1.04%	1.34%	1.57%	1.49%	0.75%	1.35%	1.99%	1.30%	1.21%	1.32%	0.27%	0.89%	0.31%	0.00%	1.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	74	2	4	20	1	0	0	1	1	0	0	10	1	1	0	1	0	2	1	2	1	0	2	0	1	0	0	1	0	0	0	0	3	0	4	0	2	0	1	0	1	3	1	3	1	1	0	2	0	0	0	0	0									
		0.16%	0.26%	0.36%	1.75%	0.13%	0.00%	0.00%	0.10%	0.09%	0.00%	0.00%	1.15%	0.15%	0.11%	0.00%	0.15%	0.00%	0.34%	0.19%	0.23%	0.09%	0.00%	0.22%	0.00%	0.08%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.57%	0.00%	0.16%	0.00%	0.12%	0.00%	0.11%	0.20%	0.08%	0.21%	0.13%	0.19%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	948	16	29	43	13	19	19	17	11	27	5	26	12	27	25	21	27	40	16	12	19	31	24	0	80	32	23	13	10	8	10	8	13	16	15	5	15	24	19	21	20	22	9	18	9	7	20	20	7	15	8	1	1									
		2.04%	2.04%	2.63%	3.77%	1.74%	2.61%	3.93%	1.76%	0.98%	2.19%	1.13%	2.98%	1.76%	2.89%	2.77%	3.21%	4.81%	6.77%	3.09%	1.38%	1.71%	3.26%	2.58%	0.00%	6.28%	1.89%	1.81%	1.07%	2.20%	0.90%	0.95%	1.18%	2.27%	1.24%	2.13%	0.70%	1.22%	2.39%	2.19%	1.87%	2.24%	1.49%	0.75%	1.28%	1.19%	1.30%	1.86%	3.29%	1.88%	0.96%	2.48%	0.27%	1.16%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7683	56	160	181	106	118	93	194	163	215	79	179	179	223	152	143	105	144	77	109	160	190	204	251	253	227	191	135	74	163	249	162	172	150	161	176	181	227	113	112	122	200	133	142	162	115	148	128	92	159	11	37	7									
		16.52%	7.15%	14.51%	15.85%	14.23%	16.19%	19.25%	20.12%	14.49%	17.44%	17.79%	20.50%	26.32%	23.88%	16.83%	21.83%	18.72%	24.37%	14.89%	12.56%	14.40%	20.00%	21.94%	16.88%	19.87%	13.43%	15.00%	11.08%	16.26%	18.44%	23.69%	23.93%	30.02%	11.64%	22.87%	24.62%	14.67%	22.63%	13.02%	9.97%	13.65%	13.52%	11.13%	10.09%	21.46%	21.42%	13.73%	21.05%	24.66%	10.15%	3.41%	9.95%	8.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	213	4	5	32	2	4	6	2	5	3	0	7	4	4	2	7	5	4	4	2	5	3	3	8	5	1	4	2	3	1	4	2	1	3	3	2	0	6	4	7	5	9	3	10	5	2	6	2	0	0	0	1	1									
		0.46%	0.51%	0.45%	2.80%	0.27%	0.55%	1.24%	0.21%	0.44%	0.24%	0.00%	0.80%	0.59%	0.43%	0.22%	1.07%	0.89%	0.68%	0.77%	0.23%	0.45%	0.32%	0.32%	0.54%	0.39%	0.06%	0.31%	0.16%	0.66%	0.11%	0.38%	0.30%	0.17%	0.23%	0.43%	0.28%	0.00%	0.60%	0.46%	0.62%	0.56%	0.61%	0.25%	0.71%	0.66%	0.37%	0.56%	0.33%	0.00%	0.00%	0.00%	0.27%	1.16%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3044	27	79	51	36	62	33	61	79	82	0	63	68	65	50	62	23	47	26	33	90	70	59	51	80	107	60	40	36	82	67	90	73	77	75	87	81	104	69	87	82	66	87	71	36	37	81	69	25	40	6	5	7									
		6.54%	3.45%	7.16%	4.47%	4.83%	8.50%	6.83%	6.33%	7.02%	6.65%	0.00%	7.22%	10.00%	6.96%	5.54%	9.47%	4.10%	7.95%	5.03%	3.80%	8.10%	7.37%	6.34%	3.43%	6.28%	6.33%	4.71%	3.28%	7.91%	9.28%	6.37%	13.29%	12.74%	5.97%	10.65%	12.17%	6.56%	10.37%	7.95%	7.75%	9.17%	4.46%	7.28%	5.04%	4.77%	6.89%	7.51%	11.35%	6.70%	2.55%	1.86%	1.34%	8.14%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
