Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Новосибирск, Калининская"																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №2015	УИК №2016	УИК №2028									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2610	30	50	30	45	30	30	30	30	50	40	30	50	30	30	30	30	50	30	45	30	30	30	30	40	40	50	40	30	30	50	30	30	30	30	60	30	70	30	30	40	40	40	40	30	30	30	30	10	60	30	45	40	30	40	40	40	30	50	50	40	30	30	55	60	50	60	50	30	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1787	6	40	12	29	19	19	30	24	41	30	17	38	24	20	22	20	39	26	28	12	14	19	25	30	27	38	22	19	23	33	24	26	24	17	38	27	62	15	25	30	30	32	30	19	14	9	22	1	39	13	29	34	24	29	31	30	25	22	29	29	22	17	34	48	30	43	28	28	12	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	652	9	9	9	7	5	5	6	9	12	8	9	9	12	10	10	7	17	10	13	8	13	5	10	5	9	12	15	6	10	9	8	15	7	13	12	8	20	5	7	7	7	9	9	12	8	5	5	0	8	5	15	6	9	13	11	22	8	12	14	8	8	15	5	3	10	10	3	4	7	21									
14	Число погашенных неиспользованных открепительных удостоверений	823	24	10	18	16	11	11	0	6	9	10	13	12	6	10	8	10	11	4	17	18	16	11	5	10	13	12	18	11	7	17	6	4	6	13	22	3	8	15	5	10	10	8	10	11	16	21	8	9	21	17	16	6	6	11	9	10	5	28	21	11	8	13	21	12	20	17	22	2	18	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	125	1	0	1	2	4	0	1	0	1	2	2	1	1	0	0	3	7	0	1	0	1	0	4	1	2	3	3	0	6	1	2	0	2	0	3	6	0	3	1	0	0	2	1	2	3	0	0	2	3	4	1	3	7	4	4	3	0	3	1	1	1	4	1	2	6	1	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	3992	22	25	36	18	11	16	21	19	31	19	22	19	32	14	13	27	49	38	28	29	44	27	21	20	10	26	12	22	19	17	30	19	16	15	15	27	48	24	19	31	32	30	24	23	16	26	26	2	34	30	31	32	44	41	39	38	29	241	327	302	279	275	224	236	179	196	233	33	13	6									
		8.90%	4.17%	3.51%	5.76%	3.92%	2.32%	3.85%	3.99%	3.44%	4.82%	3.86%	5.15%	3.65%	5.16%	2.81%	2.50%	4.43%	6.44%	6.28%	4.44%	4.10%	6.56%	7.11%	4.04%	4.26%	1.91%	3.63%	3.28%	4.10%	3.83%	3.18%	5.25%	3.16%	3.19%	3.16%	2.47%	4.71%	7.10%	4.16%	3.68%	4.10%	4.40%	3.76%	3.15%	3.00%	3.13%	4.88%	4.47%	4.00%	5.05%	4.47%	3.59%	3.76%	5.15%	4.72%	5.34%	5.04%	4.01%	31.26%	41.29%	38.62%	36.05%	30.59%	31.95%	22.80%	14.88%	17.39%	17.07%	4.53%	3.47%	3.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1459	17	34	26	21	15	11	8	22	22	15	17	19	26	13	21	18	25	15	19	30	7	13	18	10	17	27	12	13	22	21	22	24	13	19	21	15	27	16	13	35	39	36	39	23	18	20	18	2	14	29	31	25	22	19	13	10	17	28	23	24	31	36	23	28	28	26	40	16	15	7									
		3.25%	3.23%	4.77%	4.16%	4.58%	3.16%	2.64%	1.52%	3.99%	3.42%	3.05%	3.98%	3.65%	4.19%	2.61%	4.04%	2.95%	3.29%	2.48%	3.01%	4.24%	1.04%	3.42%	3.46%	2.13%	3.24%	3.77%	3.28%	2.42%	4.44%	3.93%	3.85%	3.99%	2.59%	4.00%	3.45%	2.62%	3.99%	2.77%	2.51%	4.63%	5.36%	4.51%	5.12%	3.00%	3.52%	3.75%	3.09%	4.00%	2.08%	4.32%	3.59%	2.94%	2.57%	2.19%	1.78%	1.33%	2.35%	3.63%	2.90%	3.07%	4.01%	4.00%	3.28%	2.71%	2.33%	2.31%	2.93%	2.20%	4.00%	4.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	741	11	14	4	14	7	8	9	6	11	6	7	9	12	7	8	12	15	11	4	9	12	13	10	8	10	8	7	10	11	8	10	10	6	9	13	10	12	6	16	21	19	13	17	22	14	7	8	0	16	12	15	13	16	12	12	9	10	9	10	7	12	16	14	17	8	9	12	11	2	5									
		1.65%	2.09%	1.96%	0.64%	3.05%	1.48%	1.92%	1.71%	1.09%	1.71%	1.22%	1.64%	1.73%	1.94%	1.40%	1.54%	1.97%	1.97%	1.82%	0.63%	1.27%	1.79%	3.42%	1.92%	1.71%	1.91%	1.12%	1.91%	1.86%	2.22%	1.50%	1.75%	1.66%	1.20%	1.89%	2.14%	1.75%	1.78%	1.04%	3.09%	2.78%	2.61%	1.63%	2.23%	2.87%	2.73%	1.31%	1.37%	0.00%	2.38%	1.79%	1.74%	1.53%	1.87%	1.38%	1.64%	1.19%	1.38%	1.17%	1.26%	0.90%	1.55%	1.78%	1.99%	1.64%	0.67%	0.80%	0.88%	1.51%	0.53%	2.98%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15281	182	221	196	159	185	144	164	176	224	164	130	151	164	156	170	196	238	187	195	196	308	101	159	165	172	196	117	160	148	184	199	187	181	149	188	277	225	213	201	261	204	274	275	265	164	187	220	17	255	248	304	301	334	359	338	317	333	187	178	176	177	221	158	361	532	427	545	325	147	63									
		34.08%	34.54%	30.99%	31.36%	34.64%	39.03%	34.62%	31.18%	31.88%	34.84%	33.33%	30.44%	28.98%	26.45%	31.26%	32.69%	32.13%	31.27%	30.91%	30.90%	27.72%	45.90%	26.58%	30.58%	35.18%	32.82%	27.37%	31.97%	29.80%	29.84%	34.39%	34.85%	31.11%	36.13%	31.37%	30.92%	48.34%	33.28%	36.92%	38.88%	34.52%	28.06%	34.34%	36.09%	34.60%	32.03%	35.08%	37.80%	34.00%	37.89%	36.96%	35.19%	35.37%	39.06%	41.31%	46.24%	42.04%	45.99%	24.25%	22.47%	22.51%	22.87%	24.58%	22.54%	34.88%	44.22%	37.89%	39.93%	44.64%	39.20%	37.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	403	7	5	3	2	3	5	8	7	7	5	9	3	5	4	3	6	11	7	10	9	6	8	9	2	5	16	3	4	4	9	6	3	2	4	10	3	1	9	4	9	8	6	7	6	4	1	3	0	6	4	7	9	3	8	4	9	6	3	0	3	5	6	6	4	13	12	9	9	5	1									
		0.90%	1.33%	0.70%	0.48%	0.44%	0.63%	1.20%	1.52%	1.27%	1.09%	1.02%	2.11%	0.58%	0.81%	0.80%	0.58%	0.98%	1.45%	1.16%	1.58%	1.27%	0.89%	2.11%	1.73%	0.43%	0.95%	2.23%	0.82%	0.74%	0.81%	1.68%	1.05%	0.50%	0.40%	0.84%	1.64%	0.52%	0.15%	1.56%	0.77%	1.19%	1.10%	0.75%	0.92%	0.78%	0.78%	0.19%	0.52%	0.00%	0.89%	0.60%	0.81%	1.06%	0.35%	0.92%	0.55%	1.19%	0.83%	0.39%	0.00%	0.38%	0.65%	0.67%	0.86%	0.39%	1.08%	1.06%	0.66%	1.24%	1.33%	0.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	109	3	1	3	2	2	2	4	4	0	1	0	1	3	1	2	3	4	6	3	2	3	1	2	2	3	1	1	0	1	2	1	0	1	0	0	1	3	0	1	1	0	0	1	1	1	3	0	0	4	0	3	3	1	2	2	1	0	2	2	0	1	1	2	2	3	0	2	1	0	0									
		0.24%	0.57%	0.14%	0.48%	0.44%	0.42%	0.48%	0.76%	0.72%	0.00%	0.20%	0.00%	0.19%	0.48%	0.20%	0.38%	0.49%	0.53%	0.99%	0.48%	0.28%	0.45%	0.26%	0.38%	0.43%	0.57%	0.14%	0.27%	0.00%	0.20%	0.37%	0.18%	0.00%	0.20%	0.00%	0.00%	0.17%	0.44%	0.00%	0.19%	0.13%	0.00%	0.00%	0.13%	0.13%	0.20%	0.56%	0.00%	0.00%	0.59%	0.00%	0.35%	0.35%	0.12%	0.23%	0.27%	0.13%	0.00%	0.26%	0.25%	0.00%	0.13%	0.11%	0.29%	0.19%	0.25%	0.00%	0.15%	0.14%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6587	86	94	87	71	85	70	57	55	90	75	54	62	82	74	65	77	95	79	86	84	104	46	82	66	79	113	66	89	69	72	81	117	72	73	120	81	134	86	75	102	105	148	117	119	79	80	87	13	105	88	147	125	123	116	99	107	89	76	94	80	81	111	104	168	212	211	254	105	64	25									
		14.69%	16.32%	13.18%	13.92%	15.47%	17.93%	16.83%	10.84%	9.96%	13.99%	15.24%	12.65%	11.90%	13.23%	14.83%	12.50%	12.62%	12.48%	13.06%	13.63%	11.88%	15.50%	12.11%	15.77%	14.07%	15.08%	15.78%	18.03%	16.57%	13.91%	13.46%	14.19%	19.47%	14.37%	15.37%	19.74%	14.14%	19.82%	14.90%	14.51%	13.49%	14.44%	18.55%	15.35%	15.54%	15.43%	15.01%	14.95%	26.00%	15.60%	13.11%	17.01%	14.69%	14.39%	13.35%	13.54%	14.19%	12.29%	9.86%	11.87%	10.23%	10.47%	12.35%	14.84%	16.23%	17.62%	18.72%	18.61%	14.42%	17.07%	14.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	495	12	18	7	9	9	6	7	13	8	9	6	7	7	9	6	7	11	6	12	7	7	9	6	5	5	11	1	5	3	6	7	6	8	8	6	6	11	6	5	10	6	6	2	8	7	4	8	0	8	11	11	12	4	11	15	9	11	6	7	2	4	4	5	5	5	2	5	7	3	0									
		1.10%	2.28%	2.52%	1.12%	1.96%	1.90%	1.44%	1.33%	2.36%	1.24%	1.83%	1.41%	1.34%	1.13%	1.80%	1.15%	1.15%	1.45%	0.99%	1.90%	0.99%	1.04%	2.37%	1.15%	1.07%	0.95%	1.54%	0.27%	0.93%	0.60%	1.12%	1.23%	0.99%	1.60%	1.68%	0.99%	1.05%	1.63%	1.04%	0.97%	1.32%	0.83%	0.75%	0.26%	1.04%	1.37%	0.75%	1.37%	0.00%	1.19%	1.64%	1.27%	1.41%	0.47%	1.27%	2.05%	1.19%	1.52%	0.78%	0.88%	0.26%	0.52%	0.44%	0.71%	0.48%	0.42%	0.18%	0.37%	0.96%	0.80%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	420	5	7	12	4	8	4	9	5	3	10	4	8	3	9	3	2	22	10	15	14	7	8	6	6	5	10	2	4	4	5	3	3	0	2	7	5	5	4	3	4	10	3	11	7	9	2	5	2	8	2	10	13	7	12	12	8	6	2	0	1	0	6	3	4	6	3	3	11	4	0									
		0.94%	0.95%	0.98%	1.92%	0.87%	1.69%	0.96%	1.71%	0.91%	0.47%	2.03%	0.94%	1.54%	0.48%	1.80%	0.58%	0.33%	2.89%	1.65%	2.38%	1.98%	1.04%	2.11%	1.15%	1.28%	0.95%	1.40%	0.55%	0.74%	0.81%	0.93%	0.53%	0.50%	0.00%	0.42%	1.15%	0.87%	0.74%	0.69%	0.58%	0.53%	1.38%	0.38%	1.44%	0.91%	1.76%	0.38%	0.86%	4.00%	1.19%	0.30%	1.16%	1.53%	0.82%	1.38%	1.64%	1.06%	0.83%	0.26%	0.00%	0.13%	0.00%	0.67%	0.43%	0.39%	0.50%	0.27%	0.22%	1.51%	1.07%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	64	0	2	1	1	0	0	0	1	4	1	1	1	2	0	0	0	1	0	0	1	0	1	2	2	1	0	0	1	2	1	1	0	1	0	0	1	1	2	0	0	2	0	0	0	2	0	1	0	1	0	2	1	0	3	2	5	1	0	0	1	2	0	1	1	3	2	0	2	0	0									
		0.14%	0.00%	0.28%	0.16%	0.22%	0.00%	0.00%	0.00%	0.18%	0.62%	0.20%	0.23%	0.19%	0.32%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.14%	0.00%	0.26%	0.38%	0.43%	0.19%	0.00%	0.00%	0.19%	0.40%	0.19%	0.18%	0.00%	0.20%	0.00%	0.00%	0.17%	0.15%	0.35%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.39%	0.00%	0.17%	0.00%	0.15%	0.00%	0.23%	0.12%	0.00%	0.35%	0.27%	0.66%	0.14%	0.00%	0.00%	0.13%	0.26%	0.00%	0.14%	0.10%	0.25%	0.18%	0.00%	0.27%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1094	13	30	4	8	11	8	22	11	27	12	23	22	24	14	26	24	34	36	34	38	8	12	22	7	13	24	8	8	13	12	14	12	9	9	11	11	7	12	7	25	16	18	20	12	20	11	6	1	12	13	24	21	30	16	21	31	19	11	6	8	8	14	4	14	13	18	16	15	8	3									
		2.44%	2.47%	4.21%	0.64%	1.74%	2.32%	1.92%	4.18%	1.99%	4.20%	2.44%	5.39%	4.22%	3.87%	2.81%	5.00%	3.93%	4.47%	5.95%	5.39%	5.37%	1.19%	3.16%	4.23%	1.49%	2.48%	3.35%	2.19%	1.49%	2.62%	2.24%	2.45%	1.99%	1.80%	1.89%	1.81%	1.92%	1.04%	2.08%	1.35%	3.31%	2.20%	2.26%	2.62%	1.57%	3.91%	2.06%	1.03%	2.00%	1.78%	1.94%	2.78%	2.47%	3.51%	1.84%	2.87%	4.11%	2.62%	1.43%	0.76%	1.02%	1.03%	1.56%	0.57%	1.35%	1.08%	1.60%	1.17%	2.06%	2.13%	1.79%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	9792	101	162	169	122	100	108	157	159	155	106	117	154	193	153	158	190	200	170	166	221	104	111	132	133	160	199	104	143	138	134	130	143	109	134	139	92	145	135	123	163	170	166	169	192	129	128	143	9	143	144	171	191	159	172	121	153	117	155	108	121	139	164	120	115	133	142	165	96	85	40									
		21.84%	19.17%	22.72%	27.04%	26.58%	21.10%	25.96%	29.85%	28.80%	24.11%	21.54%	27.40%	29.56%	31.13%	30.66%	30.38%	31.15%	26.28%	28.10%	26.31%	31.26%	15.50%	29.21%	25.38%	28.36%	30.53%	27.79%	28.42%	26.63%	27.82%	25.05%	22.77%	23.79%	21.76%	28.21%	22.86%	16.06%	21.45%	23.40%	23.79%	21.56%	23.38%	20.80%	22.18%	25.07%	25.20%	24.02%	24.57%	18.00%	21.25%	21.46%	19.79%	22.44%	18.60%	19.79%	16.55%	20.29%	16.16%	20.10%	13.64%	15.47%	17.96%	18.24%	17.12%	11.11%	11.06%	12.60%	12.09%	13.19%	22.67%	23.81%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	167	2	3	1	3	0	1	0	5	1	2	1	3	3	1	5	2	5	3	3	1	4	2	4	2	0	2	1	2	1	0	3	3	4	1	2	3	3	4	1	1	3	4	1	2	1	2	3	0	2	0	3	2	3	0	4	1	7	1	1	3	1	2	2	5	3	8	5	5	4	1									
		0.37%	0.38%	0.42%	0.16%	0.65%	0.00%	0.24%	0.00%	0.91%	0.16%	0.41%	0.23%	0.58%	0.48%	0.20%	0.96%	0.33%	0.66%	0.50%	0.48%	0.14%	0.60%	0.53%	0.77%	0.43%	0.00%	0.28%	0.27%	0.37%	0.20%	0.00%	0.53%	0.50%	0.80%	0.21%	0.33%	0.52%	0.44%	0.69%	0.19%	0.13%	0.41%	0.50%	0.13%	0.26%	0.20%	0.38%	0.52%	0.00%	0.30%	0.00%	0.35%	0.24%	0.35%	0.00%	0.55%	0.13%	0.97%	0.13%	0.13%	0.38%	0.13%	0.22%	0.29%	0.48%	0.25%	0.71%	0.37%	0.69%	1.07%	0.60%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3093	56	82	57	17	30	24	44	48	51	54	25	45	48	27	31	35	41	24	40	54	47	22	38	31	38	65	22	52	41	42	45	53	59	43	59	24	40	32	34	69	94	73	59	70	39	53	47	3	56	63	88	82	89	75	37	47	53	26	16	23	11	23	14	39	45	43	37	77	12	10									
		6.90%	10.63%	11.50%	9.12%	3.70%	6.33%	5.77%	8.37%	8.70%	7.93%	10.98%	5.85%	8.64%	7.74%	5.41%	5.96%	5.74%	5.39%	3.97%	6.34%	7.64%	7.00%	5.79%	7.31%	6.61%	7.25%	9.08%	6.01%	9.68%	8.27%	7.85%	7.88%	8.82%	11.78%	9.05%	9.70%	4.19%	5.92%	5.55%	6.58%	9.13%	12.93%	9.15%	7.74%	9.14%	7.62%	9.94%	8.08%	6.00%	8.32%	9.39%	10.19%	9.64%	10.41%	8.63%	5.06%	6.23%	7.32%	3.37%	2.02%	2.94%	1.42%	2.56%	1.99%	3.77%	3.74%	3.82%	2.71%	10.58%	3.20%	5.95%									
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
