Выборы Президента Российской Федерации																																																																																
																																																																																
"Наименование Избирательной комиссии:    Уфа, Октябрьская"																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269					
		6.51%	11.12%	7.69%	8.05%	12.58%	1.64%	3.43%	6.53%	5.68%	1.03%	8.30%	10.46%	3.01%	8.95%	7.87%	8.56%	7.88%	7.51%	6.18%	8.51%	9.89%	7.86%	7.70%	8.01%	7.71%	7.62%	3.24%	7.27%	3.56%	5.72%	3.48%	7.34%	0.15%	0.69%	9.00%	10.14%	7.08%	7.96%	10.03%	5.04%	6.59%	8.51%	6.78%	5.82%	8.03%	2.88%	7.35%	4.12%	3.99%	6.59%	6.11%	8.83%	5.41%	7.61%	5.71%	5.56%	5.71%	5.90%	6.58%	2.31%	5.18%	7.31%	6.01%	5.58%	5.50%	8.66%	5.24%	8.68%	6.63%	11.43%	2.90%	5.13%	8.51%	13.24%					
																																																																																
24	Против всех	2380	27	37	7	34	10	48	4	44	9	29	24	10	34	25	73	39	45	39	41	59	52	15	26	53	38	31	5	7	20	21	19	2	7	23	30	34	20	34	22	53	12	117	38	32	30	39	50	62	53	34	36	44	70	37	41	36	34	31	25	46	42	39	36	36	26	93	51	4	1	6	23	5	1					
		1.69%	2.52%	2.31%	0.49%	2.11%	0.59%	2.94%	0.19%	2.06%	0.39%	1.27%	1.18%	0.52%	1.51%	1.22%	4.06%	1.80%	2.10%	1.65%	2.08%	2.78%	2.52%	0.71%	1.15%	2.14%	1.52%	1.32%	0.43%	1.47%	1.76%	2.22%	0.92%	0.10%	0.34%	1.05%	1.52%	1.60%	0.94%	1.67%	3.70%	2.44%	0.55%	4.93%	1.59%	1.45%	1.29%	2.29%	2.13%	2.36%	2.08%	1.42%	1.44%	1.74%	3.04%	1.54%	1.62%	1.41%	1.40%	1.38%	1.13%	1.67%	1.71%	1.64%	1.47%	1.56%	2.07%	3.78%	2.97%	1.20%	0.17%	2.90%	2.88%	1.77%	1.47%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
