Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Оренбург, Промышленная"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041									
		36.85%	34.80%	31.63%	34.38%	43.18%	33.33%	34.46%	28.59%	35.54%	35.99%	34.78%	40.39%	30.88%	35.83%	35.90%	32.92%	39.90%	36.45%	33.33%	36.27%	37.93%	34.94%	31.67%	32.67%	41.88%	39.07%	36.60%	34.50%	36.64%	35.37%	31.54%	35.69%	34.58%	29.53%	37.68%	35.00%	40.40%	54.52%	39.07%	43.66%	36.84%	28.65%	33.74%	32.19%	35.10%	54.64%	52.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	193	7	4	3	1	6	7	3	2	5	1	1	4	3	5	5	3	2	3	4	0	0	9	1	5	2	3	2	4	3	4	7	6	3	4	5	9	4	15	2	8	9	8	4	4	2	1									
		0.58%	0.69%	0.60%	0.73%	0.22%	0.93%	1.32%	0.38%	0.25%	0.90%	0.17%	0.28%	0.46%	0.43%	0.56%	0.89%	0.39%	0.31%	0.61%	0.61%	0.00%	0.00%	1.15%	0.13%	0.57%	0.42%	0.98%	0.58%	0.38%	0.34%	0.54%	0.95%	0.83%	0.49%	0.57%	0.83%	0.78%	0.31%	1.12%	0.19%	0.92%	1.32%	0.76%	0.42%	0.51%	0.29%	0.31%									
24	"6. Политическая партия ""Гражданская Платформа"""	54	2	2	0	0	0	1	0	0	0	1	0	2	1	2	1	0	2	1	1	2	0	0	2	2	0	0	1	2	3	0	1	4	2	1	1	5	2	2	1	0	1	1	3	1	0	1									
		0.16%	0.20%	0.30%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.17%	0.00%	0.23%	0.14%	0.22%	0.18%	0.00%	0.31%	0.20%	0.15%	0.24%	0.00%	0.00%	0.26%	0.23%	0.00%	0.00%	0.29%	0.19%	0.34%	0.00%	0.14%	0.55%	0.33%	0.14%	0.17%	0.43%	0.15%	0.15%	0.10%	0.00%	0.15%	0.09%	0.31%	0.13%	0.00%	0.31%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9254	269	217	120	105	195	180	230	208	153	211	117	256	187	230	221	205	192	153	199	239	128	219	213	246	145	111	114	281	234	233	162	218	175	190	158	345	255	284	289	232	164	298	276	197	127	73									
		27.74%	26.37%	32.68%	29.06%	23.49%	30.23%	33.90%	29.49%	26.50%	27.67%	35.11%	32.59%	29.49%	26.91%	25.64%	39.53%	26.38%	29.91%	30.91%	30.20%	28.42%	36.36%	27.97%	28.17%	27.92%	30.79%	36.27%	33.33%	26.53%	26.53%	31.40%	22.07%	30.15%	28.55%	26.91%	26.33%	29.84%	19.56%	21.26%	28.17%	26.79%	23.98%	28.25%	28.75%	24.87%	18.70%	22.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	300	12	3	4	7	6	5	8	7	5	5	5	8	8	6	7	3	3	5	4	4	3	10	4	8	5	0	7	10	8	5	6	6	7	3	7	12	7	20	8	7	9	3	8	13	6	3									
		0.90%	1.18%	0.45%	0.97%	1.57%	0.93%	0.94%	1.03%	0.89%	0.90%	0.83%	1.39%	0.92%	1.15%	0.67%	1.25%	0.39%	0.47%	1.01%	0.61%	0.48%	0.85%	1.28%	0.53%	0.91%	1.06%	0.00%	2.05%	0.94%	0.91%	0.67%	0.82%	0.83%	1.14%	0.42%	1.17%	1.04%	0.54%	1.50%	0.78%	0.81%	1.32%	0.28%	0.83%	1.64%	0.88%	0.94%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	365	8	4	6	8	8	3	17	8	7	8	4	10	13	9	3	3	8	3	13	5	3	13	9	7	5	2	3	11	14	6	6	5	3	12	11	8	5	19	12	16	11	2	17	11	1	5									
		1.09%	0.78%	0.60%	1.45%	1.79%	1.24%	0.56%	2.18%	1.02%	1.27%	1.33%	1.11%	1.15%	1.87%	1.00%	0.54%	0.39%	1.25%	0.61%	1.97%	0.59%	0.85%	1.66%	1.19%	0.79%	1.06%	0.65%	0.88%	1.04%	1.59%	0.81%	0.82%	0.69%	0.49%	1.70%	1.83%	0.69%	0.38%	1.42%	1.17%	1.85%	1.61%	0.19%	1.77%	1.39%	0.15%	1.57%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	2	1	0	2	1	1	0	1	0	0	0	0	0	0	3	0	1	0	0	2	0	2	0	0	2	0	0	5	0	0	1	2	1	1	0	3	1	2	1	0	0	0	2	3	2	0									
		0.13%	0.20%	0.15%	0.00%	0.45%	0.16%	0.19%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.16%	0.00%	0.00%	0.24%	0.00%	0.26%	0.00%	0.00%	0.42%	0.00%	0.00%	0.47%	0.00%	0.00%	0.14%	0.28%	0.16%	0.14%	0.00%	0.26%	0.08%	0.15%	0.10%	0.00%	0.00%	0.00%	0.21%	0.38%	0.29%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	701	32	19	14	10	11	4	24	24	10	7	4	16	17	31	5	21	10	9	11	12	7	24	16	17	6	1	4	16	28	18	15	16	26	7	19	25	8	37	12	26	16	16	18	22	5	5									
		2.10%	3.14%	2.86%	3.39%	2.24%	1.71%	0.75%	3.08%	3.06%	1.81%	1.16%	1.11%	1.84%	2.45%	3.46%	0.89%	2.70%	1.56%	1.82%	1.67%	1.43%	1.99%	3.07%	2.12%	1.93%	1.27%	0.33%	1.17%	1.51%	3.17%	2.43%	2.04%	2.21%	4.24%	0.99%	3.17%	2.16%	0.61%	2.77%	1.17%	3.00%	2.34%	1.52%	1.88%	2.78%	0.74%	1.57%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5137	143	109	58	61	104	90	130	111	83	90	37	158	106	160	69	121	95	80	102	135	55	127	121	107	53	37	49	149	136	136	154	89	109	118	93	122	201	221	157	110	142	177	163	130	109	30									
		15.40%	14.02%	16.42%	14.04%	13.65%	16.12%	16.95%	16.67%	14.14%	15.01%	14.98%	10.31%	18.20%	15.25%	17.84%	12.34%	15.57%	14.80%	16.16%	15.48%	16.05%	15.63%	16.22%	16.01%	12.15%	11.25%	12.09%	14.33%	14.07%	15.42%	18.33%	20.98%	12.31%	17.78%	16.71%	15.50%	10.55%	15.41%	16.54%	15.30%	12.70%	20.76%	16.78%	16.98%	16.41%	16.05%	9.40%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	241	12	6	8	7	5	2	4	3	2	2	3	11	7	1	3	3	6	8	6	10	1	4	13	7	3	3	1	4	4	6	3	5	3	9	5	7	4	6	8	9	6	6	6	3	3	3									
		0.72%	1.18%	0.90%	1.94%	1.57%	0.78%	0.38%	0.51%	0.38%	0.36%	0.33%	0.84%	1.27%	1.01%	0.11%	0.54%	0.39%	0.93%	1.62%	0.91%	1.19%	0.28%	0.51%	1.72%	0.79%	0.64%	0.98%	0.29%	0.38%	0.45%	0.81%	0.41%	0.69%	0.49%	1.27%	0.83%	0.61%	0.31%	0.45%	0.78%	1.04%	0.88%	0.57%	0.63%	0.38%	0.44%	0.94%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2158	64	29	19	19	40	18	72	54	37	23	20	61	41	39	20	36	37	34	30	42	18	66	49	35	20	12	20	106	74	65	60	74	59	29	44	45	53	117	63	79	61	103	76	72	9	14									
		6.47%	6.27%	4.37%	4.60%	4.25%	6.20%	3.39%	9.23%	6.88%	6.69%	3.83%	5.57%	7.03%	5.90%	4.35%	3.58%	4.63%	5.76%	6.87%	4.55%	4.99%	5.11%	8.43%	6.48%	3.97%	4.25%	3.92%	5.85%	10.01%	8.39%	8.76%	8.17%	10.24%	9.62%	4.11%	7.33%	3.89%	4.06%	8.76%	6.14%	9.12%	8.92%	9.76%	7.92%	9.09%	1.33%	4.39%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
