Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																				
Дата голосования: 04.12.2011																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Клинская																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860					
14	Число погашенных неиспользованных открепительных удостоверений	440	2	12	4	18	8	5	8	1	8	2	3	2	2	5	13	0	2	4	4	6	1	2	2	6	3	10	9	6	6	11	6	5	1	0	5	3	5	1	10	11	0	5	0	2	6	12	4	0	4	22	11	3	9	7	19	5	2	2	0	3	2	8	6	0	6	3	9	18	19	3	2	4	7	9	6	7	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	104	2	0	1	1	3	2	2	2	1	2	1	5	2	3	1	0	3	4	1	4	0	2	1	1	3	1	2	3	0	1	1	0	3	1	4	0	2	0	1	3	3	4	1	1	2	1	0	0	1	1	0	1	0	1	0	0	0	2	3	2	0	0	0	1	0	0	0	0	1	0	1	3	2	1	2	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7934	82	143	71	134	226	115	92	154	127	100	43	113	154	58	105	167	170	152	82	171	143	126	116	129	173	140	108	89	187	92	112	114	130	113	165	174	170	107	146	151	190	78	17	21	31	35	36	22	38	39	135	67	20	51	25	130	62	158	106	104	97	86	76	68	41	68	112	67	80	34	33	135	112	145	146	39	86					
		13.97%	13.76%	13.80%	12.46%	14.79%	19.27%	11.99%	13.41%	14.27%	13.73%	13.81%	14.63%	13.48%	15.10%	12.42%	14.31%	14.10%	13.57%	14.77%	15.36%	13.35%	12.77%	16.03%	16.50%	14.01%	14.04%	15.49%	12.68%	15.01%	13.71%	15.73%	15.93%	11.29%	15.51%	13.37%	12.45%	14.78%	16.97%	14.40%	11.80%	11.56%	12.09%	9.26%	9.55%	10.40%	11.19%	11.86%	16.82%	9.61%	17.59%	14.66%	13.62%	12.91%	14.08%	15.89%	14.12%	17.13%	10.97%	16.44%	14.68%	10.46%	12.40%	12.54%	11.55%	17.80%	14.80%	12.21%	15.43%	16.54%	14.26%	16.11%	15.79%	16.34%	13.88%	14.44%	15.34%	15.29%	15.99%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9055	95	170	99	193	156	103	102	197	168	104	44	124	192	71	131	141	186	148	84	211	195	118	121	144	183	127	145	81	205	111	82	147	113	120	165	203	154	120	285	146	323	132	31	37	29	34	40	28	45	47	161	112	26	51	32	102	80	186	117	157	112	121	85	55	54	95	124	76	91	36	36	148	139	156	144	35	94					
		15.94%	15.94%	16.41%	17.37%	21.30%	13.30%	10.74%	14.87%	18.26%	18.16%	14.36%	14.97%	14.80%	18.82%	15.20%	17.85%	11.91%	14.84%	14.38%	15.73%	16.47%	17.41%	15.01%	17.21%	15.64%	14.85%	14.05%	17.02%	13.66%	15.03%	18.97%	11.66%	14.55%	13.48%	14.20%	12.45%	17.25%	15.37%	16.15%	23.04%	11.18%	20.55%	15.68%	17.42%	18.32%	10.47%	11.53%	18.69%	12.23%	20.83%	17.67%	16.25%	21.58%	18.31%	15.89%	18.08%	13.44%	14.16%	19.35%	16.20%	15.79%	14.32%	17.64%	12.92%	14.40%	19.49%	17.06%	17.08%	18.77%	16.22%	17.06%	17.22%	17.92%	17.22%	15.54%	15.13%	13.73%	17.47%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	584	4	13	7	8	7	7	10	18	12	4	3	5	5	4	7	12	9	15	8	15	8	6	5	15	12	12	9	5	12	7	11	8	6	2	18	12	18	11	22	14	31	10	0	0	1	4	2	3	2	3	6	5	1	4	2	9	7	6	10	9	5	6	5	6	6	2	4	2	9	1	1	10	6	5	9	0	6					
		1.03%	0.67%	1.25%	1.23%	0.88%	0.60%	0.73%	1.46%	1.67%	1.30%	0.55%	1.02%	0.60%	0.49%	0.86%	0.95%	1.01%	0.72%	1.46%	1.50%	1.17%	0.71%	0.76%	0.71%	1.63%	0.97%	1.33%	1.06%	0.84%	0.88%	1.20%	1.56%	0.79%	0.72%	0.24%	1.36%	1.02%	1.80%	1.48%	1.78%	1.07%	1.97%	1.19%	0.00%	0.00%	0.36%	1.36%	0.93%	1.31%	0.93%	1.13%	0.61%	0.96%	0.70%	1.25%	1.13%	1.19%	1.24%	0.62%	1.39%	0.91%	0.64%	0.87%	0.76%	1.57%	2.17%	0.36%	0.55%	0.49%	1.60%	0.47%	0.48%	1.21%	0.74%	0.50%	0.95%	0.00%	1.12%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	16058	161	324	155	200	316	252	182	356	238	209	87	249	267	133	182	307	305	344	166	428	365	225	180	294	412	263	259	186	456	154	197	270	308	262	475	361	260	221	352	500	408	213	22	33	54	75	57	49	61	58	319	132	42	71	39	203	146	226	198	240	221	191	174	72	67	101	166	98	104	57	45	201	223	308	276	80	167					
		28.27%	27.01%	31.27%	27.19%	22.08%	26.94%	26.28%	26.53%	32.99%	25.73%	28.87%	29.59%	29.71%	26.18%	28.48%	24.80%	25.93%	24.34%	33.43%	31.09%	33.41%	32.59%	28.63%	25.60%	31.92%	33.44%	29.09%	30.40%	31.37%	33.43%	26.32%	28.02%	26.73%	36.75%	31.01%	35.85%	30.67%	25.95%	29.74%	28.46%	38.28%	25.95%	25.30%	12.36%	16.34%	19.49%	25.42%	26.64%	21.40%	28.24%	21.80%	32.19%	25.43%	29.58%	22.12%	22.03%	26.75%	25.84%	23.52%	27.42%	24.14%	28.26%	27.84%	26.44%	18.85%	24.19%	18.13%	22.87%	24.20%	18.54%	27.01%	21.53%	24.33%	27.63%	30.68%	28.99%	31.37%	31.04%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2170	6	38	19	10	63	50	45	34	24	38	18	56	34	23	32	53	38	44	20	56	63	42	18	47	64	40	34	29	63	30	27	34	37	33	39	50	47	32	50	62	50	22	6	4	7	3	13	5	8	7	30	22	5	8	6	21	13	23	24	19	19	22	17	9	11	10	47	5	18	1	6	30	28	39	38	7	25					
		3.82%	1.01%	3.67%	3.33%	1.10%	5.37%	5.21%	6.56%	3.15%	2.59%	5.25%	6.12%	6.68%	3.33%	4.93%	4.36%	4.48%	3.03%	4.28%	3.75%	4.37%	5.63%	5.34%	2.56%	5.10%	5.19%	4.42%	3.99%	4.89%	4.62%	5.13%	3.84%	3.37%	4.42%	3.91%	2.94%	4.25%	4.69%	4.31%	4.04%	4.75%	3.18%	2.61%	3.37%	1.98%	2.53%	1.02%	6.07%	2.18%	3.70%	2.63%	3.03%	4.24%	3.52%	2.49%	3.39%	2.77%	2.30%	2.39%	3.32%	1.91%	2.43%	3.21%	2.58%	2.36%	3.97%	1.80%	6.47%	1.23%	3.21%	0.47%	2.87%	3.63%	3.47%	3.88%	3.99%	2.75%	4.65%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18957	231	322	203	336	373	387	236	294	342	248	87	263	319	165	245	455	490	293	161	363	314	224	223	254	339	293	281	184	408	167	236	377	216	288	427	327	313	225	337	389	499	344	100	99	148	141	61	116	55	105	295	164	43	131	59	257	243	336	247	429	292	227	283	165	89	261	249	146	233	73	85	261	256	305	293	86	146					
		33.37%	38.76%	31.08%	35.61%	37.09%	31.80%	40.35%	34.40%	27.25%	36.97%	34.25%	29.59%	31.38%	31.27%	35.33%	33.38%	38.43%	39.11%	28.47%	30.15%	28.34%	28.04%	28.50%	31.72%	27.58%	27.52%	32.41%	32.98%	31.03%	29.91%	28.55%	33.57%	37.33%	25.78%	34.08%	32.23%	27.78%	31.24%	30.28%	27.24%	29.79%	31.74%	40.86%	56.18%	49.01%	53.43%	47.80%	28.50%	50.66%	25.46%	39.47%	29.77%	31.60%	30.28%	40.81%	33.33%	33.86%	43.01%	34.96%	34.21%	43.16%	37.34%	33.09%	43.01%	43.19%	32.13%	46.86%	34.30%	36.05%	41.53%	34.60%	40.67%	31.60%	31.72%	30.38%	30.78%	33.73%	27.14%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	507	5	11	6	7	12	15	3	5	8	10	1	8	14	4	11	11	9	7	2	13	11	14	7	7	11	1	9	2	12	7	9	10	9	7	10	13	12	9	13	13	22	4	0	2	0	2	2	0	4	1	9	6	2	1	3	10	4	7	1	8	8	13	1	1	3	6	7	1	1	3	0	4	3	14	4	2	0					
		0.89%	0.84%	1.06%	1.05%	0.77%	1.02%	1.56%	0.44%	0.46%	0.86%	1.38%	0.34%	0.95%	1.37%	0.86%	1.50%	0.93%	0.72%	0.68%	0.37%	1.01%	0.98%	1.78%	0.99%	0.76%	0.89%	0.11%	1.06%	0.34%	0.88%	1.20%	1.28%	0.99%	1.07%	0.83%	0.75%	1.10%	1.20%	1.21%	1.05%	0.99%	1.40%	0.48%	0.00%	0.99%	0.00%	0.68%	0.93%	0.00%	1.85%	0.38%	0.91%	1.16%	1.41%	0.31%	1.69%	1.32%	0.71%	0.73%	0.14%	0.80%	1.02%	1.90%	0.15%	0.26%	1.08%	1.08%	0.96%	0.25%	0.18%	1.42%	0.00%	0.48%	0.37%	1.39%	0.42%	0.78%	0.00%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
