Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																					
Дата голосования: 02.12.2007																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Клинская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2779	20	40	30	25	20	50	40	30	40	30	40	20	30	40	20	30	40	40	30	30	40	40	30	30	30	40	25	40	40	35	30	30	40	40	40	40	40	40	40	65	60	50	30	30	40	40	20	20	10	10	70	20	20	20	20	20	20	20	30	54	70	20	20	30	30	20	45	70	75	50	50	50	50	30	40	25	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2381	19	40	19	13	4	48	32	18	39	23	30	6	26	21	16	28	40	37	25	20	39	40	23	19	30	38	23	27	23	33	29	27	40	32	33	40	32	30	23	64	60	50	22	30	34	29	12	14	2	1	70	8	6	18	6	18	14	12	30	54	70	20	14	30	30	20	45	70	75	33	50	50	50	21	39	25	50	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1721	15	15	11	34	9	34	15	18	55	12	37	7	23	20	11	22	21	39	4	15	11	16	16	31	27	18	24	20	21	34	18	19	22	21	38	30	12	27	57	28	23	16	29	20	14	12	17	10	12	19	33	25	14	16	15	25	13	15	43	30	21	26	24	1	17	13	65	33	41	16	16	34	23	21	15	20	9	18					
14	Число погашенных неиспользованных открепительных удостоверений	398	1	0	11	12	16	2	8	12	1	7	10	14	4	19	4	2	0	3	5	10	1	0	7	11	0	2	2	13	17	2	1	3	0	8	7	0	8	10	17	1	0	0	8	0	6	11	8	6	8	9	0	12	14	2	14	2	6	8	0	0	0	0	6	0	0	0	0	0	0	17	0	0	0	9	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	175	4	2	6	2	0	2	5	0	3	3	3	1	11	4	2	3	2	5	2	1	3	7	5	1	0	3	1	0	3	2	0	1	2	4	1	6	3	2	2	2	5	3	3	2	0	4	0	1	0	0	4	0	1	1	0	2	0	2	0	4	6	1	1	1	0	2	1	7	4	2	0	3	1	1	0	3	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
18	1.Политическая партия «Аграрная партия России»	1693	15	41	12	5	11	46	14	15	45	32	24	9	24	33	12	25	35	23	37	15	35	48	17	27	16	46	26	37	26	28	29	22	37	27	22	31	39	27	21	28	38	55	23	27	35	15	11	20	6	15	7	2	6	8	2	11	11	6	10	40	11	9	7	6	13	14	6	29	10	27	22	22	24	22	13	19	23	6					
		2.39%	2.08%	3.16%	1.59%	0.62%	3.13%	3.62%	1.41%	2.05%	2.98%	2.81%	1.69%	2.48%	2.69%	2.58%	2.20%	3.09%	2.68%	1.56%	3.13%	2.38%	2.57%	3.74%	1.78%	3.03%	1.52%	3.02%	2.34%	3.50%	3.07%	1.48%	4.33%	2.54%	3.19%	2.64%	2.17%	2.06%	2.79%	1.79%	2.16%	2.35%	2.46%	3.23%	2.33%	2.71%	2.86%	1.23%	3.43%	3.11%	2.23%	4.34%	0.61%	0.93%	2.11%	2.74%	0.63%	4.95%	3.97%	2.33%	3.17%	3.32%	1.46%	4.05%	1.65%	2.83%	1.62%	2.67%	1.45%	2.44%	0.69%	2.05%	2.20%	1.59%	2.24%	2.76%	2.26%	2.90%	2.60%	0.92%					
19	2.Всероссийская политическая партия «Гражданская Сила»	632	6	8	2	4	3	8	13	14	19	6	13	3	9	12	3	9	16	12	15	4	16	10	11	10	11	26	9	11	8	11	8	11	23	14	18	21	16	5	10	25	26	25	8	6	16	9	2	4	0	0	2	0	1	1	0	5	1	1	1	7	1	0	3	2	4	3	2	3	8	5	4	11	2	5	2	3	1	5					
		0.89%	0.83%	0.62%	0.26%	0.50%	0.85%	0.63%	1.31%	1.91%	1.26%	0.53%	0.92%	0.83%	1.01%	0.94%	0.55%	1.11%	1.23%	0.81%	1.27%	0.63%	1.18%	0.78%	1.15%	1.12%	1.04%	1.71%	0.81%	1.04%	0.95%	0.58%	1.19%	1.27%	1.98%	1.37%	1.78%	1.39%	1.15%	0.33%	1.03%	2.10%	1.68%	1.47%	0.81%	0.60%	1.31%	0.74%	0.62%	0.62%	0.00%	0.00%	0.18%	0.00%	0.35%	0.34%	0.00%	2.25%	0.36%	0.39%	0.32%	0.58%	0.13%	0.00%	0.71%	0.94%	0.50%	0.57%	0.48%	0.25%	0.55%	0.38%	0.40%	0.79%	0.19%	0.63%	0.35%	0.46%	0.11%	0.77%					
20	3.Политическая партия «Демократическая партия России»	84	2	0	0	2	2	2	1	1	6	0	3	0	0	1	2	0	0	1	3	1	2	0	3	0	3	0	0	0	1	0	2	0	1	1	1	6	3	1	0	1	2	4	1	1	2	1	1	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	1	2	2	1	1	0	1	0	3	1	0					
		0.12%	0.28%	0.00%	0.00%	0.25%	0.57%	0.16%	0.10%	0.14%	0.40%	0.00%	0.21%	0.00%	0.00%	0.08%	0.37%	0.00%	0.00%	0.07%	0.25%	0.16%	0.15%	0.00%	0.31%	0.00%	0.28%	0.00%	0.00%	0.00%	0.12%	0.00%	0.30%	0.00%	0.09%	0.10%	0.10%	0.40%	0.21%	0.07%	0.00%	0.08%	0.13%	0.23%	0.10%	0.10%	0.16%	0.08%	0.31%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.08%	0.14%	0.15%	0.10%	0.07%	0.00%	0.13%	0.00%	0.46%	0.11%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8737	116	186	83	48	41	203	175	113	235	100	251	49	105	163	79	99	191	165	186	93	178	165	119	93	160	239	144	158	120	230	102	118	211	187	184	258	206	137	106	117	314	224	134	125	149	163	55	97	22	15	83	10	26	24	2	24	31	34	35	110	47	11	34	15	60	40	26	71	83	131	106	59	123	89	35	67	89	61					
		12.33%	16.09%	14.35%	10.98%	5.95%	11.68%	15.96%	17.66%	15.42%	15.55%	8.79%	17.73%	13.50%	11.76%	12.75%	14.50%	12.25%	14.62%	11.16%	15.71%	14.74%	13.08%	12.85%	12.43%	10.45%	15.17%	15.69%	12.94%	14.93%	14.18%	12.15%	15.22%	13.64%	18.19%	18.32%	18.15%	17.13%	14.75%	9.09%	10.92%	9.83%	20.30%	13.15%	13.59%	12.54%	12.17%	13.42%	17.13%	15.06%	8.18%	4.34%	7.27%	4.65%	9.12%	8.22%	0.63%	10.81%	11.19%	13.23%	11.11%	9.14%	6.25%	4.95%	8.04%	7.08%	7.48%	7.62%	6.28%	5.97%	5.72%	9.96%	10.61%	4.26%	11.48%	11.15%	6.09%	10.23%	10.06%	9.38%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	532	8	10	2	5	1	14	7	7	32	7	19	1	6	11	2	7	11	9	17	3	18	13	8	3	3	15	6	11	6	8	3	12	16	13	15	18	13	6	2	9	10	11	11	14	16	10	2	4	0	1	0	0	1	3	0	4	0	1	2	3	3	1	0	3	3	3	1	1	4	4	5	7	7	7	4	2	6	1					
		0.75%	1.11%	0.77%	0.26%	0.62%	0.28%	1.10%	0.71%	0.95%	2.12%	0.62%	1.34%	0.28%	0.67%	0.86%	0.37%	0.87%	0.84%	0.61%	1.44%	0.48%	1.32%	1.01%	0.84%	0.34%	0.28%	0.98%	0.54%	1.04%	0.71%	0.42%	0.45%	1.39%	1.38%	1.27%	1.48%	1.20%	0.93%	0.40%	0.21%	0.76%	0.65%	0.65%	1.12%	1.40%	1.31%	0.82%	0.62%	0.62%	0.00%	0.29%	0.00%	0.00%	0.35%	1.03%	0.00%	1.80%	0.00%	0.39%	0.63%	0.25%	0.40%	0.45%	0.00%	1.42%	0.37%	0.57%	0.24%	0.08%	0.28%	0.30%	0.50%	0.51%	0.65%	0.88%	0.70%	0.31%	0.68%	0.15%					
23	6.Политическая партия «Партия социальной справедливости»	150	1	0	0	2	1	3	1	2	5	4	1	4	1	7	2	1	0	1	2	2	2	3	7	2	2	1	2	2	1	5	5	2	3	0	3	6	7	3	3	5	7	6	1	3	4	2	0	2	0	1	1	0	0	1	0	0	0	0	0	3	0	0	0	1	2	0	1	2	1	0	5	0	0	0	0	1	1	1					
		0.21%	0.14%	0.00%	0.00%	0.25%	0.28%	0.24%	0.10%	0.27%	0.33%	0.35%	0.07%	1.10%	0.11%	0.55%	0.37%	0.12%	0.00%	0.07%	0.17%	0.32%	0.15%	0.23%	0.73%	0.22%	0.19%	0.07%	0.18%	0.19%	0.12%	0.26%	0.75%	0.23%	0.26%	0.00%	0.30%	0.40%	0.50%	0.20%	0.31%	0.42%	0.45%	0.35%	0.10%	0.30%	0.33%	0.16%	0.00%	0.31%	0.00%	0.29%	0.09%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.47%	0.25%	0.00%	0.24%	0.17%	0.07%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.15%	0.11%	0.15%					
24	7.Политическая партия «Либерально-демократическая партия России»	6222	53	127	60	77	43	105	99	77	155	107	99	43	87	129	53	78	101	117	115	62	128	123	113	78	106	130	103	76	74	116	78	80	102	92	92	152	136	106	108	202	112	203	95	94	109	101	12	69	15	19	77	9	20	14	2	21	16	25	23	135	17	18	33	21	49	53	30	67	106	120	81	83	102	71	51	62	67	38					
		8.78%	7.35%	9.80%	7.94%	9.54%	12.25%	8.25%	9.99%	10.50%	10.26%	9.40%	6.99%	11.85%	9.74%	10.09%	9.72%	9.65%	7.73%	7.91%	9.71%	9.83%	9.40%	9.58%	11.81%	8.76%	10.05%	8.54%	9.25%	7.18%	8.75%	6.13%	11.64%	9.25%	8.79%	9.01%	9.07%	10.09%	9.74%	7.03%	11.12%	16.97%	7.24%	11.92%	9.63%	9.43%	8.91%	8.31%	3.74%	10.71%	5.58%	5.49%	6.75%	4.19%	7.02%	4.79%	0.63%	9.46%	5.78%	9.73%	7.30%	11.21%	2.26%	8.11%	7.80%	9.91%	6.11%	10.10%	7.25%	5.63%	7.31%	9.13%	8.11%	5.99%	9.52%	8.90%	8.87%	9.47%	7.57%	5.85%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	5301	68	95	54	57	46	129	98	59	125	75	95	33	85	114	33	68	127	91	130	57	126	120	76	62	112	159	111	78	67	119	72	86	122	112	88	148	141	113	72	85	113	89	59	85	85	107	27	54	26	21	34	5	11	12	2	14	21	26	26	116	16	8	24	16	34	34	17	31	59	59	40	45	43	45	41	57	62	29					
		7.48%	9.43%	7.33%	7.14%	7.06%	13.11%	10.14%	9.89%	8.05%	8.27%	6.59%	6.71%	9.09%	9.52%	8.92%	6.06%	8.42%	9.72%	6.15%	10.98%	9.03%	9.26%	9.35%	7.94%	6.97%	10.62%	10.44%	9.97%	7.37%	7.92%	6.29%	10.75%	9.94%	10.52%	10.97%	8.68%	9.83%	10.09%	7.50%	7.42%	7.14%	7.30%	5.23%	5.98%	8.53%	6.94%	8.81%	8.41%	8.39%	9.67%	6.07%	2.98%	2.33%	3.86%	4.11%	0.63%	6.31%	7.58%	10.12%	8.25%	9.63%	2.13%	3.60%	5.67%	7.55%	4.24%	6.48%	4.11%	2.61%	4.07%	4.49%	4.00%	3.25%	4.01%	5.64%	7.13%	8.70%	7.01%	4.46%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	669	10	12	9	8	4	11	15	11	28	11	9	1	12	10	3	14	16	13	14	9	15	8	10	5	4	9	9	10	7	9	11	13	8	14	6	17	8	7	1	12	19	26	17	4	12	8	4	9	1	4	3	1	2	3	2	4	6	1	9	17	2	0	0	8	3	6	2	9	6	8	8	16	10	2	2	15	9	8					
		0.94%	1.39%	0.93%	1.19%	0.99%	1.14%	0.86%	1.51%	1.50%	1.85%	0.97%	0.64%	0.28%	1.34%	0.78%	0.55%	1.73%	1.23%	0.88%	1.18%	1.43%	1.10%	0.62%	1.04%	0.56%	0.38%	0.59%	0.81%	0.95%	0.83%	0.48%	1.64%	1.50%	0.69%	1.37%	0.59%	1.13%	0.57%	0.46%	0.10%	1.01%	1.23%	1.53%	1.72%	0.40%	0.98%	0.66%	1.25%	1.40%	0.37%	1.16%	0.26%	0.47%	0.70%	1.03%	0.63%	1.80%	2.17%	0.39%	2.86%	1.41%	0.27%	0.00%	0.00%	3.77%	0.37%	1.14%	0.48%	0.76%	0.41%	0.61%	0.80%	1.16%	0.93%	0.25%	0.35%	2.29%	1.02%	1.23%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	45077	429	795	508	583	192	711	535	407	820	780	856	204	527	771	338	477	769	1011	623	367	779	742	551	584	608	859	678	651	510	1326	336	495	599	529	557	802	794	1067	625	664	862	1011	613	617	754	765	201	374	198	267	926	187	215	220	304	137	185	152	206	750	647	174	313	125	629	364	322	967	1144	951	716	1123	744	537	419	414	603	482					
		63.61%	59.50%	61.34%	67.20%	72.24%	54.70%	55.90%	53.99%	55.53%	54.27%	68.54%	60.45%	56.20%	59.01%	60.33%	62.02%	59.03%	58.88%	68.36%	52.62%	58.16%	57.24%	57.79%	57.58%	65.62%	57.63%	56.40%	60.92%	61.53%	60.28%	70.05%	50.15%	57.23%	51.64%	51.81%	54.93%	53.25%	56.84%	70.80%	64.37%	55.80%	55.72%	59.37%	62.17%	61.89%	61.60%	62.96%	62.62%	58.07%	73.61%	77.17%	81.16%	86.98%	75.44%	75.34%	95.60%	61.71%	66.79%	59.14%	65.40%	62.29%	86.04%	78.38%	73.99%	58.96%	78.43%	69.33%	77.78%	81.33%	78.84%	72.32%	71.67%	81.08%	69.47%	67.29%	72.87%	63.21%	68.14%	74.15%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	906	4	16	15	7	2	25	23	17	23	16	31	10	24	17	12	17	22	19	24	5	34	23	22	11	11	22	14	15	17	12	12	12	24	14	9	23	21	25	13	19	21	22	13	5	16	21	1	3	1	1	3	1	0	1	0	2	2	7	3	8	2	1	7	0	3	2	2	4	20	3	6	5	8	4	5	5	11	5					
		1.28%	0.55%	1.23%	1.98%	0.87%	0.57%	1.97%	2.32%	2.32%	1.52%	1.41%	2.19%	2.75%	2.69%	1.33%	2.20%	2.10%	1.68%	1.28%	2.03%	0.79%	2.50%	1.79%	2.30%	1.24%	1.04%	1.44%	1.26%	1.42%	2.01%	0.63%	1.79%	1.39%	2.07%	1.37%	0.89%	1.53%	1.50%	1.66%	1.34%	1.60%	1.36%	1.29%	1.32%	0.50%	1.31%	1.73%	0.31%	0.47%	0.37%	0.29%	0.26%	0.47%	0.00%	0.34%	0.00%	0.90%	0.72%	2.72%	0.95%	0.66%	0.27%	0.45%	1.65%	0.00%	0.37%	0.38%	0.48%	0.34%	1.38%	0.23%	0.60%	0.36%	0.75%	0.50%	0.87%	0.76%	1.24%	0.77%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
