Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Воронеж, Ленинская"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №8205	УИК №8207	УИК №8208	УИК №8212	УИК №8213	УИК №8214									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	736	12	7	15	11	94	13	33	5	25	11	10	16	9	6	11	13	29	25	20	0	15	11	13	14	12	8	14	11	7	10	7	14	16	13	13	6	12	21	17	25	23	7	8	18	21	12	22	1	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	811	22	7	7	4	11	18	12	5	7	6	9	8	16	8	100	5	14	9	30	25	12	3	43	10	8	8	10	29	51	20	36	1	15	29	9	10	30	12	37	16	23	6	10	16	11	13	13	3	0	1	0	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	149	8	3	0	4	6	7	7	5	0	0	0	4	1	4	4	2	0	0	0	0	0	4	2	1	2	2	1	4	3	5	8	1	4	2	2	4	8	4	3	0	2	3	2	2	0	3	3	2	4	4	3	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	315	5	6	5	9	10	5	22	6	18	3	3	11	5	7	2	3	6	12	10	0	7	3	7	8	3	3	13	3	6	8	2	5	13	1	4	4	4	10	10	9	7	6	5	4	5	5	12	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1224	26	19	27	29	12	31	27	28	19	22	15	7	13	10	48	7	26	28	24	1	24	9	25	16	14	12	19	10	12	19	28	27	16	15	11	7	23	31	31	22	28	14	10	15	22	26	27	71	29	32	24	81	55									
		2.37%	1.90%	1.46%	2.24%	2.19%	2.24%	4.40%	3.16%	1.78%	1.62%	1.77%	1.46%	1.61%	2.34%	2.11%	3.26%	1.14%	2.76%	2.85%	2.63%	0.36%	3.39%	2.18%	3.29%	2.31%	2.89%	1.49%	2.89%	2.48%	2.78%	3.03%	2.50%	3.58%	2.52%	2.26%	2.22%	1.80%	3.95%	3.90%	3.37%	2.45%	3.42%	3.42%	2.99%	1.97%	2.82%	4.78%	3.54%	2.16%	1.41%	1.73%	1.45%	2.39%	2.02%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	978	29	27	21	26	14	19	26	35	21	20	14	17	11	11	32	16	21	23	21	8	16	10	16	19	11	25	23	15	13	17	26	16	17	13	10	7	11	23	22	23	21	14	10	22	24	13	19	22	17	20	6	24	21									
		1.90%	2.12%	2.07%	1.74%	1.96%	2.62%	2.70%	3.04%	2.22%	1.79%	1.61%	1.36%	3.90%	1.98%	2.32%	2.18%	2.61%	2.23%	2.34%	2.30%	2.85%	2.26%	2.42%	2.10%	2.74%	2.27%	3.09%	3.50%	3.72%	3.02%	2.71%	2.32%	2.12%	2.68%	1.96%	2.02%	1.80%	1.89%	2.90%	2.39%	2.56%	2.57%	3.42%	2.99%	2.89%	3.08%	2.39%	2.49%	0.67%	0.83%	1.08%	0.36%	0.71%	0.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	789	10	25	17	23	16	13	13	13	12	17	16	10	14	12	17	19	24	33	17	4	22	9	22	9	6	22	20	9	7	12	16	20	18	14	9	7	10	19	19	19	19	7	10	21	12	11	20	19	4	16	6	14	16									
		1.53%	0.73%	1.92%	1.41%	1.73%	2.99%	1.85%	1.52%	0.83%	1.02%	1.37%	1.56%	2.29%	2.52%	2.53%	1.16%	3.09%	2.55%	3.36%	1.86%	1.42%	3.10%	2.18%	2.89%	1.30%	1.24%	2.72%	3.04%	2.23%	1.62%	1.91%	1.43%	2.65%	2.83%	2.11%	1.82%	1.80%	1.72%	2.39%	2.07%	2.12%	2.32%	1.71%	2.99%	2.76%	1.54%	2.02%	2.62%	0.58%	0.19%	0.87%	0.36%	0.41%	0.59%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28633	796	806	721	763	216	260	303	984	763	764	622	170	206	187	732	259	405	334	339	196	285	166	256	277	166	344	214	158	151	189	595	238	212	241	145	138	224	254	369	297	276	129	94	262	238	186	255	2718	1752	1506	1318	2857	2297									
		55.51%	58.14%	61.86%	59.73%	57.54%	40.37%	36.93%	35.44%	62.52%	65.10%	61.51%	60.62%	38.99%	37.05%	39.37%	49.76%	42.18%	43.04%	33.98%	37.09%	69.75%	40.20%	40.19%	33.64%	39.97%	34.23%	42.57%	32.57%	39.21%	35.03%	30.10%	53.17%	31.52%	33.39%	36.35%	29.29%	35.48%	38.42%	31.99%	40.15%	33.11%	33.74%	31.54%	28.14%	34.38%	30.51%	34.19%	33.46%	82.87%	85.30%	81.63%	79.78%	84.15%	84.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	426	7	12	10	11	9	12	9	13	6	18	10	5	4	6	18	5	12	10	10	0	7	3	8	6	4	14	8	0	6	12	12	9	4	10	8	6	4	15	13	11	14	4	5	6	6	6	6	12	5	3	4	4	4									
		0.83%	0.51%	0.92%	0.83%	0.83%	1.68%	1.70%	1.05%	0.83%	0.51%	1.45%	0.97%	1.15%	0.72%	1.26%	1.22%	0.81%	1.28%	1.02%	1.09%	0.00%	0.99%	0.73%	1.05%	0.87%	0.82%	1.73%	1.22%	0.00%	1.39%	1.91%	1.07%	1.19%	0.63%	1.51%	1.62%	1.54%	0.69%	1.89%	1.41%	1.23%	1.71%	0.98%	1.50%	0.79%	0.77%	1.10%	0.79%	0.37%	0.24%	0.16%	0.24%	0.12%	0.15%									
24	"6. Политическая партия ""Гражданская Платформа"""	60	1	1	4	0	0	1	2	1	0	0	0	0	3	3	4	3	3	0	1	0	0	0	0	1	1	2	0	0	2	0	2	0	1	2	1	1	2	1	2	3	4	1	0	2	0	0	0	2	0	1	1	0	1									
		0.12%	0.07%	0.08%	0.33%	0.00%	0.00%	0.14%	0.23%	0.06%	0.00%	0.00%	0.00%	0.00%	0.54%	0.63%	0.27%	0.49%	0.32%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.14%	0.21%	0.25%	0.00%	0.00%	0.46%	0.00%	0.18%	0.00%	0.16%	0.30%	0.20%	0.26%	0.34%	0.13%	0.22%	0.33%	0.49%	0.24%	0.00%	0.26%	0.00%	0.00%	0.00%	0.06%	0.00%	0.05%	0.06%	0.00%	0.04%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5388	159	109	100	145	88	100	98	175	93	118	120	62	63	73	288	85	139	105	129	9	113	56	92	85	85	115	84	41	56	55	116	74	82	72	55	37	72	74	89	97	82	52	45	78	105	56	86	204	153	136	199	213	171									
		10.45%	11.61%	8.37%	8.29%	10.94%	16.45%	14.20%	11.46%	11.12%	7.94%	9.50%	11.70%	14.22%	11.33%	15.37%	19.58%	13.84%	14.77%	10.68%	14.11%	3.20%	15.94%	13.56%	12.09%	12.27%	17.53%	14.23%	12.79%	10.17%	12.99%	8.76%	10.37%	9.80%	12.91%	10.86%	11.11%	9.51%	12.35%	9.32%	9.68%	10.81%	10.02%	12.71%	13.47%	10.24%	13.46%	10.29%	11.29%	6.22%	7.45%	7.37%	12.05%	6.27%	6.27%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	499	9	12	17	13	3	7	10	13	5	18	10	4	5	5	20	6	7	20	17	3	4	2	5	8	9	11	12	9	8	8	16	15	18	5	12	11	8	15	14	20	16	5	2	9	8	7	6	11	1	7	5	3	5									
		0.97%	0.66%	0.92%	1.41%	0.98%	0.56%	0.99%	1.17%	0.83%	0.43%	1.45%	0.97%	0.92%	0.90%	1.05%	1.36%	0.98%	0.74%	2.03%	1.86%	1.07%	0.56%	0.48%	0.66%	1.15%	1.86%	1.36%	1.83%	2.23%	1.86%	1.27%	1.43%	1.99%	2.83%	0.75%	2.42%	2.83%	1.37%	1.89%	1.52%	2.23%	1.96%	1.22%	0.60%	1.18%	1.03%	1.29%	0.79%	0.34%	0.05%	0.38%	0.30%	0.09%	0.18%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	684	16	14	14	17	6	8	14	12	7	8	4	1	6	3	17	6	14	22	18	4	12	7	21	21	9	6	14	4	1	13	18	18	31	16	22	7	13	27	29	32	17	6	9	16	16	7	22	14	4	5	12	18	6									
		1.33%	1.17%	1.07%	1.16%	1.28%	1.12%	1.14%	1.64%	0.76%	0.60%	0.64%	0.39%	0.23%	1.08%	0.63%	1.16%	0.98%	1.49%	2.24%	1.97%	1.42%	1.69%	1.69%	2.76%	3.03%	1.86%	0.74%	2.13%	0.99%	0.23%	2.07%	1.61%	2.38%	4.88%	2.41%	4.44%	1.80%	2.23%	3.40%	3.16%	3.57%	2.08%	1.47%	2.69%	2.10%	2.05%	1.29%	2.89%	0.43%	0.19%	0.27%	0.73%	0.53%	0.22%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	38	3	2	2	1	0	0	1	1	0	0	1	0	1	0	5	1	0	1	0	0	0	0	0	1	0	5	1	1	0	0	0	0	0	1	2	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	1	0	1									
		0.07%	0.22%	0.15%	0.17%	0.08%	0.00%	0.00%	0.12%	0.06%	0.00%	0.00%	0.10%	0.00%	0.18%	0.00%	0.34%	0.16%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.62%	0.15%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.40%	0.00%	0.00%	0.00%	0.11%	0.00%	0.24%	0.00%	0.00%	0.00%	0.13%	0.00%	0.26%	0.00%	0.00%	0.00%	0.06%	0.00%	0.04%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1051	31	8	27	22	6	14	28	19	14	20	20	13	6	9	39	17	15	26	15	1	13	11	22	24	23	19	21	2	5	30	31	39	37	47	36	24	30	21	35	43	33	9	14	19	16	14	27	12	4	9	5	20	6									
		2.04%	2.26%	0.61%	2.24%	1.66%	1.12%	1.99%	3.27%	1.21%	1.19%	1.61%	1.95%	2.98%	1.08%	1.89%	2.65%	2.77%	1.59%	2.64%	1.64%	0.36%	1.83%	2.66%	2.89%	3.46%	4.74%	2.35%	3.20%	0.50%	1.16%	4.78%	2.77%	5.17%	5.83%	7.09%	7.27%	6.17%	5.15%	2.64%	3.81%	4.79%	4.03%	2.20%	4.19%	2.49%	2.05%	2.57%	3.54%	0.37%	0.19%	0.49%	0.30%	0.59%	0.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8216	178	195	175	202	103	171	209	186	176	184	121	106	149	113	173	145	196	273	233	34	150	113	209	179	116	155	171	125	131	188	148	208	146	162	130	96	134	214	182	211	207	122	96	229	240	145	212	134	45	71	41	93	91									
		15.93%	13.00%	14.97%	14.50%	15.23%	19.25%	24.29%	24.44%	11.82%	15.02%	14.81%	11.79%	24.31%	26.80%	23.79%	11.76%	23.62%	20.83%	27.77%	25.49%	12.10%	21.16%	27.36%	27.46%	25.83%	23.92%	19.18%	26.03%	31.02%	30.39%	29.94%	13.23%	27.55%	22.99%	24.43%	26.26%	24.68%	22.98%	26.95%	19.80%	23.52%	25.31%	29.83%	28.74%	30.05%	30.77%	26.65%	27.82%	4.09%	2.19%	3.85%	2.48%	2.74%	3.34%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	234	6	5	3	7	0	7	9	7	3	5	0	2	2	2	17	4	8	7	5	2	6	5	7	4	4	5	7	1	1	2	2	6	3	6	3	2	4	6	6	6	0	3	2	3	5	8	6	6	3	1	5	2	3									
		0.45%	0.44%	0.38%	0.25%	0.53%	0.00%	0.99%	1.05%	0.44%	0.26%	0.40%	0.00%	0.46%	0.36%	0.42%	1.16%	0.65%	0.85%	0.71%	0.55%	0.71%	0.85%	1.21%	0.92%	0.58%	0.82%	0.62%	1.07%	0.25%	0.23%	0.32%	0.18%	0.79%	0.47%	0.90%	0.61%	0.51%	0.69%	0.76%	0.65%	0.67%	0.00%	0.73%	0.60%	0.39%	0.64%	1.47%	0.79%	0.18%	0.15%	0.05%	0.30%	0.06%	0.11%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2602	76	43	54	55	47	52	96	66	40	33	53	37	66	35	40	29	60	81	70	7	35	17	61	37	29	41	52	18	33	65	83	75	43	49	39	37	44	86	88	102	84	40	28	72	71	55	61	22	19	21	13	21	21									
		5.04%	5.55%	3.30%	4.47%	4.15%	8.79%	7.39%	11.23%	4.19%	3.41%	2.66%	5.17%	8.49%	11.87%	7.37%	2.72%	4.72%	6.38%	8.24%	7.66%	2.49%	4.94%	4.12%	8.02%	5.34%	5.98%	5.07%	7.91%	4.47%	7.66%	10.35%	7.42%	9.93%	6.77%	7.39%	7.88%	9.51%	7.55%	10.83%	9.58%	11.37%	10.27%	9.78%	8.38%	9.45%	9.10%	10.11%	8.01%	0.67%	0.93%	1.14%	0.79%	0.62%	0.77%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
