Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Нелидовская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658									
		3.20%	1.92%	3.74%	2.98%	0.00%	2.99%	3.59%	2.17%	1.36%	3.35%	4.08%	4.87%	4.10%	1.50%	3.23%	4.18%	4.39%	4.65%	2.95%	2.98%	4.04%	1.27%	3.58%	2.92%	5.71%	2.39%	3.07%	3.87%	1.39%	0.00%	0.00%	1.25%	2.37%	4.49%	1.82%	6.32%	1.65%	2.91%	1.43%	2.27%	4.42%	1.17%	0.92%	4.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	233	5	9	9	1	21	14	2	2	14	2	9	25	7	12	8	10	4	6	7	12	9	6	1	1	1	5	0	2	0	3	1	2	3	2	0	3	3	4	0	2	3	1	2									
		2.10%	3.21%	1.98%	2.23%	2.94%	2.99%	2.96%	4.35%	1.36%	2.46%	0.33%	1.99%	3.66%	2.10%	2.28%	2.79%	2.19%	3.10%	1.47%	2.08%	2.21%	1.91%	1.79%	0.73%	1.43%	0.40%	2.19%	0.00%	2.78%	0.00%	5.88%	1.25%	1.18%	3.37%	3.64%	0.00%	1.65%	2.91%	2.86%	0.00%	1.77%	1.75%	0.92%	2.11%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4291	63	165	154	15	264	153	21	63	192	216	175	226	109	169	102	153	49	158	133	205	189	144	39	38	88	79	85	45	49	20	45	74	39	31	60	112	51	70	49	46	74	47	32									
		38.74%	40.38%	36.34%	38.21%	44.12%	37.61%	32.35%	45.65%	42.86%	33.80%	35.24%	38.72%	33.09%	32.63%	32.13%	35.54%	33.55%	37.98%	38.82%	39.58%	37.68%	40.04%	42.99%	28.47%	54.29%	35.06%	34.65%	54.84%	62.50%	73.13%	39.22%	56.25%	43.79%	43.82%	56.36%	63.16%	61.54%	49.51%	50.00%	55.68%	40.71%	43.27%	43.12%	33.68%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	67	2	4	3	0	3	4	0	0	3	1	4	3	3	3	1	3	0	5	2	2	6	1	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	4	0									
		0.60%	1.28%	0.88%	0.74%	0.00%	0.43%	0.85%	0.00%	0.00%	0.53%	0.16%	0.88%	0.44%	0.90%	0.57%	0.35%	0.66%	0.00%	1.23%	0.60%	0.37%	1.27%	0.30%	0.00%	0.00%	1.99%	0.44%	0.00%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.77%	0.58%	3.67%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	1	0	0	0	1	0	0	1	2	3	3	1	0	2	0	2	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0									
		0.22%	0.64%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.68%	0.35%	0.49%	0.66%	0.15%	0.00%	0.38%	0.00%	0.44%	0.78%	0.00%	0.30%	0.37%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	1.83%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2179	24	73	79	9	121	85	7	35	96	96	70	120	70	126	65	103	21	100	71	99	108	63	47	12	56	60	29	8	10	7	11	29	18	8	10	27	18	23	16	29	46	32	42									
		19.67%	15.38%	16.08%	19.60%	26.47%	17.24%	17.97%	15.22%	23.81%	16.90%	15.66%	15.49%	17.57%	20.96%	23.95%	22.65%	22.59%	16.28%	24.57%	21.13%	18.20%	22.88%	18.81%	34.31%	17.14%	22.31%	26.32%	18.71%	11.11%	14.93%	13.73%	13.75%	17.16%	20.22%	14.55%	10.53%	14.84%	17.48%	16.43%	18.18%	25.66%	26.90%	29.36%	44.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	85	3	5	5	0	9	6	1	1	9	3	4	4	2	3	1	2	1	2	0	5	3	3	1	0	2	1	0	0	0	0	0	0	3	1	0	0	0	1	0	2	0	1	1									
		0.77%	1.92%	1.10%	1.24%	0.00%	1.28%	1.27%	2.17%	0.68%	1.58%	0.49%	0.88%	0.59%	0.60%	0.57%	0.35%	0.44%	0.78%	0.49%	0.00%	0.92%	0.64%	0.90%	0.73%	0.00%	0.80%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.37%	1.82%	0.00%	0.00%	0.00%	0.71%	0.00%	1.77%	0.00%	0.92%	1.05%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	90	1	7	4	0	6	6	0	3	5	1	1	7	8	3	2	9	0	4	1	5	3	1	0	0	1	0	1	2	0	2	0	0	0	1	0	0	2	3	0	1	0	0	0									
		0.81%	0.64%	1.54%	0.99%	0.00%	0.85%	1.27%	0.00%	2.04%	0.88%	0.16%	0.22%	1.02%	2.40%	0.57%	0.70%	1.97%	0.00%	0.98%	0.30%	0.92%	0.64%	0.30%	0.00%	0.00%	0.40%	0.00%	0.65%	2.78%	0.00%	3.92%	0.00%	0.00%	0.00%	1.82%	0.00%	0.00%	1.94%	2.14%	0.00%	0.88%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	0	0	0	0	1	3	0	0	2	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.14%	0.63%	0.00%	0.00%	0.35%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	1.82%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	117	1	10	6	0	7	10	0	0	13	5	4	9	3	6	3	3	1	3	1	3	6	4	1	1	0	2	1	0	0	0	5	1	1	1	0	1	0	0	0	0	0	4	1									
		1.06%	0.64%	2.20%	1.49%	0.00%	0.99%	2.11%	0.00%	0.00%	2.29%	0.82%	0.88%	1.32%	0.90%	1.14%	1.05%	0.66%	0.78%	0.74%	0.30%	0.55%	1.27%	1.19%	0.73%	1.43%	0.00%	0.88%	0.65%	0.00%	0.00%	0.00%	6.25%	0.59%	1.12%	1.82%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	3.67%	1.05%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2454	36	111	82	6	178	136	11	18	130	174	114	204	88	142	63	107	30	72	75	136	95	60	23	9	53	46	18	6	7	9	9	35	11	8	12	25	20	23	16	16	25	7	8									
		22.15%	23.08%	24.45%	20.35%	17.65%	25.36%	28.75%	23.91%	12.24%	22.89%	28.38%	25.22%	29.87%	26.35%	26.99%	21.95%	23.46%	23.26%	17.69%	22.32%	25.00%	20.13%	17.91%	16.79%	12.86%	21.12%	20.18%	11.61%	8.33%	10.45%	17.65%	11.25%	20.71%	12.36%	14.55%	12.63%	13.74%	19.42%	16.43%	18.18%	14.16%	14.62%	6.42%	8.42%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	2	1	4	0	8	3	0	0	3	0	2	3	5	0	0	2	0	1	2	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0									
		0.41%	1.28%	0.22%	0.99%	0.00%	1.14%	0.63%	0.00%	0.00%	0.53%	0.00%	0.44%	0.44%	1.50%	0.00%	0.00%	0.44%	0.00%	0.25%	0.60%	0.18%	0.00%	0.30%	0.73%	1.43%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	1.17%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	644	9	25	18	3	32	24	1	5	55	46	22	31	17	25	19	27	10	23	20	26	31	16	15	3	25	12	5	6	1	8	6	17	5	0	3	8	5	6	4	4	15	8	3									
		5.81%	5.77%	5.51%	4.47%	8.82%	4.56%	5.07%	2.17%	3.40%	9.68%	7.50%	4.87%	4.54%	5.09%	4.75%	6.62%	5.92%	7.75%	5.65%	5.95%	4.78%	6.57%	4.78%	10.95%	4.29%	9.96%	5.26%	3.23%	8.33%	1.49%	15.69%	7.50%	10.06%	5.62%	0.00%	3.16%	4.40%	4.85%	4.29%	4.55%	3.54%	8.77%	7.34%	3.16%									
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
