Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																											
Дата голосования: 18.09.2016																																																																											
																																																																											
Наименование Избирательной комиссии:    Красногвардейская																																																																											
																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																											
																																																																											
		Сумма	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	350	18	16	18	14	2	21	10	12	9	3	1	3	13	1	0	5	9	1	3	0	0	0	1	15	0	7	3	6	1	30	1	2	3	13	1	6	2	1	0	1	7	5	11	11	12	1	2	3	2	0	0	10	0	7	1	5	3	0	0	1	17	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	242	15	15	4	10	5	11	12	20	4	1	1	0	2	1	4	5	4	2	2	1	0	2	0	1	2	2	3	0	1	5	2	2	0	4	17	4	1	0	1	2	4	1	10	12	4	4	3	2	1	1	0	1	0	6	1	3	1	2	4	2	5	2	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	1210	32	34	32	36	18	29	40	8	11	17	19	17	37	19	20	15	41	19	17	20	20	20	19	5	20	13	17	14	19	0	19	18	17	7	19	14	18	19	20	19	13	15	9	9	8	19	18	17	18	20	20	10	20	13	19	45	17	20	20	19	3	20	20	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	5	4	2	3	1	0	2	0	0	0	0	1	0	1	1	3	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	3	1	2	0	1	0	0	0	0	2	0	0	1	1	0	1	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	255	15	7	9	4	3	17	9	5	7	0	0	3	6	0	0	7	9	0	3	1	0	1	2	0	0	4	2	3	0	1	1	0	3	4	2	3	7	6	1	5	5	2	9	4	3	10	3	3	6	5	3	3	1	6	2	7	6	1	0	7	13	5	0	1									
		0.72%	1.06%	0.59%	0.92%	0.24%	1.06%	1.14%	1.09%	0.56%	0.61%	0.00%	0.00%	1.28%	0.74%	0.00%	0.00%	0.77%	0.95%	0.00%	0.84%	0.60%	0.00%	0.88%	1.00%	0.00%	0.00%	0.64%	0.73%	0.36%	0.00%	0.18%	0.38%	0.00%	0.67%	0.59%	0.97%	0.40%	0.83%	1.71%	0.91%	0.63%	0.75%	0.26%	1.24%	0.81%	0.42%	2.06%	0.76%	0.69%	1.22%	1.59%	0.92%	0.88%	0.60%	0.62%	0.69%	0.75%	1.11%	0.44%	0.00%	1.78%	1.47%	1.92%	0.00%	0.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	487	42	16	21	12	7	20	19	12	6	7	2	3	7	3	2	15	23	3	10	0	0	0	0	2	0	12	2	15	2	7	5	4	3	5	5	13	9	2	0	5	17	6	9	6	8	8	4	6	8	2	9	3	1	4	4	21	6	10	0	13	12	0	1	8									
		1.37%	2.96%	1.36%	2.14%	0.72%	2.46%	1.35%	2.30%	1.33%	0.52%	0.87%	0.95%	1.28%	0.87%	1.03%	0.75%	1.65%	2.43%	1.50%	2.80%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	1.91%	0.73%	1.78%	0.52%	1.28%	1.88%	0.64%	0.67%	0.74%	2.43%	1.74%	1.06%	0.57%	0.00%	0.63%	2.56%	0.77%	1.24%	1.21%	1.11%	1.65%	1.02%	1.38%	1.63%	0.63%	2.76%	0.88%	0.60%	0.41%	1.38%	2.24%	1.11%	4.39%	0.00%	3.30%	1.36%	0.00%	0.53%	2.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	353	15	32	6	4	10	7	8	3	7	6	2	4	8	2	5	8	18	0	5	3	1	1	1	11	0	8	5	4	5	8	5	2	4	5	6	4	12	1	0	9	8	2	9	6	3	6	4	6	3	5	2	1	5	14	0	10	10	2	2	4	4	0	0	2									
		0.99%	1.06%	2.72%	0.61%	0.24%	3.52%	0.47%	0.97%	0.33%	0.61%	0.74%	0.95%	1.71%	0.99%	0.69%	1.88%	0.88%	1.90%	0.00%	1.40%	1.80%	0.65%	0.88%	0.50%	1.96%	0.00%	1.27%	1.83%	0.47%	1.31%	1.46%	1.88%	0.32%	0.89%	0.74%	2.91%	0.53%	1.42%	0.29%	0.00%	1.13%	1.20%	0.26%	1.24%	1.21%	0.42%	1.24%	1.02%	1.38%	0.61%	1.59%	0.61%	0.29%	3.01%	1.44%	0.00%	1.07%	1.86%	0.88%	1.04%	1.02%	0.45%	0.00%	0.00%	0.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28250	1004	855	759	1207	202	1246	618	663	1014	734	170	193	633	256	226	654	681	177	281	143	132	102	187	492	105	473	207	707	328	449	207	540	346	574	168	619	694	310	101	697	495	717	533	391	574	363	302	364	378	245	264	276	132	802	217	689	384	188	159	280	670	203	165	305									
		79.41%	70.75%	72.64%	77.29%	71.97%	71.13%	83.91%	74.91%	73.75%	88.64%	90.84%	80.57%	82.48%	78.54%	87.97%	84.96%	72.11%	71.84%	88.50%	78.71%	85.63%	85.71%	90.27%	93.50%	87.86%	92.92%	75.20%	75.82%	83.67%	85.86%	81.93%	77.82%	86.26%	76.89%	85.04%	81.55%	82.64%	81.84%	88.57%	91.82%	87.23%	74.55%	92.16%	73.21%	78.99%	79.72%	74.85%	76.84%	83.68%	76.83%	77.78%	80.98%	81.42%	79.52%	82.26%	74.83%	73.45%	71.24%	82.46%	82.81%	71.07%	75.79%	77.78%	87.30%	82.88%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	205	2	8	4	3	4	2	5	7	13	1	1	2	7	0	0	5	2	0	2	2	3	0	0	2	0	6	3	6	3	3	2	0	3	1	0	6	10	0	2	7	9	5	2	3	1	3	3	0	4	9	3	1	0	7	7	0	1	3	2	11	3	1	0	0									
		0.58%	0.14%	0.68%	0.41%	0.18%	1.41%	0.13%	0.61%	0.78%	1.14%	0.12%	0.47%	0.85%	0.87%	0.00%	0.00%	0.55%	0.21%	0.00%	0.56%	1.20%	1.95%	0.00%	0.00%	0.36%	0.00%	0.95%	1.10%	0.71%	0.79%	0.55%	0.75%	0.00%	0.67%	0.15%	0.00%	0.80%	1.18%	0.00%	1.82%	0.88%	1.36%	0.64%	0.27%	0.61%	0.14%	0.62%	0.76%	0.00%	0.81%	2.86%	0.92%	0.29%	0.00%	0.72%	2.41%	0.00%	0.19%	1.32%	1.04%	2.79%	0.34%	0.38%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	77	2	7	0	1	2	0	2	0	2	0	1	0	3	0	1	4	2	0	0	0	0	0	2	2	0	1	0	1	0	2	1	1	0	2	1	2	0	2	0	0	3	0	2	0	0	1	1	0	2	4	0	0	0	0	3	1	3	1	1	9	2	0	0	0									
		0.22%	0.14%	0.59%	0.00%	0.06%	0.70%	0.00%	0.24%	0.00%	0.17%	0.00%	0.47%	0.00%	0.37%	0.00%	0.38%	0.44%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.36%	0.00%	0.16%	0.00%	0.12%	0.00%	0.36%	0.38%	0.16%	0.00%	0.30%	0.49%	0.27%	0.00%	0.57%	0.00%	0.00%	0.45%	0.00%	0.27%	0.00%	0.00%	0.21%	0.25%	0.00%	0.41%	1.27%	0.00%	0.00%	0.00%	0.00%	1.03%	0.11%	0.56%	0.44%	0.52%	2.28%	0.23%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2916	224	130	91	181	30	112	76	154	65	32	9	14	70	13	13	86	112	6	33	16	13	3	4	30	4	50	23	49	11	35	26	40	53	36	11	49	59	18	4	23	51	20	67	50	75	55	34	34	46	26	19	21	3	65	25	92	46	8	11	10	86	28	10	26									
		8.20%	15.79%	11.05%	9.27%	10.79%	10.56%	7.54%	9.21%	17.13%	5.68%	3.96%	4.27%	5.98%	8.68%	4.47%	4.89%	9.48%	11.81%	3.00%	9.24%	9.58%	8.44%	2.65%	2.00%	5.36%	3.54%	7.95%	8.42%	5.80%	2.88%	6.39%	9.77%	6.39%	11.78%	5.33%	5.34%	6.54%	6.96%	5.14%	3.64%	2.88%	7.68%	2.57%	9.20%	10.10%	10.42%	11.34%	8.65%	7.82%	9.35%	8.25%	5.83%	6.19%	1.81%	6.67%	8.62%	9.81%	8.53%	3.51%	5.73%	2.54%	9.73%	10.73%	5.29%	7.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	164	4	12	1	1	1	3	5	3	6	0	1	1	12	1	2	7	10	1	0	0	0	3	1	2	0	1	2	3	1	1	0	5	0	2	0	8	3	2	0	0	3	3	1	3	7	4	1	4	4	3	1	0	3	3	4	3	1	2	1	1	5	0	1	1									
		0.46%	0.28%	1.02%	0.10%	0.06%	0.35%	0.20%	0.61%	0.33%	0.52%	0.00%	0.47%	0.43%	1.49%	0.34%	0.75%	0.77%	1.05%	0.50%	0.00%	0.00%	0.00%	2.65%	0.50%	0.36%	0.00%	0.16%	0.73%	0.36%	0.26%	0.18%	0.00%	0.80%	0.00%	0.30%	0.00%	1.07%	0.35%	0.57%	0.00%	0.00%	0.45%	0.39%	0.14%	0.61%	0.97%	0.82%	0.25%	0.92%	0.81%	0.95%	0.31%	0.00%	1.81%	0.31%	1.38%	0.32%	0.19%	0.88%	0.52%	0.25%	0.57%	0.00%	0.53%	0.27%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	55	6	3	2	2	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	1	0	0	0	2	0	3	1	0	0	1	2	2	0	0	1	0	2	2	2	1	0	1	0	1	0	2	1	1	2	1	2	0	0	1	0	1	0	1									
		0.15%	0.42%	0.25%	0.20%	0.12%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.11%	0.00%	0.00%	0.00%	1.30%	0.00%	0.00%	0.18%	0.00%	0.16%	0.00%	0.00%	0.00%	0.36%	0.00%	0.48%	0.22%	0.00%	0.00%	0.13%	0.24%	0.57%	0.00%	0.00%	0.15%	0.00%	0.27%	0.40%	0.28%	0.21%	0.00%	0.23%	0.00%	0.32%	0.00%	0.59%	0.60%	0.10%	0.69%	0.11%	0.37%	0.00%	0.00%	0.25%	0.00%	0.38%	0.00%	0.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	37	0	3	0	1	1	0	2	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	2	1	1	0	0	3	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	2	2	1	2	0	0	0	0									
		0.10%	0.00%	0.25%	0.00%	0.06%	0.35%	0.00%	0.24%	0.00%	0.09%	0.12%	0.00%	0.00%	0.12%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.16%	0.00%	0.12%	0.00%	0.00%	0.38%	0.16%	0.00%	0.00%	0.49%	0.27%	0.12%	0.29%	0.00%	0.00%	0.45%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.20%	0.32%	0.00%	0.00%	0.00%	0.10%	0.00%	0.11%	0.37%	0.88%	0.52%	0.51%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	210	4	8	7	2	5	1	7	0	5	2	2	2	9	0	1	5	7	0	3	0	0	0	0	1	0	7	4	7	3	7	3	5	1	2	1	3	6	1	0	3	9	4	4	2	2	5	2	1	1	6	5	3	3	3	1	10	7	2	0	5	7	0	0	4									
		0.59%	0.28%	0.68%	0.71%	0.12%	1.76%	0.07%	0.85%	0.00%	0.44%	0.25%	0.95%	0.85%	1.12%	0.00%	0.38%	0.55%	0.74%	0.00%	0.84%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	1.11%	1.47%	0.83%	0.79%	1.28%	1.13%	0.80%	0.22%	0.30%	0.49%	0.40%	0.71%	0.29%	0.00%	0.38%	1.36%	0.51%	0.55%	0.40%	0.28%	1.03%	0.51%	0.23%	0.20%	1.90%	1.53%	0.88%	1.81%	0.31%	0.34%	1.07%	1.30%	0.88%	0.00%	1.27%	0.79%	0.00%	0.00%	1.09%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1421	51	55	47	223	2	47	44	44	13	12	4	4	30	7	7	85	45	6	15	2	2	0	2	5	4	22	9	18	6	13	7	10	33	18	8	17	17	2	1	34	9	16	20	18	27	14	12	3	24	5	6	11	1	47	13	61	41	4	4	13	60	16	8	17									
		3.99%	3.59%	4.67%	4.79%	13.30%	0.70%	3.16%	5.33%	4.89%	1.14%	1.49%	1.90%	1.71%	3.72%	2.41%	2.63%	9.37%	4.75%	3.00%	4.20%	1.20%	1.30%	0.00%	1.00%	0.89%	3.54%	3.50%	3.30%	2.13%	1.57%	2.37%	2.63%	1.60%	7.33%	2.67%	3.88%	2.27%	2.00%	0.57%	0.91%	4.26%	1.36%	2.06%	2.75%	3.64%	3.75%	2.89%	3.05%	0.69%	4.88%	1.59%	1.84%	3.24%	0.60%	4.82%	4.48%	6.50%	7.61%	1.75%	2.08%	3.30%	6.79%	6.13%	4.23%	4.62%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	63	4	4	0	1	0	0	2	0	1	1	1	0	2	0	2	2	2	1	0	0	0	0	1	0	0	2	1	1	1	1	1	0	0	1	0	3	0	1	0	3	3	0	2	0	3	1	0	2	0	1	0	1	0	1	1	4	3	0	1	0	0	1	0	0									
		0.18%	0.28%	0.34%	0.00%	0.06%	0.00%	0.00%	0.24%	0.00%	0.09%	0.12%	0.47%	0.00%	0.25%	0.00%	0.75%	0.22%	0.21%	0.50%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.32%	0.37%	0.12%	0.26%	0.18%	0.38%	0.00%	0.00%	0.15%	0.00%	0.40%	0.00%	0.29%	0.00%	0.38%	0.45%	0.00%	0.27%	0.00%	0.42%	0.21%	0.00%	0.46%	0.00%	0.32%	0.00%	0.29%	0.00%	0.10%	0.34%	0.43%	0.56%	0.00%	0.52%	0.00%	0.00%	0.38%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	420	20	10	12	17	2	9	7	2	4	6	11	5	5	2	1	18	14	2	3	0	0	2	0	7	0	22	9	16	13	13	3	4	1	6	1	6	8	2	1	0	10	2	13	7	6	3	23	3	11	0	5	10	13	5	9	8	4	2	5	4	7	2	4	0									
		1.18%	1.41%	0.85%	1.22%	1.01%	0.70%	0.61%	0.85%	0.22%	0.35%	0.74%	5.21%	2.14%	0.62%	0.69%	0.38%	1.98%	1.48%	1.00%	0.84%	0.00%	0.00%	1.77%	0.00%	1.25%	0.00%	3.50%	3.30%	1.89%	3.40%	2.37%	1.13%	0.64%	0.22%	0.89%	0.49%	0.80%	0.94%	0.57%	0.91%	0.00%	1.51%	0.26%	1.79%	1.41%	0.83%	0.62%	5.85%	0.69%	2.24%	0.00%	1.53%	2.95%	7.83%	0.51%	3.10%	0.85%	0.74%	0.88%	2.60%	1.02%	0.79%	0.77%	2.12%	0.00%									
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
