Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Киров, Октябрьская"																																																																																				
																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																				
																																																																																				
		Сумма	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1925	25	30	30	30	30	25	30	30	30	25	30	25	25	30	25	30	25	30	25	25	25	35	25	25	25	25	25	25	30	30	25	25	30	30	30	30	30	30	30	30	30	30	70	45	30	30	25	25	30	30	25	30	25	25	30	25	30	25	30	25	30	25	25	25	25	10	30	25	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1153	12	21	29	25	20	7	18	18	13	5	11	7	9	16	11	16	13	29	12	16	19	27	11	24	15	15	15	15	17	9	13	21	18	23	19	25	19	14	16	25	24	29	52	36	17	23	10	10	26	11	13	11	14	15	15	15	18	9	22	14	14	8	14	14	10	6	14	21	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	891	9	9	9	6	8	4	5	6	8	19	7	4	7	12	6	17	9	4	11	19	6	8	13	9	7	5	8	8	6	19	11	14	8	12	15	16	18	12	9	9	22	10	13	15	9	10	10	6	4	6	9	25	10	11	8	7	13	6	12	11	5	7	12	4	7	10	5	9	38	34	23	24	23	30	19	24	8					
14	Число погашенных открепительных удостоверений	772	13	9	1	5	10	18	12	12	17	20	19	18	16	14	14	14	12	1	13	9	6	8	14	1	10	10	10	10	13	21	12	4	12	7	11	5	11	16	14	5	6	1	18	9	13	7	15	15	4	19	12	19	11	10	15	10	12	16	8	11	16	17	11	11	15	4	16	4	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	78	1	2	1	1	2	1	1	1	0	1	0	1	0	0	0	0	2	4	1	1	0	0	1	1	0	2	1	3	2	0	2	0	1	1	5	2	0	5	0	4	2	0	2	0	1	0	3	2	1	1	2	0	0	1	1	1	1	0	0	2	3	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
18	"1. ""ЕДИНЕНИЕ"""	804	10	10	17	9	9	6	6	20	4	6	16	13	2	16	5	13	16	19	9	13	2	10	9	14	5	9	10	12	25	22	10	7	7	11	20	11	11	10	13	25	12	25	10	8	12	23	7	17	12	14	5	9	9	5	5	14	9	12	6	11	16	15	10	14	7	5	25	11	0	3	0	0	1	1	8	1	0					
		0.98%	1.04%	0.76%	1.06%	0.60%	0.66%	0.55%	0.45%	1.43%	0.29%	0.95%	1.11%	1.36%	0.20%	0.94%	0.93%	0.85%	1.60%	1.35%	0.97%	1.25%	0.17%	0.78%	1.10%	1.10%	0.49%	1.17%	0.74%	1.14%	1.95%	1.37%	0.94%	0.56%	0.53%	0.78%	1.31%	0.66%	0.77%	0.79%	0.85%	1.86%	0.73%	1.56%	0.80%	0.77%	0.91%	1.62%	0.59%	1.7%	0.89%	1.10%	0.81%	0.74%	0.85%	0.59%	0.39%	1.19%	0.62%	1.04%	0.44%	1.07%	1.14%	1.51%	1.05%	1.67%	0.84%	1.70%	1.96%	1.55%	0.0%	2.0%	0.0%	0.0%	1.61%	1.07%	3.72%	2.94%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	5337	78	70	106	66	76	48	79	73	83	28	82	41	52	104	40	103	47	84	64	45	59	109	32	77	65	42	112	84	114	131	89	115	66	110	97	125	124	62	109	93	110	119	102	113	103	91	58	60	90	80	53	83	60	58	91	66	111	102	116	79	103	43	50	47	47	12	49	15	2	9	3	3	7	3	8	3	4					
		6.56%	8.15%	5.33%	6.61%	4.44%	5.62%	4.45%	5.97%	5.25%	6.20%	4.46%	5.69%	4.30%	5.43%	6.14%	7.51%	6.80%	4.71%	5.97%	6.92%	4.35%	5.25%	8.56%	3.94%	6.09%	6.47%	5.50%	8.38%	8.03%	8.89%	8.19%	8.42%	9.25%	5.04%	7.87%	6.36%	7.56%	8.73%	4.94%	7.19%	6.91%	6.74%	7.46%	8.22%	10.96%	7.83%	6.43%	4.91%	6.0%	6.67%	6.31%	8.60%	6.84%	5.71%	6.89%	7.24%	5.62%	7.70%	8.85%	8.51%	7.72%	7.37%	4.35%	5.28%	5.60%	5.70%	4.08%	3.84%	2.11%	2.81%	6.0%	6.81%	11.11%	11.29%	3.22%	3.72%	8.82%	10.52%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3127	30	39	40	62	62	46	58	56	46	19	72	44	40	64	27	43	49	53	24	50	33	31	38	73	28	53	52	52	47	76	36	40	58	45	58	59	52	60	24	53	74	51	35	26	27	62	59	61	70	60	22	57	45	27	41	36	57	17	49	37	56	34	41	31	30	17	61	24	3	2	2	0	1	3	14	1	2					
		3.84%	3.13%	2.97%	2.49%	4.17%	4.58%	4.26%	4.38%	4.02%	3.44%	3.03%	5.00%	4.61%	4.18%	3.78%	5.07%	2.84%	4.91%	3.76%	2.59%	4.84%	2.93%	2.43%	4.67%	5.77%	2.78%	6.94%	3.89%	4.97%	3.66%	4.75%	3.40%	3.21%	4.43%	3.22%	3.80%	3.57%	3.66%	4.78%	1.58%	3.94%	4.53%	3.19%	2.82%	2.52%	2.05%	4.38%	5.0%	6.1%	5.19%	4.73%	3.57%	4.70%	4.28%	3.21%	3.26%	3.06%	3.95%	1.47%	3.59%	3.62%	4.01%	3.44%	4.33%	3.69%	3.64%	5.78%	4.78%	3.38%	4.22%	1.33%	4.54%	0.0%	1.61%	3.22%	6.51%	2.94%	5.26%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4386	61	54	97	80	59	51	66	80	64	20	77	71	66	92	37	102	63	97	54	46	68	89	45	52	57	46	84	63	81	124	67	96	71	64	92	100	64	71	80	74	120	74	61	65	84	70	60	42	65	64	33	56	35	44	68	53	72	90	91	56	72	31	21	17	32	11	20	8	5	8	2	0	1	3	25	2	0					
		5.39%	6.38%	4.11%	6.05%	5.38%	4.36%	4.73%	4.99%	5.75%	4.78%	3.18%	5.35%	7.45%	6.90%	5.43%	6.95%	6.73%	6.31%	6.89%	5.84%	4.45%	6.05%	6.99%	5.54%	4.11%	5.67%	6.02%	6.29%	6.02%	6.31%	7.75%	6.33%	7.72%	5.42%	4.58%	6.03%	6.05%	4.50%	5.66%	5.28%	5.50%	7.35%	4.63%	4.91%	6.30%	6.39%	4.95%	5.08%	4.2%	4.82%	5.05%	5.35%	4.62%	3.33%	5.23%	5.41%	4.51%	4.99%	7.81%	6.67%	5.47%	5.15%	3.14%	2.21%	2.02%	3.88%	3.74%	1.56%	1.12%	7.04%	5.33%	4.54%	0.0%	1.61%	3.22%	11.62%	5.88%	0.0%					
22	"5. ""За Русь Святую"""	458	6	8	13	5	4	5	4	11	8	10	5	2	4	6	5	6	2	8	7	5	2	5	0	9	6	3	13	7	4	8	4	16	5	9	11	8	7	8	9	11	6	8	4	0	4	10	6	11	9	9	5	5	11	5	5	5	10	7	7	3	9	7	1	4	6	6	13	8	1	0	0	0	0	0	4	0	0					
		0.56%	0.62%	0.60%	0.81%	0.33%	0.29%	0.46%	0.30%	0.79%	0.59%	1.59%	0.34%	0.20%	0.41%	0.35%	0.93%	0.39%	0.20%	0.56%	0.75%	0.48%	0.17%	0.39%	0.0%	0.71%	0.59%	0.39%	0.97%	0.66%	0.31%	0.50%	0.37%	1.28%	0.38%	0.64%	0.72%	0.48%	0.49%	0.63%	0.59%	0.81%	0.36%	0.50%	0.32%	0.0%	0.30%	0.70%	0.50%	1.1%	0.66%	0.71%	0.81%	0.41%	1.04%	0.59%	0.39%	0.42%	0.69%	0.60%	0.51%	0.29%	0.64%	0.70%	0.10%	0.47%	0.72%	2.04%	1.02%	1.12%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	1.86%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	230	1	6	4	2	3	3	3	7	1	3	6	4	2	8	0	3	0	3	2	2	3	2	2	3	2	1	2	2	4	5	0	6	4	6	2	8	1	3	6	4	5	9	4	2	5	4	2	3	2	3	2	1	6	1	2	5	6	2	4	3	1	4	4	0	4	1	9	1	0	1	0	1	1	0	2	1	0					
		0.28%	0.10%	0.45%	0.24%	0.13%	0.22%	0.27%	0.22%	0.50%	0.07%	0.47%	0.41%	0.41%	0.20%	0.47%	0.0%	0.19%	0.0%	0.21%	0.21%	0.19%	0.26%	0.15%	0.24%	0.23%	0.19%	0.13%	0.14%	0.19%	0.31%	0.31%	0.0%	0.48%	0.30%	0.42%	0.13%	0.48%	0.07%	0.23%	0.39%	0.29%	0.30%	0.56%	0.32%	0.19%	0.38%	0.28%	0.16%	0.3%	0.14%	0.23%	0.32%	0.08%	0.57%	0.11%	0.15%	0.42%	0.41%	0.17%	0.29%	0.29%	0.07%	0.40%	0.42%	0.0%	0.48%	0.34%	0.70%	0.14%	0.0%	0.66%	0.0%	3.70%	1.61%	0.0%	0.93%	2.94%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	1046	11	8	20	16	8	9	9	20	16	8	14	9	18	22	3	16	16	16	12	6	9	16	7	15	12	14	17	16	17	27	11	11	7	20	22	28	11	15	31	12	14	23	11	16	14	8	20	19	21	8	11	28	22	17	20	17	33	28	29	20	22	10	12	11	19	6	10	1	0	1	0	0	0	0	0	0	0					
		1.28%	1.15%	0.60%	1.24%	1.07%	0.59%	0.83%	0.68%	1.43%	1.19%	1.27%	0.97%	0.94%	1.88%	1.30%	0.56%	1.05%	1.60%	1.13%	1.29%	0.58%	0.80%	1.25%	0.86%	1.18%	1.19%	1.83%	1.27%	1.52%	1.32%	1.68%	1.04%	0.88%	0.53%	1.43%	1.44%	1.69%	0.77%	1.19%	2.04%	0.89%	0.85%	1.44%	0.88%	1.55%	1.06%	0.56%	1.69%	1.9%	1.55%	0.63%	1.78%	2.31%	2.09%	2.02%	1.59%	1.44%	2.29%	2.43%	2.12%	1.95%	1.57%	1.01%	1.26%	1.31%	2.30%	2.04%	0.78%	0.14%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	88	0	0	0	2	2	0	5	4	0	0	5	2	1	2	1	3	1	2	2	2	0	1	1	2	1	3	2	1	0	1	2	1	1	1	1	2	0	0	3	0	2	1	0	0	1	5	0	0	1	0	2	1	0	0	0	2	0	0	2	0	0	1	1	0	3	0	2	1	1	1	0	0	0	0	4	0	0					
		0.10%	0.0%	0.0%	0.0%	0.13%	0.14%	0.0%	0.37%	0.28%	0.0%	0.0%	0.34%	0.20%	0.10%	0.11%	0.18%	0.19%	0.10%	0.14%	0.21%	0.19%	0.0%	0.07%	0.12%	0.15%	0.09%	0.39%	0.14%	0.09%	0.0%	0.06%	0.18%	0.08%	0.07%	0.07%	0.06%	0.12%	0.0%	0.0%	0.19%	0.0%	0.12%	0.06%	0.0%	0.0%	0.07%	0.35%	0.0%	0.0%	0.07%	0.0%	0.32%	0.08%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.14%	0.0%	0.0%	0.10%	0.10%	0.0%	0.36%	0.0%	0.15%	0.14%	1.40%	0.66%	0.0%	0.0%	0.0%	0.0%	1.86%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	590	6	13	12	5	9	9	9	11	11	1	12	4	6	14	7	11	14	6	7	13	7	10	3	11	8	8	14	8	16	10	6	9	8	9	9	17	10	8	12	13	13	15	19	8	9	10	3	8	6	5	6	6	10	4	9	9	13	5	11	8	7	7	4	6	2	2	3	2	0	1	0	0	1	0	2	0	0					
		0.72%	0.62%	0.99%	0.74%	0.33%	0.66%	0.83%	0.68%	0.79%	0.82%	0.15%	0.83%	0.41%	0.62%	0.82%	1.31%	0.72%	1.40%	0.42%	0.75%	1.25%	0.62%	0.78%	0.36%	0.87%	0.79%	1.04%	1.04%	0.76%	1.24%	0.62%	0.56%	0.72%	0.61%	0.64%	0.59%	1.02%	0.70%	0.63%	0.79%	0.96%	0.79%	0.94%	1.53%	0.77%	0.68%	0.70%	0.25%	0.8%	0.44%	0.39%	0.97%	0.49%	0.95%	0.47%	0.71%	0.76%	0.90%	0.43%	0.80%	0.78%	0.50%	0.70%	0.42%	0.71%	0.24%	0.68%	0.23%	0.28%	0.0%	0.66%	0.0%	0.0%	1.61%	0.0%	0.93%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	2615	23	62	35	52	47	46	38	38	46	20	59	25	38	48	15	41	34	30	26	33	37	33	28	43	31	24	41	20	39	36	34	49	50	46	45	33	44	27	29	38	47	44	41	30	15	36	35	22	39	33	15	17	40	15	46	28	38	13	26	16	53	32	64	47	36	15	131	116	4	9	2	0	5	3	13	6	0					
		3.21%	2.40%	4.72%	2.18%	3.50%	3.47%	4.26%	2.87%	2.73%	3.44%	3.18%	4.10%	2.62%	3.97%	2.83%	2.81%	2.70%	3.41%	2.13%	2.81%	3.19%	3.29%	2.59%	3.44%	3.40%	3.08%	3.14%	3.07%	1.91%	3.04%	2.25%	3.21%	3.94%	3.82%	3.29%	2.95%	1.99%	3.09%	2.15%	1.91%	2.82%	2.87%	2.75%	3.30%	2.90%	1.14%	2.54%	2.96%	2.2%	2.89%	2.60%	2.43%	1.40%	3.81%	1.78%	3.66%	2.38%	2.63%	1.12%	1.90%	1.56%	3.79%	3.24%	6.76%	5.60%	4.36%	5.10%	10.28%	16.38%	5.63%	6.0%	4.54%	0.0%	8.06%	3.22%	6.04%	17.64%	0.0%					
28	"11. ""Истинные патриоты России"""	99	0	4	1	1	2	0	1	0	1	1	3	1	1	0	1	4	0	1	0	7	3	2	1	4	3	3	0	4	2	2	2	1	1	3	2	0	3	2	3	4	0	1	0	1	2	1	3	3	0	0	0	4	1	1	0	2	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.12%	0.0%	0.30%	0.06%	0.06%	0.14%	0.0%	0.07%	0.0%	0.07%	0.15%	0.20%	0.10%	0.10%	0.0%	0.18%	0.26%	0.0%	0.07%	0.0%	0.67%	0.26%	0.15%	0.12%	0.31%	0.29%	0.39%	0.0%	0.38%	0.15%	0.12%	0.18%	0.08%	0.07%	0.21%	0.13%	0.0%	0.21%	0.15%	0.19%	0.29%	0.0%	0.06%	0.0%	0.09%	0.15%	0.07%	0.25%	0.3%	0.0%	0.0%	0.0%	0.33%	0.09%	0.11%	0.0%	0.17%	0.0%	0.17%	0.07%	0.09%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	906	4	18	22	10	17	18	7	12	13	6	23	8	11	13	10	15	13	28	6	11	11	12	7	14	10	5	19	15	17	14	14	9	19	18	18	18	13	12	23	15	14	27	13	11	7	12	14	13	8	6	10	8	12	11	12	14	8	14	26	7	20	16	7	9	10	5	15	16	1	2	1	0	2	0	7	0	0					
		1.11%	0.41%	1.37%	1.37%	0.67%	1.25%	1.66%	0.52%	0.86%	0.97%	0.95%	1.59%	0.83%	1.15%	0.76%	1.87%	0.99%	1.30%	1.99%	0.64%	1.06%	0.97%	0.94%	0.86%	1.10%	0.99%	0.65%	1.42%	1.43%	1.32%	0.87%	1.32%	0.72%	1.45%	1.28%	1.18%	1.08%	0.91%	0.95%	1.51%	1.11%	0.85%	1.69%	1.04%	1.06%	0.53%	0.84%	1.18%	1.3%	0.59%	0.47%	1.62%	0.66%	1.14%	1.30%	0.95%	1.19%	0.55%	1.21%	1.90%	0.68%	1.43%	1.62%	0.73%	1.07%	1.21%	1.70%	1.17%	2.25%	1.40%	1.33%	2.27%	0.0%	3.22%	0.0%	3.25%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	214	8	2	2	2	0	1	2	1	4	1	6	1	4	4	0	5	1	4	2	7	5	4	3	2	3	2	3	4	3	1	3	6	1	3	9	2	3	2	9	6	2	3	1	3	4	2	5	1	2	3	2	4	4	0	5	4	3	1	3	2	1	5	5	2	2	0	5	7	0	0	0	0	0	0	2	0	0					
		0.26%	0.83%	0.15%	0.12%	0.13%	0.0%	0.09%	0.15%	0.07%	0.29%	0.15%	0.41%	0.10%	0.41%	0.23%	0.0%	0.33%	0.10%	0.28%	0.21%	0.67%	0.44%	0.31%	0.36%	0.15%	0.29%	0.26%	0.22%	0.38%	0.23%	0.06%	0.28%	0.48%	0.07%	0.21%	0.59%	0.12%	0.21%	0.15%	0.59%	0.44%	0.12%	0.18%	0.08%	0.29%	0.30%	0.14%	0.42%	0.1%	0.14%	0.23%	0.32%	0.33%	0.38%	0.0%	0.39%	0.34%	0.20%	0.08%	0.22%	0.19%	0.07%	0.50%	0.52%	0.23%	0.24%	0.0%	0.39%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	164	3	2	2	2	2	5	2	0	3	0	3	1	3	4	1	1	0	0	2	5	3	2	0	3	1	0	2	1	4	3	0	2	2	0	5	1	6	16	0	6	2	3	1	2	3	4	1	1	6	1	1	5	2	0	2	0	1	2	5	1	8	4	0	1	3	0	2	4	0	0	0	0	0	0	1	0	0					
		0.20%	0.31%	0.15%	0.12%	0.13%	0.14%	0.46%	0.15%	0.0%	0.22%	0.0%	0.20%	0.10%	0.31%	0.23%	0.18%	0.06%	0.0%	0.0%	0.21%	0.48%	0.26%	0.15%	0.0%	0.23%	0.09%	0.0%	0.14%	0.09%	0.31%	0.18%	0.0%	0.16%	0.15%	0.0%	0.32%	0.06%	0.42%	1.27%	0.0%	0.44%	0.12%	0.18%	0.08%	0.19%	0.22%	0.28%	0.08%	0.1%	0.44%	0.07%	0.16%	0.41%	0.19%	0.0%	0.15%	0.0%	0.06%	0.17%	0.36%	0.09%	0.57%	0.40%	0.0%	0.11%	0.36%	0.0%	0.15%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	146	0	0	1	3	2	4	2	2	3	1	2	3	5	1	1	5	1	1	3	1	4	3	1	2	1	1	2	3	1	5	1	2	2	4	3	1	0	2	4	0	6	4	5	2	2	1	0	1	2	5	0	2	0	2	2	1	1	2	3	2	1	1	1	0	4	0	7	5	0	0	0	0	0	0	1	0	0					
		0.17%	0.0%	0.0%	0.06%	0.20%	0.14%	0.37%	0.15%	0.14%	0.22%	0.15%	0.13%	0.31%	0.52%	0.05%	0.18%	0.33%	0.10%	0.07%	0.32%	0.09%	0.35%	0.23%	0.12%	0.15%	0.09%	0.13%	0.14%	0.28%	0.07%	0.31%	0.09%	0.16%	0.15%	0.28%	0.19%	0.06%	0.0%	0.15%	0.26%	0.0%	0.36%	0.25%	0.40%	0.19%	0.15%	0.07%	0.0%	0.1%	0.14%	0.39%	0.0%	0.16%	0.0%	0.23%	0.15%	0.08%	0.06%	0.17%	0.22%	0.19%	0.07%	0.10%	0.10%	0.0%	0.48%	0.0%	0.54%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	8085	143	150	181	157	141	120	144	178	167	58	148	118	117	135	45	139	76	149	82	66	144	142	78	127	91	63	129	101	175	185	123	130	119	154	147	196	163	113	107	105	164	187	94	100	197	111	106	83	128	130	38	109	118	97	141	122	144	101	148	111	133	58	66	64	56	30	76	11	5	13	6	2	2	7	13	2	6					
		9.94%	14.95%	11.42%	11.29%	10.57%	10.42%	11.13%	10.89%	12.80%	12.49%	9.25%	10.28%	12.38%	12.23%	7.97%	8.45%	9.18%	7.62%	10.59%	8.87%	6.38%	12.82%	11.15%	9.60%	10.04%	9.06%	8.25%	9.66%	9.65%	13.65%	11.57%	11.63%	10.45%	9.09%	11.03%	9.64%	11.86%	11.47%	9.01%	7.06%	7.81%	10.04%	11.72%	7.58%	9.69%	14.99%	7.85%	8.98%	8.3%	9.49%	10.26%	6.16%	8.99%	11.24%	11.53%	11.22%	10.40%	9.99%	8.76%	10.85%	10.86%	9.52%	5.87%	6.97%	7.63%	6.79%	10.20%	5.96%	1.55%	7.04%	8.66%	13.63%	7.40%	3.22%	7.52%	6.04%	5.88%	15.78%					
