Выборы Президента Российской Федерации																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Магнитогорск, Орджоникидзевская"																																																																																		
																																																																																		
Итоги голосования 																																																																																		
																																																																																		
		Сумма	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464					
		1.97%	2.13%	1.31%	2.53%	2.07%	3.17%	3.30%	2.84%	1.01%	4.17%	2.67%	3.13%	3.19%	2.84%	2.93%	2.40%	3.29%	0.92%	3.62%	1.81%	2.54%	1.27%	0.79%	1.82%	2.58%	3.02%	4.05%	1.14%	1.63%	2.27%	1.05%	1.16%	1.19%	1.37%	1.69%	1.82%	1.54%	1.58%	2.28%	2.11%	2.30%	1.96%	1.69%	2.74%	1.60%	1.46%	1.65%	1.93%	1.79%	2.34%	1.90%	1.19%	1.28%	1.29%	1.89%	1.69%	1.29%	2.15%	2.08%	1.79%	1.40%	1.86%	1.70%	1.35%	2.43%	2.02%	2.31%	1.71%	1.97%	2.96%	2.22%	1.85%	2.10%	2.71%	1.51%	1.02%					
20	. Миронов Сергей Михайлович	351	2	5	1	4	5	3	5	7	4	4	1	3	2	3	1	4	4	5	4	2	2	3	3	1	2	1	6	4	4	8	8	6	9	2	10	6	6	7	8	2	5	6	12	0	6	9	5	10	0	2	9	3	6	7	5	3	6	2	8	2	8	3	4	3	6	5	12	10	8	5	5	3	2	4	0					
		0.37%	0.21%	0.65%	0.12%	0.41%	0.44%	0.30%	0.41%	0.50%	0.58%	0.46%	0.11%	0.33%	0.38%	0.27%	0.24%	0.47%	0.52%	0.70%	0.73%	0.27%	0.84%	0.79%	0.78%	0.22%	0.38%	0.19%	0.43%	0.26%	0.28%	0.52%	0.42%	0.38%	0.73%	0.14%	0.65%	0.27%	0.28%	0.36%	0.56%	0.12%	0.36%	0.35%	0.82%	0.00%	0.38%	0.62%	0.31%	0.56%	0.00%	0.12%	0.51%	0.21%	0.49%	0.47%	0.28%	0.21%	0.56%	0.13%	0.46%	0.13%	0.55%	0.20%	0.45%	0.18%	0.37%	0.30%	0.62%	0.58%	0.53%	0.29%	0.25%	0.19%	0.18%	0.50%	0.00%					
21	. Путин Владимир Владимирович	78816	791	651	690	810	925	828	1094	1196	573	737	743	757	442	906	339	684	647	588	456	633	203	354	329	400	441	411	1130	1259	1128	1264	1530	1327	1065	1228	1282	1902	1831	1597	1194	1343	1125	1484	1176	1135	1321	1203	1314	1515	1300	1470	1480	1166	1020	1203	1501	1166	898	1331	1427	1273	1176	1227	710	1394	1358	1366	1599	1430	1256	1416	1697	1307	899	680	85					
		83.31%	84.15%	85.10%	83.13%	83.68%	81.43%	82.80%	88.80%	86.17%	82.45%	85.50%	83.02%	83.37%	83.71%	82.82%	81.49%	80.28%	84.91%	81.89%	82.76%	84.63%	85.65%	93.16%	85.68%	86.02%	83.21%	79.19%	80.71%	81.97%	80.17%	82.67%	80.82%	83.20%	85.82%	83.20%	83.46%	85.95%	85.00%	82.79%	83.79%	83.57%	81.70%	86.33%	80.66%	82.55%	84.14%	82.85%	81.61%	84.97%	84.58%	84.82%	84.19%	83.17%	82.46%	81.17%	84.80%	83.52%	84.08%	83.97%	82.30%	81.29%	80.82%	83.41%	80.14%	82.49%	83.26%	83.09%	82.76%	82.66%	82.52%	82.71%	84.72%	83.04%	81.21%	85.43%	86.73%					
22	. Хакамада Ирина Муцуовна	2422	10	12	22	20	31	21	17	25	15	17	17	15	8	14	20	8	9	9	12	15	7	0	7	10	9	16	41	39	38	70	63	55	22	41	47	69	56	53	32	45	47	35	50	43	44	33	48	46	39	29	44	45	31	38	32	32	31	35	40	41	40	32	32	50	34	35	53	38	49	70	57	53	34	20	5					
		2.56%	1.06%	1.57%	2.65%	2.07%	2.73%	2.10%	1.38%	1.80%	2.16%	1.97%	1.90%	1.65%	1.52%	1.28%	4.81%	0.94%	1.18%	1.25%	2.18%	2.01%	2.95%	0.00%	1.82%	2.15%	1.70%	3.08%	2.93%	2.54%	2.70%	4.58%	3.33%	3.45%	1.77%	2.78%	3.06%	3.12%	2.60%	2.75%	2.25%	2.80%	3.41%	2.04%	3.43%	3.13%	2.80%	2.27%	2.98%	2.58%	2.54%	1.67%	2.50%	3.21%	2.51%	2.56%	1.81%	2.29%	2.90%	2.21%	2.31%	2.62%	2.75%	2.18%	3.61%	2.96%	2.08%	2.13%	2.74%	2.20%	3.22%	4.09%	2.85%	3.37%	3.07%	2.51%	5.10%					
23	. Харитонов Николай Михайлович	5145	65	45	46	51	56	52	36	68	38	47	49	61	34	76	25	62	45	42	48	47	12	9	22	26	32	43	85	99	107	97	135	83	62	91	59	79	97	109	88	66	61	79	98	76	71	80	98	85	75	95	105	74	84	97	106	88	50	96	109	96	97	82	50	104	97	99	98	95	66	59	66	71	39	2	3					
		5.44%	6.91%	5.88%	5.54%	5.27%	4.93%	5.20%	2.92%	4.90%	5.47%	5.45%	5.47%	6.72%	6.44%	6.95%	6.01%	7.28%	5.91%	5.85%	8.71%	6.28%	5.06%	2.37%	5.73%	5.59%	6.04%	8.29%	6.07%	6.45%	7.60%	6.34%	7.13%	5.20%	5.00%	6.17%	3.84%	3.57%	4.50%	5.65%	6.18%	4.11%	4.43%	4.60%	6.72%	5.53%	4.52%	5.51%	6.09%	4.77%	4.88%	5.48%	5.97%	5.28%	6.79%	6.55%	5.99%	6.30%	4.68%	6.06%	6.29%	6.13%	6.67%	5.57%	5.64%	6.15%	5.95%	6.02%	5.07%	5.49%	4.34%	3.45%	3.30%	4.51%	3.52%	0.25%	3.06%					
																																																																																		
24	Против всех	3122	26	19	24	31	27	30	21	50	18	18	27	16	19	28	8	32	19	19	13	19	2	5	6	12	16	13	66	49	43	35	68	51	39	43	60	75	83	66	40	56	64	46	41	48	51	44	53	47	45	49	57	41	37	59	54	41	23	47	53	67	45	57	54	63	48	59	83	66	47	79	88	60	54	57	3					
		3.30%	2.77%	2.48%	2.89%	3.20%	2.38%	3.00%	1.70%	3.60%	2.59%	2.09%	3.02%	1.76%	3.60%	2.56%	1.92%	3.76%	2.49%	2.65%	2.36%	2.54%	0.84%	1.32%	1.56%	2.58%	3.02%	2.50%	4.71%	3.19%	3.06%	2.29%	3.59%	3.20%	3.14%	2.91%	3.91%	3.39%	3.85%	3.42%	2.81%	3.48%	4.65%	2.68%	2.81%	3.49%	3.25%	3.03%	3.29%	2.64%	2.93%	2.83%	3.24%	2.92%	2.99%	3.98%	3.05%	2.94%	2.15%	2.97%	3.06%	4.28%	3.09%	3.87%	6.09%	3.73%	2.94%	3.59%	4.30%	3.82%	3.09%	4.61%	4.39%	3.81%	4.88%	7.16%	3.06%					
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
