Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Каменск-Шахтинская городская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1735	30	25	35	65	45	35	30	45	35	35	60	50	35	25	35	40	45	50	35	30	40	25	35	50	50	50	50	50	40	50	25	50	25	45	45	35	30	40	30	35	45	45	30	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1137	24	13	22	48	21	27	13	28	28	21	52	41	28	19	25	28	40	41	24	26	25	15	21	41	31	39	39	25	20	50	13	38	6	18	34	16	17	15	10	18	30	23	10	14	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1094	14	18	26	9	29	8	114	13	10	53	16	18	11	67	15	23	19	35	8	62	4	8	14	3	6	125	36	34	24	41	6	17	17	9	9	15	6	7	9	7	7	9	10	9	94									
14	Число погашенных неиспользованных открепительных удостоверений	598	6	12	13	17	24	8	17	17	7	14	8	9	7	6	10	12	5	9	11	4	15	10	14	9	19	11	11	25	20	0	12	12	19	27	11	19	13	25	20	17	15	22	20	16	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	110	1	2	1	6	3	0	5	3	4	4	1	4	3	1	5	0	6	4	4	2	0	0	4	2	3	3	2	2	3	5	3	10	0	1	4	3	3	0	0	0	0	0	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	518	5	5	7	17	13	10	5	5	12	14	25	33	13	8	15	16	13	17	10	9	10	8	14	15	12	12	22	10	12	26	7	18	2	12	9	13	8	10	6	4	5	13	9	6	3									
		1.61%	1.06%	1.33%	1.18%	1.24%	1.79%	1.82%	0.89%	0.50%	1.84%	1.82%	1.69%	3.65%	2.26%	1.33%	1.93%	2.06%	1.44%	2.03%	1.52%	1.19%	1.48%	1.87%	1.95%	1.82%	1.37%	1.37%	1.21%	1.37%	1.61%	2.39%	2.32%	2.34%	0.79%	1.41%	1.24%	1.98%	1.43%	1.54%	1.59%	0.85%	0.68%	2.28%	1.66%	1.40%	3.19%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	859	29	10	10	29	17	16	9	26	14	27	21	25	24	22	27	19	22	21	22	12	31	7	18	25	34	19	32	15	24	34	9	25	10	19	16	17	21	17	12	15	18	11	20	8	0									
		2.68%	6.13%	2.65%	1.69%	2.12%	2.34%	2.92%	1.61%	2.62%	2.14%	3.52%	1.42%	2.77%	4.17%	3.66%	3.48%	2.45%	2.44%	2.51%	3.35%	1.58%	4.59%	1.64%	2.50%	3.04%	3.89%	2.17%	1.77%	2.05%	3.23%	3.12%	2.98%	3.25%	3.97%	2.23%	2.21%	2.60%	3.74%	2.62%	3.18%	3.18%	2.44%	1.93%	3.70%	1.86%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	654	6	12	7	14	14	12	8	32	13	17	21	30	16	8	21	14	9	9	13	17	21	12	9	18	25	22	22	20	16	21	16	19	1	12	24	12	13	25	12	5	16	6	6	5	3									
		2.04%	1.27%	3.18%	1.18%	1.02%	1.93%	2.19%	1.43%	3.23%	1.99%	2.21%	1.42%	3.32%	2.78%	1.33%	2.71%	1.81%	0.99%	1.08%	1.98%	2.24%	3.11%	2.80%	1.25%	2.19%	2.86%	2.51%	1.21%	2.74%	2.15%	1.93%	5.30%	2.47%	0.40%	1.41%	3.31%	1.83%	2.32%	3.85%	3.18%	1.06%	2.17%	1.05%	1.11%	1.17%	3.19%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15693	197	148	254	765	369	263	355	578	298	402	1010	354	236	307	324	421	601	427	285	417	291	185	360	330	363	359	954	334	354	517	118	332	123	525	281	282	208	256	178	187	337	245	309	212	42									
		48.92%	41.65%	39.26%	42.91%	55.80%	50.83%	47.99%	63.39%	58.32%	45.64%	52.34%	68.24%	39.20%	40.97%	51.08%	41.75%	54.32%	66.70%	51.02%	43.38%	54.94%	43.11%	43.22%	50.07%	40.15%	41.49%	40.98%	52.68%	45.75%	47.58%	47.47%	39.07%	43.12%	48.81%	61.55%	38.76%	43.05%	37.08%	39.38%	47.21%	39.70%	45.66%	42.98%	57.12%	49.42%	44.68%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	200	5	2	3	13	2	0	1	10	3	4	3	7	1	3	10	6	3	3	10	8	5	5	7	4	5	6	6	10	3	9	4	6	1	2	4	8	4	2	1	3	3	0	2	3	0									
		0.62%	1.06%	0.53%	0.51%	0.95%	0.28%	0.00%	0.18%	1.01%	0.46%	0.52%	0.20%	0.78%	0.17%	0.50%	1.29%	0.77%	0.33%	0.36%	1.52%	1.05%	0.74%	1.17%	0.97%	0.49%	0.57%	0.68%	0.33%	1.37%	0.40%	0.83%	1.32%	0.78%	0.40%	0.23%	0.55%	1.22%	0.71%	0.31%	0.27%	0.64%	0.41%	0.00%	0.37%	0.70%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	77	2	0	2	7	2	0	2	5	1	1	4	3	0	1	6	2	3	2	1	1	2	3	2	1	1	0	1	0	2	3	3	0	0	1	0	3	0	2	1	1	1	1	0	4	0									
		0.24%	0.42%	0.00%	0.34%	0.51%	0.28%	0.00%	0.36%	0.50%	0.15%	0.13%	0.27%	0.33%	0.00%	0.17%	0.77%	0.26%	0.33%	0.24%	0.15%	0.13%	0.30%	0.70%	0.28%	0.12%	0.11%	0.00%	0.06%	0.00%	0.27%	0.28%	0.99%	0.00%	0.00%	0.12%	0.00%	0.46%	0.00%	0.31%	0.27%	0.21%	0.14%	0.18%	0.00%	0.93%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5688	94	85	148	261	172	121	68	152	131	120	169	150	113	109	148	150	105	141	107	137	106	86	147	176	142	192	180	108	119	207	62	166	80	85	166	136	128	130	63	92	129	106	84	105	12									
		17.73%	19.87%	22.55%	25.00%	19.04%	23.69%	22.08%	12.14%	15.34%	20.06%	15.63%	11.42%	16.61%	19.62%	18.14%	19.07%	19.35%	11.65%	16.85%	16.29%	18.05%	15.70%	20.09%	20.45%	21.41%	16.23%	21.92%	9.94%	14.79%	15.99%	19.01%	20.53%	21.56%	31.75%	9.96%	22.90%	20.76%	22.82%	20.00%	16.71%	19.53%	17.48%	18.60%	15.53%	24.48%	12.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	155	4	2	5	4	3	1	4	6	5	3	3	8	2	2	7	5	3	2	5	3	8	1	4	7	1	4	4	2	5	8	1	1	0	3	6	4	4	3	1	2	8	0	0	0	1									
		0.48%	0.85%	0.53%	0.84%	0.29%	0.41%	0.18%	0.71%	0.61%	0.77%	0.39%	0.20%	0.89%	0.35%	0.33%	0.90%	0.65%	0.33%	0.24%	0.76%	0.40%	1.19%	0.23%	0.56%	0.85%	0.11%	0.46%	0.22%	0.27%	0.67%	0.73%	0.33%	0.13%	0.00%	0.35%	0.83%	0.61%	0.71%	0.46%	0.27%	0.42%	1.08%	0.00%	0.00%	0.00%	1.06%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	265	6	4	4	6	7	3	1	4	7	4	9	5	4	15	10	12	5	15	9	7	7	2	5	14	10	5	11	7	4	10	1	6	1	1	5	2	6	9	5	2	8	6	0	1	0									
		0.83%	1.27%	1.06%	0.68%	0.44%	0.96%	0.55%	0.18%	0.40%	1.07%	0.52%	0.61%	0.55%	0.69%	2.50%	1.29%	1.55%	0.55%	1.79%	1.37%	0.92%	1.04%	0.47%	0.70%	1.70%	1.14%	0.57%	0.61%	0.96%	0.54%	0.92%	0.33%	0.78%	0.40%	0.12%	0.69%	0.31%	1.07%	1.38%	1.33%	0.42%	1.08%	1.05%	0.00%	0.23%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	1	0	0	1	3	0	1	5	1	0	2	2	3	1	5	1	0	2	0	0	1	1	1	0	1	0	1	3	1	1	1	3	1	3	3	0	2	0	1	0	0	0	0	0	0									
		0.16%	0.21%	0.00%	0.00%	0.07%	0.41%	0.00%	0.18%	0.50%	0.15%	0.00%	0.14%	0.22%	0.52%	0.17%	0.64%	0.13%	0.00%	0.24%	0.00%	0.00%	0.15%	0.23%	0.14%	0.00%	0.11%	0.00%	0.06%	0.41%	0.13%	0.09%	0.33%	0.39%	0.40%	0.35%	0.41%	0.00%	0.36%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	290	7	5	2	21	4	6	2	6	5	7	5	19	14	9	16	5	2	6	9	8	2	3	10	6	16	14	15	8	4	5	5	4	0	4	5	2	3	4	2	5	3	4	2	2	4									
		0.90%	1.48%	1.33%	0.34%	1.53%	0.55%	1.09%	0.36%	0.61%	0.77%	0.91%	0.34%	2.10%	2.43%	1.50%	2.06%	0.65%	0.22%	0.72%	1.37%	1.05%	0.30%	0.70%	1.39%	0.73%	1.83%	1.60%	0.83%	1.10%	0.54%	0.46%	1.66%	0.52%	0.00%	0.47%	0.69%	0.31%	0.53%	0.62%	0.53%	1.06%	0.41%	0.70%	0.37%	0.47%	4.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5531	81	86	110	161	80	89	85	120	115	122	121	184	95	89	110	87	109	136	127	106	139	85	100	172	184	165	494	154	148	181	55	134	17	140	120	117	122	137	62	118	157	139	94	67	17									
		17.24%	17.12%	22.81%	18.58%	11.74%	11.02%	16.24%	15.18%	12.11%	17.61%	15.89%	8.18%	20.38%	16.49%	14.81%	14.18%	11.23%	12.10%	16.25%	19.33%	13.97%	20.59%	19.86%	13.91%	20.92%	21.03%	18.84%	27.28%	21.10%	19.89%	16.62%	18.21%	17.40%	6.75%	16.41%	16.55%	17.86%	21.75%	21.08%	16.45%	25.05%	21.27%	24.39%	17.38%	15.62%	18.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	160	2	1	2	4	4	4	2	5	8	4	4	2	4	4	6	3	6	6	0	5	5	3	4	5	5	8	4	5	4	5	1	4	0	2	5	3	4	6	2	3	2	3	0	0	1									
		0.50%	0.42%	0.27%	0.34%	0.29%	0.55%	0.73%	0.36%	0.50%	1.23%	0.52%	0.27%	0.22%	0.69%	0.67%	0.77%	0.39%	0.67%	0.72%	0.00%	0.66%	0.74%	0.70%	0.56%	0.61%	0.57%	0.91%	0.22%	0.68%	0.54%	0.46%	0.33%	0.52%	0.00%	0.23%	0.69%	0.46%	0.71%	0.92%	0.53%	0.64%	0.27%	0.53%	0.00%	0.00%	1.06%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1384	25	9	19	35	18	14	17	21	27	27	62	60	41	16	57	23	16	43	48	20	32	20	26	29	53	49	43	36	34	51	16	40	10	38	60	44	29	42	20	22	37	23	14	9	9									
		4.31%	5.29%	2.39%	3.21%	2.55%	2.48%	2.55%	3.04%	2.12%	4.13%	3.52%	4.19%	6.64%	7.12%	2.66%	7.35%	2.97%	1.78%	5.14%	7.31%	2.64%	4.74%	4.67%	3.62%	3.53%	6.06%	5.59%	2.37%	4.93%	4.57%	4.68%	5.30%	5.19%	3.97%	4.45%	8.28%	6.72%	5.17%	6.46%	5.31%	4.67%	5.01%	4.04%	2.59%	2.10%	9.57%									
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
