Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																												
Дата голосования: 02.12.2007																																																																												
																																																																												
Наименование Избирательной комиссии:    Кукморская																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752					
		0.02%	0.00%	0.00%	0.08%	0.00%	0.11%	0.07%	0.00%	0.00%	0.00%	0.39%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	779	27	31	30	22	28	141	61	15	41	5	1	16	11	5	8	11	4	3	3	2	2	1	1	4	3	3	0	1	1	18	14	12	9	1	3	5	2	2	6	4	2	0	32	12	3	2	6	5	59	3	9	3	8	3	2	6	16	1	2	7	4	4	4	7	7	3	4	2	6					
		2.15%	1.99%	2.47%	2.33%	1.96%	1.57%	9.76%	4.36%	1.62%	2.46%	1.95%	0.68%	2.13%	1.80%	1.26%	1.44%	3.08%	0.65%	1.42%	1.34%	0.59%	0.57%	0.41%	0.36%	1.45%	0.63%	1.06%	0.00%	0.72%	0.25%	4.03%	3.70%	1.75%	1.02%	0.34%	1.03%	1.22%	1.12%	0.83%	1.62%	1.36%	0.42%	0.00%	3.04%	1.95%	1.08%	0.91%	0.87%	1.37%	13.29%	1.02%	6.67%	0.56%	1.50%	1.05%	1.12%	1.56%	2.63%	0.22%	0.61%	1.73%	2.37%	0.79%	1.83%	2.04%	1.44%	1.11%	0.92%	0.33%	1.42%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	44	7	5	0	1	7	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0					
		0.12%	0.52%	0.40%	0.00%	0.09%	0.39%	0.48%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.19%	0.37%	0.00%	0.00%	0.26%	0.16%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	9	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.08%	0.00%	0.11%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.21%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	184	14	0	1	2	7	25	12	0	6	2	1	5	2	1	4	2	1	0	2	1	3	1	1	3	3	0	1	0	1	4	10	0	2	1	0	2	0	2	1	1	0	0	3	0	1	0	6	2	7	0	3	3	3	1	1	5	3	1	4	0	0	1	4	2	2	2	1	3	2					
		0.51%	1.03%	0.00%	0.08%	0.18%	0.39%	1.73%	0.86%	0.00%	0.36%	0.78%	0.68%	0.66%	0.33%	0.25%	0.72%	0.56%	0.16%	0.00%	0.89%	0.29%	0.85%	0.41%	0.36%	1.09%	0.63%	0.00%	0.17%	0.00%	0.25%	0.89%	2.65%	0.00%	0.23%	0.34%	0.00%	0.49%	0.00%	0.83%	0.27%	0.34%	0.00%	0.00%	0.28%	0.00%	0.36%	0.00%	0.87%	0.55%	1.58%	0.00%	2.22%	0.56%	0.56%	0.35%	0.56%	1.30%	0.49%	0.22%	1.22%	0.00%	0.00%	0.20%	1.83%	0.58%	0.41%	0.74%	0.23%	0.49%	0.47%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1542	76	51	52	45	34	90	63	27	68	12	4	38	28	16	22	12	25	7	11	14	15	11	13	13	23	14	24	6	18	9	19	34	44	14	14	18	8	11	18	16	15	12	43	31	12	9	28	15	5	14	3	24	25	9	7	18	28	23	13	17	8	23	10	15	21	11	23	26	17					
		4.26%	5.60%	4.07%	4.04%	4.01%	1.91%	6.23%	4.50%	2.92%	4.08%	4.69%	2.72%	5.05%	4.58%	4.04%	3.96%	3.36%	4.07%	3.30%	4.91%	4.12%	4.27%	4.55%	4.74%	4.71%	4.85%	4.95%	3.99%	4.32%	4.44%	2.01%	5.03%	4.95%	4.99%	4.78%	4.83%	4.40%	4.49%	4.56%	4.85%	5.42%	3.17%	4.96%	4.08%	5.04%	4.30%	4.11%	4.05%	4.12%	1.13%	4.76%	2.22%	4.49%	4.68%	3.16%	3.91%	4.68%	4.60%	5.04%	3.98%	4.20%	4.73%	4.55%	4.59%	4.37%	4.33%	4.07%	5.26%	4.28%	4.03%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	24	3	0	0	0	3	2	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0					
		0.07%	0.22%	0.00%	0.00%	0.00%	0.17%	0.14%	0.00%	0.00%	0.06%	0.39%	0.00%	0.13%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	33334	1221	1162	1198	1044	1679	1158	1256	879	1532	230	140	685	570	372	520	329	582	200	206	317	328	226	257	251	438	266	575	132	384	405	327	641	817	277	272	377	166	226	343	271	447	226	968	568	263	207	643	342	358	276	109	496	491	270	169	352	555	429	308	379	157	475	196	316	448	252	406	574	395					
		92.10%	89.91%	92.66%	93.16%	93.13%	94.43%	80.19%	89.71%	95.03%	91.90%	89.84%	95.24%	91.09%	93.14%	93.94%	93.69%	92.16%	94.63%	94.34%	91.96%	93.24%	93.45%	93.39%	93.80%	90.94%	92.41%	93.99%	95.51%	94.96%	94.81%	90.60%	86.51%	93.30%	92.74%	94.54%	93.79%	92.18%	93.26%	93.78%	92.45%	91.86%	94.50%	93.39%	91.93%	92.36%	94.27%	94.52%	93.05%	93.96%	80.63%	93.88%	80.74%	92.88%	91.95%	94.74%	94.41%	91.43%	91.13%	94.08%	94.19%	93.58%	92.90%	94.06%	89.91%	92.13%	92.37%	93.33%	92.91%	94.56%	93.60%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	53	4	0	1	1	5	5	1	0	3	0	0	2	0	1	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	2	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3	3	2	0	0	1	1	0	0	2	0	1	0	0	1	1	1	0	0					
		0.15%	0.29%	0.00%	0.08%	0.09%	0.28%	0.35%	0.07%	0.00%	0.18%	0.00%	0.00%	0.27%	0.00%	0.25%	0.00%	0.28%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.42%	0.00%	0.00%	0.00%	0.00%	0.45%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	2.22%	0.56%	0.37%	0.00%	0.00%	0.26%	0.16%	0.00%	0.00%	0.49%	0.00%	0.20%	0.00%	0.00%	0.21%	0.37%	0.23%	0.00%	0.00%					
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
