Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Дновская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	2	4	9	1	0	4	28	5	1	2	4	1	2	1	2	2	1	1	0	0					
14	Число погашенных открепительных удостоверений	161	17	14	13	14	7	16	14	18	4	3	6	5	6	1	6	3	6	3	2	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	127	8	7	5	8	14	8	10	5	8	8	7	4	2	1	2	4	13	3	3	7					
		1.74%	1.66%	1.34%	0.89%	1.69%	2.59%	1.40%	1.78%	0.98%	2.01%	4.04%	2.69%	1.80%	0.68%	0.40%	0.92%	1.48%	3.60%	1.49%	1.60%	3.39%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	197	13	11	16	11	18	16	18	10	7	3	0	0	0	55	2	6	6	1	4	0					
		2.71%	2.70%	2.10%	2.87%	2.33%	3.33%	2.81%	3.21%	1.96%	1.76%	1.51%	0.0%	0.0%	0.0%	22.26%	0.92%	2.23%	1.66%	0.49%	2.13%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	195	6	21	13	11	12	20	13	13	18	3	3	5	4	8	13	5	14	9	2	2					
		2.68%	1.25%	4.02%	2.33%	2.33%	2.22%	3.51%	2.32%	2.55%	4.53%	1.51%	1.15%	2.26%	1.36%	3.23%	5.99%	1.85%	3.87%	4.47%	1.06%	0.97%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	125	12	11	9	12	15	21	5	8	1	0	3	6	3	1	4	1	4	0	5	4					
		1.72%	2.5%	2.10%	1.61%	2.54%	2.77%	3.69%	0.89%	1.57%	0.25%	0.0%	1.15%	2.71%	1.02%	0.40%	1.84%	0.37%	1.10%	0.0%	2.67%	1.94%					
22	"5. ""За Русь Святую"""	30	2	1	0	2	2	5	2	2	3	2	0	1	0	1	0	2	2	1	0	2					
		0.41%	0.41%	0.19%	0.0%	0.42%	0.37%	0.87%	0.35%	0.39%	0.75%	1.01%	0.0%	0.45%	0.0%	0.40%	0.0%	0.74%	0.55%	0.49%	0.0%	0.97%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	3	1	1	0	4	2	3	1	0	0	0	0	1	0	0	0	1	1	0	1					
		0.26%	0.62%	0.19%	0.17%	0.0%	0.74%	0.35%	0.53%	0.19%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.27%	0.49%	0.0%	0.48%					
24	"7. ""Новый курс - Автомобильная Россия"""	33	0	1	3	2	1	4	6	3	2	0	0	1	0	1	1	0	3	1	2	2					
		0.45%	0.0%	0.19%	0.53%	0.42%	0.18%	0.70%	1.07%	0.59%	0.50%	0.0%	0.0%	0.45%	0.0%	0.40%	0.46%	0.0%	0.83%	0.49%	1.06%	0.97%					
25	"8. ""Народно-республиканская партия России"""	11	1	0	0	2	0	1	1	1	0	0	1	0	2	0	0	0	0	0	1	1					
		0.15%	0.20%	0.0%	0.0%	0.42%	0.0%	0.17%	0.17%	0.19%	0.0%	0.0%	0.38%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.48%					
26	"9. ""Российская экологическая партия ""Зеленые"""	12	2	1	1	1	1	3	0	1	0	0	0	0	0	0	1	0	1	0	0	0					
		0.16%	0.41%	0.19%	0.17%	0.21%	0.18%	0.52%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.27%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	525	9	12	17	16	19	23	15	25	13	30	34	41	87	18	6	39	11	56	13	41					
		7.22%	1.87%	2.29%	3.05%	3.38%	3.51%	4.04%	2.67%	4.92%	3.27%	15.15%	13.07%	18.55%	29.69%	7.28%	2.76%	14.49%	3.04%	27.86%	6.95%	19.90%					
28	"11. ""Истинные патриоты России"""	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	82	16	3	3	5	4	5	4	5	5	9	1	0	1	5	3	2	6	3	1	1					
		1.12%	3.33%	0.57%	0.53%	1.05%	0.74%	0.87%	0.71%	0.98%	1.25%	4.54%	0.38%	0.0%	0.34%	2.02%	1.38%	0.74%	1.66%	1.49%	0.53%	0.48%					
30	"13. ""Демократическая партия России"""	15	0	1	1	1	4	0	2	0	1	0	0	1	0	0	1	1	0	1	1	0					
		0.20%	0.0%	0.19%	0.17%	0.21%	0.74%	0.0%	0.35%	0.0%	0.25%	0.0%	0.0%	0.45%	0.0%	0.0%	0.46%	0.37%	0.0%	0.49%	0.53%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	1	0	1	0	0	1	2	2	0	2	0	0	0	0	1	1	5	1	1	0					
		0.24%	0.20%	0.0%	0.17%	0.0%	0.0%	0.17%	0.35%	0.39%	0.0%	1.01%	0.0%	0.0%	0.0%	0.0%	0.46%	0.37%	1.38%	0.49%	0.53%	0.0%					
32	"15. ""Партия СЛОН"""	6	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	1					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	1.06%	0.48%					
33	"16. ""Родина"" (народно-патриотический союз)"""	498	47	51	48	49	47	51	53	35	33	5	8	10	16	7	5	5	7	5	12	4					
		6.85%	9.79%	9.77%	8.63%	10.38%	8.70%	8.96%	9.46%	6.88%	8.31%	2.52%	3.07%	4.52%	5.46%	2.83%	2.30%	1.85%	1.93%	2.48%	6.41%	1.94%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	1	1	0	3	0	2	0	3	1	0	2	1	1	0	3	3	1	1	1	1					
		0.34%	0.20%	0.19%	0.0%	0.63%	0.0%	0.35%	0.0%	0.59%	0.25%	0.0%	0.76%	0.45%	0.34%	0.0%	1.38%	1.11%	0.27%	0.49%	0.53%	0.48%					
35	"18. ""ЛДПР"""	744	71	42	74	55	69	71	58	52	37	17	36	19	9	27	9	19	24	18	12	25					
		10.24%	14.79%	8.04%	13.30%	11.65%	12.77%	12.47%	10.35%	10.23%	9.31%	8.58%	13.84%	8.59%	3.07%	10.93%	4.14%	7.06%	6.64%	8.95%	6.41%	12.13%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	434	17	35	44	24	16	20	26	32	28	5	32	24	21	15	12	8	21	5	31	18					
		5.97%	3.54%	6.70%	7.91%	5.08%	2.96%	3.51%	4.64%	6.29%	7.05%	2.52%	12.30%	10.85%	7.16%	6.07%	5.52%	2.97%	5.81%	2.48%	16.57%	8.73%					
37	"20. ""Политическая партия ""Единая Россия"""	2721	171	198	193	165	201	191	215	225	174	77	94	60	102	85	98	107	171	65	59	70					
		37.45%	35.62%	37.93%	34.71%	34.95%	37.22%	33.56%	38.39%	44.29%	43.82%	38.88%	36.15%	27.14%	34.81%	34.41%	45.16%	39.77%	47.36%	32.33%	31.55%	33.98%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	2	0	0	1	1	0	0	1	0	1	1	2	0	0	0	1	0	1	1	0					
		0.16%	0.41%	0.0%	0.0%	0.21%	0.18%	0.0%	0.0%	0.19%	0.0%	0.50%	0.38%	0.90%	0.0%	0.0%	0.0%	0.37%	0.0%	0.49%	0.53%	0.0%					
39	"22. ""Развитие предпринимательства"""	12	3	0	0	0	2	1	1	0	0	1	0	0	0	0	2	0	1	0	1	0					
		0.16%	0.62%	0.0%	0.0%	0.0%	0.37%	0.17%	0.17%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.27%	0.0%	0.53%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1036	81	96	90	76	85	87	93	65	37	12	19	40	40	13	30	53	55	20	22	22					
		14.26%	16.87%	18.39%	16.18%	16.10%	15.74%	15.28%	16.60%	12.79%	9.31%	6.06%	7.30%	18.09%	13.65%	5.26%	13.82%	19.70%	15.23%	9.95%	11.76%	10.67%					
																											
41	Против всех	231	10	21	28	21	16	25	11	13	19	14	15	3	3	5	6	5	5	3	6	2					
		3.18%	2.08%	4.02%	5.03%	4.44%	2.96%	4.39%	1.96%	2.55%	4.78%	7.07%	5.76%	1.35%	1.02%	2.02%	2.76%	1.85%	1.38%	1.49%	3.20%	0.97%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
