Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Невельская судовая																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №581	УИК №582	УИК №583	УИК №584	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №622	УИК №623	УИК №625									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	2	1	0	2	0	0	0	1	0	5	0	0	0	0	0	1									
		0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	4.27%	0.00%	0.00%	4.65%	3.45%	0.00%	6.90%	0.00%	0.00%	0.00%	3.13%	0.00%	19.23%	0.00%	0.00%	0.00%	0.00%	0.00%	2.78%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	4	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0									
		0.77%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	2.38%	0.00%	19.05%	2.38%	0.00%	6.45%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	35	1	0	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	4	0	0	2	0	0	1	4	0	0	0	0	1	1	1	0	3	2	0									
		1.49%	12.50%	0.00%	28.57%	2.08%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	9.52%	7.14%	3.42%	0.00%	0.00%	4.65%	0.00%	0.00%	3.45%	6.35%	0.00%	0.00%	0.00%	0.00%	3.85%	4.35%	5.26%	0.00%	20.00%	2.47%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1848	1	6	1	75	70	77	48	54	9	78	52	51	48	29	26	28	17	19	23	19	17	25	81	24	19	4	25	24	14	28	29	16	15	26	27	7	23	21	20	21	12	18	72	90	9	20	74	25	9	25	12	16	15	27	31	29	30	8	7	11	5	18	6	65	17									
		78.74%	12.50%	75.00%	14.29%	78.13%	74.47%	81.91%	87.27%	96.43%	81.82%	92.86%	91.23%	91.07%	92.31%	93.55%	92.86%	93.33%	100.00%	90.48%	95.83%	79.17%	94.44%	100.00%	100.00%	80.00%	76.00%	25.00%	100.00%	100.00%	58.33%	96.55%	96.67%	100.00%	93.75%	100.00%	96.43%	100.00%	95.83%	87.50%	100.00%	91.30%	48.00%	60.00%	85.71%	100.00%	42.86%	47.62%	63.25%	80.65%	39.13%	58.14%	41.38%	100.00%	51.72%	42.86%	96.88%	90.63%	93.75%	30.77%	26.92%	47.83%	26.32%	100.00%	40.00%	80.25%	47.22%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1									
		0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	1.19%	0.00%	0.00%	4.76%	0.85%	3.23%	0.00%	0.00%	0.00%	0.00%	3.45%	3.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.78%									
24	"6. Политическая партия ""Гражданская Платформа"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	237	4	0	2	10	18	9	5	0	2	0	3	2	1	0	0	2	0	2	0	0	0	0	0	3	2	2	0	0	6	0	0	0	0	0	1	0	1	1	0	0	8	8	4	0	4	11	14	2	8	6	15	0	7	17	0	1	0	15	9	9	7	0	2	6	8									
		10.10%	50.00%	0.00%	28.57%	10.42%	19.15%	9.57%	9.09%	0.00%	18.18%	0.00%	5.26%	3.57%	1.92%	0.00%	0.00%	6.67%	0.00%	9.52%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	8.00%	12.50%	0.00%	0.00%	25.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	4.17%	4.17%	0.00%	0.00%	32.00%	26.67%	4.76%	0.00%	19.05%	26.19%	11.97%	6.45%	34.78%	13.95%	51.72%	0.00%	24.14%	26.98%	0.00%	3.13%	0.00%	57.69%	34.62%	39.13%	36.84%	0.00%	13.33%	7.41%	22.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0									
		0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	1.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.47%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	0	0	0	0	3	0	0	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1									
		0.55%	0.00%	0.00%	0.00%	0.00%	3.19%	0.00%	0.00%	0.00%	0.00%	2.38%	1.75%	0.00%	0.00%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.78%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	94	0	0	1	7	3	4	2	0	0	0	1	2	0	1	2	0	0	0	1	0	0	0	0	1	2	8	0	0	3	0	0	0	0	0	0	0	0	0	0	2	4	0	2	0	2	1	7	1	5	4	0	0	3	5	1	1	0	2	1	1	5	0	3	4	2									
		4.01%	0.00%	0.00%	14.29%	7.29%	3.19%	4.26%	3.64%	0.00%	0.00%	0.00%	1.75%	3.57%	0.00%	3.23%	7.14%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	3.33%	8.00%	50.00%	0.00%	0.00%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.70%	16.00%	0.00%	2.38%	0.00%	9.52%	2.38%	5.98%	3.23%	21.74%	9.30%	0.00%	0.00%	10.34%	7.94%	3.13%	3.13%	0.00%	7.69%	3.85%	4.35%	26.32%	0.00%	20.00%	4.94%	5.56%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0									
		0.43%	0.00%	25.00%	0.00%	0.00%	0.00%	2.13%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	0.00%	5.26%	0.00%	0.00%	1.23%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	27	1	0	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	4	0	0	3	1	0	0	0	0	1	1	0	0	1	0	0	0	1	2									
		1.15%	12.50%	0.00%	14.29%	2.08%	0.00%	2.13%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	1.19%	0.00%	0.00%	4.76%	3.42%	0.00%	0.00%	6.98%	3.45%	0.00%	0.00%	0.00%	0.00%	3.13%	3.13%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	1.23%	5.56%									
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
