Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
"Наименование Избирательной комиссии:    Пермь, Индустриальная"																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965	УИК №2966									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	673	10	5	11	5	7	12	8	5	119	13	12	15	9	11	9	20	12	9	1	13	9	5	17	13	12	18	6	8	10	3	7	10	3	3	8	4	14	7	12	9	12	10	10	10	6	12	9	4	5	8	12	8	3	12	7	8	3	18	3	0	11	8	0	0	2	8									
		1.52%	1.81%	0.97%	1.55%	1.05%	1.22%	1.51%	1.19%	0.87%	15.35%	1.67%	1.79%	1.48%	1.27%	1.37%	1.12%	2.14%	2.11%	0.94%	0.26%	2.03%	1.16%	0.58%	2.14%	1.82%	2.10%	2.06%	1.02%	1.28%	1.61%	0.67%	1.57%	1.98%	0.87%	0.50%	1.89%	0.89%	1.47%	0.60%	1.09%	0.91%	1.40%	1.25%	1.12%	1.05%	0.85%	1.70%	1.19%	0.52%	0.81%	1.16%	1.36%	0.92%	0.72%	1.63%	0.97%	0.99%	0.66%	2.14%	0.76%	0.00%	1.45%	1.36%	0.00%	0.00%	0.91%	1.02%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1055	9	19	24	8	10	14	15	17	15	20	20	26	21	16	25	26	15	41	13	22	12	33	25	17	15	24	7	16	15	6	6	18	7	21	6	8	23	32	23	25	12	19	17	21	15	16	13	18	13	16	17	19	6	20	14	16	7	17	2	5	21	18	2	1	2	13									
		2.38%	1.63%	3.70%	3.39%	1.67%	1.74%	1.76%	2.23%	2.96%	1.94%	2.56%	2.99%	2.57%	2.95%	1.99%	3.12%	2.78%	2.63%	4.30%	3.42%	3.43%	1.55%	3.85%	3.14%	2.37%	2.62%	2.75%	1.19%	2.56%	2.41%	1.34%	1.34%	3.56%	2.02%	3.47%	1.42%	1.79%	2.42%	2.76%	2.10%	2.54%	1.40%	2.37%	1.91%	2.21%	2.13%	2.27%	1.72%	2.34%	2.12%	2.32%	1.93%	2.20%	1.44%	2.71%	1.94%	1.99%	1.53%	2.02%	0.51%	2.37%	2.77%	3.07%	1.74%	0.78%	0.91%	1.66%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	92	1	2	0	1	0	2	4	0	20	1	0	1	2	1	2	3	0	1	0	0	1	2	3	2	0	2	0	0	2	0	1	2	0	0	1	0	1	5	1	1	3	1	0	0	0	0	1	1	1	1	4	1	0	2	2	0	0	0	2	0	2	1	0	1	0	4									
		0.21%	0.18%	0.39%	0.00%	0.21%	0.00%	0.25%	0.60%	0.00%	2.58%	0.13%	0.00%	0.10%	0.28%	0.12%	0.25%	0.32%	0.00%	0.10%	0.00%	0.00%	0.13%	0.23%	0.38%	0.28%	0.00%	0.23%	0.00%	0.00%	0.32%	0.00%	0.22%	0.40%	0.00%	0.00%	0.24%	0.00%	0.11%	0.43%	0.09%	0.10%	0.35%	0.12%	0.00%	0.00%	0.00%	0.00%	0.13%	0.13%	0.16%	0.14%	0.45%	0.12%	0.00%	0.27%	0.28%	0.00%	0.00%	0.00%	0.51%	0.00%	0.26%	0.17%	0.00%	0.78%	0.00%	0.51%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2172	34	20	36	24	31	50	30	23	1	40	31	73	39	49	48	57	20	68	15	35	32	56	42	34	26	62	25	34	32	17	17	37	15	42	25	14	61	47	40	46	36	28	33	44	26	25	38	46	37	34	48	53	12	26	34	36	19	45	9	11	42	34	2	4	5	17									
		4.89%	6.15%	3.89%	5.08%	5.02%	5.40%	6.29%	4.46%	4.01%	0.13%	5.13%	4.63%	7.22%	5.49%	6.12%	5.99%	6.10%	3.51%	7.14%	3.95%	5.46%	4.13%	6.53%	5.28%	4.75%	4.55%	7.10%	4.24%	5.43%	5.14%	3.79%	3.80%	7.33%	4.34%	6.94%	5.91%	3.13%	6.41%	4.06%	3.65%	4.67%	4.21%	3.50%	3.71%	4.62%	3.69%	3.55%	5.03%	5.97%	6.03%	4.92%	5.44%	6.13%	2.88%	3.53%	4.71%	4.49%	4.15%	5.35%	2.29%	5.21%	5.53%	5.79%	1.74%	3.10%	2.28%	2.17%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5801	67	68	104	59	73	94	88	71	36	111	80	113	101	83	103	104	69	102	29	75	108	101	118	95	60	99	60	92	91	55	63	59	47	62	65	71	137	156	124	149	112	109	136	138	97	107	117	104	105	99	159	130	83	116	82	104	64	110	41	33	79	62	13	12	29	118									
		13.07%	12.12%	13.23%	14.69%	12.34%	12.72%	11.82%	13.10%	12.37%	4.65%	14.23%	11.94%	11.18%	14.21%	10.36%	12.86%	11.12%	12.11%	10.70%	7.63%	11.70%	13.95%	11.77%	14.84%	13.27%	10.49%	11.34%	10.17%	14.70%	14.63%	12.28%	14.09%	11.68%	13.58%	10.25%	15.37%	15.85%	14.39%	13.46%	11.31%	15.13%	13.08%	13.61%	15.28%	14.50%	13.78%	15.20%	15.48%	13.51%	17.10%	14.33%	18.03%	15.03%	19.95%	15.74%	11.36%	12.98%	13.97%	13.08%	10.43%	15.64%	10.41%	10.56%	11.30%	9.30%	13.24%	15.07%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	264	2	2	2	1	2	2	1	1	105	5	5	4	4	2	2	1	3	5	3	0	6	2	3	0	2	2	0	3	2	1	1	3	2	6	1	1	3	6	3	7	2	2	3	2	1	4	0	5	2	2	0	4	1	3	5	3	4	3	4	1	1	2	0	1	1	2									
		0.59%	0.36%	0.39%	0.28%	0.21%	0.35%	0.25%	0.15%	0.17%	13.55%	0.64%	0.75%	0.40%	0.56%	0.25%	0.25%	0.11%	0.53%	0.52%	0.79%	0.00%	0.78%	0.23%	0.38%	0.00%	0.35%	0.23%	0.00%	0.48%	0.32%	0.22%	0.22%	0.59%	0.58%	0.99%	0.24%	0.22%	0.32%	0.52%	0.27%	0.71%	0.23%	0.25%	0.34%	0.21%	0.14%	0.57%	0.00%	0.65%	0.33%	0.29%	0.00%	0.46%	0.24%	0.41%	0.69%	0.37%	0.87%	0.36%	1.02%	0.47%	0.13%	0.34%	0.00%	0.78%	0.46%	0.26%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4964	72	71	82	55	85	114	86	67	0	110	77	111	75	105	90	112	58	82	36	75	93	95	102	59	55	85	83	72	52	59	70	51	35	76	40	44	82	111	85	103	145	115	104	133	93	94	83	95	60	109	90	91	42	66	85	68	38	88	28	10	92	86	11	16	26	81									
		11.18%	13.02%	13.81%	11.58%	11.51%	14.81%	14.34%	12.80%	11.67%	0.00%	14.10%	11.49%	10.98%	10.55%	13.11%	11.24%	11.98%	10.18%	8.60%	9.47%	11.70%	12.02%	11.07%	12.83%	8.24%	9.62%	9.74%	14.07%	11.50%	8.36%	13.17%	15.66%	10.10%	10.12%	12.56%	9.46%	9.82%	8.61%	9.58%	7.76%	10.46%	16.94%	14.36%	11.69%	13.97%	13.21%	13.35%	10.98%	12.34%	9.77%	15.77%	10.20%	10.52%	10.10%	8.96%	11.77%	8.49%	8.30%	10.46%	7.12%	4.74%	12.12%	14.65%	9.57%	12.40%	11.87%	10.34%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
