Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																									
Дата голосования: 18.09.2016																																																																																																																																																									
																																																																																																																																																									
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №3																																																																																																																																																									
																																																																																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																									
																																																																																																																																																									
		Сумма	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №645	УИК №646	УИК №647	УИК №648	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №732	УИК №733									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	855	14	24	9	13	17	21	16	19	16	19	14	13	15	12	6	7	13	26	17	8	13	14	14	10	6	11	14	24	15	15	11	11	11	11	17	6	12	11	11	18	21	9	21	28	12	15	14	16	19	19	11	25	12	12	14	15	0	0	1	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	2	1	2	0	2	1	0	0	1	0	0	1									
		2.53%	2.45%	4.17%	2.20%	2.37%	2.78%	3.50%	3.39%	3.08%	2.87%	3.25%	3.35%	2.16%	2.46%	2.26%	2.01%	1.11%	3.04%	3.38%	3.46%	1.82%	2.29%	2.27%	1.90%	2.25%	1.57%	2.55%	2.99%	3.29%	2.57%	2.77%	2.34%	2.30%	2.43%	2.05%	2.45%	1.23%	2.25%	2.16%	2.37%	2.33%	2.86%	1.47%	2.81%	3.66%	2.33%	2.31%	2.50%	2.50%	3.01%	3.50%	2.08%	3.41%	1.82%	1.99%	1.89%	1.80%	0.00%	0.00%	10.00%	0.00%	0.00%	8.33%	8.33%	0.00%	0.00%	40.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	20.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	25.00%	7.69%	0.00%	3.85%	4.35%	5.26%	0.00%	0.00%	0.00%	4.17%	4.55%	0.00%	4.35%	5.00%	0.00%	2.78%	2.38%	2.94%	4.55%	4.55%	1.23%	0.00%	6.67%	3.57%	0.00%	0.00%	3.57%	0.00%	0.00%	3.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	468	11	6	6	5	3	4	4	4	7	4	4	6	11	83	4	15	3	9	5	8	7	5	10	8	5	2	3	10	9	7	9	7	9	4	10	2	2	9	2	7	5	6	5	11	5	3	6	5	8	9	6	15	2	4	7	5	1	0	0	0	0	0	0	1	1	0	0	3	1	1	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	3	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	3	0	1	1	0	0									
		1.39%	1.92%	1.04%	1.47%	0.91%	0.49%	0.67%	0.85%	0.65%	1.26%	0.68%	0.96%	0.99%	1.80%	15.60%	1.34%	2.39%	0.70%	1.17%	1.02%	1.82%	1.23%	0.81%	1.36%	1.80%	1.31%	0.46%	0.64%	1.37%	1.54%	1.29%	1.91%	1.46%	1.99%	0.75%	1.44%	0.41%	0.37%	1.77%	0.43%	0.91%	0.68%	0.98%	0.67%	1.44%	0.97%	0.46%	1.07%	0.78%	1.27%	1.66%	1.13%	2.05%	0.30%	0.67%	0.95%	0.60%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	7.14%	0.00%	0.00%	27.27%	9.09%	9.09%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	10.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	8.33%	0.00%	10.00%	0.00%	8.70%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	4.55%	1.84%	0.00%	0.00%	0.00%	16.67%	0.00%	3.57%	3.57%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	816	10	18	7	6	18	16	11	12	20	13	3	15	14	19	7	14	5	17	10	15	11	13	16	9	7	12	11	16	10	14	10	11	18	5	16	11	10	14	1	16	11	25	16	13	20	12	11	7	13	15	10	21	26	18	16	23	4	1	0	0	0	0	1	1	0	0	0	2	1	0	0	1	1	0	1	0	0	0	2	0	0	1	0	0	0	2	2	1	2	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	2	1	0	0	1	4	4	1	1	1	0	2	2	0	0	0	0	0	0	2	2	1	1	3	7	0	1	8	1	1	2	0	1	0									
		2.42%	1.75%	3.13%	1.71%	1.09%	2.95%	2.67%	2.33%	1.95%	3.59%	2.22%	0.72%	2.49%	2.30%	3.57%	2.35%	2.23%	1.17%	2.21%	2.04%	3.42%	1.94%	2.11%	2.17%	2.03%	1.84%	2.78%	2.36%	2.19%	1.72%	2.58%	2.13%	2.30%	3.98%	0.93%	2.30%	2.26%	1.87%	2.75%	0.22%	2.07%	1.50%	4.07%	2.14%	1.70%	3.88%	1.85%	1.96%	1.10%	2.06%	2.76%	1.89%	2.86%	3.95%	2.99%	2.16%	2.76%	3.70%	9.09%	0.00%	0.00%	0.00%	0.00%	8.33%	10.00%	0.00%	0.00%	0.00%	18.18%	9.09%	0.00%	0.00%	8.33%	8.33%	0.00%	9.09%	0.00%	0.00%	0.00%	16.67%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	20.00%	18.18%	10.00%	20.00%	0.00%	9.09%	0.00%	0.00%	11.11%	10.00%	0.00%	0.00%	10.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	18.18%	8.33%	0.00%	0.00%	8.33%	15.38%	13.33%	3.85%	4.35%	5.26%	0.00%	8.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	4.76%	2.94%	2.27%	13.64%	4.29%	0.00%	3.33%	28.57%	5.56%	3.85%	7.14%	0.00%	4.76%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12222	196	225	155	245	227	188	194	251	218	233	157	217	201	187	122	250	138	229	148	127	167	210	242	137	110	126	155	232	182	169	149	164	132	179	314	213	247	172	171	288	309	225	278	246	198	229	199	254	244	195	189	295	257	205	250	330	59	6	5	5	7	4	7	2	3	4	6	1	5	4	3	3	4	4	3	5	5	1	8	4	3	8	4	7	5	2	4	0	2	5	5	6	1	1	3	5	1	4	5	8	3	0	5	5	2	3	6	4	2	2	3	3	4	13	9	12	12	8	6	11	8	17	11	5	13	6	11	15	14	13	29	8	70	2	21	5	3	8	7	17	11	8									
		36.21%	34.27%	39.06%	37.90%	44.71%	37.15%	31.33%	41.10%	40.75%	39.14%	39.83%	37.56%	35.99%	32.95%	35.15%	40.94%	39.81%	32.24%	29.74%	30.14%	28.93%	29.40%	34.09%	32.84%	30.86%	28.87%	29.23%	33.19%	31.78%	31.22%	31.18%	31.70%	34.24%	29.20%	33.40%	45.18%	43.74%	46.25%	33.79%	36.85%	37.26%	42.10%	36.64%	37.17%	32.16%	38.37%	35.29%	35.54%	39.75%	38.61%	35.91%	35.66%	40.25%	38.99%	34.11%	33.78%	39.62%	54.63%	54.55%	50.00%	50.00%	58.33%	33.33%	58.33%	20.00%	21.43%	40.00%	54.55%	9.09%	45.45%	36.36%	27.27%	25.00%	33.33%	36.36%	27.27%	45.45%	50.00%	10.00%	66.67%	33.33%	25.00%	72.73%	30.77%	70.00%	50.00%	20.00%	36.36%	0.00%	20.00%	55.56%	45.45%	60.00%	10.00%	11.11%	30.00%	50.00%	10.00%	40.00%	45.45%	66.67%	25.00%	0.00%	41.67%	45.45%	18.18%	27.27%	46.15%	40.00%	18.18%	16.67%	30.00%	27.27%	33.33%	50.00%	30.00%	46.15%	52.17%	42.11%	28.57%	44.00%	30.77%	70.83%	50.00%	25.00%	56.52%	30.00%	50.00%	41.67%	33.33%	38.24%	65.91%	36.36%	42.94%	40.00%	70.00%	17.86%	16.67%	30.77%	25.00%	60.71%	52.38%	30.77%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	526	9	9	5	3	8	11	8	9	6	16	5	15	12	12	4	16	19	13	3	11	12	6	9	12	3	6	10	10	10	7	10	11	8	2	8	6	8	1	2	6	14	6	9	9	3	12	9	10	8	12	6	6	8	10	15	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	4	0	1	0	2	2	0	1	0	2									
		1.56%	1.57%	1.56%	1.22%	0.55%	1.31%	1.83%	1.69%	1.46%	1.08%	2.74%	1.20%	2.49%	1.97%	2.26%	1.34%	2.55%	4.44%	1.69%	0.61%	2.51%	2.11%	0.97%	1.22%	2.70%	0.79%	1.39%	2.14%	1.37%	1.72%	1.29%	2.13%	2.30%	1.77%	0.37%	1.15%	1.23%	1.50%	0.20%	0.43%	0.78%	1.91%	0.98%	1.20%	1.18%	0.58%	1.85%	1.61%	1.56%	1.27%	2.21%	1.13%	0.82%	1.21%	1.66%	2.03%	1.80%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	8.33%	54.55%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	4.35%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	4.55%	2.45%	0.00%	3.33%	0.00%	11.11%	7.69%	0.00%	3.57%	0.00%	7.69%									
24	"6. Политическая партия ""Гражданская Платформа"""	71	1	1	3	1	1	1	0	1	0	2	0	1	1	1	1	0	1	1	1	1	0	1	2	1	0	1	0	2	2	0	0	0	2	1	2	2	0	0	1	1	1	0	1	4	0	1	0	0	3	0	2	4	1	1	5	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
