Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Тарасовская 																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163	УИК  1165	УИК  1166	УИК  1167	УИК  1169	УИК  1170	УИК  1171	УИК  1172	УИК  1173	УИК  1174	УИК  1175	УИК  1176	УИК  1177	УИК  1178	УИК  1179	УИК  1180	УИК  1181	УИК  1182	УИК  1183	УИК  1184	УИК  1185	УИК  1186	УИК  1187	УИК  1188	УИК  1189	УИК  1190	УИК  1191	УИК  1192	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  2467	УИК  2568					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	144	4	2	5	0	2	0	2	2	2	2	2	2	1	0	4	2	1	2	3	4	19	10	1	4	11	10	0	4	3	1	2	0	4	0	7	4	2	1	0	4	0	0	0	1	4	1	2	2	1	0	1	3					
		0.92%	0.44%	0.97%	1.67%	0.0%	0.36%	0.0%	0.44%	0.62%	0.55%	1.56%	0.88%	0.62%	0.48%	0.0%	3.33%	0.68%	0.27%	1.92%	1.15%	0.81%	2.72%	1.98%	0.28%	1.11%	2.54%	1.90%	0.0%	1.78%	0.62%	0.53%	0.71%	0.0%	1.41%	0.0%	2.05%	2.03%	0.85%	0.58%	0.0%	0.96%	0.0%	0.0%	0.0%	0.59%	1.31%	0.52%	1.76%	1.25%	0.21%	0.0%	1.35%	0.52%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	344	15	2	8	2	16	0	7	7	2	4	11	7	8	2	3	4	2	5	4	9	9	25	6	7	15	9	4	5	11	0	6	4	8	2	2	7	0	4	5	10	0	9	4	1	5	6	2	10	34	6	0	10					
		2.21%	1.67%	0.97%	2.67%	2.77%	2.92%	0.0%	1.54%	2.19%	0.55%	3.12%	4.84%	2.18%	3.84%	0.77%	2.5%	1.37%	0.54%	4.80%	1.53%	1.83%	1.29%	4.95%	1.70%	1.94%	3.47%	1.71%	1.46%	2.23%	2.30%	0.0%	2.14%	2.16%	2.83%	1.23%	0.58%	3.55%	0.0%	2.32%	3.12%	2.42%	0.0%	1.92%	1.98%	0.59%	1.64%	3.14%	1.76%	6.25%	7.32%	3.03%	0.0%	1.73%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	164	2	0	2	0	6	0	3	3	1	1	3	1	4	0	0	2	3	0	1	6	21	10	16	3	13	8	2	0	4	0	2	1	0	0	8	0	2	1	1	2	0	5	1	0	0	2	1	2	2	8	0	11					
		1.05%	0.22%	0.0%	0.66%	0.0%	1.09%	0.0%	0.66%	0.94%	0.27%	0.78%	1.32%	0.31%	1.92%	0.0%	0.0%	0.68%	0.81%	0.0%	0.38%	1.22%	3.01%	1.98%	4.55%	0.83%	3.00%	1.52%	0.73%	0.0%	0.83%	0.0%	0.71%	0.54%	0.0%	0.0%	2.34%	0.0%	0.85%	0.58%	0.62%	0.48%	0.0%	1.07%	0.49%	0.0%	0.0%	1.04%	0.88%	1.25%	0.43%	4.04%	0.0%	1.91%					
22	"5. ""За Русь Святую"""	74	1	0	0	2	1	0	3	0	0	0	9	3	0	2	0	1	0	0	0	1	1	3	1	1	0	4	1	0	2	0	0	0	2	0	5	1	1	1	0	2	2	0	1	0	9	1	0	0	4	2	1	6					
		0.47%	0.11%	0.0%	0.0%	2.77%	0.18%	0.0%	0.66%	0.0%	0.0%	0.0%	3.96%	0.93%	0.0%	0.77%	0.0%	0.34%	0.0%	0.0%	0.0%	0.20%	0.14%	0.59%	0.28%	0.27%	0.0%	0.76%	0.36%	0.0%	0.41%	0.0%	0.0%	0.0%	0.70%	0.0%	1.46%	0.50%	0.42%	0.58%	0.0%	0.48%	1.6%	0.0%	0.49%	0.0%	2.96%	0.52%	0.0%	0.0%	0.86%	1.01%	1.35%	1.04%					
23	"6. ""Объединенная Российская партия ""Русь"""	45	1	0	0	0	2	0	1	1	0	0	1	2	0	2	1	1	1	0	0	1	2	0	2	2	1	0	0	2	3	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	3	0	1	1	0	0	7					
		0.28%	0.11%	0.0%	0.0%	0.0%	0.36%	0.0%	0.22%	0.31%	0.0%	0.0%	0.44%	0.62%	0.0%	0.77%	0.83%	0.34%	0.27%	0.0%	0.0%	0.20%	0.28%	0.0%	0.56%	0.55%	0.23%	0.0%	0.0%	0.89%	0.62%	0.53%	0.0%	0.54%	0.0%	0.61%	0.29%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.49%	0.0%	0.0%	1.57%	0.0%	0.62%	0.21%	0.0%	0.0%	1.21%					
24	"7. ""Новый курс - Автомобильная Россия"""	52	1	2	1	0	2	0	6	3	0	0	0	1	3	0	0	0	1	0	4	1	5	3	1	2	2	2	0	1	3	0	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	1	1	0	0	0					
		0.33%	0.11%	0.97%	0.33%	0.0%	0.36%	0.0%	1.32%	0.94%	0.0%	0.0%	0.0%	0.31%	1.44%	0.0%	0.0%	0.0%	0.27%	0.0%	1.53%	0.20%	0.71%	0.59%	0.28%	0.55%	0.46%	0.38%	0.0%	0.44%	0.62%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	1.19%	0.0%	0.0%	0.0%	0.62%	0.21%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	20	0	0	1	0	1	2	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	1					
		0.12%	0.0%	0.0%	0.33%	0.0%	0.18%	1.49%	0.22%	0.0%	0.0%	0.0%	0.44%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	0.85%	0.27%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.49%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%					
26	"9. ""Российская экологическая партия ""Зеленые"""	31	3	0	0	1	0	0	1	1	0	0	0	0	0	1	2	3	0	0	0	2	1	3	0	1	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4					
		0.19%	0.33%	0.0%	0.0%	1.38%	0.0%	0.0%	0.22%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	1.66%	1.03%	0.0%	0.0%	0.0%	0.40%	0.14%	0.59%	0.0%	0.27%	0.46%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.43%	0.0%	0.0%	0.69%					
27	"10. ""Аграрная партия России"""	897	51	13	9	9	57	28	32	78	26	15	17	23	8	11	9	21	15	0	1	25	25	19	15	14	21	29	16	9	43	11	9	2	6	4	22	15	10	6	5	33	5	22	0	9	8	12	0	3	30	7	3	36					
		5.76%	5.67%	6.31%	3.01%	12.5%	10.42%	20.89%	7.07%	24.45%	7.26%	11.71%	7.48%	7.18%	3.84%	4.26%	7.5%	7.21%	4.06%	0.0%	0.38%	5.09%	3.58%	3.76%	4.27%	3.88%	4.86%	5.52%	5.86%	4.01%	8.99%	5.88%	3.21%	1.08%	2.12%	2.46%	6.45%	7.61%	4.29%	3.48%	3.12%	7.99%	4.0%	4.71%	0.0%	5.35%	2.63%	6.28%	0.0%	1.87%	6.46%	3.53%	4.05%	6.26%					
28	"11. ""Истинные патриоты России"""	32	1	4	0	3	1	0	0	0	0	1	0	2	1	0	2	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	1	0	0	0	2	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0					
		0.20%	0.11%	1.94%	0.0%	4.16%	0.18%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.62%	0.48%	0.0%	1.66%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.54%	0.0%	0.0%	0.0%	1.01%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.32%	0.0%	0.88%	0.62%	0.0%	0.50%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	133	0	0	4	0	5	0	1	3	4	4	2	3	1	1	1	3	0	2	0	4	13	8	6	5	2	12	3	1	6	0	1	6	3	1	2	1	0	1	0	1	0	2	0	0	3	1	0	2	8	0	4	3					
		0.85%	0.0%	0.0%	1.33%	0.0%	0.91%	0.0%	0.22%	0.94%	1.11%	3.12%	0.88%	0.93%	0.48%	0.38%	0.83%	1.03%	0.0%	1.92%	0.0%	0.81%	1.86%	1.58%	1.70%	1.38%	0.46%	2.28%	1.09%	0.44%	1.25%	0.0%	0.35%	3.24%	1.06%	0.61%	0.58%	0.50%	0.0%	0.58%	0.0%	0.24%	0.0%	0.42%	0.0%	0.0%	0.98%	0.52%	0.0%	1.25%	1.72%	0.0%	5.40%	0.52%					
30	"13. ""Демократическая партия России"""	40	4	1	2	1	0	0	0	0	0	2	1	0	1	0	0	1	1	0	0	2	2	2	0	0	0	2	0	1	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	7	0	0	2	0	0	0					
		0.25%	0.44%	0.48%	0.66%	1.38%	0.0%	0.0%	0.0%	0.0%	0.0%	1.56%	0.44%	0.0%	0.48%	0.0%	0.0%	0.34%	0.27%	0.0%	0.0%	0.40%	0.28%	0.39%	0.0%	0.0%	0.0%	0.38%	0.0%	0.44%	0.41%	0.53%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.98%	3.66%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	30	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	4	3	0	2	1	1	1	0	1	0	0	4	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0					
		0.19%	0.11%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.38%	0.20%	0.14%	0.0%	0.0%	1.11%	0.69%	0.0%	0.73%	0.44%	0.20%	0.53%	0.0%	0.54%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.62%	0.96%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	17	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0					
		0.10%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	0.38%	0.0%	0.0%	0.19%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.20%	0.53%	0.35%	1.08%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.43%	0.50%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	678	23	9	7	3	31	2	4	9	15	4	10	15	6	17	3	7	7	6	17	49	54	37	29	28	25	33	13	7	18	11	15	11	12	3	5	12	12	4	0	15	7	11	4	2	7	1	10	1	25	2	1	19					
		4.35%	2.56%	4.36%	2.34%	4.16%	5.66%	1.49%	0.88%	2.82%	4.18%	3.12%	4.40%	4.68%	2.88%	6.58%	2.5%	2.40%	1.89%	5.76%	6.53%	9.97%	7.74%	7.32%	8.26%	7.77%	5.78%	6.28%	4.76%	3.12%	3.76%	5.88%	5.35%	5.94%	4.25%	1.85%	1.46%	6.09%	5.15%	2.32%	0.0%	3.63%	5.6%	2.35%	1.98%	1.19%	2.30%	0.52%	8.84%	0.62%	5.38%	1.01%	1.35%	3.30%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	36	5	0	1	0	0	0	2	1	0	0	0	2	1	0	1	1	1	0	2	1	1	1	0	0	1	0	0	1	0	0	1	0	1	0	2	2	0	1	0	2	0	0	0	0	0	1	1	0	2	0	1	0					
		0.23%	0.55%	0.0%	0.33%	0.0%	0.0%	0.0%	0.44%	0.31%	0.0%	0.0%	0.0%	0.62%	0.48%	0.0%	0.83%	0.34%	0.27%	0.0%	0.76%	0.20%	0.14%	0.19%	0.0%	0.0%	0.23%	0.0%	0.0%	0.44%	0.0%	0.0%	0.35%	0.0%	0.35%	0.0%	0.58%	1.01%	0.0%	0.58%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.88%	0.0%	0.43%	0.0%	1.35%	0.0%					
35	"18. ""ЛДПР"""	1868	99	18	14	4	27	19	39	35	44	27	27	45	22	42	9	27	49	2	31	80	99	69	43	38	70	60	42	40	71	21	49	23	20	25	59	42	49	33	8	59	17	56	22	14	25	11	12	13	49	8	11	50					
		12.00%	11.02%	8.73%	4.68%	5.55%	4.93%	14.17%	8.62%	10.97%	12.29%	21.09%	11.89%	14.06%	10.57%	16.27%	7.5%	9.27%	13.27%	1.92%	11.92%	16.29%	14.20%	13.66%	12.25%	10.55%	16.20%	11.42%	15.38%	17.85%	14.85%	11.22%	17.5%	12.43%	7.09%	15.43%	17.30%	21.31%	21.03%	19.18%	5.0%	14.28%	13.6%	11.99%	10.89%	8.33%	8.22%	5.75%	10.61%	8.12%	10.56%	4.04%	14.86%	8.69%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	265	39	4	7	0	5	0	5	3	8	1	2	9	3	1	0	2	5	0	1	8	11	6	10	11	9	7	3	6	9	8	2	5	3	2	7	2	3	4	0	8	2	11	1	5	3	3	0	3	4	1	1	12					
		1.70%	4.34%	1.94%	2.34%	0.0%	0.91%	0.0%	1.10%	0.94%	2.23%	0.78%	0.88%	2.81%	1.44%	0.38%	0.0%	0.68%	1.35%	0.0%	0.38%	1.62%	1.57%	1.18%	2.84%	3.05%	2.08%	1.33%	1.09%	2.67%	1.88%	4.27%	0.71%	2.70%	1.06%	1.23%	2.05%	1.01%	1.28%	2.32%	0.0%	1.93%	1.6%	2.35%	0.49%	2.97%	0.98%	1.57%	0.0%	1.87%	0.86%	0.50%	1.35%	2.08%					
37	"20. ""Политическая партия ""Единая Россия"""	7767	487	102	173	34	228	51	230	110	123	52	94	162	128	117	81	159	246	69	165	192	275	176	143	169	156	209	127	116	213	92	167	108	149	113	150	82	123	108	118	241	78	276	152	115	158	119	67	90	228	90	36	320					
		49.91%	54.23%	49.51%	57.85%	47.22%	41.68%	38.05%	50.88%	34.48%	34.35%	40.62%	41.40%	50.62%	61.53%	45.34%	67.5%	54.63%	66.66%	66.34%	63.46%	39.10%	39.45%	34.85%	40.74%	46.94%	36.11%	39.80%	46.52%	51.78%	44.56%	49.19%	59.64%	58.37%	52.83%	69.75%	43.98%	41.62%	52.78%	62.79%	73.75%	58.35%	62.4%	59.10%	75.24%	68.45%	51.97%	62.30%	59.29%	56.25%	49.13%	45.45%	48.64%	55.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	46	1	0	0	0	3	1	1	0	3	0	0	0	2	0	2	10	4	0	0	1	0	3	0	0	0	0	0	0	1	0	2	0	2	0	1	0	1	0	3	2	0	0	0	1	0	0	0	2	0	0	0	0					
		0.29%	0.11%	0.0%	0.0%	0.0%	0.54%	0.74%	0.22%	0.0%	0.83%	0.0%	0.0%	0.0%	0.96%	0.0%	1.66%	3.43%	1.08%	0.0%	0.0%	0.20%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.71%	0.0%	0.70%	0.0%	0.29%	0.0%	0.42%	0.0%	1.87%	0.48%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	1.25%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	29	4	0	0	0	0	0	1	0	1	0	0	0	0	3	0	1	1	0	0	1	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	3	0	0	0	0	1	2	0	0	0	1					
		0.18%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	1.16%	0.0%	0.34%	0.27%	0.0%	0.0%	0.20%	0.28%	0.39%	0.0%	0.27%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.01%	0.0%	0.0%	0.0%	0.48%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.88%	1.25%	0.0%	0.0%	0.0%	0.17%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2000	115	31	58	12	137	17	87	47	112	9	32	29	6	42	0	19	16	7	24	81	130	84	50	42	69	88	41	19	51	24	9	12	59	5	40	12	21	5	14	13	10	50	9	13	48	12	11	12	37	53	3	73					
		12.85%	12.80%	15.04%	19.39%	16.66%	25.04%	12.68%	19.24%	14.73%	31.28%	7.03%	14.09%	9.06%	2.88%	16.27%	0.0%	6.52%	4.33%	6.73%	9.23%	16.49%	18.65%	16.63%	14.24%	11.66%	15.97%	16.76%	15.01%	8.48%	10.66%	12.83%	3.21%	6.48%	20.92%	3.08%	11.73%	6.09%	9.01%	2.90%	8.75%	3.14%	8.0%	10.70%	4.45%	7.73%	15.78%	6.28%	9.73%	7.5%	7.97%	26.76%	4.05%	12.69%					
																																																											
41	Против всех	435	24	7	3	0	11	5	12	3	8	5	9	6	5	10	2	6	8	5	0	13	19	27	15	9	23	35	4	6	12	15	5	3	5	3	13	5	4	2	1	11	2	6	5	2	10	9	1	4	12	16	3	6					
		2.79%	2.67%	3.39%	1.00%	0.0%	2.01%	3.73%	2.65%	0.94%	2.23%	3.90%	3.96%	1.87%	2.40%	3.87%	1.66%	2.06%	2.16%	4.80%	0.0%	2.64%	2.72%	5.34%	4.27%	2.5%	5.32%	6.66%	1.46%	2.67%	2.51%	8.02%	1.78%	1.62%	1.77%	1.85%	3.81%	2.53%	1.71%	1.16%	0.62%	2.66%	1.6%	1.28%	2.47%	1.19%	3.28%	4.71%	0.88%	2.5%	2.58%	8.08%	4.05%	1.04%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
