Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
"Наименование Избирательной комиссии:    Симферополь, Железнодорожная"																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1738	27	32	42	40	38	34	46	43	39	51	31	33	55	52	49	61	43	43	37	48	52	47	47	43	40	55	50	58	39	48	56	51	38	51	48	52	36	40	43	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	596	9	12	21	16	14	17	15	13	9	14	8	11	30	26	11	21	18	13	19	9	11	12	24	12	18	18	11	10	9	18	11	8	9	16	22	23	7	23	28	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1006	6	31	10	21	14	8	14	10	9	7	6	5	7	11	11	6	8	9	11	16	4	5	5	11	4	4	13	3	8	8	14	9	5	2	3	9	380	10	2	3	12	13	57	64	16	6	21	75	3	17									
14	Число погашенных неиспользованных открепительных удостоверений	1142	18	20	21	24	24	17	31	30	30	37	23	22	25	26	38	40	25	30	18	39	41	35	23	31	22	37	39	48	30	30	45	43	29	35	26	29	29	17	15	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	4	1	1	2	1	0	4	0	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	1	2	0	1	3	0	3	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	529	14	5	12	10	14	19	22	10	13	18	12	15	16	19	7	13	6	20	14	15	10	13	20	7	10	15	8	3	10	11	10	11	9	21	17	13	20	7	15	3	2	0	1	6	1	0	1	2	0	9									
		1.45%	3.20%	0.54%	1.43%	1.40%	1.88%	2.23%	2.38%	1.19%	1.78%	1.69%	1.82%	2.40%	1.77%	2.01%	0.92%	1.02%	0.82%	2.62%	1.86%	1.87%	0.86%	0.91%	2.01%	0.89%	1.29%	1.46%	0.92%	0.60%	1.30%	1.26%	1.14%	0.74%	1.15%	2.10%	1.78%	1.38%	1.92%	0.92%	1.87%	1.88%	1.09%	0.00%	0.69%	1.15%	0.95%	0.00%	2.17%	1.52%	0.00%	0.99%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	350	7	7	8	3	9	10	10	10	2	8	4	7	10	9	6	17	4	7	8	6	3	9	6	9	9	15	13	1	8	7	7	8	10	13	12	7	10	11	8	3	6	0	3	8	2	2	0	3	0	5									
		0.96%	1.60%	0.75%	0.95%	0.42%	1.21%	1.18%	1.08%	1.19%	0.27%	0.75%	0.61%	1.12%	1.10%	0.95%	0.79%	1.33%	0.55%	0.92%	1.06%	0.75%	0.26%	0.63%	0.60%	1.15%	1.16%	1.46%	1.49%	0.20%	1.04%	0.80%	0.80%	0.54%	1.27%	1.30%	1.26%	0.74%	0.96%	1.45%	0.99%	1.88%	3.28%	0.00%	2.07%	1.53%	1.90%	4.55%	0.00%	2.27%	0.00%	0.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	333	5	0	11	7	6	4	10	8	5	16	7	8	6	12	10	5	4	9	7	3	3	7	12	6	3	11	13	9	5	10	10	6	9	8	7	14	12	5	8	1	4	2	2	9	2	0	1	1	1	9									
		0.91%	1.14%	0.00%	1.31%	0.98%	0.81%	0.47%	1.08%	0.95%	0.68%	1.51%	1.06%	1.28%	0.66%	1.27%	1.31%	0.39%	0.55%	1.18%	0.93%	0.37%	0.26%	0.49%	1.20%	0.76%	0.39%	1.07%	1.49%	1.80%	0.65%	1.14%	1.14%	0.40%	1.15%	0.80%	0.73%	1.49%	1.15%	0.66%	0.99%	0.63%	2.19%	1.67%	1.38%	1.72%	1.90%	0.00%	2.17%	0.76%	5.56%	0.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25892	297	674	587	501	480	624	619	557	510	730	427	433	676	667	549	883	522	520	530	570	873	1169	611	579	543	699	614	371	563	644	640	1310	553	683	655	683	686	556	589	98	121	63	82	413	66	28	26	84	15	519									
		70.87%	67.96%	72.55%	69.96%	70.37%	64.52%	73.33%	67.06%	66.15%	69.77%	68.74%	64.89%	69.39%	74.70%	70.43%	72.14%	69.20%	71.70%	68.06%	70.29%	70.90%	74.87%	81.46%	61.35%	73.66%	69.88%	67.86%	70.33%	74.05%	73.21%	73.52%	72.81%	87.92%	70.36%	68.30%	68.59%	72.66%	65.77%	73.16%	73.35%	61.25%	66.12%	52.50%	56.55%	78.82%	62.86%	63.64%	56.52%	63.64%	83.33%	57.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	257	5	3	7	5	7	3	10	4	4	10	7	2	3	11	3	6	5	1	6	8	3	9	5	12	6	7	6	3	6	5	4	5	5	8	3	5	7	6	2	1	1	2	7	6	1	0	0	1	0	21									
		0.70%	1.14%	0.32%	0.83%	0.70%	0.94%	0.35%	1.08%	0.48%	0.55%	0.94%	1.06%	0.32%	0.33%	1.16%	0.39%	0.47%	0.69%	0.13%	0.80%	0.99%	0.26%	0.63%	0.50%	1.53%	0.77%	0.68%	0.69%	0.60%	0.78%	0.57%	0.46%	0.34%	0.64%	0.80%	0.31%	0.53%	0.67%	0.79%	0.25%	0.63%	0.55%	1.67%	4.83%	1.15%	0.95%	0.00%	0.00%	0.76%	0.00%	2.33%									
24	"6. Политическая партия ""Гражданская Платформа"""	49	1	2	0	0	2	2	2	1	1	2	1	0	0	0	1	1	0	2	1	1	0	0	1	0	1	2	1	1	1	0	1	0	1	2	2	0	0	0	0	1	3	0	2	2	1	0	1	0	0	6									
		0.13%	0.23%	0.22%	0.00%	0.00%	0.27%	0.24%	0.22%	0.12%	0.14%	0.19%	0.15%	0.00%	0.00%	0.00%	0.13%	0.08%	0.00%	0.26%	0.13%	0.12%	0.00%	0.00%	0.10%	0.00%	0.13%	0.19%	0.11%	0.20%	0.13%	0.00%	0.11%	0.00%	0.13%	0.20%	0.21%	0.00%	0.00%	0.00%	0.00%	0.63%	1.64%	0.00%	1.38%	0.38%	0.95%	0.00%	2.17%	0.00%	0.00%	0.67%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4727	69	145	111	87	100	99	114	112	93	111	87	77	114	128	99	144	79	120	111	100	177	118	168	82	105	140	113	60	93	106	115	96	105	145	123	125	168	99	95	32	15	27	18	44	13	10	5	17	1	212									
		12.94%	15.79%	15.61%	13.23%	12.22%	13.44%	11.63%	12.35%	13.30%	12.72%	10.45%	13.22%	12.34%	12.60%	13.52%	13.01%	11.29%	10.85%	15.71%	14.72%	12.44%	15.18%	8.22%	16.87%	10.43%	13.51%	13.59%	12.94%	11.98%	12.09%	12.10%	13.08%	6.44%	13.36%	14.50%	12.88%	13.30%	16.11%	13.03%	11.83%	20.00%	8.20%	22.50%	12.41%	8.40%	12.38%	22.73%	10.87%	12.88%	5.56%	23.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	170	4	2	8	3	11	5	3	7	1	4	2	2	2	3	1	7	4	4	4	3	2	2	0	5	5	4	2	7	4	5	1	2	0	4	6	3	5	3	4	0	0	2	0	2	2	0	0	2	0	18									
		0.47%	0.92%	0.22%	0.95%	0.42%	1.48%	0.59%	0.33%	0.83%	0.14%	0.38%	0.30%	0.32%	0.22%	0.32%	0.13%	0.55%	0.55%	0.52%	0.53%	0.37%	0.17%	0.14%	0.00%	0.64%	0.64%	0.39%	0.23%	1.40%	0.52%	0.57%	0.11%	0.13%	0.00%	0.40%	0.63%	0.32%	0.48%	0.39%	0.50%	0.00%	0.00%	1.67%	0.00%	0.38%	1.90%	0.00%	0.00%	1.52%	0.00%	1.99%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	197	3	2	6	4	7	4	8	2	2	5	7	2	11	3	0	6	7	1	0	3	8	3	5	2	3	4	4	3	4	6	3	2	9	5	11	7	11	5	8	2	0	0	0	0	0	1	0	1	0	7									
		0.54%	0.69%	0.22%	0.72%	0.56%	0.94%	0.47%	0.87%	0.24%	0.27%	0.47%	1.06%	0.32%	1.22%	0.32%	0.00%	0.47%	0.96%	0.13%	0.00%	0.37%	0.69%	0.21%	0.50%	0.25%	0.39%	0.39%	0.46%	0.60%	0.52%	0.68%	0.34%	0.13%	1.15%	0.50%	1.15%	0.74%	1.05%	0.66%	0.99%	1.25%	0.00%	0.00%	0.00%	0.00%	0.00%	2.27%	0.00%	0.76%	0.00%	0.78%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	2									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.12%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.11%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	1.38%	0.19%	0.00%	0.00%	0.00%	0.76%	0.00%	0.22%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	198	0	9	7	6	4	3	6	5	1	13	5	2	3	6	0	13	3	5	5	0	3	6	4	7	1	3	5	5	4	2	6	2	3	4	6	2	8	3	3	0	1	3	2	4	2	1	1	3	0	8									
		0.54%	0.00%	0.97%	0.83%	0.84%	0.54%	0.35%	0.65%	0.59%	0.14%	1.22%	0.76%	0.32%	0.33%	0.63%	0.00%	1.02%	0.41%	0.65%	0.66%	0.00%	0.26%	0.42%	0.40%	0.89%	0.13%	0.29%	0.57%	0.99%	0.52%	0.23%	0.68%	0.13%	0.38%	0.40%	0.63%	0.21%	0.77%	0.39%	0.37%	0.00%	0.55%	2.50%	1.38%	0.76%	1.90%	2.27%	2.17%	2.27%	0.00%	0.89%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2357	19	63	43	58	73	55	58	85	67	91	68	46	42	64	48	135	52	46	41	47	64	67	103	57	52	66	61	20	44	53	47	34	52	62	64	55	73	41	41	13	25	10	10	12	5	2	1	4	0	18									
		6.45%	4.35%	6.78%	5.13%	8.15%	9.81%	6.46%	6.28%	10.10%	9.17%	8.57%	10.33%	7.37%	4.64%	6.76%	6.31%	10.58%	7.14%	6.02%	5.44%	5.85%	5.49%	4.67%	10.34%	7.25%	6.69%	6.41%	6.99%	3.99%	5.72%	6.05%	5.35%	2.28%	6.62%	6.20%	6.70%	5.85%	6.99%	5.39%	5.11%	8.13%	13.66%	8.33%	6.90%	2.29%	4.76%	4.55%	2.17%	3.03%	0.00%	1.99%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	93	0	4	3	1	1	1	3	5	1	7	1	4	2	0	2	0	3	3	3	1	3	6	2	2	2	6	1	1	2	2	1	1	1	2	2	1	0	1	4	0	0	2	1	1	0	0	0	1	0	3									
		0.25%	0.00%	0.43%	0.36%	0.14%	0.13%	0.12%	0.33%	0.59%	0.14%	0.66%	0.15%	0.64%	0.22%	0.00%	0.26%	0.00%	0.41%	0.39%	0.40%	0.12%	0.26%	0.42%	0.20%	0.25%	0.26%	0.58%	0.11%	0.20%	0.26%	0.23%	0.11%	0.07%	0.13%	0.20%	0.21%	0.11%	0.00%	0.13%	0.50%	0.00%	0.00%	1.67%	0.69%	0.19%	0.00%	0.00%	0.00%	0.76%	0.00%	0.33%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	783	8	8	26	13	26	16	46	24	21	32	20	21	14	21	12	16	22	12	11	24	9	15	29	11	26	38	20	12	16	11	18	6	24	26	33	15	17	8	13	5	1	4	7	7	4	0	3	3	0	9									
		2.14%	1.83%	0.86%	3.10%	1.83%	3.49%	1.88%	4.98%	2.85%	2.87%	3.01%	3.04%	3.37%	1.55%	2.22%	1.58%	1.25%	3.02%	1.57%	1.46%	2.99%	0.77%	1.05%	2.91%	1.40%	3.35%	3.69%	2.29%	2.40%	2.08%	1.26%	2.05%	0.40%	3.05%	2.60%	3.46%	1.60%	1.63%	1.05%	1.62%	3.13%	0.55%	3.33%	4.83%	1.34%	3.81%	0.00%	6.52%	2.27%	0.00%	0.99%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
