Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Тимирязевский  район																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №3065	УИК  5151	УИК  5156	УИК  5162	УИК  5168	УИК  5188	УИК  5189	УИК  5190	УИК  5191	УИК  5206	УИК  5211	УИК  5212	УИК  5213	УИК  5214	УИК  5253	УИК  5254	УИК  5255	УИК  5256	Участок  №5261	УИК  5263	УИК  5264	УИК  5265	УИК  5266	УИК  5267	УИК  5268	УИК  5269	УИК  5270	УИК  5271	УИК  5272	УИК  5273	УИК  5274	УИК  5275	УИК  5276	УИК  5277	УИК  5278	УИК  5279	УИК  5357					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1182	21	34	23	28	37	20	24	30	11	48	20	25	21	18	20	29	20	25	24	35	49	158	0	2	0	2	5	0	0	0	0	9	0	0	3	0	0	6	2	6	12	63	4	13	9	0	1	17	51	0	1	0	0	0	0	245	11	0					
14	Число погашенных открепительных удостоверений	1245	26	15	23	21	11	17	16	2	19	34	22	13	32	32	22	19	7	21	26	13	21	0	10	10	3	8	0	0	0	0	5	12	5	5	7	5	5	5	10	300	30	0	17	0	0	237	18	18	4	23	40	6	11	7	0	12	20	0					
15	Число открепительных удостоверений выданных ТИК	267	0	3	1	1	1	1	1	0	0	0	0	2	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	"1. ""ЕДИНЕНИЕ"""	494	5	7	7	4	5	5	10	6	10	9	2	13	9	6	12	12	14	6	13	5	13	9	8	7	0	2	9	2	3	3	0	2	0	0	2	0	1	0	1	2	2	1	19	13	12	16	28	48	28	17	27	8	6	4	2	13	20	6					
		0.93%	0.33%	0.44%	0.44%	0.26%	0.33%	0.35%	0.57%	0.38%	0.72%	0.51%	0.17%	0.94%	0.73%	0.49%	0.84%	0.67%	0.87%	0.38%	0.94%	0.30%	0.73%	1.45%	3.92%	1.47%	0.0%	2.15%	1.15%	1.80%	0.78%	1.72%	0.0%	0.46%	0.0%	0.0%	4.76%	0.0%	2.85%	0.0%	0.65%	1.50%	0.41%	0.30%	1.74%	1.70%	1.02%	0.77%	3.30%	2.07%	1.38%	1.33%	1.96%	1.65%	2.10%	1.40%	2.59%	2.15%	1.50%	1.39%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3379	149	161	127	144	138	106	155	167	122	121	68	76	103	87	101	146	155	206	100	194	190	30	8	13	5	6	61	3	22	5	2	50	4	8	5	11	0	7	10	10	17	14	13	4	11	17	10	41	61	28	37	8	1	1	1	11	17	11					
		6.38%	9.99%	10.33%	8.13%	9.39%	9.30%	7.52%	8.85%	10.71%	8.85%	6.85%	6.06%	5.53%	8.37%	7.16%	7.12%	8.22%	9.72%	13.30%	7.25%	11.65%	10.78%	4.85%	3.92%	2.73%	5.20%	6.45%	7.85%	2.70%	5.77%	2.87%	5.88%	11.65%	8.0%	19.04%	11.90%	5.36%	0.0%	11.11%	6.53%	7.51%	3.54%	4.32%	1.19%	0.52%	0.93%	0.82%	1.17%	1.76%	3.01%	2.20%	2.69%	1.65%	0.35%	0.35%	1.29%	1.82%	1.28%	2.55%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	905	24	38	36	30	24	28	36	40	26	19	24	23	23	20	37	33	39	30	31	35	32	21	2	0	2	0	19	6	7	6	1	3	0	1	0	2	2	2	1	0	10	11	32	10	15	9	9	17	24	9	12	0	4	4	1	11	11	13					
		1.71%	1.60%	2.43%	2.30%	1.95%	1.61%	1.98%	2.05%	2.56%	1.88%	1.07%	2.14%	1.67%	1.86%	1.64%	2.60%	1.86%	2.44%	1.93%	2.24%	2.10%	1.81%	3.39%	0.98%	0.0%	2.08%	0.0%	2.44%	5.40%	1.83%	3.44%	2.94%	0.69%	0.0%	2.38%	0.0%	0.97%	5.71%	3.17%	0.65%	0.0%	2.08%	3.39%	2.94%	1.31%	1.27%	0.43%	1.06%	0.73%	1.18%	0.70%	0.87%	0.0%	1.40%	1.40%	1.29%	1.82%	0.82%	3.01%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4324	238	187	168	197	193	170	197	195	141	92	111	139	127	119	152	223	206	218	145	246	204	37	8	13	6	12	51	2	30	10	6	45	6	7	6	22	3	5	16	8	20	18	48	15	11	19	19	51	60	25	19	6	2	5	1	14	17	13					
		8.17%	15.96%	12.00%	10.76%	12.85%	13.01%	12.07%	11.25%	12.50%	10.23%	5.21%	9.90%	10.12%	10.32%	9.79%	10.71%	12.57%	12.92%	14.08%	10.52%	14.78%	11.58%	5.98%	3.92%	2.73%	6.25%	12.90%	6.56%	1.80%	7.87%	5.74%	17.64%	10.48%	12.0%	16.66%	14.28%	10.73%	8.57%	7.93%	10.45%	6.01%	4.16%	5.55%	4.41%	1.96%	0.93%	0.91%	2.24%	2.20%	2.96%	1.96%	1.38%	1.24%	0.70%	1.76%	1.29%	2.32%	1.28%	3.01%					
22	"5. ""За Русь Святую"""	215	6	10	7	4	3	9	13	6	3	5	2	15	4	9	8	6	5	6	9	5	3	4	0	4	0	0	4	0	4	0	0	0	1	0	0	0	0	0	0	4	4	0	8	1	0	3	5	4	10	2	4	1	0	1	1	4	3	5					
		0.40%	0.40%	0.64%	0.44%	0.26%	0.20%	0.63%	0.74%	0.38%	0.21%	0.28%	0.17%	1.09%	0.32%	0.74%	0.56%	0.33%	0.31%	0.38%	0.65%	0.30%	0.17%	0.64%	0.0%	0.84%	0.0%	0.0%	0.51%	0.0%	1.04%	0.0%	0.0%	0.0%	2.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.00%	0.83%	0.0%	0.73%	0.13%	0.0%	0.14%	0.58%	0.17%	0.49%	0.15%	0.29%	0.20%	0.0%	0.35%	1.29%	0.66%	0.22%	1.16%					
23	"6. ""Объединенная Российская партия ""Русь"""	149	1	1	5	5	1	0	4	6	2	7	2	4	0	5	5	3	5	4	1	4	1	2	0	0	1	0	6	1	0	0	0	0	1	0	0	2	0	0	0	1	3	2	5	3	1	3	6	11	12	6	8	0	0	4	0	1	2	2					
		0.28%	0.06%	0.06%	0.32%	0.32%	0.06%	0.0%	0.22%	0.38%	0.14%	0.39%	0.17%	0.29%	0.0%	0.41%	0.35%	0.16%	0.31%	0.25%	0.07%	0.24%	0.05%	0.32%	0.0%	0.0%	1.04%	0.0%	0.77%	0.90%	0.0%	0.0%	0.0%	0.0%	2.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.0%	0.75%	0.62%	0.61%	0.45%	0.39%	0.08%	0.14%	0.70%	0.47%	0.59%	0.47%	0.58%	0.0%	0.0%	1.40%	0.0%	0.16%	0.15%	0.46%					
24	"7. ""Новый курс - Автомобильная Россия"""	612	16	19	23	7	30	31	24	12	20	21	24	16	20	20	32	28	17	19	12	26	22	8	1	0	3	2	3	2	4	0	2	6	0	0	0	0	1	1	1	0	0	1	8	6	6	12	9	22	8	11	21	5	3	0	0	8	12	7					
		1.15%	1.07%	1.21%	1.47%	0.45%	2.02%	2.20%	1.37%	0.76%	1.45%	1.19%	2.14%	1.16%	1.62%	1.64%	2.25%	1.57%	1.06%	1.22%	0.87%	1.56%	1.24%	1.29%	0.49%	0.0%	3.12%	2.15%	0.38%	1.80%	1.04%	0.0%	5.88%	1.39%	0.0%	0.0%	0.0%	0.0%	2.85%	1.58%	0.65%	0.0%	0.0%	0.30%	0.73%	0.78%	0.51%	0.57%	1.06%	0.94%	0.39%	0.86%	1.52%	1.03%	1.05%	0.0%	0.0%	1.32%	0.90%	1.62%					
25	"8. ""Народно-республиканская партия России"""	70	1	3	0	0	0	1	0	2	2	0	1	2	0	2	1	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	3	0	3	16	5	2	0	1	0	0	1	3	9	1					
		0.13%	0.06%	0.19%	0.0%	0.0%	0.0%	0.07%	0.0%	0.12%	0.14%	0.0%	0.08%	0.14%	0.0%	0.16%	0.07%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	2.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.27%	0.13%	0.25%	0.0%	0.35%	0.69%	0.24%	0.15%	0.0%	0.20%	0.0%	0.0%	1.29%	0.49%	0.67%	0.23%					
26	"9. ""Российская экологическая партия ""Зеленые"""	456	15	14	13	8	17	13	10	14	11	48	6	9	6	7	11	18	14	14	12	26	23	4	12	5	2	0	5	0	2	0	1	6	1	0	0	4	0	0	4	0	0	0	8	7	6	10	8	15	9	15	7	1	1	0	1	1	7	5					
		0.86%	1.00%	0.89%	0.83%	0.52%	1.14%	0.92%	0.57%	0.89%	0.79%	2.72%	0.53%	0.65%	0.48%	0.57%	0.77%	1.01%	0.87%	0.90%	0.87%	1.56%	1.30%	0.64%	5.88%	1.05%	2.08%	0.0%	0.64%	0.0%	0.52%	0.0%	2.94%	1.39%	2.0%	0.0%	0.0%	1.95%	0.0%	0.0%	2.61%	0.0%	0.0%	0.0%	0.73%	0.91%	0.51%	0.48%	0.94%	0.64%	0.44%	1.18%	0.50%	0.20%	0.35%	0.0%	1.29%	0.16%	0.52%	1.16%					
27	"10. ""Аграрная партия России"""	841	26	25	17	27	19	27	29	43	49	159	16	28	18	19	16	25	35	38	26	25	26	12	2	7	4	0	15	1	9	2	0	7	0	0	0	2	0	0	1	0	3	4	7	5	10	1	2	13	17	1	7	0	0	1	1	5	0	9					
		1.58%	1.74%	1.60%	1.08%	1.76%	1.28%	1.91%	1.65%	2.75%	3.55%	9.01%	1.42%	2.03%	1.46%	1.56%	1.12%	1.40%	2.19%	2.45%	1.88%	1.50%	1.47%	1.94%	0.98%	1.47%	4.16%	0.0%	1.93%	0.90%	2.36%	1.14%	0.0%	1.63%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.65%	0.0%	0.62%	1.23%	0.64%	0.65%	0.85%	0.04%	0.23%	0.56%	0.83%	0.07%	0.50%	0.0%	0.0%	0.35%	1.29%	0.83%	0.0%	2.08%					
28	"11. ""Истинные патриоты России"""	87	1	1	4	1	1	1	1	0	1	6	5	0	3	0	3	0	4	1	2	0	3	0	0	1	1	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	2	3	2	5	4	5	3	2	4	2	1	0	1	0	4	3					
		0.16%	0.06%	0.06%	0.25%	0.06%	0.06%	0.07%	0.05%	0.0%	0.07%	0.34%	0.44%	0.0%	0.24%	0.0%	0.21%	0.0%	0.25%	0.06%	0.14%	0.0%	0.17%	0.0%	0.0%	0.21%	1.04%	0.0%	0.12%	0.0%	0.26%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.0%	0.0%	0.20%	0.0%	0.18%	0.39%	0.17%	0.24%	0.47%	0.21%	0.14%	0.15%	0.29%	0.41%	0.35%	0.0%	1.29%	0.0%	0.30%	0.69%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	473	12	14	19	21	12	18	23	14	20	8	24	13	9	16	12	26	17	23	8	14	13	4	0	0	0	0	10	4	7	1	0	2	0	1	0	0	0	0	1	2	0	1	10	8	13	5	4	10	11	11	7	2	4	4	1	4	10	0					
		0.89%	0.80%	0.89%	1.21%	1.37%	0.80%	1.27%	1.31%	0.89%	1.45%	0.45%	2.14%	0.94%	0.73%	1.31%	0.84%	1.46%	1.06%	1.48%	0.58%	0.84%	0.73%	0.64%	0.0%	0.0%	0.0%	0.0%	1.28%	3.60%	1.83%	0.57%	0.0%	0.46%	0.0%	2.38%	0.0%	0.0%	0.0%	0.0%	0.65%	1.50%	0.0%	0.30%	0.91%	1.04%	1.10%	0.24%	0.47%	0.43%	0.54%	0.86%	0.50%	0.41%	1.40%	1.40%	1.29%	0.66%	0.75%	0.0%					
30	"13. ""Демократическая партия России"""	102	1	2	0	2	0	1	2	4	2	4	1	3	1	0	1	1	5	4	2	2	2	4	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	3	0	0	8	1	9	6	7	4	2	1	0	0	1	4	4					
		0.19%	0.06%	0.12%	0.0%	0.13%	0.0%	0.07%	0.11%	0.25%	0.14%	0.22%	0.08%	0.21%	0.08%	0.0%	0.07%	0.05%	0.31%	0.25%	0.14%	0.12%	0.11%	0.64%	0.0%	0.0%	0.0%	1.07%	0.25%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.27%	0.0%	0.0%	0.38%	0.11%	0.38%	0.29%	0.55%	0.29%	0.41%	0.35%	0.0%	0.0%	0.16%	0.30%	0.92%					
31	"14. ""Великая Россия - Евразийский Союз"""	145	2	3	0	4	1	1	0	2	2	7	3	1	1	0	4	1	2	3	1	3	5	1	0	5	0	2	4	0	2	2	0	3	0	0	0	0	0	1	0	1	2	1	4	1	1	6	6	23	11	5	3	2	3	0	0	1	7	2					
		0.27%	0.13%	0.19%	0.0%	0.26%	0.06%	0.07%	0.0%	0.12%	0.14%	0.39%	0.26%	0.07%	0.08%	0.0%	0.28%	0.05%	0.12%	0.19%	0.07%	0.18%	0.28%	0.16%	0.0%	1.05%	0.0%	2.15%	0.51%	0.0%	0.52%	1.14%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.0%	0.75%	0.41%	0.30%	0.36%	0.13%	0.08%	0.28%	0.70%	0.99%	0.54%	0.39%	0.21%	0.41%	1.05%	0.0%	0.0%	0.16%	0.52%	0.46%					
32	"15. ""Партия СЛОН"""	108	1	2	3	4	2	3	5	3	0	6	3	4	4	6	2	6	9	2	5	5	1	0	0	1	0	0	2	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	3	3	1	4	0	4	1	2	4	0	0	0	0	1	0	1					
		0.20%	0.06%	0.12%	0.19%	0.26%	0.13%	0.21%	0.28%	0.19%	0.0%	0.34%	0.26%	0.29%	0.32%	0.49%	0.14%	0.33%	0.56%	0.12%	0.36%	0.30%	0.05%	0.0%	0.0%	0.21%	0.0%	0.0%	0.25%	0.0%	0.26%	0.0%	0.0%	0.23%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.27%	0.39%	0.08%	0.19%	0.0%	0.17%	0.04%	0.15%	0.29%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.23%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6730	246	253	276	248	244	262	320	265	222	124	180	181	172	171	229	259	260	231	232	307	246	82	26	63	11	15	80	6	42	24	1	85	5	2	2	27	4	1	26	16	119	92	131	35	86	55	20	196	317	42	25	9	3	17	0	26	82	29					
		12.72%	16.49%	16.23%	17.68%	16.18%	16.45%	18.60%	18.27%	16.99%	16.12%	7.02%	16.05%	13.18%	13.98%	14.07%	16.14%	14.59%	16.31%	14.92%	16.83%	18.44%	13.96%	13.26%	12.74%	13.26%	11.45%	16.12%	10.29%	5.40%	11.02%	13.79%	2.94%	19.81%	10.0%	4.76%	4.76%	13.17%	11.42%	1.58%	16.99%	12.03%	24.79%	28.39%	12.04%	4.59%	7.32%	2.65%	2.35%	8.45%	15.65%	3.30%	1.81%	1.86%	1.05%	5.98%	0.0%	4.31%	6.17%	6.72%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	113	0	1	0	17	1	1	3	2	0	4	6	1	2	1	2	0	0	0	0	2	1	2	4	0	1	0	3	2	2	0	0	1	0	0	0	2	0	0	1	0	1	0	3	1	4	14	3	1	5	1	5	0	1	0	1	3	4	4					
		0.21%	0.0%	0.06%	0.0%	1.10%	0.06%	0.07%	0.17%	0.12%	0.0%	0.22%	0.53%	0.07%	0.16%	0.08%	0.14%	0.0%	0.0%	0.0%	0.0%	0.12%	0.05%	0.32%	1.96%	0.0%	1.04%	0.0%	0.38%	1.80%	0.52%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.65%	0.0%	0.20%	0.0%	0.27%	0.13%	0.34%	0.67%	0.35%	0.04%	0.24%	0.07%	0.36%	0.0%	0.35%	0.0%	1.29%	0.49%	0.30%	0.92%					
35	"18. ""ЛДПР"""	4366	84	73	84	87	72	69	98	66	60	186	61	109	92	75	76	96	64	60	79	65	102	48	18	16	6	1	79	4	68	16	0	26	0	0	1	11	2	2	9	6	45	30	212	122	226	168	168	244	221	205	195	28	23	18	4	155	148	83					
		8.25%	5.63%	4.68%	5.38%	5.67%	4.85%	4.90%	5.59%	4.23%	4.35%	10.54%	5.44%	7.93%	7.47%	6.17%	5.35%	5.41%	4.01%	3.87%	5.73%	3.90%	5.79%	7.76%	8.82%	3.36%	6.25%	1.07%	10.16%	3.60%	17.84%	9.19%	0.0%	6.06%	0.0%	0.0%	2.38%	5.36%	5.71%	3.17%	5.88%	4.51%	9.37%	9.25%	19.48%	16.01%	19.25%	8.11%	19.81%	10.52%	10.91%	16.14%	14.19%	5.79%	8.07%	6.33%	5.19%	25.74%	11.15%	19.25%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	538	12	19	12	16	18	16	25	14	12	33	6	7	9	14	19	15	10	21	13	19	13	8	1	3	4	1	21	4	7	6	0	6	2	0	0	8	1	1	1	3	10	1	14	10	5	12	9	15	13	9	6	5	2	7	1	5	10	4					
		1.01%	0.80%	1.21%	0.76%	1.04%	1.21%	1.13%	1.42%	0.89%	0.87%	1.87%	0.53%	0.50%	0.73%	1.15%	1.33%	0.84%	0.62%	1.35%	0.94%	1.14%	0.73%	1.29%	0.49%	0.63%	4.16%	1.07%	2.70%	3.60%	1.83%	3.44%	0.0%	1.39%	4.0%	0.0%	0.0%	3.90%	2.85%	1.58%	0.65%	2.25%	2.08%	0.30%	1.28%	1.31%	0.42%	0.57%	1.06%	0.64%	0.64%	0.70%	0.43%	1.03%	0.70%	2.46%	1.29%	0.83%	0.75%	0.92%					
37	"20. ""Политическая партия ""Единая Россия"""	20421	367	488	487	478	457	426	490	440	403	534	388	522	401	420	451	551	464	427	446	411	548	213	83	248	38	25	253	64	102	69	16	120	22	17	23	70	16	28	63	52	158	81	415	389	610	1556	436	1266	879	751	787	359	206	180	49	250	832	96					
		38.60%	24.61%	31.32%	31.19%	31.20%	30.81%	30.25%	27.98%	28.22%	29.26%	30.27%	34.61%	38.01%	32.60%	34.56%	31.80%	31.05%	29.10%	27.58%	32.36%	24.69%	31.11%	34.46%	40.68%	52.21%	39.58%	26.88%	32.56%	57.65%	26.77%	39.65%	47.05%	27.97%	44.0%	40.47%	54.76%	34.14%	45.71%	44.44%	41.17%	39.09%	32.91%	25.0%	38.14%	51.04%	51.95%	75.13%	51.41%	54.61%	43.40%	59.13%	57.27%	74.32%	72.28%	63.38%	63.63%	41.52%	62.69%	22.27%					
38	"21. ""Российская Конституционно-демократическая партия"""	99	2	1	0	0	1	1	4	2	3	4	0	5	3	4	1	3	1	3	2	3	4	1	0	0	0	0	4	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	8	2	4	0	1	2	5	1	4	2	1	6	0	2	2	1					
		0.18%	0.13%	0.06%	0.0%	0.0%	0.06%	0.07%	0.22%	0.12%	0.21%	0.22%	0.0%	0.36%	0.24%	0.32%	0.07%	0.16%	0.06%	0.19%	0.14%	0.18%	0.22%	0.16%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.26%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.73%	0.26%	0.34%	0.0%	0.11%	0.08%	0.24%	0.07%	0.29%	0.41%	0.35%	2.11%	0.0%	0.33%	0.15%	0.23%					
39	"22. ""Развитие предпринимательства"""	132	4	6	12	5	3	3	0	1	1	8	3	3	1	4	3	4	5	4	0	4	4	1	3	0	1	0	1	1	0	1	0	1	0	0	0	3	0	0	0	1	1	5	2	3	1	3	5	5	4	4	4	0	0	2	0	0	1	1					
		0.24%	0.26%	0.38%	0.76%	0.32%	0.20%	0.21%	0.0%	0.06%	0.07%	0.45%	0.26%	0.21%	0.08%	0.32%	0.21%	0.22%	0.31%	0.25%	0.0%	0.24%	0.22%	0.16%	1.47%	0.0%	1.04%	0.0%	0.12%	0.90%	0.0%	0.57%	0.0%	0.23%	0.0%	0.0%	0.0%	1.46%	0.0%	0.0%	0.0%	0.75%	0.20%	1.54%	0.18%	0.39%	0.08%	0.14%	0.58%	0.21%	0.19%	0.31%	0.29%	0.0%	0.0%	0.70%	0.0%	0.0%	0.07%	0.23%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4403	179	113	145	136	148	135	166	161	163	132	102	119	99	100	130	158	156	145	121	144	157	54	14	73	7	12	89	7	44	16	5	30	5	3	0	18	4	8	12	23	78	56	76	56	76	45	37	138	195	40	67	18	7	23	3	32	57	66					
		8.32%	12.00%	7.25%	9.28%	8.87%	9.97%	9.58%	9.48%	10.32%	11.83%	7.48%	9.09%	8.66%	8.04%	8.23%	9.16%	8.90%	9.78%	9.36%	8.78%	8.65%	8.91%	8.73%	6.86%	15.36%	7.29%	12.90%	11.45%	6.30%	11.54%	9.19%	14.70%	6.99%	10.0%	7.14%	0.0%	8.78%	11.42%	12.69%	7.84%	17.29%	16.25%	17.28%	6.98%	7.34%	6.47%	2.17%	4.36%	5.95%	9.62%	3.14%	4.87%	3.72%	2.45%	8.09%	3.89%	5.31%	4.29%	15.31%					
																																																																	
