Выборы Президента Российской Федерации																																																																															
																																																																															
"Наименование Избирательной комиссии:    Омск, Ленинская"																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593					
11	Число полученных открепительных  удостоверений	3107	50	30	35	50	75	40	45	60	40	30	30	40	50	50	40	45	120	40	0	50	40	40	60	40	40	0	40	40	40	40	40	20	40	40	50	40	40	45	40	35	25	25	30	40	40	20	20	40	187	70	50	60	55	55	60	30	30	20	20	0	55	30	45	50	50	50	50	50	50	60	50	0					
12	Число выданных открепительных удостоверений	2370	38	21	31	33	61	33	40	45	29	28	26	36	32	32	30	35	118	28	0	36	36	33	47	17	29	0	13	25	31	19	9	2	40	34	39	32	35	40	27	30	24	21	30	22	33	13	12	37	156	41	41	47	43	42	44	30	21	9	17	0	45	27	45	40	34	36	33	37	37	48	35	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1477	28	23	16	23	20	19	22	36	66	106	19	25	19	13	21	12	14	26	44	23	19	32	32	20	22	26	26	18	14	20	12	15	12	13	15	8	8	12	13	23	18	15	15	11	17	16	13	8	22	20	24	17	23	23	31	15	12	23	13	9	12	14	14	23	16	19	17	16	10	17	5	34					
14	Число неиспользованных открепительных удостоверений	737	12	9	4	17	14	7	5	15	11	2	4	4	18	18	10	10	2	12	0	14	4	7	13	23	11	0	27	15	9	21	31	18	0	6	11	8	5	5	13	5	1	4	0	18	7	7	8	3	31	29	9	13	12	13	16	0	9	11	3	0	10	3	0	10	16	14	17	13	13	12	15	0					
15	"Число открепительных удостоверений, выданных в ТИК"	60	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																															
18	. Глазьев Сергей Юрьевич	4422	126	113	95	77	69	83	127	101	90	92	78	83	98	78	96	101	83	87	9	55	70	58	68	27	40	16	35	39	24	42	25	11	58	68	86	68	61	48	48	58	39	32	77	35	54	31	14	13	69	68	31	60	55	66	68	42	31	8	60	10	75	71	48	81	67	107	81	80	77	131	47	3					
		4.68%	7.81%	7.71%	6.57%	5.88%	5.38%	5.59%	8.17%	6.82%	6.19%	6.69%	6.28%	6.14%	7.12%	5.61%	6.23%	7.07%	5.81%	5.91%	3.60%	4.29%	4.79%	3.33%	3.65%	2.26%	3.02%	7.80%	3.16%	3.27%	1.91%	3.12%	2.52%	2.59%	3.99%	4.89%	5.49%	4.61%	4.46%	3.32%	4.40%	3.98%	3.74%	3.24%	5.68%	3.31%	4.59%	2.87%	2.16%	2.34%	2.68%	4.61%	1.75%	3.70%	3.45%	4.00%	4.49%	3.75%	2.71%	1.73%	6.67%	2.61%	5.67%	4.82%	3.16%	5.30%	4.51%	7.30%	5.83%	5.34%	5.32%	6.87%	1.82%	1.82%					
19	. Малышкин Олег Александрович	2623	28	25	37	11	16	26	24	32	25	40	33	45	35	26	33	32	56	33	4	32	36	67	76	27	51	3	18	41	33	51	42	12	63	24	31	26	34	46	22	61	29	43	37	47	65	38	13	28	67	48	56	42	43	56	50	33	53	17	32	8	45	41	53	42	40	37	34	42	29	42	51	5					
		2.78%	1.73%	1.71%	2.56%	0.84%	1.25%	1.75%	1.54%	2.16%	1.72%	2.91%	2.65%	3.33%	2.54%	1.87%	2.14%	2.24%	3.92%	2.24%	1.60%	2.49%	2.46%	3.84%	4.08%	2.26%	3.85%	1.46%	1.63%	3.44%	2.63%	3.79%	4.23%	2.83%	4.33%	1.72%	1.98%	1.76%	2.48%	3.18%	2.02%	4.18%	2.78%	4.35%	2.73%	4.44%	5.53%	3.52%	2.00%	5.05%	2.61%	3.26%	3.16%	2.59%	2.70%	3.39%	3.30%	2.95%	4.63%	3.67%	3.56%	2.09%	3.40%	2.78%	3.49%	2.75%	2.69%	2.52%	2.45%	2.81%	2.00%	2.20%	1.98%	3.03%					
20	. Миронов Сергей Михайлович	788	9	22	16	8	13	17	12	21	12	8	15	9	16	5	21	20	15	15	1	17	18	8	16	5	11	3	8	3	10	8	7	4	8	13	8	20	12	12	8	19	6	11	14	7	9	8	3	8	9	5	12	8	9	8	12	11	7	7	7	4	15	14	21	13	14	7	6	10	15	12	21	2					
		0.83%	0.56%	1.50%	1.11%	0.61%	1.01%	1.14%	0.77%	1.42%	0.82%	0.58%	1.21%	0.67%	1.16%	0.36%	1.36%	1.40%	1.05%	1.02%	0.40%	1.33%	1.23%	0.46%	0.86%	0.42%	0.83%	1.46%	0.72%	0.25%	0.80%	0.59%	0.70%	0.94%	0.55%	0.93%	0.51%	1.36%	0.88%	0.83%	0.73%	1.30%	0.57%	1.11%	1.03%	0.66%	0.77%	0.74%	0.46%	1.44%	0.35%	0.34%	0.68%	0.49%	0.56%	0.48%	0.79%	0.98%	0.61%	1.51%	0.78%	1.04%	1.13%	0.95%	1.38%	0.85%	0.94%	0.48%	0.43%	0.67%	1.04%	0.63%	0.81%	1.21%					
21	. Путин Владимир Владимирович	62945	936	888	845	796	814	950	930	869	890	844	766	838	854	876	911	935	943	936	168	845	941	1235	1286	769	876	126	752	832	906	916	674	310	919	902	1068	984	931	975	747	934	721	689	845	725	757	715	490	399	2031	956	1400	1095	1099	1108	1028	751	790	312	569	300	839	1027	999	1011	985	875	895	983	946	1317	2233	138					
		66.62%	57.99%	60.57%	58.40%	60.76%	63.49%	63.93%	59.81%	58.72%	61.17%	61.38%	61.63%	62.03%	62.06%	63.02%	59.08%	65.43%	66.04%	63.59%	67.20%	65.86%	64.41%	70.81%	69.10%	64.35%	66.06%	61.46%	67.99%	69.86%	72.08%	68.00%	67.81%	73.11%	63.16%	64.80%	68.20%	66.76%	68.01%	67.47%	68.53%	64.06%	69.06%	69.67%	62.36%	68.46%	64.37%	66.27%	75.50%	71.89%	79.03%	64.86%	78.92%	67.47%	68.90%	67.15%	67.90%	67.05%	69.00%	67.39%	63.22%	78.33%	63.46%	69.72%	65.85%	66.21%	66.33%	59.69%	64.43%	65.66%	65.33%	69.03%	86.65%	83.64%					
22	. Хакамада Ирина Муцуовна	4588	134	119	137	106	103	99	104	90	121	99	54	99	88	93	95	89	73	68	3	76	87	83	72	49	56	6	39	36	44	39	22	11	63	70	66	68	60	46	60	77	35	38	86	32	47	50	14	12	63	76	51	63	59	74	67	49	35	11	39	5	88	71	71	74	77	72	69	67	88	53	45	3					
		4.86%	8.30%	8.12%	9.47%	8.09%	8.03%	6.66%	6.69%	6.08%	8.32%	7.20%	4.34%	7.33%	6.40%	6.69%	6.16%	6.23%	5.11%	4.62%	1.20%	5.92%	5.95%	4.76%	3.87%	4.10%	4.22%	2.93%	3.53%	3.02%	3.50%	2.90%	2.21%	2.59%	4.33%	5.03%	4.21%	4.61%	4.38%	3.18%	5.50%	5.28%	3.35%	3.84%	6.35%	3.02%	4.00%	4.63%	2.16%	2.16%	2.45%	5.16%	2.87%	3.88%	3.70%	4.48%	4.43%	4.38%	3.06%	2.38%	4.33%	1.31%	6.66%	4.82%	4.68%	4.85%	5.19%	4.91%	4.97%	4.48%	6.08%	2.78%	1.75%	1.82%					
23	. Харитонов Николай Михайлович	14537	284	229	236	247	207	246	289	311	253	232	240	198	230	244	309	186	179	248	50	175	253	218	235	272	221	36	203	188	190	239	182	57	272	251	216	234	210	249	158	231	156	122	221	152	205	184	85	78	197	255	136	274	268	253	226	169	200	88	145	38	192	159	244	237	222	302	230	240	230	248	64	9					
		15.39%	17.60%	15.62%	16.31%	18.85%	16.15%	16.55%	18.59%	21.01%	17.39%	16.87%	19.31%	14.66%	16.72%	17.55%	20.04%	13.02%	12.54%	16.85%	20.00%	13.64%	17.32%	12.50%	12.63%	22.76%	16.67%	17.56%	18.35%	15.79%	15.12%	17.74%	18.31%	13.44%	18.69%	18.03%	13.79%	15.88%	15.34%	17.23%	14.50%	15.84%	14.94%	12.34%	16.31%	14.35%	17.43%	17.05%	13.10%	14.05%	7.67%	17.30%	7.67%	16.88%	16.80%	15.33%	14.93%	15.09%	17.47%	19.01%	16.11%	9.92%	14.52%	10.79%	16.08%	15.52%	14.95%	20.60%	16.56%	16.03%	15.88%	13.00%	2.48%	5.45%					
																																																																															
24	Против всех	3786	85	59	77	49	51	55	62	51	59	52	46	64	50	56	72	60	60	67	11	72	45	55	85	38	50	13	40	35	36	37	36	7	61	51	74	66	46	48	44	73	45	44	66	50	37	37	16	11	119	66	71	75	53	74	56	47	20	14	28	5	61	72	62	54	71	56	59	59	59	88	108	5					
		4.01%	5.27%	4.02%	5.32%	3.74%	3.98%	3.70%	3.99%	3.45%	4.05%	3.78%	3.70%	4.74%	3.63%	4.03%	4.67%	4.20%	4.20%	4.55%	4.40%	5.61%	3.08%	3.15%	4.57%	3.18%	3.77%	6.34%	3.62%	2.94%	2.86%	2.75%	3.62%	1.65%	4.19%	3.66%	4.73%	4.48%	3.36%	3.32%	4.04%	5.01%	4.31%	4.45%	4.87%	4.72%	3.15%	3.43%	2.47%	1.98%	4.63%	4.48%	4.00%	4.62%	3.32%	4.48%	3.70%	4.20%	1.75%	3.02%	3.11%	1.31%	4.61%	4.89%	4.09%	3.54%	4.78%	3.82%	4.25%	3.94%	4.07%	4.61%	4.19%	3.03%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
