Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Киреевская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	730	15	25	15	15	15	15	10	20	15	20	15	20	10	20	10	10	26	13	15	17	15	20	5	15	15	15	15	15	15	21	30	5	15	15	15	15	5	5	5	5	5	10	7	5	5	5	5	13	10	10	13	5	5	5	5	15	10	5	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	650	12	22	13	15	15	15	10	20	15	20	15	19	10	20	10	10	26	13	15	17	9	20	3	15	7	8	13	15	15	18	30	5	12	15	9	15	1	5	5	5	5	10	7	5	0	5	5	13	6	10	13	5	1	3	2	15	6	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	376	7	2	1	13	8	12	27	8	8	14	5	35	7	10	2	8	5	6	7	9	4	8	2	13	3	8	5	5	5	12	3	7	3	4	4	6	3	5	3	2	2	2	6	1	4	7	5	1	2	1	5	8	3	5	5	3	5	6	6	0									
14	Число погашенных неиспользованных открепительных удостоверений	80	3	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	2	0	8	7	2	0	0	3	0	0	3	0	6	0	4	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	4	2	3	0	4	5	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	266	15	8	12	8	13	8	20	9	13	7	13	12	8	11	7	9	4	2	6	4	12	9	0	0	1	0	4	2	0	8	9	0	2	0	0	3	1	0	2	0	2	1	2	0	1	3	3	3	0	0	1	1	0	0	0	3	4	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	362	3	7	12	8	7	5	6	12	12	7	9	14	14	3	18	4	8	5	8	6	15	9	2	6	7	5	9	9	11	25	8	0	9	0	1	6	2	2	0	1	2	5	2	5	5	3	9	4	9	0	0	5	5	1	2	7	0	1	2	0									
		1.38%	1.09%	1.17%	2.43%	1.51%	1.41%	1.09%	1.15%	2.08%	2.17%	1.34%	1.55%	2.46%	3.19%	0.63%	4.21%	1.13%	1.63%	1.01%	1.14%	0.85%	1.87%	1.36%	1.04%	0.76%	1.67%	1.06%	1.59%	1.67%	2.24%	2.38%	0.87%	0.00%	1.15%	0.00%	0.18%	1.05%	0.97%	0.84%	0.00%	0.65%	1.90%	0.92%	1.15%	2.92%	1.18%	0.56%	1.55%	1.04%	2.49%	0.00%	0.00%	1.62%	3.07%	0.40%	0.64%	1.58%	0.00%	0.68%	0.95%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	759	9	6	8	21	17	10	30	20	17	9	18	23	16	18	10	11	24	18	26	19	19	17	3	15	12	12	12	19	14	35	33	1	17	23	15	9	1	5	3	2	3	14	3	2	8	21	21	14	8	5	7	5	2	2	7	20	4	3	10	3									
		2.88%	3.27%	1.00%	1.62%	3.96%	3.42%	2.18%	5.73%	3.47%	3.07%	1.72%	3.09%	4.04%	3.64%	3.75%	2.34%	3.12%	4.90%	3.62%	3.71%	2.70%	2.37%	2.56%	1.55%	1.90%	2.86%	2.54%	2.12%	3.52%	2.85%	3.33%	3.58%	0.64%	2.16%	4.39%	2.77%	1.57%	0.49%	2.09%	1.69%	1.30%	2.86%	2.58%	1.72%	1.17%	1.90%	3.89%	3.61%	3.63%	2.21%	2.31%	4.22%	1.62%	1.23%	0.81%	2.24%	4.50%	2.53%	2.03%	4.76%	2.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	753	11	16	14	20	18	23	26	19	18	16	18	25	9	15	11	8	45	24	18	15	27	16	4	11	10	17	14	16	20	31	17	2	27	15	11	17	3	3	6	10	1	11	2	4	2	4	13	7	4	4	1	5	4	4	5	18	9	7	1	1									
		2.86%	4.00%	2.68%	2.83%	3.77%	3.62%	5.01%	4.96%	3.29%	3.25%	3.06%	3.09%	4.39%	2.05%	3.13%	2.57%	2.27%	9.18%	4.83%	2.57%	2.13%	3.36%	2.41%	2.07%	1.40%	2.39%	3.59%	2.47%	2.96%	4.07%	2.95%	1.84%	1.27%	3.44%	2.86%	2.03%	2.97%	1.46%	1.26%	3.37%	6.49%	0.95%	2.03%	1.15%	2.34%	0.47%	0.74%	2.24%	1.81%	1.10%	1.85%	0.60%	1.62%	2.45%	1.62%	1.60%	4.05%	5.70%	4.73%	0.48%	0.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14497	101	337	222	230	235	211	222	241	313	255	263	275	207	271	212	157	201	273	381	375	516	433	96	526	197	244	254	232	257	602	493	118	498	309	385	333	134	169	109	108	71	330	116	124	284	330	258	217	202	152	96	214	101	217	236	207	78	91	111	67									
		55.08%	36.73%	56.35%	44.94%	43.40%	47.28%	45.97%	42.37%	41.77%	56.50%	48.76%	45.19%	48.33%	47.15%	56.46%	49.53%	44.48%	41.02%	54.93%	54.35%	53.27%	64.26%	65.21%	49.74%	66.75%	47.02%	51.59%	44.88%	42.96%	52.24%	57.28%	53.41%	75.16%	63.36%	58.97%	71.16%	58.12%	65.05%	70.71%	61.24%	70.13%	67.62%	60.89%	66.67%	72.51%	67.30%	61.11%	44.41%	56.22%	55.80%	70.37%	57.83%	69.48%	61.96%	87.85%	75.64%	46.62%	49.37%	61.49%	52.86%	55.83%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	217	1	5	8	6	7	1	4	6	8	4	1	8	3	9	2	4	0	3	9	4	2	4	2	4	11	7	4	8	8	9	8	1	4	0	3	3	3	2	3	0	0	12	1	2	0	4	2	2	0	1	3	0	2	2	0	4	0	0	2	1									
		0.82%	0.36%	0.84%	1.62%	1.13%	1.41%	0.22%	0.76%	1.04%	1.44%	0.76%	0.17%	1.41%	0.68%	1.88%	0.47%	1.13%	0.00%	0.60%	1.28%	0.57%	0.25%	0.60%	1.04%	0.51%	2.63%	1.48%	0.71%	1.48%	1.63%	0.86%	0.87%	0.64%	0.51%	0.00%	0.55%	0.52%	1.46%	0.84%	1.69%	0.00%	0.00%	2.21%	0.57%	1.17%	0.00%	0.74%	0.34%	0.52%	0.00%	0.46%	1.81%	0.00%	1.23%	0.81%	0.00%	0.90%	0.00%	0.00%	0.95%	0.83%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	1	1	1	0	2	2	0	2	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	6	0	1	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	1	0	0	0	1	0	0	1	6	0	0	0	0									
		0.16%	0.36%	0.17%	0.20%	0.00%	0.40%	0.44%	0.00%	0.35%	0.18%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.12%	0.00%	0.00%	0.76%	0.00%	0.21%	0.18%	0.56%	0.20%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.19%	0.17%	0.26%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.32%	1.35%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3937	32	96	89	91	87	89	74	98	66	89	83	89	70	80	85	63	85	82	106	120	99	95	30	86	80	65	107	109	68	128	134	19	72	59	56	103	37	25	28	15	11	69	26	15	72	72	121	77	51	23	26	41	30	9	26	78	31	16	34	20									
		14.96%	11.64%	16.05%	18.02%	17.17%	17.51%	19.39%	14.12%	16.98%	11.91%	17.02%	14.26%	15.64%	15.95%	16.67%	19.86%	17.85%	17.35%	16.50%	15.12%	17.05%	12.33%	14.31%	15.54%	10.91%	19.09%	13.74%	18.90%	20.19%	13.82%	12.18%	14.52%	12.10%	9.16%	11.26%	10.35%	17.98%	17.96%	10.46%	15.73%	9.74%	10.48%	12.73%	14.94%	8.77%	17.06%	13.33%	20.83%	19.95%	14.09%	10.65%	15.66%	13.31%	18.40%	3.64%	8.33%	17.57%	19.62%	10.81%	16.19%	16.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	128	0	3	3	1	2	1	6	4	4	2	8	3	2	1	0	3	0	1	3	1	5	4	3	4	3	3	6	7	3	4	4	0	8	0	2	2	2	0	0	0	0	2	0	0	3	3	4	0	1	0	1	1	1	0	0	0	1	0	2	1									
		0.49%	0.00%	0.50%	0.61%	0.19%	0.40%	0.22%	1.15%	0.69%	0.72%	0.38%	1.37%	0.53%	0.46%	0.21%	0.00%	0.85%	0.00%	0.20%	0.43%	0.14%	0.62%	0.60%	1.55%	0.51%	0.72%	0.63%	1.06%	1.30%	0.61%	0.38%	0.43%	0.00%	1.02%	0.00%	0.37%	0.35%	0.97%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.71%	0.56%	0.69%	0.00%	0.28%	0.00%	0.60%	0.32%	0.61%	0.00%	0.00%	0.00%	0.63%	0.00%	0.95%	0.83%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	163	3	1	2	6	3	0	6	8	5	6	8	6	0	1	3	6	3	4	7	5	6	3	2	4	0	2	8	4	5	3	3	0	2	0	2	3	0	0	0	0	0	1	2	0	0	3	5	5	2	1	4	2	0	1	3	1	0	0	3	0									
		0.62%	1.09%	0.17%	0.40%	1.13%	0.60%	0.00%	1.15%	1.39%	0.90%	1.15%	1.37%	1.05%	0.00%	0.21%	0.70%	1.70%	0.61%	0.80%	0.99%	0.71%	0.75%	0.45%	1.04%	0.51%	0.00%	0.42%	1.41%	0.74%	1.02%	0.29%	0.33%	0.00%	0.25%	0.00%	0.37%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	1.15%	0.00%	0.00%	0.56%	0.86%	1.30%	0.55%	0.46%	2.41%	0.65%	0.00%	0.40%	0.96%	0.23%	0.00%	0.00%	1.43%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	36	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	3	0	0	0	1	1	2	0	1	1	1	3	0	1	1	0	0	0	0	3	0	2	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.17%	0.18%	0.00%	0.17%	0.18%	0.23%	0.21%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.12%	0.15%	1.04%	0.00%	0.24%	0.21%	0.18%	0.56%	0.00%	0.10%	0.11%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.84%	0.00%	0.00%	0.95%	0.74%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.68%	0.00%	0.83%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	305	1	4	5	6	7	8	12	9	6	8	9	6	9	4	4	5	4	3	9	9	8	9	3	7	5	9	16	3	12	14	12	0	13	0	3	2	2	1	0	0	1	6	1	0	0	1	20	2	10	0	7	1	0	1	1	6	1	0	0	0									
		1.16%	0.36%	0.67%	1.01%	1.13%	1.41%	1.74%	2.29%	1.56%	1.08%	1.53%	1.55%	1.05%	2.05%	0.83%	0.93%	1.42%	0.82%	0.60%	1.28%	1.28%	0.99%	1.36%	1.55%	0.89%	1.19%	1.90%	2.83%	0.56%	2.44%	1.33%	1.30%	0.00%	1.65%	0.00%	0.55%	0.35%	0.97%	0.42%	0.00%	0.00%	0.95%	1.11%	0.57%	0.00%	0.00%	0.19%	3.44%	0.52%	2.76%	0.00%	4.22%	0.32%	0.00%	0.40%	0.32%	1.35%	0.63%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3683	53	70	82	97	83	71	107	101	65	88	96	104	79	44	54	66	84	58	92	101	76	68	30	99	61	76	102	86	65	124	154	8	104	98	53	72	18	26	19	14	13	67	17	15	43	85	107	45	50	24	8	26	16	9	28	71	29	27	34	21									
		13.99%	19.27%	11.71%	16.60%	18.30%	16.70%	15.47%	20.42%	17.50%	11.73%	16.83%	16.49%	18.28%	17.99%	9.17%	12.62%	18.70%	17.14%	11.67%	13.12%	14.35%	9.46%	10.24%	15.54%	12.56%	14.56%	16.07%	18.02%	15.93%	13.21%	11.80%	16.68%	5.10%	13.23%	18.70%	9.80%	12.57%	8.74%	10.88%	10.67%	9.09%	12.38%	12.36%	9.77%	8.77%	10.19%	15.74%	18.42%	11.66%	13.81%	11.11%	4.82%	8.44%	9.82%	3.64%	8.97%	15.99%	18.35%	18.24%	16.19%	17.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	85	0	3	3	0	2	4	0	2	2	4	5	1	2	3	0	0	5	1	2	1	1	1	1	0	0	1	0	3	1	2	6	0	6	0	1	2	0	0	1	0	0	5	1	0	0	0	1	1	1	0	1	1	1	0	0	4	0	0	2	1									
		0.32%	0.00%	0.50%	0.61%	0.00%	0.40%	0.87%	0.00%	0.35%	0.36%	0.76%	0.86%	0.18%	0.46%	0.63%	0.00%	0.00%	1.02%	0.20%	0.29%	0.14%	0.12%	0.15%	0.52%	0.00%	0.00%	0.21%	0.00%	0.56%	0.20%	0.19%	0.65%	0.00%	0.76%	0.00%	0.18%	0.35%	0.00%	0.00%	0.56%	0.00%	0.00%	0.92%	0.57%	0.00%	0.00%	0.00%	0.17%	0.26%	0.28%	0.00%	0.60%	0.32%	0.61%	0.00%	0.00%	0.90%	0.00%	0.00%	0.95%	0.83%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	844	7	23	25	33	22	27	15	42	28	22	40	1	16	20	22	15	14	11	25	23	17	4	9	12	30	17	19	25	23	51	37	3	19	11	8	15	4	1	3	3	2	10	3	3	4	11	13	2	20	3	9	6	1	0	3	7	0	1	3	1									
		3.21%	2.55%	3.85%	5.06%	6.23%	4.43%	5.88%	2.86%	7.28%	5.05%	4.21%	6.87%	0.18%	3.64%	4.17%	5.14%	4.25%	2.86%	2.21%	3.57%	3.27%	2.12%	0.60%	4.66%	1.52%	7.16%	3.59%	3.36%	4.63%	4.67%	4.85%	4.01%	1.91%	2.42%	2.10%	1.48%	2.62%	1.94%	0.42%	1.69%	1.95%	1.90%	1.85%	1.72%	1.75%	0.95%	2.04%	2.24%	0.52%	5.52%	1.39%	5.42%	1.95%	0.61%	0.00%	0.96%	1.58%	0.00%	0.68%	1.43%	0.83%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
