Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №29																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176									
14	Число погашенных неиспользованных открепительных удостоверений	2335	29	31	28	33	31	31	36	34	27	31	37	32	32	29	33	33	31	40	36	30	23	35	29	38	39	37	34	23	30	36	41	35	22	32	32	34	31	30	37	35	33	42	43	24	33	29	18	26	29	36	39	31	37	34	39	31	29	25	35	25	36	34	25	31	31	34	25	33	32	30	29	33	27									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	169	2	2	2	1	3	0	2	2	2	2	2	2	1	3	1	3	3	1	2	1	4	0	5	1	2	0	0	1	1	3	5	2	3	3	6	0	2	2	1	3	2	0	4	2	1	0	3	4	5	6	2	2	2	8	4	4	1	3	2	1	1	3	7	2	1	3	1	1	0	3	4	4	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	899	2	14	0	3	3	4	3	1	1	3	1	1	2	1	2	14	2	9	1	2	7	3	2	1	2	3	17	2	3	2	17	22	24	29	18	20	24	14	21	33	18	23	16	19	16	21	31	11	16	10	19	1	26	21	17	20	33	23	10	18	19	18	27	18	2	10	8	26	1	22	22	18	6									
		1.90%	0.65%	1.95%	0.00%	0.57%	0.54%	0.58%	0.53%	0.16%	0.19%	0.32%	0.15%	0.13%	0.28%	0.15%	0.34%	1.87%	0.30%	1.66%	0.17%	0.26%	0.98%	0.54%	0.30%	0.21%	0.30%	0.52%	3.28%	0.36%	0.46%	0.37%	2.85%	2.75%	3.03%	4.16%	2.38%	2.46%	3.41%	2.66%	2.99%	4.06%	2.65%	3.39%	2.31%	2.51%	2.37%	3.19%	3.48%	1.36%	2.52%	1.70%	3.90%	0.20%	3.59%	3.17%	3.18%	2.30%	3.74%	3.05%	1.28%	2.72%	2.75%	2.82%	3.96%	2.65%	0.43%	2.38%	1.28%	3.78%	0.19%	3.04%	2.67%	4.10%	6.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	599	7	8	12	6	7	12	6	12	11	16	7	9	13	9	5	9	11	8	6	7	9	11	11	6	8	13	3	13	14	11	9	7	11	2	13	7	12	7	10	7	9	8	9	8	10	6	5	4	8	5	5	12	7	8	3	6	9	13	10	6	7	3	5	5	8	1	10	11	6	11	12	3	1									
		1.26%	2.28%	1.12%	1.70%	1.13%	1.26%	1.75%	1.06%	1.91%	2.08%	1.71%	1.05%	1.15%	1.80%	1.32%	0.86%	1.20%	1.68%	1.48%	1.03%	0.92%	1.26%	1.98%	1.64%	1.24%	1.21%	2.26%	0.58%	2.33%	2.15%	2.06%	1.51%	0.87%	1.39%	0.29%	1.72%	0.86%	1.70%	1.33%	1.43%	0.86%	1.33%	1.18%	1.30%	1.06%	1.48%	0.91%	0.56%	0.49%	1.26%	0.85%	1.03%	2.40%	0.97%	1.21%	0.56%	0.69%	1.02%	1.73%	1.28%	0.91%	1.01%	0.47%	0.73%	0.74%	1.71%	0.24%	1.61%	1.60%	1.12%	1.52%	1.46%	0.68%	1.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	867	0	27	1	1	1	3	5	7	6	11	7	9	10	6	5	9	8	22	5	3	10	7	6	1	3	6	5	5	3	1	21	14	19	16	28	17	14	18	11	22	18	13	14	19	16	18	20	19	7	10	19	4	18	20	16	26	21	32	17	16	19	9	12	15	3	2	10	23	3	15	24	12	4									
		1.83%	0.00%	3.77%	0.14%	0.19%	0.18%	0.44%	0.88%	1.11%	1.13%	1.18%	1.05%	1.15%	1.38%	0.88%	0.86%	1.20%	1.22%	4.07%	0.86%	0.39%	1.40%	1.26%	0.90%	0.21%	0.45%	1.05%	0.97%	0.90%	0.46%	0.19%	3.52%	1.75%	2.40%	2.30%	3.70%	2.09%	1.99%	3.42%	1.57%	2.71%	2.65%	1.92%	2.02%	2.51%	2.37%	2.73%	2.24%	2.35%	1.10%	1.70%	3.90%	0.80%	2.48%	3.02%	2.99%	2.99%	2.38%	4.25%	2.17%	2.42%	2.75%	1.41%	1.76%	2.21%	0.64%	0.48%	1.61%	3.34%	0.56%	2.07%	2.92%	2.73%	4.30%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19245	138	256	323	233	248	305	246	285	235	409	289	356	329	292	252	306	292	213	264	325	313	253	298	222	290	258	222	260	284	238	225	289	265	255	278	306	280	217	274	312	266	241	263	302	253	248	356	322	263	253	172	220	263	229	184	329	380	290	313	256	239	248	230	275	208	157	274	268	255	272	304	155	22									
		40.58%	44.95%	35.70%	45.88%	43.96%	44.52%	44.46%	43.46%	45.38%	44.42%	43.74%	43.33%	45.58%	45.44%	42.88%	43.37%	40.80%	44.51%	39.37%	45.52%	42.71%	43.78%	45.50%	44.48%	46.06%	43.74%	44.95%	42.86%	46.68%	43.56%	44.57%	37.69%	36.08%	33.46%	36.59%	36.77%	37.64%	39.77%	41.18%	39.09%	38.38%	39.23%	35.55%	37.95%	39.84%	37.48%	37.63%	39.91%	39.80%	41.42%	43.03%	35.32%	43.91%	36.28%	34.54%	34.39%	37.77%	43.08%	38.51%	40.03%	38.67%	34.64%	38.87%	33.77%	40.56%	44.54%	37.38%	43.98%	38.95%	47.75%	37.57%	36.94%	35.31%	23.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	516	1	21	0	1	1	2	2	5	1	3	4	2	3	6	2	7	2	10	5	1	2	2	3	4	1	1	7	5	2	1	15	12	12	11	8	6	20	7	4	11	8	11	15	10	11	9	18	14	8	15	6	2	7	12	8	10	7	8	6	4	6	12	8	10	2	10	12	13	2	10	12	13	4									
		1.09%	0.33%	2.93%	0.00%	0.19%	0.18%	0.29%	0.35%	0.80%	0.19%	0.32%	0.60%	0.26%	0.41%	0.88%	0.34%	0.93%	0.30%	1.85%	0.86%	0.13%	0.28%	0.36%	0.45%	0.83%	0.15%	0.17%	1.35%	0.90%	0.31%	0.19%	2.51%	1.50%	1.52%	1.58%	1.06%	0.74%	2.84%	1.33%	0.57%	1.35%	1.18%	1.62%	2.16%	1.32%	1.63%	1.37%	2.02%	1.73%	1.26%	2.55%	1.23%	0.40%	0.97%	1.81%	1.50%	1.15%	0.79%	1.06%	0.77%	0.60%	0.87%	1.88%	1.17%	1.47%	0.43%	2.38%	1.93%	1.89%	0.37%	1.38%	1.46%	2.96%	4.30%									
24	"6. Политическая партия ""Гражданская Платформа"""	358	4	1	7	6	6	8	9	8	6	18	12	11	7	11	6	4	8	0	10	6	14	10	14	10	12	11	1	11	11	6	0	4	2	2	3	4	0	2	2	0	4	3	5	3	2	1	4	1	2	1	1	9	1	1	1	1	4	7	2	0	3	0	2	1	9	2	2	3	7	3	4	2	0									
		0.75%	1.30%	0.14%	0.99%	1.13%	1.08%	1.17%	1.59%	1.27%	1.13%	1.93%	1.80%	1.41%	0.97%	1.62%	1.03%	0.53%	1.22%	0.00%	1.72%	0.79%	1.96%	1.80%	2.09%	2.07%	1.81%	1.92%	0.19%	1.97%	1.69%	1.12%	0.00%	0.50%	0.25%	0.29%	0.40%	0.49%	0.00%	0.38%	0.29%	0.00%	0.59%	0.44%	0.72%	0.40%	0.30%	0.15%	0.45%	0.12%	0.31%	0.17%	0.21%	1.80%	0.14%	0.15%	0.19%	0.11%	0.45%	0.93%	0.26%	0.00%	0.43%	0.00%	0.29%	0.15%	1.93%	0.48%	0.32%	0.44%	1.31%	0.41%	0.49%	0.46%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5751	39	77	64	71	81	95	72	81	70	125	85	116	88	94	70	82	91	62	71	79	93	79	95	66	92	80	78	71	84	78	54	108	110	88	76	95	110	52	85	78	66	101	72	85	79	79	96	88	72	58	58	75	70	83	63	99	85	78	91	81	91	64	87	103	62	34	56	76	62	80	129	32	11									
		12.13%	12.70%	10.74%	9.09%	13.40%	14.54%	13.85%	12.72%	12.90%	13.23%	13.37%	12.74%	14.85%	12.15%	13.80%	12.05%	10.93%	13.87%	11.46%	12.24%	10.38%	13.01%	14.21%	14.18%	13.69%	13.88%	13.94%	15.06%	12.75%	12.88%	14.61%	9.05%	13.48%	13.89%	12.63%	10.05%	11.69%	15.63%	9.87%	12.13%	9.59%	9.73%	14.90%	10.39%	11.21%	11.70%	11.99%	10.76%	10.88%	11.34%	9.86%	11.91%	14.97%	9.66%	12.52%	11.78%	11.37%	9.64%	10.36%	11.64%	12.24%	13.19%	10.03%	12.78%	15.19%	13.28%	8.10%	8.99%	11.05%	11.61%	11.05%	15.67%	7.29%	11.83%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	827	5	8	8	7	5	7	8	7	5	14	6	14	5	12	5	19	6	14	10	7	8	6	8	4	6	7	6	5	3	8	14	17	26	0	12	16	22	7	11	15	22	21	12	13	17	19	20	20	15	15	8	7	8	8	6	18	13	18	21	15	14	11	21	16	6	10	8	12	10	16	17	16	1									
		1.74%	1.63%	1.12%	1.14%	1.32%	0.90%	1.02%	1.41%	1.11%	0.95%	1.50%	0.90%	1.79%	0.69%	1.76%	0.86%	2.53%	0.91%	2.59%	1.72%	0.92%	1.12%	1.08%	1.19%	0.83%	0.90%	1.22%	1.16%	0.90%	0.46%	1.50%	2.35%	2.12%	3.28%	0.00%	1.59%	1.97%	3.13%	1.33%	1.57%	1.85%	3.24%	3.10%	1.73%	1.72%	2.52%	2.88%	2.24%	2.47%	2.36%	2.55%	1.64%	1.40%	1.10%	1.21%	1.12%	2.07%	1.47%	2.39%	2.69%	2.27%	2.03%	1.72%	3.08%	2.36%	1.28%	2.38%	1.28%	1.74%	1.87%	2.21%	2.07%	3.64%	1.08%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	4447	16	106	36	27	29	40	29	37	25	49	38	40	31	34	28	100	28	37	28	36	34	23	32	24	32	28	66	23	26	25	89	126	99	84	87	100	83	66	55	104	85	66	103	99	82	78	108	115	60	65	65	21	100	89	61	104	117	84	101	74	66	75	70	61	23	61	67	68	23	92	84	62	18									
		9.38%	5.21%	14.78%	5.11%	5.09%	5.21%	5.83%	5.12%	5.89%	4.73%	5.24%	5.70%	5.12%	4.28%	4.99%	4.82%	13.33%	4.27%	6.84%	4.83%	4.73%	4.76%	4.14%	4.78%	4.98%	4.83%	4.88%	12.74%	4.13%	3.99%	4.68%	14.91%	15.73%	12.50%	12.05%	11.51%	12.30%	11.79%	12.52%	7.85%	12.79%	12.54%	9.73%	14.86%	13.06%	12.15%	11.84%	12.11%	14.22%	9.45%	11.05%	13.35%	4.19%	13.79%	13.42%	11.40%	11.94%	13.27%	11.16%	12.92%	11.18%	9.57%	11.76%	10.28%	8.99%	4.93%	14.52%	10.75%	9.88%	4.31%	12.71%	10.21%	14.12%	19.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	137	1	5	1	1	1	4	1	1	2	1	5	2	4	2	1	5	5	2	3	3	2	2	2	1	2	2	0	1	1	1	0	0	1	0	1	4	2	3	3	2	0	4	5	1	1	2	1	4	1	0	2	1	1	1	0	4	2	2	0	5	2	2	3	0	2	0	1	1	3	2	0	4	0									
		0.29%	0.33%	0.70%	0.14%	0.19%	0.18%	0.58%	0.18%	0.16%	0.38%	0.11%	0.75%	0.26%	0.55%	0.29%	0.17%	0.67%	0.76%	0.37%	0.52%	0.39%	0.28%	0.36%	0.30%	0.21%	0.30%	0.35%	0.00%	0.18%	0.15%	0.19%	0.00%	0.00%	0.13%	0.00%	0.13%	0.49%	0.28%	0.57%	0.43%	0.25%	0.00%	0.59%	0.72%	0.13%	0.15%	0.30%	0.11%	0.49%	0.16%	0.00%	0.41%	0.20%	0.14%	0.15%	0.00%	0.46%	0.23%	0.27%	0.00%	0.76%	0.29%	0.31%	0.44%	0.00%	0.43%	0.00%	0.16%	0.15%	0.56%	0.28%	0.00%	0.91%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2904	11	53	25	16	16	16	23	33	16	37	24	23	34	33	27	46	27	46	28	35	28	27	28	23	32	28	33	24	28	26	54	57	79	71	47	71	32	26	56	63	37	39	47	58	56	34	54	34	44	31	34	26	55	50	62	79	54	50	38	52	62	53	67	32	26	48	43	47	34	48	42	51	15									
		6.12%	3.58%	7.39%	3.55%	3.02%	2.87%	2.33%	4.06%	5.25%	3.02%	3.96%	3.60%	2.94%	4.70%	4.85%	4.65%	6.13%	4.12%	8.50%	4.83%	4.60%	3.92%	4.86%	4.18%	4.77%	4.83%	4.88%	6.37%	4.31%	4.29%	4.87%	9.05%	7.12%	9.97%	10.19%	6.22%	8.73%	4.55%	4.93%	7.99%	7.75%	5.46%	5.75%	6.78%	7.65%	8.30%	5.16%	6.05%	4.20%	6.93%	5.27%	6.98%	5.19%	7.59%	7.54%	11.59%	9.07%	6.12%	6.64%	4.86%	7.85%	8.99%	8.31%	9.84%	4.72%	5.57%	11.43%	6.90%	6.83%	6.37%	6.63%	5.10%	11.62%	16.13%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5610	31	79	108	60	61	76	63	50	59	96	78	79	79	60	69	96	71	89	57	117	80	50	66	48	77	50	51	55	83	54	46	70	82	77	122	107	71	64	104	102	77	95	72	90	72	83	116	129	95	66	64	57	103	72	79	109	95	97	97	91	98	76	85	88	54	60	69	67	49	92	116	51	9									
		11.83%	10.10%	11.02%	15.34%	11.32%	10.95%	11.08%	11.13%	7.96%	11.15%	10.27%	11.69%	10.12%	10.91%	8.81%	11.88%	12.80%	10.82%	16.45%	9.83%	15.37%	11.19%	8.99%	9.85%	9.96%	11.61%	8.71%	9.85%	9.87%	12.73%	10.11%	7.71%	8.74%	10.35%	11.05%	16.14%	13.16%	10.09%	12.14%	14.84%	12.55%	11.36%	14.01%	10.39%	11.87%	10.67%	12.59%	13.00%	15.95%	14.96%	11.22%	13.14%	11.38%	14.21%	10.86%	14.77%	12.51%	10.77%	12.88%	12.40%	13.75%	14.20%	11.91%	12.48%	12.98%	11.56%	14.29%	11.08%	9.74%	9.18%	12.71%	14.09%	11.62%	9.68%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	211	0	0	3	3	3	4	2	1	5	6	1	8	7	6	5	3	2	0	6	13	7	2	1	1	6	1	4	5	6	4	2	5	0	5	3	3	2	3	1	5	3	1	2	6	1	3	2	1	1	0	1	1	3	0	4	2	0	1	5	2	2	3	5	3	1	1	3	1	2	1	3	3	0									
		0.44%	0.00%	0.00%	0.43%	0.57%	0.54%	0.58%	0.35%	0.16%	0.95%	0.64%	0.15%	1.02%	0.97%	0.88%	0.86%	0.40%	0.30%	0.00%	1.03%	1.71%	0.98%	0.36%	0.15%	0.21%	0.90%	0.17%	0.77%	0.90%	0.92%	0.75%	0.34%	0.62%	0.00%	0.72%	0.40%	0.37%	0.28%	0.57%	0.14%	0.62%	0.44%	0.15%	0.29%	0.79%	0.15%	0.46%	0.22%	0.12%	0.16%	0.00%	0.21%	0.20%	0.41%	0.00%	0.75%	0.23%	0.00%	0.13%	0.64%	0.30%	0.29%	0.47%	0.73%	0.44%	0.21%	0.24%	0.48%	0.15%	0.37%	0.14%	0.36%	0.68%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4172	45	40	111	89	87	104	91	93	79	142	101	104	104	109	96	40	96	21	79	121	102	76	95	67	92	80	23	73	97	75	40	53	41	43	48	42	26	41	59	46	46	28	29	35	42	34	38	26	22	43	26	62	49	43	21	34	41	40	43	19	35	44	41	42	57	20	48	42	71	35	31	14	0									
		8.80%	14.66%	5.58%	15.77%	16.79%	15.62%	15.16%	16.08%	14.81%	14.93%	15.19%	15.14%	13.32%	14.36%	16.01%	16.52%	5.33%	14.63%	3.88%	13.62%	15.90%	14.27%	13.67%	14.18%	13.90%	13.88%	13.94%	4.44%	13.11%	14.88%	14.04%	6.70%	6.62%	5.18%	6.17%	6.35%	5.17%	3.69%	7.78%	8.42%	5.66%	6.78%	4.13%	4.18%	4.62%	6.22%	5.16%	4.26%	3.21%	3.46%	7.31%	5.34%	12.38%	6.76%	6.49%	3.93%	3.90%	4.65%	5.31%	5.50%	2.87%	5.07%	6.90%	6.02%	6.19%	12.21%	4.76%	7.70%	6.10%	13.30%	4.83%	3.77%	3.19%	0.00%									
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
