Выборы Президента Российской Федерации																																	
																																	
"Наименование Избирательной комиссии:    Ростов-на-Дону, Кировская"																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК  1639					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	1915	60	46	64	80	90	123	108	71	78	71	34	91	68	84	99	117	68	38	60	94	155	65	87	25	37	2					
		5.77%	5.48%	5.74%	5.48%	4.35%	6.53%	7.55%	8.11%	7.23%	5.86%	6.07%	2.28%	6.76%	3.88%	6.52%	7.51%	7.20%	5.39%	4.31%	5.39%	6.28%	9.36%	6.00%	6.07%	3.73%	3.78%	0.18%					
19	. Малышкин Олег Александрович	484	27	14	12	17	20	23	12	8	31	27	26	17	33	14	10	23	18	18	17	23	19	16	26	22	8	3					
		1.46%	2.47%	1.75%	1.03%	0.92%	1.45%	1.41%	0.90%	0.81%	2.33%	2.31%	1.75%	1.26%	1.88%	1.09%	0.76%	1.42%	1.43%	2.04%	1.53%	1.54%	1.15%	1.48%	1.81%	3.28%	0.82%	0.28%					
20	. Миронов Сергей Михайлович	251	12	4	11	11	10	9	9	8	11	8	12	9	17	11	7	12	7	6	12	8	16	15	10	6	8	2					
		0.76%	1.10%	0.50%	0.94%	0.60%	0.73%	0.55%	0.68%	0.81%	0.83%	0.68%	0.81%	0.67%	0.97%	0.85%	0.53%	0.74%	0.56%	0.68%	1.08%	0.53%	0.97%	1.38%	0.70%	0.90%	0.82%	0.18%					
21	. Путин Владимир Владимирович	21414	683	494	737	1312	832	1053	730	594	869	760	1040	801	1225	804	825	954	808	567	699	928	984	680	890	407	673	1065					
		64.49%	62.37%	61.60%	63.15%	71.38%	60.33%	64.60%	54.80%	60.49%	65.34%	65.01%	69.89%	59.51%	69.84%	62.37%	62.55%	58.74%	64.08%	64.36%	62.75%	62.03%	59.42%	62.73%	62.11%	60.75%	68.74%	97.89%					
22	. Хакамада Ирина Муцуовна	3124	91	96	143	143	165	123	170	113	132	105	109	168	128	145	135	178	116	69	122	140	178	108	119	41	86	1					
		9.41%	8.31%	11.97%	12.25%	7.78%	11.97%	7.55%	12.76%	11.51%	9.92%	8.98%	7.33%	12.48%	7.30%	11.25%	10.24%	10.96%	9.20%	7.83%	10.95%	9.36%	10.75%	9.96%	8.30%	6.12%	8.78%	0.09%					
23	. Харитонов Николай Михайлович	3879	153	104	125	183	177	185	214	131	90	116	149	168	159	158	163	223	165	120	137	204	186	127	198	129	115	0					
		11.68%	13.97%	12.97%	10.71%	9.96%	12.84%	11.35%	16.07%	13.34%	6.77%	9.92%	10.01%	12.48%	9.06%	12.26%	12.36%	13.73%	13.08%	13.62%	12.30%	13.64%	11.23%	11.72%	13.82%	19.25%	11.75%	0.00%					
																																	
24	Против всех	1902	63	39	63	88	83	102	86	54	111	67	109	81	114	69	70	104	72	44	58	87	107	48	95	34	42	12					
		5.73%	5.75%	4.86%	5.40%	4.79%	6.02%	6.26%	6.46%	5.50%	8.35%	5.73%	7.33%	6.02%	6.50%	5.35%	5.31%	6.40%	5.71%	4.99%	5.21%	5.82%	6.46%	4.43%	6.63%	5.07%	4.29%	1.10%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
