Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Район Лефортово																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК  3117	УИК  3118	УИК  3119					
		0.23%	0.41%	0.52%	0.32%	0.23%	0.0%	0.34%	0.27%	0.0%	0.06%	0.25%	0.0%	0.19%	0.36%	0.21%	0.15%	0.33%	0.39%	0.57%	0.13%	0.06%	0.14%	0.06%	0.29%	0.14%	0.41%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2424	75	47	71	50	62	70	96	72	115	98	142	136	163	92	53	149	89	103	100	107	120	118	138	111	39	6	2					
		7.72%	7.83%	6.21%	7.57%	5.81%	7.01%	8.14%	8.84%	7.99%	7.95%	6.32%	10.70%	8.75%	6.65%	9.79%	8.37%	7.11%	5.81%	7.43%	6.68%	7.22%	8.50%	8.12%	10.08%	7.92%	8.10%	5.88%	4.34%					
																																		
41	Против всех	2343	68	55	69	67	67	58	78	64	86	116	73	116	257	78	64	161	158	100	90	102	109	88	69	92	47	9	2					
		7.46%	7.10%	7.27%	7.36%	7.79%	7.57%	6.75%	7.18%	7.10%	5.94%	7.48%	5.50%	7.46%	10.48%	8.30%	10.11%	7.68%	10.32%	7.22%	6.01%	6.88%	7.72%	6.06%	5.04%	6.57%	9.77%	8.82%	4.34%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
