Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Аургазинская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994									
		0.18%	0.00%	0.00%	0.27%	0.00%	0.00%	0.39%	0.69%	0.00%	0.74%	0.00%	0.99%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	2.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.34%	0.00%	0.11%	0.38%	0.00%	1.06%	0.00%	0.20%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	949	21	5	5	0	6	9	9	16	33	8	37	28	5	41	12	17	6	0	10	30	0	0	14	14	12	5	12	20	14	18	5	23	6	4	127	61	56	109	17	3	7	13	15	44	5	12	1	4	6	24									
		4.49%	5.61%	1.00%	0.68%	0.00%	1.82%	1.17%	3.13%	3.07%	8.15%	8.33%	7.34%	11.86%	0.90%	7.81%	5.91%	15.74%	2.65%	0.00%	1.60%	6.10%	0.00%	0.00%	2.60%	3.80%	7.27%	6.02%	4.71%	4.32%	6.60%	3.45%	0.92%	10.70%	3.68%	0.32%	10.83%	11.87%	6.26%	13.66%	5.45%	1.06%	3.91%	2.57%	7.50%	13.50%	1.14%	5.83%	0.28%	1.50%	3.80%	3.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	22	0	0	1	0	0	0	2	0	1	0	2	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	3	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0									
		0.10%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.69%	0.00%	0.25%	0.00%	0.40%	1.27%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	117	0	0	1	1	0	3	1	1	4	0	8	3	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	42	0	0	0	1	16	4	11	10	0	1	0	1	0	0	0	0	0	0	0	0									
		0.55%	0.00%	0.00%	0.14%	0.25%	0.00%	0.39%	0.35%	0.19%	0.99%	0.00%	1.59%	1.27%	0.90%	0.00%	0.49%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	8.06%	0.00%	0.00%	0.00%	0.08%	1.36%	0.78%	1.23%	1.25%	0.00%	0.35%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.14%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.25%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	44	0	5	1	0	2	2	0	1	2	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	2	2	0	1	0	2	0	0	0	1	0	0	0	0									
		0.21%	0.00%	1.00%	0.14%	0.00%	0.61%	0.26%	0.00%	0.19%	0.49%	0.00%	0.40%	1.27%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.97%	0.22%	0.25%	0.00%	0.35%	0.00%	0.40%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5913	71	16	250	131	113	280	38	176	74	15	117	130	136	72	39	17	68	206	190	98	113	92	50	125	40	15	77	139	68	83	151	30	10	442	197	141	223	85	72	220	81	401	32	217	149	19	107	79	48	170									
		27.95%	18.98%	3.21%	34.15%	32.67%	34.35%	36.41%	13.19%	33.72%	18.27%	15.63%	23.21%	55.08%	24.37%	13.71%	19.21%	15.74%	30.09%	34.11%	30.35%	19.92%	42.16%	26.59%	9.29%	33.97%	24.24%	18.07%	30.20%	30.02%	32.08%	15.93%	27.71%	13.95%	6.13%	35.02%	16.79%	27.43%	24.92%	10.65%	23.08%	78.01%	45.25%	79.25%	16.00%	66.56%	34.02%	9.22%	30.23%	29.70%	30.38%	26.15%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	68	0	0	3	2	0	3	0	0	1	0	5	2	0	5	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	1	6	0	1	0	2	0	0	10	0	0	0	0	8									
		0.32%	0.00%	0.00%	0.41%	0.50%	0.00%	0.39%	0.00%	0.00%	0.25%	0.00%	0.99%	0.85%	0.00%	0.95%	0.00%	1.85%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.68%	0.00%	0.11%	0.75%	0.00%	0.35%	0.00%	0.40%	0.00%	0.00%	2.28%	0.00%	0.00%	0.00%	0.00%	1.23%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	393	0	10	7	16	1	30	4	1	7	1	3	2	9	12	1	1	0	29	4	11	24	24	3	0	0	2	3	0	2	5	0	0	0	6	36	14	18	52	3	0	1	1	2	3	6	2	9	0	2	26									
		1.86%	0.00%	2.00%	0.96%	3.99%	0.30%	3.90%	1.39%	0.19%	1.73%	1.04%	0.60%	0.85%	1.61%	2.29%	0.49%	0.93%	0.00%	4.80%	0.64%	2.24%	8.96%	6.94%	0.56%	0.00%	0.00%	2.41%	1.18%	0.00%	0.94%	0.96%	0.00%	0.00%	0.00%	0.48%	3.07%	2.72%	2.01%	6.52%	0.96%	0.00%	0.56%	0.20%	1.00%	0.92%	1.37%	0.97%	2.54%	0.00%	1.27%	4.00%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
