Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
"Наименование Избирательной комиссии:    Астрахань, Кировская"																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3197	16	18	27	23	233	26	55	49	38	24	81	21	24	83	160	52	56	117	43	16	118	60	55	17	37	60	16	48	25	18	17	26	35	82	32	24	25	17	51	19	25	107	313	37	19	11	25	20	39	58	17	36	39	27	41	57	30	92	18	180	9	19	12	22					
14	Число погашенных неиспользованных открепительных удостоверений	155	11	13	0	0	0	0	5	6	0	1	3	0	0	0	0	0	19	3	0	1	0	0	0	3	0	1	0	1	1	10	1	0	16	6	0	13	2	0	0	5	0	0	0	0	1	1	1	1	2	1	0	0	0	1	0	0	0	1	0	0	6	6	9	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	0	1	0	0	0	0	0	2	1	2	1	3	1	0	0	1	4	3	0	0	0	0	2	1	3	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	2	1	1	0	3	0	2	1	0	4	1	2	2	0	1	2	0	0	0	4	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
18	1.Политическая партия «Аграрная партия России»	473	3	12	4	4	5	4	5	13	9	10	16	11	2	11	2	6	5	11	7	4	2	9	18	1	7	3	7	2	7	5	15	7	2	9	4	6	9	14	12	11	2	12	12	7	8	12	22	7	11	9	8	0	9	3	3	0	6	5	1	9	6	6	6	15					
		0.88%	0.40%	1.18%	0.51%	0.46%	0.45%	0.56%	0.86%	1.43%	1.21%	1.19%	2.00%	1.34%	0.26%	1.27%	0.23%	0.65%	0.73%	1.64%	1.08%	0.72%	0.38%	1.65%	2.37%	0.20%	0.77%	0.43%	0.90%	0.27%	0.92%	0.75%	1.45%	0.93%	0.28%	0.93%	0.52%	0.86%	1.03%	1.79%	1.12%	1.16%	0.18%	0.96%	0.99%	0.73%	0.87%	1.04%	2.52%	0.89%	1.15%	1.11%	0.99%	0.00%	0.99%	0.24%	0.35%	0.00%	0.67%	0.67%	0.12%	1.63%	0.76%	0.60%	0.70%	2.12%					
19	2.Всероссийская политическая партия «Гражданская Сила»	519	7	20	7	5	10	8	8	10	9	6	8	13	15	12	3	9	10	2	6	3	1	5	16	4	6	10	12	6	7	4	14	3	5	6	10	11	7	6	8	9	9	12	7	12	9	6	5	12	8	9	10	11	11	7	2	0	10	7	1	2	8	19	10	11					
		0.97%	0.93%	1.96%	0.89%	0.58%	0.89%	1.13%	1.37%	1.10%	1.21%	0.71%	1.00%	1.58%	1.97%	1.39%	0.35%	0.98%	1.45%	0.30%	0.93%	0.54%	0.19%	0.92%	2.11%	0.78%	0.66%	1.44%	1.53%	0.81%	0.92%	0.60%	1.35%	0.40%	0.70%	0.62%	1.30%	1.58%	0.80%	0.77%	0.75%	0.95%	0.82%	0.96%	0.58%	1.24%	0.98%	0.52%	0.57%	1.52%	0.83%	1.11%	1.24%	1.25%	1.22%	0.56%	0.23%	0.00%	1.12%	0.93%	0.12%	0.36%	1.02%	1.91%	1.17%	1.55%					
20	3.Политическая партия «Демократическая партия России»	89	2	6	1	1	5	1	0	2	3	0	1	1	0	0	1	0	0	1	1	0	0	3	3	0	1	0	2	1	1	5	2	0	1	0	1	2	3	2	5	2	3	1	1	0	1	2	1	0	2	0	1	1	0	4	2	0	3	0	0	2	1	2	2	0					
		0.17%	0.27%	0.59%	0.13%	0.12%	0.45%	0.14%	0.00%	0.22%	0.40%	0.00%	0.13%	0.12%	0.00%	0.00%	0.12%	0.00%	0.00%	0.15%	0.15%	0.00%	0.00%	0.55%	0.39%	0.00%	0.11%	0.00%	0.26%	0.13%	0.13%	0.75%	0.19%	0.00%	0.14%	0.00%	0.13%	0.29%	0.34%	0.26%	0.47%	0.21%	0.27%	0.08%	0.08%	0.00%	0.11%	0.17%	0.11%	0.00%	0.21%	0.00%	0.12%	0.11%	0.00%	0.32%	0.23%	0.00%	0.34%	0.00%	0.00%	0.36%	0.13%	0.20%	0.23%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4066	78	90	58	81	82	40	61	86	79	70	57	65	76	76	67	43	40	62	30	32	32	36	110	33	66	42	62	41	67	82	91	58	61	60	39	47	66	60	79	80	73	99	65	86	65	79	42	90	69	63	54	64	75	92	55	66	69	40	91	17	72	68	51	36					
		7.60%	10.41%	8.84%	7.34%	9.33%	7.32%	5.64%	10.45%	9.45%	10.66%	8.32%	7.13%	7.92%	9.96%	8.80%	7.74%	4.66%	5.81%	9.23%	4.64%	5.77%	6.14%	6.62%	14.47%	6.47%	7.28%	6.04%	7.93%	5.51%	8.82%	12.37%	8.79%	7.71%	8.58%	6.22%	5.06%	6.74%	7.52%	7.65%	7.40%	8.44%	6.61%	7.90%	5.38%	8.91%	7.09%	6.83%	4.81%	11.41%	7.19%	7.80%	6.69%	7.28%	8.31%	7.36%	6.36%	7.02%	7.71%	5.33%	10.68%	3.09%	9.15%	6.82%	5.98%	5.08%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	402	5	20	4	7	6	3	11	4	18	4	9	9	1	24	9	7	4	6	2	0	6	5	11	3	3	8	10	10	12	8	7	4	1	5	9	10	5	2	6	2	3	11	5	9	7	5	9	3	7	2	2	3	11	2	5	0	4	2	1	3	9	10	7	2					
		0.75%	0.67%	1.96%	0.51%	0.81%	0.54%	0.42%	1.88%	0.44%	2.43%	0.48%	1.13%	1.10%	0.13%	2.78%	1.04%	0.76%	0.58%	0.89%	0.31%	0.00%	1.15%	0.92%	1.45%	0.59%	0.33%	1.15%	1.28%	1.34%	1.58%	1.21%	0.68%	0.53%	0.14%	0.52%	1.17%	1.43%	0.57%	0.26%	0.56%	0.21%	0.27%	0.88%	0.41%	0.93%	0.76%	0.43%	1.03%	0.38%	0.73%	0.25%	0.25%	0.34%	1.22%	0.16%	0.58%	0.00%	0.45%	0.27%	0.12%	0.54%	1.14%	1.00%	0.82%	0.28%					
23	6.Политическая партия «Партия социальной справедливости»	102	1	1	2	2	1	0	1	4	0	1	1	0	1	2	0	0	1	4	0	2	1	4	1	3	1	2	2	1	0	3	4	1	1	4	3	1	1	1	3	1	4	7	3	0	0	0	1	2	0	3	0	2	1	2	0	0	4	2	2	0	1	3	1	2					
		0.19%	0.13%	0.10%	0.25%	0.23%	0.09%	0.00%	0.17%	0.44%	0.00%	0.12%	0.13%	0.00%	0.13%	0.23%	0.00%	0.00%	0.15%	0.60%	0.00%	0.36%	0.19%	0.74%	0.13%	0.59%	0.11%	0.29%	0.26%	0.13%	0.00%	0.45%	0.39%	0.13%	0.14%	0.41%	0.39%	0.14%	0.11%	0.13%	0.28%	0.11%	0.36%	0.56%	0.25%	0.00%	0.00%	0.00%	0.11%	0.25%	0.00%	0.37%	0.00%	0.23%	0.11%	0.16%	0.00%	0.00%	0.45%	0.27%	0.23%	0.00%	0.13%	0.30%	0.12%	0.28%					
24	7.Политическая партия «Либерально-демократическая партия России»	3861	85	80	62	35	68	66	27	58	57	65	40	50	57	35	69	61	47	39	42	40	25	142	62	45	66	63	54	66	58	41	59	58	50	73	40	53	61	57	86	62	78	92	50	80	64	82	60	68	74	70	74	62	59	83	54	50	73	51	61	20	49	75	70	58					
		7.22%	11.35%	7.86%	7.85%	4.03%	6.07%	9.31%	4.62%	6.37%	7.69%	7.73%	5.01%	6.09%	7.47%	4.05%	7.97%	6.62%	6.83%	5.80%	6.50%	7.21%	4.80%	26.10%	8.16%	8.82%	7.28%	9.06%	6.91%	8.87%	7.63%	6.18%	5.70%	7.71%	7.03%	7.56%	5.19%	7.60%	6.95%	7.27%	8.06%	6.54%	7.07%	7.34%	4.14%	8.29%	6.98%	7.09%	6.87%	8.62%	7.71%	8.66%	9.17%	7.05%	6.53%	6.64%	6.24%	5.32%	8.16%	6.79%	7.16%	3.63%	6.23%	7.52%	8.21%	8.18%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	14408	156	227	242	224	289	160	179	274	205	223	275	268	241	130	179	240	189	130	166	174	166	39	221	139	244	155	263	153	258	222	258	226	166	219	270	248	253	161	301	281	100	287	376	273	249	408	290	190	240	190	192	231	260	400	258	368	295	103	196	36	233	345	240	234					
		26.93%	20.83%	22.30%	30.63%	25.81%	25.80%	22.57%	30.65%	30.11%	27.67%	26.52%	34.42%	32.64%	31.59%	15.05%	20.67%	26.03%	27.47%	19.35%	25.70%	31.35%	31.86%	7.17%	29.08%	27.25%	26.93%	22.30%	33.63%	20.56%	33.95%	33.48%	24.93%	30.05%	23.35%	22.69%	35.02%	35.58%	28.82%	20.54%	28.21%	29.64%	9.06%	22.91%	31.13%	28.29%	27.15%	35.26%	33.22%	24.08%	25.00%	23.51%	23.79%	26.28%	28.79%	32.00%	29.83%	39.15%	32.96%	13.72%	23.00%	6.53%	29.61%	34.60%	28.14%	33.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	451	2	12	10	3	9	5	4	10	4	7	6	10	6	6	2	9	7	6	2	6	7	4	5	1	12	4	5	6	10	3	7	12	6	14	5	7	10	3	7	7	4	24	12	3	4	13	3	10	6	8	11	3	14	6	11	1	3	4	1	9	7	15	9	9					
		0.84%	0.27%	1.18%	1.27%	0.35%	0.80%	0.71%	0.68%	1.10%	0.54%	0.83%	0.75%	1.22%	0.79%	0.69%	0.23%	0.98%	1.02%	0.89%	0.31%	1.08%	1.34%	0.74%	0.66%	0.20%	1.32%	0.58%	0.64%	0.81%	1.32%	0.45%	0.68%	1.60%	0.84%	1.45%	0.65%	1.00%	1.14%	0.38%	0.66%	0.74%	0.36%	1.92%	0.99%	0.31%	0.44%	1.12%	0.34%	1.27%	0.63%	0.99%	1.36%	0.34%	1.55%	0.48%	1.27%	0.11%	0.34%	0.53%	0.12%	1.63%	0.89%	1.50%	1.06%	1.27%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	27647	393	515	388	488	625	402	265	412	329	425	359	370	334	546	520	527	357	397	377	272	264	253	290	262	461	389	354	427	323	268	548	364	373	554	365	295	442	457	531	471	812	667	649	471	479	526	423	394	516	432	427	479	441	643	455	445	409	513	496	419	382	426	424	327					
		51.68%	52.47%	50.59%	49.11%	56.22%	55.80%	56.70%	45.38%	45.27%	44.40%	50.54%	44.93%	45.07%	43.77%	63.19%	60.05%	57.16%	51.89%	59.08%	58.36%	49.01%	50.67%	46.51%	38.16%	51.37%	50.88%	55.97%	45.27%	57.39%	42.50%	40.42%	52.95%	48.40%	52.46%	57.41%	47.34%	42.32%	50.34%	58.29%	49.77%	49.68%	73.55%	53.23%	53.73%	48.81%	52.24%	45.46%	48.45%	49.94%	53.75%	53.47%	52.91%	54.49%	48.84%	51.44%	52.60%	47.34%	45.70%	68.31%	58.22%	76.04%	48.54%	42.73%	49.71%	46.12%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	723	7	26	4	7	12	7	11	23	19	19	21	14	17	15	5	6	18	6	2	9	7	7	17	7	8	5	7	14	8	11	22	7	7	17	19	6	16	7	12	14	9	28	16	8	17	15	10	9	13	5	9	11	13	7	13	4	8	3	2	3	14	17	17	6					
		1.35%	0.93%	2.55%	0.51%	0.81%	1.07%	0.99%	1.88%	2.53%	2.56%	2.26%	2.63%	1.71%	2.23%	1.74%	0.58%	0.65%	2.62%	0.89%	0.31%	1.62%	1.34%	1.29%	2.24%	1.37%	0.88%	0.72%	0.90%	1.88%	1.05%	1.66%	2.13%	0.93%	0.98%	1.76%	2.46%	0.86%	1.82%	0.89%	1.12%	1.48%	0.82%	2.23%	1.32%	0.83%	1.85%	1.30%	1.15%	1.14%	1.35%	0.62%	1.12%	1.25%	1.44%	0.56%	1.50%	0.43%	0.89%	0.40%	0.23%	0.54%	1.78%	1.71%	1.99%	0.85%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
