Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Пензенская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	515	37	10	5	1	28	23	2	2	2	7	3	5	20	10	7	7	3	2	2	2	20	32	3	7	15	15	2	8	4	7	2	2	1	7	2	2	5	2	40	30	35	3	2	10	2	2	2	2	29	7	13	15	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	385	37	10	5	1	17	17	2	0	2	7	0	5	9	10	7	7	3	2	2	2	15	24	3	4	15	7	1	4	4	7	0	2	1	1	2	2	4	1	31	30	18	3	0	10	2	2	2	0	10	7	12	9	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	256	26	5	13	0	3	3	2	1	3	4	0	4	30	9	0	1	3	5	2	1	8	8	1	16	13	0	1	0	1	3	0	3	0	0	3	1	2	5	45	13	5	1	1	3	1	1	2	0	0	2	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	130	0	0	0	0	11	6	0	2	0	0	3	0	11	0	0	0	0	0	0	0	5	8	0	3	0	8	1	4	0	0	2	0	0	6	0	0	1	1	9	0	17	0	2	0	0	0	0	2	19	0	1	6	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	1	1	0	0	1	2	0	0	0	0	0	1	0	0	2	2	0	0	1	0	3	1	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	3	5	2	0	0	0	0	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	154	5	12	1	0	0	1	4	0	3	5	0	0	1	7	4	3	6	1	0	0	6	9	3	11	3	3	0	1	3	3	1	4	0	1	1	1	5	0	0	8	4	1	4	1	0	0	3	0	6	2	0	8	9									
		0.38%	0.26%	1.11%	0.23%	0.00%	0.00%	0.05%	1.36%	0.00%	0.47%	0.49%	0.00%	0.00%	0.13%	0.41%	0.46%	0.35%	1.95%	0.70%	0.00%	0.00%	0.26%	1.11%	0.40%	0.55%	0.30%	0.27%	0.00%	0.34%	1.18%	0.99%	0.79%	0.88%	0.00%	0.26%	0.25%	0.28%	0.50%	0.00%	0.00%	0.36%	0.25%	0.19%	2.19%	0.30%	0.00%	0.00%	1.09%	0.00%	0.69%	0.56%	0.00%	0.72%	0.74%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	458	4	24	2	0	0	28	4	0	5	10	7	8	0	32	10	14	9	2	4	0	18	30	3	38	19	36	0	10	1	3	0	5	2	6	3	8	11	0	0	0	20	1	1	1	6	4	2	0	5	5	0	38	19									
		1.14%	0.21%	2.22%	0.45%	0.00%	0.00%	1.54%	1.36%	0.00%	0.79%	0.98%	1.39%	1.11%	0.00%	1.89%	1.15%	1.63%	2.92%	1.41%	0.91%	0.00%	0.77%	3.70%	0.40%	1.90%	1.92%	3.25%	0.00%	3.41%	0.39%	0.99%	0.00%	1.11%	1.38%	1.55%	0.75%	2.21%	1.10%	0.00%	0.00%	0.00%	1.24%	0.19%	0.55%	0.30%	2.01%	1.27%	0.72%	0.00%	0.57%	1.40%	0.00%	3.43%	1.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	273	3	15	1	0	0	10	2	0	5	11	0	1	0	8	8	6	3	0	5	0	17	14	5	35	9	8	0	5	2	6	2	10	0	1	4	7	9	0	0	8	12	1	1	4	1	0	0	0	6	1	0	15	12									
		0.68%	0.15%	1.39%	0.23%	0.00%	0.00%	0.55%	0.68%	0.00%	0.79%	1.07%	0.00%	0.14%	0.00%	0.47%	0.92%	0.70%	0.97%	0.00%	1.13%	0.00%	0.72%	1.73%	0.67%	1.75%	0.91%	0.72%	0.00%	1.71%	0.78%	1.99%	1.57%	2.21%	0.00%	0.26%	1.00%	1.93%	0.90%	0.00%	0.00%	0.36%	0.74%	0.19%	0.55%	1.20%	0.33%	0.00%	0.00%	0.00%	0.69%	0.28%	0.00%	1.35%	0.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32412	1558	919	406	221	1178	1422	237	93	573	820	413	585	707	1320	700	702	176	116	367	114	2115	407	656	1584	757	786	294	224	201	221	104	348	118	327	328	294	831	297	1370	1977	1327	444	154	258	252	241	224	157	746	290	749	799	905									
		80.88%	79.98%	85.01%	92.27%	92.86%	79.97%	78.13%	80.61%	72.09%	90.24%	80.00%	82.27%	81.25%	89.95%	77.92%	80.18%	81.53%	57.14%	81.69%	83.22%	83.82%	90.04%	50.18%	88.41%	79.36%	76.39%	70.94%	70.17%	76.45%	78.82%	73.18%	81.89%	76.99%	81.38%	84.28%	82.21%	81.22%	82.85%	84.38%	84.93%	89.01%	82.32%	85.71%	84.15%	77.25%	84.28%	76.51%	81.16%	90.23%	85.65%	81.01%	80.02%	72.05%	74.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	71	3	2	1	0	0	1	0	0	1	4	0	2	0	4	0	4	0	0	0	0	6	3	0	3	2	0	0	0	0	1	0	0	1	0	2	0	1	0	1	0	6	1	0	0	0	2	2	0	3	1	0	4	10									
		0.18%	0.15%	0.19%	0.23%	0.00%	0.00%	0.05%	0.00%	0.00%	0.16%	0.39%	0.00%	0.28%	0.00%	0.24%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.26%	0.37%	0.00%	0.15%	0.20%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.69%	0.00%	0.50%	0.00%	0.10%	0.00%	0.06%	0.00%	0.37%	0.19%	0.00%	0.00%	0.00%	0.63%	0.72%	0.00%	0.34%	0.28%	0.00%	0.36%	0.82%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2									
		0.04%	0.05%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.12%	0.00%	0.15%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2325	131	33	13	17	120	20	19	5	11	58	26	20	39	61	72	44	35	9	31	10	64	136	33	103	73	76	5	17	33	22	11	36	12	22	29	18	46	2	152	90	121	8	6	34	23	27	13	7	11	27	94	94	106									
		5.80%	6.72%	3.05%	2.95%	7.14%	8.15%	1.10%	6.46%	3.88%	1.73%	5.66%	5.18%	2.78%	4.96%	3.60%	8.25%	5.11%	11.36%	6.34%	7.03%	7.35%	2.72%	16.77%	4.45%	5.16%	7.37%	6.86%	1.19%	5.80%	12.94%	7.28%	8.66%	7.96%	8.28%	5.67%	7.27%	4.97%	4.59%	0.57%	9.42%	4.05%	7.51%	1.54%	3.28%	10.18%	7.69%	8.57%	4.71%	4.02%	1.26%	7.54%	10.04%	8.48%	8.73%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	66	0	7	0	0	0	1	0	0	0	2	0	0	0	3	0	2	0	1	0	0	8	4	0	7	4	2	0	0	0	0	0	2	0	0	1	1	4	0	0	0	2	2	0	0	7	0	1	0	2	0	0	2	1									
		0.16%	0.00%	0.65%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.18%	0.00%	0.23%	0.00%	0.70%	0.00%	0.00%	0.34%	0.49%	0.00%	0.35%	0.40%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.25%	0.28%	0.40%	0.00%	0.00%	0.00%	0.12%	0.39%	0.00%	0.00%	2.34%	0.00%	0.36%	0.00%	0.23%	0.00%	0.00%	0.18%	0.08%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	72	4	6	0	0	0	1	0	0	1	2	0	0	1	9	1	0	3	0	0	0	4	2	0	6	1	4	0	0	1	3	0	0	0	0	1	3	3	0	0	0	8	0	0	1	0	0	0	0	0	0	0	4	3									
		0.18%	0.21%	0.56%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.16%	0.20%	0.00%	0.00%	0.13%	0.53%	0.11%	0.00%	0.97%	0.00%	0.00%	0.00%	0.17%	0.25%	0.00%	0.30%	0.10%	0.36%	0.00%	0.00%	0.39%	0.99%	0.00%	0.00%	0.00%	0.00%	0.25%	0.83%	0.30%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.25%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.12%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	175	3	6	1	0	0	1	2	0	3	5	3	0	3	12	4	0	1	0	1	3	12	15	4	13	3	18	0	2	1	3	0	1	0	0	4	0	11	0	5	7	8	3	0	0	1	4	0	0	2	2	0	4	4									
		0.44%	0.15%	0.56%	0.23%	0.00%	0.00%	0.05%	0.68%	0.00%	0.47%	0.49%	0.60%	0.00%	0.38%	0.71%	0.46%	0.00%	0.32%	0.00%	0.23%	2.21%	0.51%	1.85%	0.54%	0.65%	0.30%	1.62%	0.00%	0.68%	0.39%	0.99%	0.00%	0.22%	0.00%	0.00%	1.00%	0.00%	1.10%	0.00%	0.31%	0.32%	0.50%	0.58%	0.00%	0.00%	0.33%	1.27%	0.00%	0.00%	0.23%	0.56%	0.00%	0.36%	0.33%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2608	184	30	13	0	103	297	26	14	21	75	22	64	18	63	49	36	63	10	22	4	51	156	24	132	88	89	24	32	10	25	7	25	8	28	18	21	53	22	51	91	69	54	13	29	5	26	10	6	58	26	64	93	86									
		6.51%	9.45%	2.78%	2.95%	0.00%	6.99%	16.32%	8.84%	10.85%	3.31%	7.32%	4.38%	8.89%	2.29%	3.72%	5.61%	4.18%	20.45%	7.04%	4.99%	2.94%	2.17%	19.24%	3.23%	6.61%	8.88%	8.03%	5.73%	10.92%	3.92%	8.28%	5.51%	5.53%	5.52%	7.22%	4.51%	5.80%	5.28%	6.25%	3.16%	4.10%	4.28%	10.42%	7.10%	8.68%	1.67%	8.25%	3.62%	3.45%	6.66%	7.26%	6.84%	8.39%	7.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	50	3	5	1	0	1	0	0	0	0	4	0	1	1	2	2	0	0	1	0	0	5	1	0	6	3	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	3									
		0.12%	0.15%	0.46%	0.23%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.14%	0.13%	0.12%	0.23%	0.00%	0.00%	0.70%	0.00%	0.00%	0.21%	0.12%	0.00%	0.30%	0.30%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	636	35	17	1	0	29	15	0	0	10	24	11	9	13	8	14	10	8	2	2	5	40	20	4	31	21	27	0	1	3	7	2	0	1	2	7	3	21	0	25	38	35	1	3	5	3	5	5	0	13	1	25	32	42									
		1.59%	1.80%	1.57%	0.23%	0.00%	1.97%	0.82%	0.00%	0.00%	1.57%	2.34%	2.19%	1.25%	1.65%	0.47%	1.60%	1.16%	2.60%	1.41%	0.45%	3.68%	1.70%	2.47%	0.54%	1.55%	2.12%	2.44%	0.00%	0.34%	1.18%	2.32%	1.57%	0.00%	0.69%	0.52%	1.75%	0.83%	2.09%	0.00%	1.55%	1.71%	2.17%	0.19%	1.64%	1.50%	1.00%	1.59%	1.81%	0.00%	1.49%	0.28%	2.67%	2.89%	3.46%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
