Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Щелковская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4275	100	100	130	10	80	50	100	80	80	100	41	80	100	50	100	50	20	50	30	70	30	30	30	30	30	50	50	30	30	50	30	30	10	20	10	50	60	95	50	50	50	50	50	50	45	40	50	65	80	50	20	10	10	110	30	50	24	25	40	40	40	40	40	50	80	30	50	45	20	45	30	100	10	10	20	20	20	20	20	40	40	10	10	30	10	10	30	20	30	10	10	30	30	10	20	30	30	50	30	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2376	34	58	76	4	22	18	20	18	23	15	28	13	19	7	45	34	8	15	13	16	23	16	21	20	17	26	33	12	19	23	13	15	0	11	2	39	57	76	29	35	42	29	31	35	40	31	38	58	62	41	12	5	6	106	25	49	7	3	21	23	39	18	23	45	22	21	42	37	12	30	14	36	2	6	15	20	8	12	13	21	29	9	5	26	9	1	20	7	24	1	7	8	21	6	11	29	28	34	23	0	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1842	79	30	8	13	8	6	15	6	8	8	21	16	19	5	21	18	29	31	16	13	9	21	7	10	11	74	11	8	15	10	16	10	120	13	5	34	12	14	8	14	27	11	47	13	8	6	10	12	13	9	47	19	43	34	14	13	4	1	11	11	14	26	42	21	43	43	12	27	15	8	33	41	7	6	81	6	26	8	15	11	13	2	50	19	4	5	4	8	9	1	7	3	10	20	9	8	3	6	9	12	4	6					
14	Число погашенных неиспользованных открепительных удостоверений	1899	66	42	54	6	58	32	80	62	57	85	13	67	81	43	55	16	12	35	17	54	7	14	9	10	13	24	17	18	11	27	17	15	10	9	8	11	3	19	21	15	8	21	19	15	5	9	12	7	18	9	8	5	4	4	5	1	17	22	19	17	1	22	17	5	58	9	8	8	8	15	16	64	8	4	5	0	12	8	7	19	11	1	5	4	1	9	10	13	6	9	3	22	9	4	9	1	2	16	7	10	9	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	0	3	0	0	2	0	1	2	1	1	0	0	3	0	1	4	0	0	1	3	1	0	2	2	2	1	0	1	0	0	1	2	0	0	2	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	2	0					
16	Число утраченных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
18	1.Политическая партия «Аграрная партия России»	2835	45	49	40	8	24	42	31	23	20	28	38	34	31	24	35	42	8	46	24	33	21	21	25	28	47	36	37	28	27	30	21	18	4	15	3	23	35	55	23	52	56	38	27	20	30	37	35	29	40	47	9	9	6	33	12	28	9	9	31	42	36	30	55	55	39	26	64	33	13	13	24	31	21	17	57	45	17	21	14	47	40	12	14	53	16	4	4	7	17	9	28	17	28	13	34	35	25	31	24	18	11	16					
		3.20%	3.70%	2.80%	4.10%	1.16%	2.93%	3.69%	2.58%	2.35%	2.42%	2.64%	2.62%	3.03%	2.50%	5.97%	2.42%	2.86%	1.68%	3.57%	2.66%	3.13%	2.09%	2.21%	3.00%	3.79%	4.35%	2.98%	3.10%	3.19%	2.39%	2.69%	2.65%	2.77%	1.07%	3.75%	1.82%	1.73%	2.67%	3.06%	2.46%	3.93%	4.20%	3.93%	2.38%	1.84%	3.27%	4.25%	3.04%	2.71%	3.10%	4.13%	3.02%	3.53%	2.69%	2.04%	0.83%	2.27%	4.05%	3.72%	3.03%	4.31%	3.62%	3.70%	5.62%	3.47%	4.03%	3.09%	4.92%	2.89%	2.72%	2.12%	2.65%	2.30%	7.45%	3.76%	5.54%	4.95%	2.50%	3.60%	5.60%	4.28%	3.29%	3.85%	4.68%	5.86%	4.34%	3.08%	1.22%	6.09%	2.60%	5.42%	7.20%	2.96%	2.01%	4.51%	5.56%	3.48%	2.46%	3.17%	3.21%	7.76%	5.16%	7.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1422	14	39	15	12	11	5	20	8	17	8	19	9	22	9	25	35	7	28	17	16	14	11	12	9	19	25	34	8	24	28	8	8	3	3	2	34	36	33	16	35	29	17	13	15	20	17	23	25	39	35	11	3	4	23	13	29	2	6	12	9	18	7	8	38	20	24	32	15	11	4	7	18	8	3	31	14	11	1	6	18	18	2	4	13	1	3	3	0	5	1	1	10	2	2	4	0	3	5	5	2	1	0					
		1.60%	1.15%	2.23%	1.54%	1.74%	1.34%	0.44%	1.67%	0.82%	2.06%	0.75%	1.31%	0.80%	1.77%	2.24%	1.73%	2.38%	1.47%	2.17%	1.88%	1.52%	1.39%	1.16%	1.44%	1.22%	1.76%	2.07%	2.85%	0.91%	2.12%	2.51%	1.01%	1.23%	0.80%	0.75%	1.21%	2.56%	2.75%	1.83%	1.71%	2.65%	2.18%	1.76%	1.15%	1.38%	2.18%	1.95%	1.99%	2.34%	3.03%	3.08%	3.69%	1.18%	1.79%	1.42%	0.90%	2.36%	0.90%	2.48%	1.17%	0.92%	1.81%	0.86%	0.82%	2.40%	2.07%	2.85%	2.46%	1.31%	2.30%	0.65%	0.77%	1.34%	2.84%	0.66%	3.01%	1.54%	1.62%	0.17%	2.40%	1.64%	1.48%	0.64%	1.34%	1.44%	0.27%	2.31%	0.91%	0.00%	0.76%	0.60%	0.26%	1.74%	0.14%	0.69%	0.65%	0.00%	0.30%	0.51%	0.67%	0.86%	0.47%	0.00%					
20	3.Политическая партия «Демократическая партия России»	144	0	3	3	2	0	1	2	3	0	1	2	4	4	0	6	0	1	2	1	1	3	1	3	0	0	1	0	1	1	4	4	0	1	2	1	2	5	4	4	2	1	1	2	0	1	0	2	0	3	1	2	0	2	0	2	2	0	0	0	1	0	1	3	2	4	0	3	2	0	2	0	1	0	3	0	3	4	0	1	1	2	0	0	0	1	0	2	0	3	1	0	0	1	2	1	1	1	2	1	0	0	1					
		0.16%	0.00%	0.17%	0.31%	0.29%	0.00%	0.09%	0.17%	0.31%	0.00%	0.09%	0.14%	0.36%	0.32%	0.00%	0.41%	0.00%	0.21%	0.16%	0.11%	0.09%	0.30%	0.11%	0.36%	0.00%	0.00%	0.08%	0.00%	0.11%	0.09%	0.36%	0.51%	0.00%	0.27%	0.50%	0.61%	0.15%	0.38%	0.22%	0.43%	0.15%	0.08%	0.10%	0.18%	0.00%	0.11%	0.00%	0.17%	0.00%	0.23%	0.09%	0.67%	0.00%	0.90%	0.00%	0.14%	0.16%	0.00%	0.00%	0.00%	0.10%	0.00%	0.12%	0.31%	0.13%	0.41%	0.00%	0.23%	0.18%	0.00%	0.33%	0.00%	0.07%	0.00%	0.66%	0.00%	0.33%	0.59%	0.00%	0.40%	0.09%	0.16%	0.00%	0.00%	0.00%	0.27%	0.00%	0.61%	0.00%	0.46%	0.60%	0.00%	0.00%	0.07%	0.69%	0.16%	0.10%	0.10%	0.20%	0.13%	0.00%	0.00%	0.45%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	14846	303	281	230	113	114	138	194	179	123	165	209	211	186	52	221	197	73	211	150	150	137	120	169	138	166	241	210	130	161	204	177	128	45	49	34	247	236	356	269	244	396	184	260	151	158	128	149	174	287	382	55	35	29	207	40	225	16	42	193	147	129	123	288	305	234	194	333	200	63	18	108	196	15	62	149	176	75	70	30	157	175	40	42	143	45	28	25	24	148	21	35	83	197	39	108	158	112	111	94	28	20	26					
		16.76%	24.90%	16.07%	23.59%	16.38%	13.92%	12.14%	16.15%	18.32%	14.91%	15.54%	14.42%	18.79%	15.00%	12.94%	15.27%	13.41%	15.30%	16.38%	16.61%	14.25%	13.63%	12.63%	20.31%	18.67%	15.37%	19.93%	17.59%	14.82%	14.22%	18.30%	22.35%	19.69%	12.06%	12.25%	20.61%	18.61%	18.02%	19.79%	28.80%	18.44%	29.73%	19.05%	22.93%	13.87%	17.23%	14.71%	12.95%	16.28%	22.27%	33.60%	18.46%	13.73%	13.00%	12.79%	2.77%	18.28%	7.21%	17.36%	18.88%	15.09%	12.98%	15.17%	29.42%	19.23%	24.17%	23.04%	25.58%	17.53%	13.18%	2.93%	11.92%	14.55%	5.32%	13.72%	14.48%	19.34%	11.03%	11.99%	12.00%	14.29%	14.40%	12.82%	14.05%	15.80%	12.20%	21.54%	7.60%	20.87%	22.60%	12.65%	8.99%	14.46%	14.17%	13.54%	17.65%	15.69%	11.03%	11.36%	12.58%	12.07%	9.39%	11.82%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1163	17	18	14	8	9	10	14	13	4	13	20	13	13	6	21	13	6	22	9	12	18	7	11	11	18	15	21	3	13	17	8	5	7	1	3	34	19	19	17	31	29	14	25	5	14	9	13	8	9	20	9	4	6	11	12	16	0	2	17	28	50	23	27	27	16	26	16	13	4	4	6	19	2	5	11	5	5	3	1	16	19	2	6	1	2	0	0	0	4	4	2	3	3	6	15	8	3	12	8	2	0	0					
		1.31%	1.40%	1.03%	1.44%	1.16%	1.10%	0.88%	1.17%	1.33%	0.48%	1.22%	1.38%	1.16%	1.05%	1.49%	1.45%	0.88%	1.26%	1.71%	0.99%	1.14%	1.79%	0.74%	1.32%	1.49%	1.67%	1.24%	1.76%	0.34%	1.15%	1.52%	1.01%	0.77%	1.88%	0.25%	1.82%	2.56%	1.45%	1.06%	1.82%	2.34%	2.18%	1.45%	2.20%	0.46%	1.53%	1.03%	1.13%	0.75%	0.70%	1.76%	3.02%	1.57%	2.69%	0.68%	0.83%	1.30%	0.00%	0.83%	1.66%	2.87%	5.03%	2.84%	2.76%	1.70%	1.65%	3.09%	1.23%	1.14%	0.84%	0.65%	0.66%	1.41%	0.71%	1.11%	1.07%	0.55%	0.74%	0.51%	0.40%	1.46%	1.56%	0.64%	2.01%	0.11%	0.54%	0.00%	0.00%	0.00%	0.61%	2.41%	0.51%	0.52%	0.22%	2.08%	2.45%	0.79%	0.30%	1.23%	1.07%	0.86%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	293	4	12	4	0	3	2	2	3	2	3	8	3	4	0	3	6	1	4	1	0	3	2	4	2	3	3	0	5	9	3	3	1	0	1	0	5	7	8	5	9	2	1	4	8	3	2	1	3	12	7	1	3	0	4	4	5	1	0	6	1	3	2	1	10	4	2	5	2	0	1	1	7	1	0	0	4	2	1	0	3	4	4	1	4	0	0	1	0	0	1	0	3	0	0	2	3	4	4	4	1	2	0					
		0.33%	0.33%	0.69%	0.41%	0.00%	0.37%	0.18%	0.17%	0.31%	0.24%	0.28%	0.55%	0.27%	0.32%	0.00%	0.21%	0.41%	0.21%	0.31%	0.11%	0.00%	0.30%	0.21%	0.48%	0.27%	0.28%	0.25%	0.00%	0.57%	0.80%	0.27%	0.38%	0.15%	0.00%	0.25%	0.00%	0.38%	0.53%	0.44%	0.54%	0.68%	0.15%	0.10%	0.35%	0.73%	0.33%	0.23%	0.09%	0.28%	0.93%	0.62%	0.34%	1.18%	0.00%	0.25%	0.28%	0.41%	0.45%	0.00%	0.59%	0.10%	0.30%	0.25%	0.10%	0.63%	0.41%	0.24%	0.38%	0.18%	0.00%	0.16%	0.11%	0.52%	0.35%	0.00%	0.00%	0.44%	0.29%	0.17%	0.00%	0.27%	0.33%	1.28%	0.33%	0.44%	0.00%	0.00%	0.30%	0.00%	0.00%	0.60%	0.00%	0.52%	0.00%	0.00%	0.33%	0.30%	0.39%	0.41%	0.54%	0.43%	0.94%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	8523	113	238	64	66	53	126	117	66	74	106	128	93	118	36	140	112	45	117	91	94	97	110	52	68	85	92	108	79	96	110	61	69	49	50	13	138	152	261	74	101	83	71	106	112	83	57	131	108	130	45	16	15	24	162	209	135	30	23	80	110	131	69	85	165	109	64	108	148	41	95	79	120	14	38	99	77	66	69	17	115	110	42	24	69	42	15	50	10	69	13	25	108	144	40	69	106	93	75	64	13	17	24					
		9.62%	9.29%	13.61%	6.56%	9.57%	6.47%	11.08%	9.74%	6.76%	8.97%	9.98%	8.83%	8.28%	9.52%	8.96%	9.68%	7.62%	9.43%	9.08%	10.08%	8.93%	9.65%	11.58%	6.25%	9.20%	7.87%	7.61%	9.05%	9.01%	8.48%	9.87%	7.70%	10.62%	13.14%	12.50%	7.88%	10.40%	11.60%	14.51%	7.92%	7.63%	6.23%	7.35%	9.35%	10.28%	9.05%	6.55%	11.38%	10.10%	10.09%	3.96%	5.37%	5.88%	10.76%	10.01%	14.49%	10.97%	13.51%	9.50%	7.83%	11.29%	13.18%	8.51%	8.68%	10.40%	11.26%	7.60%	8.29%	12.97%	8.58%	15.47%	8.72%	8.91%	4.96%	8.41%	9.62%	8.46%	9.71%	11.82%	6.80%	10.46%	9.05%	13.46%	8.03%	7.62%	11.38%	11.54%	15.20%	8.70%	10.53%	7.83%	6.43%	18.82%	10.36%	13.89%	11.27%	10.53%	9.16%	7.68%	8.57%	5.60%	7.98%	10.91%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7123	74	100	70	65	64	119	107	128	90	93	153	109	120	25	147	118	56	95	93	96	91	93	69	72	114	100	107	68	114	94	89	46	30	21	8	118	113	120	75	97	124	90	93	74	79	76	105	65	96	87	20	20	16	128	19	113	21	22	75	73	71	74	70	99	67	71	122	71	38	13	60	130	17	46	90	73	77	46	18	89	89	18	29	78	23	10	20	8	47	19	15	17	79	19	53	89	63	53	54	16	12	13					
		8.04%	6.08%	5.72%	7.18%	9.42%	7.81%	10.47%	8.91%	13.10%	10.91%	8.76%	10.56%	9.71%	9.68%	6.22%	10.16%	8.03%	11.74%	7.38%	10.30%	9.12%	9.05%	9.79%	8.29%	9.74%	10.56%	8.27%	8.96%	7.75%	10.07%	8.43%	11.24%	7.08%	8.04%	5.25%	4.85%	8.89%	8.63%	6.67%	8.03%	7.33%	9.31%	9.32%	8.20%	6.80%	8.62%	8.74%	9.12%	6.08%	7.45%	7.65%	6.71%	7.84%	7.17%	7.91%	1.32%	9.18%	9.46%	9.09%	7.34%	7.49%	7.14%	9.12%	7.15%	6.24%	6.92%	8.43%	9.37%	6.22%	7.95%	2.12%	6.62%	9.65%	6.03%	10.18%	8.75%	8.02%	11.32%	7.88%	7.20%	8.10%	7.33%	5.77%	9.70%	8.62%	6.23%	7.69%	6.08%	6.96%	7.18%	11.45%	3.86%	2.96%	5.68%	6.60%	8.66%	8.84%	6.21%	5.42%	7.23%	6.90%	5.63%	5.91%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1600	25	48	19	15	12	14	13	15	11	21	25	14	12	5	24	23	9	18	12	21	13	17	21	15	22	13	11	12	9	20	10	10	6	5	3	38	39	55	29	47	35	36	33	18	17	17	17	18	27	18	2	4	5	25	10	21	1	5	20	18	23	11	13	41	15	8	38	14	7	2	11	29	3	7	11	8	14	7	10	34	37	4	0	21	5	1	3	0	10	2	4	2	10	5	9	21	22	18	14	4	4	0					
		1.81%	2.05%	2.74%	1.95%	2.17%	1.47%	1.23%	1.08%	1.54%	1.33%	1.98%	1.73%	1.25%	0.97%	1.24%	1.66%	1.57%	1.89%	1.40%	1.33%	1.99%	1.29%	1.79%	2.52%	2.03%	2.04%	1.08%	0.92%	1.37%	0.80%	1.79%	1.26%	1.54%	1.61%	1.25%	1.82%	2.86%	2.98%	3.06%	3.10%	3.55%	2.63%	3.73%	2.91%	1.65%	1.85%	1.95%	1.48%	1.68%	2.09%	1.58%	0.67%	1.57%	2.24%	1.55%	0.69%	1.71%	0.45%	2.07%	1.96%	1.85%	2.31%	1.36%	1.33%	2.59%	1.55%	0.95%	2.92%	1.23%	1.46%	0.33%	1.21%	2.15%	1.06%	1.55%	1.07%	0.88%	2.06%	1.20%	4.00%	3.09%	3.05%	1.28%	0.00%	2.32%	1.36%	0.77%	0.91%	0.00%	1.53%	1.20%	1.03%	0.35%	0.72%	1.74%	1.47%	2.09%	2.17%	1.84%	1.87%	1.72%	1.88%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	47146	574	878	459	368	490	634	651	497	449	568	779	590	677	230	766	864	237	696	458	594	568	535	422	342	554	623	591	511	627	553	391	351	217	237	95	621	615	817	357	631	526	478	517	635	486	496	639	593	589	430	150	147	121	976	1105	612	138	130	539	506	505	439	382	765	410	377	534	620	280	456	577	758	195	250	541	470	386	350	143	586	674	179	165	479	226	68	215	63	334	92	266	319	891	155	301	569	663	645	465	142	142	139					
