Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																															
Дата голосования: 04.12.2011																																																																																																															
																																																																																																															
Наименование Избирательной комиссии:    Щелковская																																																																																																															
																																																																																																															
Сводная таблица результатов выборов																																																																																																															
																																																																																																															
		Сумма	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237	УИК №3238	УИК №3239	УИК №3240	УИК №3241	УИК №3242	УИК №3243	УИК №3244	УИК №3245	УИК №3246	УИК №3247	УИК №3248	УИК №3249	УИК №3250	УИК №3251	УИК №3252	УИК №3253	УИК №3254	УИК №3255	УИК №3256	УИК №3257	УИК №3258	УИК №3259	УИК №3260	УИК №3261	УИК №3262	УИК №3263	УИК №3264	УИК №3265	УИК №3266	УИК №3267	УИК №3268	УИК №3269	УИК №3270	УИК №3271	УИК №3272	УИК №3273	УИК №3274	УИК №3275	УИК №3276	УИК №3277	УИК №3278	УИК №3279	УИК №3280	УИК №3281	УИК №3282	УИК №3283	УИК №3284	УИК №3285	УИК №3286	УИК №3287	УИК №3288					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3827	40	60	40	30	40	40	40	40	40	40	40	40	50	20	40	40	30	30	40	40	40	50	40	40	30	40	40	30	30	20	30	40	40	20	10	10	20	10	130	55	65	35	40	40	40	40	277	90	40	40	30	10	40	10	10	10	70	50	35	45	10	40	30	30	40	50	40	30	50	30	20	50	50	40	10	20	40	40	30	30	15	50	50	20	20	40	20	10	10	10	30	10	20	20	50	20	30	50	40	50	30	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2045	24	57	17	17	17	14	17	21	13	18	26	19	20	5	26	23	9	13	28	16	18	40	20	21	16	17	39	10	16	14	16	30	15	5	4	5	17	1	95	46	43	33	35	30	24	28	73	38	27	34	5	3	29	5	3	4	67	13	21	29	3	16	25	16	16	28	31	24	34	25	10	31	22	32	5	6	23	19	11	11	5	22	20	2	17	14	8	3	10	1	28	3	4	8	18	9	19	12	28	19	7	3	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1676	25	14	7	13	14	7	8	5	4	4	13	15	21	3	14	10	11	7	25	16	18	19	22	14	26	16	5	20	14	13	8	17	14	13	5	14	17	8	22	9	18	7	12	14	10	32	14	15	8	7	13	9	10	33	27	15	54	13	6	5	4	9	17	33	23	7	26	33	42	28	12	56	77	9	14	10	54	10	16	25	19	17	11	4	92	10	7	4	10	7	18	8	7	7	17	24	11	4	9	7	16	2	5	3					
14	Число погашенных неиспользованных открепительных удостоверений	1782	16	3	23	13	23	26	23	19	27	22	14	21	30	15	14	17	21	17	12	24	22	10	20	19	14	23	1	20	14	6	14	10	25	15	6	5	3	9	35	9	22	2	5	10	16	12	204	52	13	6	25	7	11	5	7	6	3	37	14	16	7	24	5	14	24	22	9	6	16	5	10	19	28	8	5	14	17	21	19	19	10	28	30	18	3	26	12	7	0	9	2	7	16	12	32	11	11	38	12	31	23	7	4	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	24	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	13327	140	221	167	99	162	168	164	240	159	184	265	188	239	59	246	180	81	85	197	133	155	219	153	162	117	174	203	110	129	106	133	196	158	78	16	51	74	18	219	216	305	182	210	215	162	157	200	139	171	177	40	35	121	51	35	18	196	45	67	80	35	159	131	140	154	156	163	144	247	161	65	223	162	86	39	95	194	168	124	91	59	287	250	44	73	135	31	19	43	12	62	29	35	56	140	30	85	119	106	131	92	33	24	25					
		17.27%	13.63%	11.71%	17.90%	16.05%	18.88%	17.70%	19.27%	23.51%	19.97%	18.99%	20.48%	20.17%	21.45%	14.75%	20.16%	20.00%	16.74%	19.02%	19.92%	17.97%	17.45%	20.00%	18.68%	23.68%	17.84%	18.11%	19.19%	15.99%	16.97%	15.25%	19.56%	18.83%	19.15%	17.57%	17.02%	22.08%	17.45%	16.22%	16.76%	16.59%	22.76%	15.88%	18.34%	18.16%	21.12%	17.46%	16.52%	17.66%	21.62%	16.65%	6.90%	17.07%	14.07%	20.32%	17.77%	11.54%	12.57%	5.77%	15.26%	14.87%	21.08%	17.61%	16.46%	18.89%	18.10%	13.59%	17.05%	19.49%	19.28%	15.80%	16.25%	19.48%	14.81%	7.69%	15.06%	22.09%	20.57%	19.09%	20.03%	15.99%	25.00%	23.68%	20.96%	17.32%	22.32%	18.17%	10.06%	17.59%	16.35%	12.50%	10.46%	19.33%	10.32%	12.23%	13.01%	9.09%	16.44%	13.06%	12.90%	15.06%	13.73%	16.92%	15.19%	14.37%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	12561	152	406	144	102	145	174	135	151	123	162	174	144	190	69	168	134	89	74	153	125	131	192	153	71	103	157	155	111	107	114	105	145	138	82	16	27	70	14	186	199	159	147	148	123	99	124	206	132	131	224	197	36	153	41	27	25	307	183	88	82	37	172	135	114	100	197	141	90	146	176	74	215	191	261	39	79	118	130	97	126	41	243	223	54	62	113	61	16	67	18	110	13	48	106	191	57	61	125	124	114	98	22	12	22					
		16.28%	14.80%	21.50%	15.43%	16.53%	16.90%	18.34%	15.86%	14.79%	15.45%	16.72%	13.45%	15.45%	17.06%	17.25%	13.77%	14.89%	18.39%	16.55%	15.47%	16.89%	14.75%	17.53%	18.68%	10.38%	15.70%	16.34%	14.65%	16.13%	14.08%	16.40%	15.44%	13.93%	16.73%	18.47%	17.02%	11.69%	16.51%	12.61%	14.23%	15.28%	11.87%	12.83%	12.93%	10.39%	12.91%	13.79%	17.01%	16.77%	16.56%	21.07%	33.97%	17.56%	17.79%	16.33%	13.71%	16.03%	19.69%	23.46%	20.05%	15.24%	22.29%	19.05%	16.96%	15.38%	11.75%	17.16%	14.75%	12.18%	11.40%	17.27%	18.50%	18.78%	17.46%	23.35%	15.06%	18.37%	12.51%	14.77%	15.67%	22.14%	17.37%	20.05%	18.69%	21.26%	18.96%	15.21%	19.81%	14.81%	25.48%	18.75%	18.55%	8.67%	14.16%	23.14%	17.75%	17.27%	11.80%	13.72%	15.09%	13.10%	14.63%	11.28%	7.59%	12.64%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1477	26	40	11	4	16	9	13	14	9	10	21	13	18	8	10	8	7	8	14	16	15	20	13	13	19	6	21	12	12	11	9	19	8	5	0	0	16	2	39	59	44	51	47	63	24	30	27	14	10	29	13	2	10	0	3	3	44	9	5	6	2	10	14	16	16	22	22	14	45	17	2	19	20	13	4	6	11	13	11	9	0	20	28	1	5	10	1	6	3	4	4	3	9	9	12	7	10	16	8	13	8	4	1	1					
		1.91%	2.53%	2.12%	1.18%	0.65%	1.86%	0.95%	1.53%	1.37%	1.13%	1.03%	1.62%	1.39%	1.62%	2.00%	0.82%	0.89%	1.45%	1.79%	1.42%	2.16%	1.69%	1.83%	1.59%	1.90%	2.90%	0.62%	1.98%	1.74%	1.58%	1.58%	1.32%	1.83%	0.97%	1.13%	0.00%	0.00%	3.77%	1.80%	2.98%	4.53%	3.28%	4.45%	4.10%	5.32%	3.13%	3.34%	2.23%	1.78%	1.26%	2.73%	2.24%	0.98%	1.16%	0.00%	1.52%	1.92%	2.82%	1.15%	1.14%	1.12%	1.20%	1.11%	1.76%	2.16%	1.88%	1.92%	2.30%	1.89%	3.51%	1.67%	0.50%	1.66%	1.83%	1.16%	1.54%	1.40%	1.17%	1.48%	1.78%	1.58%	0.00%	1.65%	2.35%	0.39%	1.53%	1.35%	0.32%	5.56%	1.14%	4.17%	0.67%	2.00%	2.65%	1.97%	1.12%	2.12%	1.93%	1.76%	0.97%	1.49%	1.19%	2.05%	0.63%	0.57%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	23757	396	593	341	187	251	277	258	314	225	287	398	269	317	126	397	280	162	144	286	238	286	319	214	219	205	292	291	205	257	206	209	335	273	163	30	61	119	38	438	497	486	454	413	467	242	312	369	244	206	308	82	66	254	70	61	54	486	109	138	194	38	269	260	216	383	440	392	280	544	339	109	338	298	90	60	134	278	248	157	125	71	319	283	76	76	215	96	31	54	30	204	47	65	106	305	62	170	252	257	245	212	58	58	49					
		30.79%	38.56%	31.41%	36.55%	30.31%	29.25%	29.19%	30.32%	30.75%	28.27%	29.62%	30.76%	28.86%	28.46%	31.50%	32.54%	31.11%	33.47%	32.21%	28.92%	32.16%	32.21%	29.13%	26.13%	32.02%	31.25%	30.39%	27.50%	29.80%	33.82%	29.64%	30.74%	32.18%	33.09%	36.71%	31.91%	26.41%	28.07%	34.23%	33.51%	38.17%	36.27%	39.62%	36.07%	39.44%	31.55%	34.71%	30.47%	31.00%	26.04%	28.97%	14.14%	32.20%	29.53%	27.89%	30.96%	34.62%	31.17%	13.97%	31.44%	36.06%	22.89%	29.79%	32.66%	29.15%	45.01%	38.33%	41.00%	37.89%	42.47%	33.27%	27.25%	29.52%	27.24%	8.05%	23.17%	31.16%	29.48%	28.18%	25.36%	21.97%	30.08%	26.32%	23.72%	29.92%	23.24%	28.94%	31.17%	28.70%	20.53%	31.25%	34.40%	31.33%	19.17%	23.14%	28.35%	18.79%	32.88%	27.66%	31.27%	28.16%	31.64%	29.74%	36.71%	28.16%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4977	67	110	69	54	64	60	43	80	56	72	107	54	68	21	82	59	33	52	81	52	55	78	63	56	47	70	79	76	69	28	53	91	50	14	7	11	31	6	110	99	102	57	112	98	65	67	74	56	67	72	12	12	68	22	25	13	84	16	35	39	10	61	64	52	61	85	76	54	81	66	23	55	77	14	20	17	82	61	56	24	9	60	48	9	26	60	12	4	4	6	19	7	14	20	26	14	14	27	24	27	19	12	2	2					
		6.45%	6.52%	5.83%	7.40%	8.75%	7.46%	6.32%	5.05%	7.84%	7.04%	7.43%	8.27%	5.79%	6.10%	5.25%	6.72%	6.56%	6.82%	11.63%	8.19%	7.03%	6.19%	7.12%	7.69%	8.19%	7.16%	7.28%	7.47%	11.05%	9.08%	4.03%	7.79%	8.74%	6.06%	3.15%	7.45%	4.76%	7.31%	5.41%	8.42%	7.60%	7.61%	4.97%	9.78%	8.28%	8.47%	7.45%	6.11%	7.12%	8.47%	6.77%	2.07%	5.85%	7.91%	8.76%	12.69%	8.33%	5.39%	2.05%	7.97%	7.25%	6.02%	6.76%	8.04%	7.02%	7.17%	7.40%	7.95%	7.31%	6.32%	6.48%	5.75%	4.80%	7.04%	1.25%	7.72%	3.95%	8.70%	6.93%	9.05%	4.22%	3.81%	4.95%	4.02%	3.54%	7.95%	8.08%	3.90%	3.70%	1.52%	6.25%	3.20%	4.67%	4.13%	4.37%	2.42%	4.24%	2.71%	2.96%	2.92%	3.10%	2.84%	6.15%	1.27%	1.15%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17764	212	462	170	141	195	228	202	186	188	212	265	219	236	99	269	196	101	72	213	140	211	227	177	148	142	215	252	146	154	186	139	218	160	91	20	44	97	29	262	206	200	217	175	185	145	181	280	167	168	207	216	48	208	55	39	37	380	404	87	114	38	164	170	181	103	197	130	129	180	216	115	246	294	619	91	76	216	221	138	174	48	241	301	60	76	173	92	31	82	21	158	36	157	146	351	149	127	266	251	292	195	62	40	68					
		23.03%	20.64%	24.47%	18.22%	22.85%	22.73%	24.03%	23.74%	18.22%	23.62%	21.88%	20.48%	23.50%	21.18%	24.75%	22.05%	21.78%	20.87%	16.11%	21.54%	18.92%	23.76%	20.73%	21.61%	21.64%	21.65%	22.37%	23.82%	21.22%	20.26%	26.76%	20.44%	20.94%	19.39%	20.50%	21.28%	19.05%	22.88%	26.13%	20.05%	15.82%	14.93%	18.94%	15.28%	15.63%	18.90%	20.13%	23.12%	21.22%	21.24%	19.47%	37.24%	23.41%	24.19%	21.91%	19.80%	23.72%	24.37%	51.79%	19.82%	21.19%	22.89%	18.16%	21.36%	24.43%	12.10%	17.16%	13.60%	17.46%	14.05%	21.20%	28.75%	21.48%	26.87%	55.37%	35.14%	17.67%	22.91%	25.11%	22.29%	30.58%	20.34%	19.88%	25.23%	23.62%	23.24%	23.28%	29.87%	28.70%	31.18%	21.88%	26.64%	24.00%	46.31%	31.88%	32.62%	45.15%	24.56%	29.20%	30.54%	33.56%	29.10%	31.79%	25.32%	39.08%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1022	16	22	7	17	5	8	11	7	12	5	28	15	12	7	9	9	4	3	17	15	9	13	14	6	9	17	14	11	6	10	10	14	15	3	1	5	3	0	18	14	20	14	8	16	12	5	17	13	13	19	8	3	11	3	1	2	12	9	5	4	3	11	2	7	10	15	12	6	10	13	2	11	13	11	1	6	8	10	4	4	1	15	20	1	3	14	1	0	1	1	4	5	0	3	14	4	32	46	27	20	20	0	14	1					
		1.32%	1.56%	1.17%	0.75%	2.76%	0.58%	0.84%	1.29%	0.69%	1.51%	0.52%	2.16%	1.61%	1.08%	1.75%	0.74%	1.00%	0.83%	0.67%	1.72%	2.03%	1.01%	1.19%	1.71%	0.88%	1.37%	1.77%	1.32%	1.60%	0.79%	1.44%	1.47%	1.34%	1.82%	0.68%	1.06%	2.16%	0.71%	0.00%	1.38%	1.08%	1.49%	1.22%	0.70%	1.35%	1.56%	0.56%	1.40%	1.65%	1.64%	1.79%	1.38%	1.46%	1.28%	1.20%	0.51%	1.28%	0.77%	1.15%	1.14%	0.74%	1.81%	1.22%	0.25%	0.94%	1.18%	1.31%	1.26%	0.81%	0.78%	1.28%	0.50%	0.96%	1.19%	0.98%	0.39%	1.40%	0.85%	1.14%	0.65%	0.70%	0.42%	1.24%	1.68%	0.39%	0.92%	1.88%	0.32%	0.00%	0.38%	1.04%	0.67%	3.33%	0.00%	0.66%	1.30%	1.21%	6.19%	5.05%	3.28%	2.30%	2.99%	0.00%	8.86%	0.57%					
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
