Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																		
Дата голосования: 02.12.2007																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Омск, Кировская"																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3446	4	24	26	17	9	18	20	13	32	19	59	26	36	25	16	16	28	29	36	19	49	18	20	21	25	13	25	23	19	27	39	14	34	14	18	22	20	23	14	17	32	10	15	18	10	18	23	26	22	18	20	21	30	13	20	14	50	21	32	31	15	13	17	17	38	15	13	35	23	18	28	43	16	23	7	18	16	23	22	25	30	14	26	13	21	22	17	78	887	531	11					
14	Число погашенных неиспользованных открепительных удостоверений	125	1	2	0	0	5	6	1	0	0	0	0	1	0	0	0	22	9	0	7	1	1	0	0	1	12	2	1	3	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	2	0	0	0	2	0	1	1	5	1	0	3	1	0	2	0	0	0	0	0	0	2	0	3	0	0	0	0	0	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	2	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	2	1	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																		
18	1.Политическая партия «Аграрная партия России»	2605	4	16	22	21	12	32	12	22	15	24	38	22	13	20	24	12	29	25	37	13	35	31	14	27	18	27	45	37	15	26	46	31	28	30	28	12	26	20	29	22	46	37	32	38	36	35	30	28	31	42	29	49	24	33	48	49	51	40	33	35	21	40	36	32	34	30	26	47	23	40	26	25	26	43	27	32	20	29	30	20	26	37	35	22	31	32	49	2	25	27	6					
		2.47%	0.77%	1.35%	2.13%	1.98%	1.41%	1.94%	1.41%	2.63%	1.28%	1.87%	3.41%	2.08%	1.16%	2.54%	2.58%	1.53%	3.17%	1.96%	3.55%	1.46%	2.76%	2.87%	1.60%	2.70%	1.98%	2.21%	3.11%	2.59%	2.22%	2.08%	3.05%	2.04%	2.04%	1.99%	1.92%	1.50%	2.57%	1.44%	2.48%	1.96%	3.25%	2.99%	3.17%	3.18%	2.82%	2.30%	3.11%	2.54%	2.51%	3.28%	2.26%	3.48%	2.25%	2.67%	3.41%	3.37%	3.31%	2.87%	2.26%	2.60%	2.22%	3.76%	3.82%	3.28%	2.44%	2.66%	2.09%	3.37%	1.85%	3.62%	3.03%	2.00%	2.40%	3.38%	2.47%	2.63%	2.06%	2.18%	2.06%	1.82%	1.78%	2.78%	2.65%	2.30%	2.43%	2.47%	3.54%	0.85%	1.86%	2.80%	0.99%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1554	2	12	9	5	6	18	2	1	6	13	7	8	19	4	8	8	10	18	16	4	25	27	5	15	5	29	29	28	9	21	38	33	38	46	37	9	8	25	18	20	13	23	23	18	18	22	8	19	25	35	32	25	29	21	25	13	24	17	24	23	18	18	18	5	14	18	23	18	13	10	12	30	10	12	28	13	27	19	28	8	14	18	6	13	15	10	20	0	18	9	11					
		1.47%	0.38%	1.01%	0.87%	0.47%	0.70%	1.09%	0.23%	0.12%	0.51%	1.01%	0.63%	0.76%	1.69%	0.51%	0.86%	1.02%	1.09%	1.41%	1.53%	0.45%	1.97%	2.50%	0.57%	1.50%	0.55%	2.38%	2.01%	1.96%	1.33%	1.68%	2.52%	2.17%	2.77%	3.05%	2.53%	1.13%	0.79%	1.80%	1.54%	1.78%	0.92%	1.86%	2.28%	1.51%	1.41%	1.45%	0.83%	1.72%	2.02%	2.73%	2.50%	1.77%	2.72%	1.70%	1.78%	0.89%	1.56%	1.22%	1.64%	1.71%	1.90%	1.69%	1.91%	0.51%	1.01%	1.59%	1.85%	1.29%	1.05%	0.91%	1.40%	2.40%	0.92%	0.94%	2.57%	1.07%	2.78%	1.43%	1.92%	0.73%	0.96%	1.35%	0.45%	1.36%	1.17%	0.77%	1.44%	0.00%	1.34%	0.93%	1.83%					
20	3.Политическая партия «Демократическая партия России»	206	1	3	0	2	0	3	1	4	1	2	0	2	3	1	1	1	1	3	0	2	3	4	2	1	0	4	2	5	4	3	4	5	3	4	2	2	0	0	1	1	1	0	3	1	5	5	4	4	0	2	4	1	0	3	5	3	5	5	1	1	0	3	1	5	4	1	4	0	2	1	1	5	1	3	4	2	1	2	6	1	3	6	2	1	1	3	2	0	3	4	0					
		0.20%	0.19%	0.25%	0.00%	0.19%	0.00%	0.18%	0.12%	0.48%	0.09%	0.16%	0.00%	0.19%	0.27%	0.13%	0.11%	0.13%	0.11%	0.24%	0.00%	0.22%	0.24%	0.37%	0.23%	0.10%	0.00%	0.33%	0.14%	0.35%	0.59%	0.24%	0.26%	0.33%	0.22%	0.27%	0.14%	0.25%	0.00%	0.00%	0.09%	0.09%	0.07%	0.00%	0.30%	0.08%	0.39%	0.33%	0.41%	0.36%	0.00%	0.16%	0.31%	0.07%	0.00%	0.24%	0.36%	0.21%	0.32%	0.36%	0.07%	0.07%	0.00%	0.28%	0.11%	0.51%	0.29%	0.09%	0.32%	0.00%	0.16%	0.09%	0.12%	0.40%	0.09%	0.24%	0.37%	0.16%	0.10%	0.15%	0.41%	0.09%	0.21%	0.45%	0.15%	0.10%	0.08%	0.23%	0.14%	0.00%	0.22%	0.41%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	18329	64	192	140	185	136	194	105	138	205	254	220	174	186	182	198	132	194	267	205	215	256	261	140	232	133	202	210	265	126	214	259	295	105	209	193	119	176	249	180	149	269	220	190	222	238	299	177	226	221	204	247	201	195	249	237	302	286	265	285	218	184	214	205	200	296	241	252	330	252	188	147	207	141	224	189	205	148	209	256	154	224	187	213	114	261	185	244	39	148	126	36					
		17.38%	12.26%	16.20%	13.55%	17.40%	15.93%	11.76%	12.31%	16.53%	17.54%	19.81%	19.73%	16.48%	16.58%	23.16%	21.24%	16.79%	21.20%	20.92%	19.65%	24.08%	20.19%	24.12%	16.04%	23.20%	14.66%	16.54%	14.52%	18.58%	18.67%	17.09%	17.15%	19.42%	7.65%	13.87%	13.20%	14.91%	17.37%	17.94%	15.41%	13.29%	19.01%	17.83%	18.81%	18.59%	18.64%	19.67%	18.32%	20.49%	17.87%	15.91%	19.27%	14.26%	18.26%	20.13%	16.84%	20.77%	18.56%	18.98%	19.49%	16.17%	19.43%	20.13%	21.76%	20.47%	21.25%	21.35%	20.26%	23.66%	20.31%	17.03%	17.13%	16.57%	13.01%	17.58%	17.32%	16.84%	15.26%	15.69%	17.59%	13.99%	15.31%	14.04%	16.15%	11.94%	20.42%	14.30%	17.60%	16.67%	11.03%	13.06%	5.98%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2173	3	16	10	10	18	77	9	11	7	16	28	9	24	18	13	12	10	33	18	24	27	24	8	18	10	30	22	31	15	34	37	36	43	55	37	6	12	28	28	17	26	33	27	36	20	24	21	20	20	28	30	39	18	17	32	43	37	46	32	34	24	24	21	24	35	20	19	27	22	23	18	38	27	27	32	21	22	26	40	16	27	27	20	34	19	22	14	2	19	11	5					
		2.06%	0.57%	1.35%	0.97%	0.94%	2.11%	4.67%	1.06%	1.32%	0.60%	1.25%	2.51%	0.85%	2.14%	2.29%	1.39%	1.53%	1.09%	2.59%	1.73%	2.69%	2.13%	2.22%	0.92%	1.80%	1.10%	2.46%	1.52%	2.17%	2.22%	2.72%	2.45%	2.37%	3.13%	3.65%	2.53%	0.75%	1.18%	2.02%	2.40%	1.52%	1.84%	2.67%	2.67%	3.02%	1.57%	1.58%	2.17%	1.81%	1.62%	2.18%	2.34%	2.77%	1.69%	1.37%	2.27%	2.96%	2.40%	3.30%	2.19%	2.52%	2.53%	2.26%	2.23%	2.46%	2.51%	1.77%	1.53%	1.94%	1.77%	2.08%	2.10%	3.04%	2.49%	2.12%	2.93%	1.73%	2.27%	1.95%	2.75%	1.45%	1.85%	2.03%	1.52%	3.56%	1.49%	1.70%	1.01%	0.85%	1.42%	1.14%	0.83%					
23	6.Политическая партия «Партия социальной справедливости»	292	0	5	2	1	2	7	0	3	3	3	4	2	5	2	5	1	4	3	2	5	5	3	1	2	1	3	1	4	1	1	9	5	5	6	2	3	2	3	1	4	10	4	5	3	5	6	3	2	3	5	1	6	3	5	3	2	2	2	3	3	2	3	2	3	1	4	3	4	3	4	0	5	3	6	1	1	4	5	3	4	6	4	2	3	4	2	4	3	5	1	0					
		0.28%	0.00%	0.42%	0.19%	0.09%	0.23%	0.42%	0.00%	0.36%	0.26%	0.23%	0.36%	0.19%	0.45%	0.25%	0.54%	0.13%	0.44%	0.24%	0.19%	0.56%	0.39%	0.28%	0.11%	0.20%	0.11%	0.25%	0.07%	0.28%	0.15%	0.08%	0.60%	0.33%	0.36%	0.40%	0.14%	0.38%	0.20%	0.22%	0.09%	0.36%	0.71%	0.32%	0.50%	0.25%	0.39%	0.39%	0.31%	0.18%	0.24%	0.39%	0.08%	0.43%	0.28%	0.40%	0.21%	0.14%	0.13%	0.14%	0.21%	0.22%	0.21%	0.28%	0.21%	0.31%	0.07%	0.35%	0.24%	0.29%	0.24%	0.36%	0.00%	0.40%	0.28%	0.47%	0.09%	0.08%	0.41%	0.38%	0.21%	0.36%	0.41%	0.30%	0.15%	0.31%	0.31%	0.15%	0.29%	1.28%	0.37%	0.10%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	11432	63	108	123	83	81	195	94	79	111	137	101	136	89	63	88	69	95	127	118	94	130	111	96	101	99	159	163	160	77	151	182	168	189	154	198	75	86	132	131	137	163	117	110	109	124	164	111	116	127	130	146	159	122	139	146	158	140	139	157	142	109	109	96	110	130	123	131	120	132	103	80	130	122	157	134	164	98	162	219	127	184	154	166	113	140	178	153	13	114	94	95					
		10.84%	12.07%	9.11%	11.91%	7.81%	9.48%	11.82%	11.02%	9.46%	9.50%	10.69%	9.06%	12.88%	7.93%	8.02%	9.44%	8.78%	10.38%	9.95%	11.31%	10.53%	10.25%	10.26%	10.99%	10.10%	10.92%	13.02%	11.27%	11.22%	11.41%	12.06%	12.05%	11.06%	13.78%	10.22%	13.54%	9.40%	8.49%	9.51%	11.22%	12.22%	11.52%	9.48%	10.89%	9.13%	9.71%	10.79%	11.49%	10.52%	10.27%	10.14%	11.39%	11.28%	11.42%	11.24%	10.38%	10.87%	9.09%	9.96%	10.74%	10.53%	11.51%	10.25%	10.19%	11.26%	9.33%	10.89%	10.53%	8.60%	10.64%	9.33%	9.32%	10.41%	11.25%	12.32%	12.28%	13.48%	10.10%	12.16%	15.05%	11.53%	12.58%	11.56%	12.59%	11.83%	10.95%	13.76%	11.04%	5.56%	8.49%	9.74%	15.78%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8290	37	98	58	77	37	106	56	43	59	76	74	85	70	53	55	44	64	94	87	64	95	92	74	95	41	97	104	102	59	124	142	121	142	151	112	39	59	147	93	85	120	103	86	85	100	137	85	91	105	78	118	120	96	103	93	116	124	124	124	119	103	114	68	75	113	94	105	91	113	118	84	108	93	104	91	108	93	108	99	103	119	99	108	52	86	110	112	10	108	51	12					
		7.86%	7.09%	8.27%	5.61%	7.24%	4.33%	6.42%	6.57%	5.15%	5.05%	5.93%	6.64%	8.05%	6.24%	6.74%	5.90%	5.60%	6.99%	7.37%	8.34%	7.17%	7.49%	8.50%	8.48%	9.50%	4.52%	7.94%	7.19%	7.15%	8.74%	9.90%	9.40%	7.97%	10.35%	10.02%	7.66%	4.89%	5.82%	10.59%	7.96%	7.58%	8.48%	8.35%	8.51%	7.12%	7.83%	9.01%	8.80%	8.25%	8.49%	6.08%	9.20%	8.51%	8.99%	8.33%	6.61%	7.98%	8.05%	8.88%	8.48%	8.83%	10.88%	10.72%	7.22%	7.68%	8.11%	8.33%	8.44%	6.52%	9.11%	10.69%	9.79%	8.65%	8.58%	8.16%	8.34%	8.87%	9.59%	8.11%	6.80%	9.36%	8.13%	7.43%	8.19%	5.45%	6.73%	8.50%	8.08%	4.27%	8.05%	5.28%	1.99%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1385	4	16	10	6	13	19	7	5	12	14	19	3	11	9	6	10	4	13	23	12	15	5	10	6	13	33	38	39	8	17	28	30	19	22	22	12	4	13	13	11	23	28	18	19	21	27	15	24	14	20	14	20	16	18	30	18	45	9	22	12	10	12	10	12	11	11	14	10	14	7	7	10	9	24	19	14	12	29	18	17	23	16	10	11	10	19	14	3	15	5	2					
		1.31%	0.77%	1.35%	0.97%	0.56%	1.52%	1.15%	0.82%	0.60%	1.03%	1.09%	1.70%	0.28%	0.98%	1.15%	0.64%	1.27%	0.44%	1.02%	2.21%	1.34%	1.18%	0.46%	1.15%	0.60%	1.43%	2.70%	2.63%	2.73%	1.19%	1.36%	1.85%	1.97%	1.38%	1.46%	1.50%	1.50%	0.39%	0.94%	1.11%	0.98%	1.63%	2.27%	1.78%	1.59%	1.64%	1.78%	1.55%	2.18%	1.13%	1.56%	1.09%	1.42%	1.50%	1.46%	2.13%	1.24%	2.92%	0.64%	1.50%	0.89%	1.06%	1.13%	1.06%	1.23%	0.79%	0.97%	1.13%	0.72%	1.13%	0.63%	0.82%	0.80%	0.83%	1.88%	1.74%	1.15%	1.24%	2.18%	1.24%	1.54%	1.57%	1.20%	0.76%	1.15%	0.78%	1.47%	1.01%	1.28%	1.12%	0.52%	0.33%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	55060	332	695	637	648	526	951	545	512	716	710	590	577	671	410	508	471	488	658	492	434	632	484	512	481	575	572	775	688	339	600	712	728	704	754	751	506	591	696	625	632	680	607	469	603	667	730	475	532	644	678	602	724	521	597	728	673	753	677	727	702	429	474	450	476	687	535	615	692	615	566	442	634	611	610	521	598	500	709	695	616	770	730	711	561	662	677	733	155	848	592	429					
		52.21%	63.60%	58.65%	61.67%	60.96%	61.59%	57.64%	63.89%	61.32%	61.25%	55.38%	52.91%	54.64%	59.80%	52.16%	54.51%	59.92%	53.33%	51.57%	47.17%	48.60%	49.84%	44.73%	58.65%	48.10%	63.40%	46.85%	53.60%	48.25%	50.22%	47.92%	47.15%	47.93%	51.31%	50.03%	51.37%	63.41%	58.34%	50.14%	53.51%	56.38%	48.06%	49.19%	46.44%	50.50%	52.23%	48.03%	49.17%	48.23%	52.06%	52.89%	46.96%	51.35%	48.78%	48.26%	51.74%	46.29%	48.86%	48.50%	49.73%	52.08%	45.30%	44.59%	47.77%	48.72%	49.32%	47.39%	49.44%	49.61%	49.56%	51.27%	51.52%	50.76%	56.37%	47.88%	47.75%	49.14%	51.55%	53.23%	47.77%	55.95%	52.63%	54.80%	53.90%	58.74%	51.80%	52.32%	52.89%	66.24%	63.19%	61.35%	71.26%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2768	8	16	12	11	8	23	7	3	9	22	19	18	19	11	9	14	12	20	31	14	26	31	6	17	4	44	45	50	14	39	39	49	81	57	64	6	31	50	43	35	49	48	42	43	31	50	25	34	30	47	40	51	30	38	47	59	49	51	34	45	30	32	23	24	41	35	38	33	29	39	30	43	30	50	37	33	32	20	45	20	38	29	26	21	25	31	23	5	21	24	1					
		2.62%	1.53%	1.35%	1.16%	1.03%	0.94%	1.39%	0.82%	0.36%	0.77%	1.72%	1.70%	1.70%	1.69%	1.40%	0.97%	1.78%	1.31%	1.57%	2.97%	1.57%	2.05%	2.87%	0.69%	1.70%	0.44%	3.60%	3.11%	3.51%	2.07%	3.12%	2.58%	3.23%	5.90%	3.78%	4.38%	0.75%	3.06%	3.60%	3.68%	3.12%	3.46%	3.89%	4.16%	3.60%	2.43%	3.29%	2.59%	3.08%	2.43%	3.67%	3.12%	3.62%	2.81%	3.07%	3.34%	4.06%	3.18%	3.65%	2.33%	3.34%	3.17%	3.01%	2.44%	2.46%	2.94%	3.10%	3.05%	2.37%	2.34%	3.53%	3.50%	3.44%	2.77%	3.92%	3.39%	2.71%	3.30%	1.50%	3.09%	1.82%	2.60%	2.18%	1.97%	2.20%	1.96%	2.40%	1.66%	2.14%	1.56%	2.49%	0.17%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
