Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Лаишевская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №2828									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1583	20	40	10	35	5	5	30	30	5	5	5	5	20	5	25	5	60	60	25	25	50	50	50	50	50	50	20	20	25	35	35	8	5	20	20	20	30	45	35	25	5	35	5	5	50	50	50	80	50	48	50	47	45	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1583	20	40	10	35	5	5	30	30	5	5	5	5	20	5	25	5	60	60	25	25	50	50	50	50	50	50	20	20	25	35	35	8	5	20	20	20	30	45	35	25	5	35	5	5	50	50	50	80	50	48	50	47	45	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	452	5	4	0	9	0	0	9	2	0	5	3	0	0	0	25	22	8	0	0	0	8	0	6	0	3	0	9	3	4	16	13	10	10	6	5	0	6	9	9	8	8	2	4	1	7	0	8	21	0	6	1	6	4	167									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	74	0	1	1	2	1	0	1	2	0	0	0	0	5	0	3	0	2	2	4	1	2	1	0	1	0	0	2	0	0	4	0	0	0	2	3	1	0	1	1	0	1	0	1	0	1	0	3	19	1	2	1	1	1	0									
		0.26%	0.00%	0.20%	0.34%	0.37%	0.59%	0.00%	0.14%	0.31%	0.00%	0.00%	0.00%	0.00%	0.84%	0.00%	0.38%	0.00%	0.25%	0.26%	0.38%	0.09%	0.27%	0.13%	0.00%	0.10%	0.00%	0.00%	0.32%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.62%	0.55%	0.19%	0.00%	0.22%	0.37%	0.00%	0.71%	0.00%	0.40%	0.00%	0.20%	0.00%	0.43%	1.77%	0.20%	0.26%	0.12%	0.15%	0.18%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	83	1	0	0	1	1	0	3	1	0	0	0	0	3	0	4	0	2	2	3	2	1	1	10	1	0	0	2	0	0	5	0	1	0	0	2	1	4	1	2	0	1	0	1	0	1	0	2	16	1	2	2	1	1	1									
		0.29%	0.27%	0.00%	0.00%	0.18%	0.59%	0.00%	0.41%	0.16%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.51%	0.00%	0.25%	0.26%	0.28%	0.19%	0.13%	0.13%	1.22%	0.10%	0.00%	0.00%	0.32%	0.00%	0.00%	0.44%	0.00%	0.32%	0.00%	0.00%	0.37%	0.19%	1.60%	0.22%	0.74%	0.00%	0.71%	0.00%	0.40%	0.00%	0.20%	0.00%	0.29%	1.49%	0.20%	0.26%	0.24%	0.15%	0.18%	0.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	48	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	1	3	1	1	1	0	1	0	0	1	0	0	2	0	0	0	0	2	1	0	0	1	0	1	0	0	0	1	1	1	18	0	2	1	1	1	0									
		0.17%	0.00%	0.20%	0.00%	0.18%	0.00%	0.00%	0.14%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.13%	0.28%	0.09%	0.13%	0.13%	0.00%	0.10%	0.00%	0.00%	0.16%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.37%	0.19%	0.00%	0.00%	0.37%	0.00%	0.71%	0.00%	0.00%	0.00%	0.20%	0.17%	0.14%	1.68%	0.00%	0.26%	0.12%	0.15%	0.18%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27541	366	492	282	520	165	167	711	611	131	72	176	167	576	85	755	126	757	738	1043	1036	739	721	801	999	674	654	602	498	614	1090	351	301	109	320	529	513	245	449	260	573	102	1073	240	90	479	578	678	882	493	756	817	648	527	160									
		96.23%	98.92%	97.62%	97.24%	95.94%	97.06%	97.09%	96.08%	96.22%	97.76%	97.30%	98.32%	97.09%	96.97%	97.70%	95.93%	98.44%	95.94%	95.97%	98.03%	98.01%	98.01%	96.26%	98.04%	98.13%	85.75%	95.75%	96.94%	99.60%	99.68%	96.04%	96.96%	96.78%	99.09%	99.07%	96.89%	97.34%	98.00%	96.98%	96.65%	99.65%	72.34%	98.99%	97.17%	95.74%	96.18%	96.66%	96.86%	82.12%	97.82%	96.43%	97.26%	96.86%	96.17%	95.81%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	2	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	1	1	1	0									
		0.08%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.14%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.13%	0.19%	0.19%	0.13%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.20%	0.00%	0.14%	0.00%	0.00%	0.26%	0.12%	0.15%	0.18%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	2	1	1	1	0									
		0.08%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.14%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.13%	0.09%	0.19%	0.13%	0.13%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.14%	0.19%	0.00%	0.26%	0.12%	0.15%	0.18%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	167	1	3	2	3	1	2	5	4	2	0	1	1	1	0	6	1	7	5	1	1	1	9	5	8	0	12	4	0	2	8	3	3	0	1	1	3	1	4	1	2	7	0	1	1	3	0	3	21	2	3	3	3	3	2									
		0.58%	0.27%	0.60%	0.69%	0.55%	0.59%	1.16%	0.68%	0.63%	1.49%	0.00%	0.56%	0.58%	0.17%	0.00%	0.76%	0.78%	0.89%	0.65%	0.09%	0.09%	0.13%	1.20%	0.61%	0.79%	0.00%	1.76%	0.64%	0.00%	0.32%	0.70%	0.83%	0.96%	0.00%	0.31%	0.18%	0.57%	0.40%	0.86%	0.37%	0.35%	4.96%	0.00%	0.40%	1.06%	0.60%	0.00%	0.43%	1.96%	0.40%	0.38%	0.36%	0.45%	0.55%	1.20%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	29	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	7	0	2	1	1	1	0									
		0.10%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.14%	0.16%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.13%	0.00%	0.13%	0.13%	0.09%	0.19%	0.13%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.14%	0.65%	0.00%	0.26%	0.12%	0.15%	0.18%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	1	2	0	2	1	1	1	0									
		0.09%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.14%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.13%	0.13%	0.09%	0.09%	0.13%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.18%	0.19%	0.00%	0.00%	0.00%	0.00%	1.42%	0.00%	0.00%	0.00%	0.20%	0.00%	0.14%	0.19%	0.00%	0.26%	0.12%	0.15%	0.18%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	1	1	0									
		0.06%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.09%	0.28%	0.13%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.14%	0.00%	0.00%	0.26%	0.12%	0.15%	0.18%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	33	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	2	1	1	2	1	1	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	7	0	2	1	1	1	0									
		0.12%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.14%	0.16%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.13%	0.00%	0.25%	0.13%	0.09%	0.19%	0.13%	0.13%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.18%	0.19%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.14%	0.65%	0.00%	0.26%	0.12%	0.15%	0.18%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	317	1	2	1	3	1	2	4	4	1	1	1	2	1	2	5	1	6	4	1	2	1	6	0	6	112	14	2	2	0	7	3	2	1	0	1	1	0	2	1	0	12	4	1	0	2	19	2	58	2	2	3	2	2	2									
		1.11%	0.27%	0.40%	0.34%	0.55%	0.59%	1.16%	0.54%	0.63%	0.75%	1.35%	0.56%	1.16%	0.17%	2.30%	0.64%	0.78%	0.76%	0.52%	0.09%	0.19%	0.13%	0.80%	0.00%	0.59%	14.25%	2.05%	0.32%	0.40%	0.00%	0.62%	0.83%	0.64%	0.91%	0.00%	0.18%	0.19%	0.00%	0.43%	0.37%	0.00%	8.51%	0.37%	0.40%	0.00%	0.40%	3.18%	0.29%	5.40%	0.40%	0.26%	0.36%	0.30%	0.36%	1.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	39	0	1	1	2	0	0	2	0	0	0	0	0	1	0	3	0	0	2	1	1	0	1	0	1	0	0	2	0	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	2	0	2	4	1	2	1	1	1	0									
		0.14%	0.00%	0.20%	0.34%	0.37%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.38%	0.00%	0.00%	0.26%	0.09%	0.09%	0.00%	0.13%	0.00%	0.10%	0.00%	0.00%	0.32%	0.00%	0.00%	0.09%	0.28%	0.00%	0.00%	0.00%	0.18%	0.19%	0.00%	0.22%	0.37%	0.00%	0.00%	0.00%	0.40%	0.00%	0.40%	0.00%	0.29%	0.37%	0.20%	0.26%	0.12%	0.15%	0.18%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	162	1	4	3	4	1	1	7	7	0	0	1	2	5	0	8	0	7	9	1	1	3	3	0	1	0	3	4	0	0	9	4	4	0	0	1	3	0	5	1	0	0	7	1	0	3	0	3	24	4	3	6	3	4	1									
		0.57%	0.27%	0.79%	1.03%	0.74%	0.59%	0.58%	0.95%	1.10%	0.00%	0.00%	0.56%	1.16%	0.84%	0.00%	1.02%	0.00%	0.89%	1.17%	0.09%	0.09%	0.40%	0.40%	0.00%	0.10%	0.00%	0.44%	0.64%	0.00%	0.00%	0.79%	1.10%	1.29%	0.00%	0.00%	0.18%	0.57%	0.00%	1.08%	0.37%	0.00%	0.00%	0.65%	0.40%	0.00%	0.60%	0.00%	0.43%	2.23%	0.79%	0.38%	0.71%	0.45%	0.73%	0.60%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
