Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Аргаяшская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44					
		0.26%	0.12%	0.0%	0.21%	0.12%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.65%	0.0%	0.15%	0.71%	1.31%	0.0%	1.09%	0.0%	0.42%	0.68%	0.0%	0.0%	0.0%	0.92%	0.0%	0.25%	0.0%	0.0%	0.66%	0.16%	0.78%	0.0%	1.04%	0.69%	0.22%	0.0%	0.20%	0.0%	0.37%	0.0%	0.54%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	100	5	6	10	8	0	2	0	2	2	1	1	1	1	5	3	2	0	1	0	2	3	1	4	2	0	4	0	5	6	0	1	2	0	3	3	2	4	0	1	1	4	1	1	0					
		0.65%	0.64%	0.67%	1.07%	0.97%	0.0%	0.44%	0.0%	1.38%	0.88%	0.64%	0.93%	0.31%	0.82%	2.23%	0.46%	0.71%	0.0%	0.18%	0.0%	0.86%	0.42%	0.34%	1.29%	1.08%	0.0%	1.22%	0.0%	1.28%	2.32%	0.0%	0.22%	0.32%	0.0%	0.95%	1.57%	0.69%	0.89%	0.0%	0.20%	0.61%	0.74%	0.55%	0.54%	0.0%					
25	"8. ""Народно-республиканская партия России"""	22	2	0	1	0	0	2	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	1	0	1	1	1	1	1	0					
		0.14%	0.25%	0.0%	0.10%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.82%	0.0%	0.15%	0.35%	0.65%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.48%	0.0%	0.32%	0.39%	0.0%	0.0%	0.0%	0.22%	0.0%	0.20%	0.61%	0.18%	0.55%	0.54%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	49	4	3	1	2	0	0	0	0	0	1	0	0	0	2	2	0	2	0	1	0	7	0	2	0	0	0	2	0	0	0	0	2	1	4	5	0	3	0	2	0	2	1	0	0					
		0.32%	0.51%	0.33%	0.10%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.89%	0.30%	0.0%	1.31%	0.0%	0.54%	0.0%	0.99%	0.0%	0.64%	0.0%	0.0%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.32%	0.39%	1.27%	2.61%	0.0%	0.67%	0.0%	0.40%	0.0%	0.37%	0.55%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1105	31	23	41	22	8	25	0	16	24	10	8	33	4	12	68	43	18	41	22	26	31	24	37	22	4	25	10	15	13	14	26	42	16	24	13	26	46	56	43	2	90	7	33	11					
		7.26%	3.98%	2.57%	4.42%	2.69%	2.89%	5.55%	0.0%	11.11%	10.66%	6.49%	7.47%	10.50%	3.30%	5.35%	10.52%	15.30%	11.84%	7.75%	12.08%	11.25%	4.39%	8.19%	11.93%	11.95%	3.88%	7.66%	4.48%	3.85%	5.03%	6.82%	5.79%	6.85%	6.27%	7.66%	6.80%	9.09%	10.29%	13.59%	8.65%	1.22%	16.75%	3.86%	17.93%	8.46%					
28	"11. ""Истинные патриоты России"""	41	1	0	0	0	0	3	2	0	0	3	1	1	0	0	1	0	0	1	1	2	2	2	2	1	1	2	0	0	0	0	4	3	0	0	0	0	0	3	0	0	5	0	0	0					
		0.26%	0.12%	0.0%	0.0%	0.0%	0.0%	0.66%	1.90%	0.0%	0.0%	1.94%	0.93%	0.31%	0.0%	0.0%	0.15%	0.0%	0.0%	0.18%	0.54%	0.86%	0.28%	0.68%	0.64%	0.54%	0.97%	0.61%	0.0%	0.0%	0.0%	0.0%	0.89%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	122	4	6	6	9	2	5	0	1	1	0	3	5	2	2	3	4	0	1	1	4	13	2	6	0	0	1	2	3	1	0	4	1	5	2	4	3	2	1	2	0	8	1	1	1					
		0.80%	0.51%	0.67%	0.64%	1.10%	0.72%	1.11%	0.0%	0.69%	0.44%	0.0%	2.80%	1.59%	1.65%	0.89%	0.46%	1.42%	0.0%	0.18%	0.54%	1.73%	1.84%	0.68%	1.93%	0.0%	0.0%	0.30%	0.89%	0.77%	0.38%	0.0%	0.89%	0.16%	1.96%	0.63%	2.09%	1.04%	0.44%	0.24%	0.40%	0.0%	1.48%	0.55%	0.54%	0.76%					
30	"13. ""Демократическая партия России"""	29	5	0	0	0	0	1	0	0	1	1	0	0	2	0	3	2	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	1	0	0	2	0	2	1	0	0					
		0.19%	0.64%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.44%	0.64%	0.0%	0.0%	1.65%	0.0%	0.46%	0.71%	0.65%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	1.17%	0.31%	0.0%	0.34%	0.0%	0.0%	0.40%	0.0%	0.37%	0.55%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	63	2	1	5	1	0	2	0	0	0	0	2	1	0	2	0	0	1	12	0	0	0	1	1	0	0	0	0	0	1	1	2	1	3	0	1	1	8	3	0	0	8	2	1	0					
		0.41%	0.25%	0.11%	0.53%	0.12%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	1.86%	0.31%	0.0%	0.89%	0.0%	0.0%	0.65%	2.26%	0.0%	0.0%	0.0%	0.34%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.48%	0.44%	0.16%	1.17%	0.0%	0.52%	0.34%	1.78%	0.72%	0.0%	0.0%	1.48%	1.10%	0.54%	0.0%					
32	"15. ""Партия СЛОН"""	37	3	1	3	0	0	0	0	2	0	0	0	1	0	1	4	2	0	2	0	0	1	1	0	0	1	0	0	1	1	0	2	3	1	0	0	1	0	2	1	0	1	2	0	0					
		0.24%	0.38%	0.11%	0.32%	0.0%	0.0%	0.0%	0.0%	1.38%	0.0%	0.0%	0.0%	0.31%	0.0%	0.44%	0.61%	0.71%	0.0%	0.37%	0.0%	0.0%	0.14%	0.34%	0.0%	0.0%	0.97%	0.0%	0.0%	0.25%	0.38%	0.0%	0.44%	0.48%	0.39%	0.0%	0.0%	0.34%	0.0%	0.48%	0.20%	0.0%	0.18%	1.10%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	695	53	71	56	37	23	21	3	9	8	10	5	3	1	6	34	5	4	36	21	4	39	15	16	12	6	17	10	24	8	6	13	5	5	14	2	10	24	9	18	2	18	4	6	2					
		4.56%	6.81%	7.95%	6.04%	4.52%	8.33%	4.66%	2.85%	6.25%	3.55%	6.49%	4.67%	0.95%	0.82%	2.67%	5.26%	1.77%	2.63%	6.80%	11.53%	1.73%	5.53%	5.11%	5.16%	6.52%	5.82%	5.21%	4.48%	6.16%	3.10%	2.92%	2.89%	0.81%	1.96%	4.47%	1.04%	3.49%	5.36%	2.18%	3.62%	1.22%	3.35%	2.20%	3.26%	1.53%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	54	1	1	3	3	0	1	2	0	1	2	0	0	0	1	3	0	0	1	2	1	3	0	0	3	0	3	2	1	1	3	0	3	1	1	0	1	4	0	3	0	1	0	1	1					
		0.35%	0.12%	0.11%	0.32%	0.36%	0.0%	0.22%	1.90%	0.0%	0.44%	1.29%	0.0%	0.0%	0.0%	0.44%	0.46%	0.0%	0.0%	0.18%	1.09%	0.43%	0.42%	0.0%	0.0%	1.63%	0.0%	0.92%	0.89%	0.25%	0.38%	1.46%	0.0%	0.48%	0.39%	0.31%	0.0%	0.34%	0.89%	0.0%	0.60%	0.0%	0.18%	0.0%	0.54%	0.76%					
35	"18. ""ЛДПР"""	1005	64	72	98	128	27	8	4	4	4	2	7	22	3	6	16	10	5	19	4	13	59	12	7	3	2	46	41	54	43	23	21	19	2	25	7	11	8	7	61	16	6	2	6	8					
		6.60%	8.22%	8.06%	10.58%	15.66%	9.78%	1.77%	3.80%	2.77%	1.77%	1.29%	6.54%	7.00%	2.47%	2.67%	2.47%	3.55%	3.28%	3.59%	2.19%	5.62%	8.36%	4.09%	2.25%	1.63%	1.94%	14.11%	18.38%	13.88%	16.66%	11.21%	4.67%	3.09%	0.78%	7.98%	3.66%	3.84%	1.78%	1.69%	12.27%	9.81%	1.11%	1.10%	3.26%	6.15%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	236	8	12	16	6	2	11	5	1	2	1	2	7	1	1	9	3	4	6	1	1	11	5	4	3	1	8	7	3	9	3	7	1	3	5	2	13	8	8	12	3	4	4	1	12					
		1.55%	1.02%	1.34%	1.72%	0.73%	0.72%	2.44%	4.76%	0.69%	0.88%	0.64%	1.86%	2.22%	0.82%	0.44%	1.39%	1.06%	2.63%	1.13%	0.54%	0.43%	1.56%	1.70%	1.29%	1.63%	0.97%	2.45%	3.13%	0.77%	3.48%	1.46%	1.55%	0.16%	1.17%	1.59%	1.04%	4.54%	1.78%	1.94%	2.41%	1.84%	0.74%	2.20%	0.54%	9.23%					
37	"20. ""Политическая партия ""Единая Россия"""	4227	242	301	279	249	81	114	36	26	68	52	22	132	38	49	216	77	71	134	37	45	201	75	114	73	23	66	55	104	65	85	75	111	41	46	48	56	121	110	157	74	114	52	39	53					
		27.79%	31.10%	33.70%	30.12%	30.47%	29.34%	25.33%	34.28%	18.05%	30.22%	33.76%	20.56%	42.03%	31.40%	21.87%	33.43%	27.40%	46.71%	25.33%	20.32%	19.48%	28.51%	25.59%	36.77%	39.67%	22.33%	20.24%	24.66%	26.73%	25.19%	41.46%	16.70%	18.10%	16.07%	14.69%	25.13%	19.58%	27.06%	26.69%	31.58%	45.39%	21.22%	28.72%	21.19%	40.76%					
38	"21. ""Российская Конституционно-демократическая партия"""	37	1	1	3	2	0	0	0	0	0	0	0	1	0	0	1	1	0	3	0	1	1	1	2	2	0	0	0	0	0	0	0	0	4	0	2	0	2	1	1	0	5	1	0	1					
		0.24%	0.12%	0.11%	0.32%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.15%	0.35%	0.0%	0.56%	0.0%	0.43%	0.14%	0.34%	0.64%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.56%	0.0%	1.04%	0.0%	0.44%	0.24%	0.20%	0.0%	0.93%	0.55%	0.0%	0.76%					
39	"22. ""Развитие предпринимательства"""	35	2	2	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	1	1	0	0	1	0	3	1	0	0	3	2	2	1	0	1	4	0	0	0	1	2	0					
		0.23%	0.25%	0.22%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.14%	0.34%	0.32%	0.0%	0.0%	0.30%	0.0%	0.77%	0.38%	0.0%	0.0%	0.48%	0.78%	0.63%	0.52%	0.0%	0.22%	0.97%	0.0%	0.0%	0.0%	0.55%	1.08%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3948	151	164	174	178	38	178	29	48	71	35	25	58	23	79	166	70	9	166	46	71	125	90	64	19	25	62	53	55	65	27	220	323	136	111	64	89	97	117	93	32	159	68	54	21					
		25.95%	19.40%	18.36%	18.79%	21.78%	13.76%	39.55%	27.61%	33.33%	31.55%	22.72%	23.36%	18.47%	19.00%	35.26%	25.69%	24.91%	5.92%	31.37%	25.27%	30.73%	17.73%	30.71%	20.64%	10.32%	24.27%	19.01%	23.76%	14.13%	25.19%	13.17%	48.99%	52.69%	53.33%	35.46%	33.50%	31.11%	21.70%	28.39%	18.71%	19.63%	29.60%	37.56%	29.34%	16.15%					
																																																			
41	Против всех	689	40	64	52	50	19	14	1	5	5	5	9	8	7	3	32	13	7	20	4	13	28	7	8	18	6	36	11	26	4	10	18	18	8	11	4	14	13	10	25	1	16	6	17	3					
		4.53%	5.14%	7.16%	5.61%	6.11%	6.88%	3.11%	0.95%	3.47%	2.22%	3.24%	8.41%	2.54%	5.78%	1.33%	4.95%	4.62%	4.60%	3.78%	2.19%	5.62%	3.97%	2.38%	2.58%	9.78%	5.82%	11.04%	4.93%	6.68%	1.55%	4.87%	4.00%	2.93%	3.13%	3.51%	2.09%	4.89%	2.90%	2.42%	5.03%	0.61%	2.97%	3.31%	9.23%	2.30%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
