Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    Крымская																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	852	13	17	15	25	15	2	17	10	18	28	28	15	19	17	21	26	13	18	34	15	51	21	2	5	11	10	7	7	1	10	0	24	2	1	0	11	21	20	12	6	16	26	11	1	1	20	1	29	19	10	17	7	16	4	4	11	0	1	9	3	18	22	13	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	414	2	13	8	11	6	5	12	1	11	5	8	9	6	15	6	7	9	10	23	6	9	6	2	18	6	5	0	2	1	4	3	11	3	1	2	14	6	11	0	4	5	7	3	2	2	7	3	2	5	4	5	3	7	11	5	4	3	1	6	5	17	8	12	6					
14	Число погашенных неиспользованных открепительных удостоверений	504	17	7	13	3	8	3	15	12	11	7	3	18	11	17	4	10	13	3	1	12	14	8	1	18	19	1	2	9	2	0	3	7	1	2	7	17	8	11	23	0	4	3	3	2	5	4	6	0	21	10	4	20	23	2	0	3	5	6	0	5	16	15	3	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	92	3	5	1	4	2	0	4	1	0	6	2	3	0	3	1	0	5	1	2	4	5	2	0	1	1	1	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	5	1	0	2	3	0	1	4	2	2	0	3	0	1	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
18	1.Политическая партия «Аграрная партия России»	1157	63	9	21	30	12	12	21	29	25	33	35	29	7	16	38	22	5	23	27	23	26	21	1	47	24	8	4	11	4	17	1	28	4	0	9	18	25	21	34	5	12	19	16	3	3	24	1	35	45	17	20	25	51	3	3	7	7	4	3	13	16	25	15	2					
		2.23%	5.23%	0.97%	1.95%	2.78%	1.22%	4.32%	1.76%	3.44%	2.67%	2.48%	2.77%	2.41%	0.62%	1.26%	4.14%	1.62%	0.54%	2.90%	1.80%	2.34%	1.58%	2.85%	0.75%	5.51%	2.52%	1.88%	1.08%	1.53%	2.27%	3.90%	0.67%	2.21%	2.37%	0.00%	2.95%	1.38%	1.84%	1.51%	2.19%	1.80%	2.02%	1.39%	2.74%	2.24%	1.15%	2.67%	0.32%	3.30%	2.84%	2.38%	2.44%	2.64%	3.52%	1.09%	1.62%	1.72%	3.38%	1.47%	0.70%	3.96%	1.26%	1.80%	2.49%	0.67%					
19	2.Всероссийская политическая партия «Гражданская Сила»	390	15	7	3	12	5	2	4	16	5	13	15	17	13	7	17	11	5	9	9	12	20	2	1	7	3	2	2	0	2	3	0	8	1	0	1	5	0	8	22	0	1	7	0	1	6	10	2	9	18	5	5	2	8	0	0	1	3	4	1	1	11	9	0	2					
		0.75%	1.24%	0.76%	0.28%	1.11%	0.51%	0.72%	0.34%	1.90%	0.53%	0.98%	1.19%	1.41%	1.15%	0.55%	1.85%	0.81%	0.54%	1.14%	0.60%	1.22%	1.21%	0.27%	0.75%	0.82%	0.32%	0.47%	0.54%	0.00%	1.14%	0.69%	0.00%	0.63%	0.59%	0.00%	0.33%	0.38%	0.00%	0.58%	1.42%	0.00%	0.17%	0.51%	0.00%	0.75%	2.29%	1.11%	0.64%	0.85%	1.14%	0.70%	0.61%	0.21%	0.55%	0.00%	0.00%	0.25%	1.45%	1.47%	0.23%	0.30%	0.87%	0.65%	0.00%	0.67%					
20	3.Политическая партия «Демократическая партия России»	152	1	1	3	5	0	1	4	8	3	3	7	3	1	0	11	3	2	3	1	4	3	3	3	4	1	0	2	1	0	2	0	1	0	0	1	0	1	1	11	1	0	4	1	1	0	4	0	7	12	2	2	4	4	1	0	0	0	2	1	2	0	6	0	0					
		0.29%	0.08%	0.11%	0.28%	0.46%	0.00%	0.36%	0.34%	0.95%	0.32%	0.23%	0.55%	0.25%	0.09%	0.00%	1.20%	0.22%	0.22%	0.38%	0.07%	0.41%	0.18%	0.41%	2.24%	0.47%	0.11%	0.00%	0.54%	0.14%	0.00%	0.46%	0.00%	0.08%	0.00%	0.00%	0.33%	0.00%	0.07%	0.07%	0.71%	0.36%	0.00%	0.29%	0.17%	0.75%	0.00%	0.44%	0.00%	0.66%	0.76%	0.28%	0.24%	0.42%	0.28%	0.36%	0.00%	0.00%	0.00%	0.74%	0.23%	0.61%	0.00%	0.43%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	9746	275	207	292	217	255	43	196	150	188	303	338	298	290	325	248	321	169	152	397	269	321	91	23	144	173	51	37	116	14	66	15	223	16	15	29	196	205	178	216	34	78	187	99	13	44	157	24	186	245	120	121	150	315	29	19	58	29	38	42	51	248	260	104	33					
		18.77%	22.82%	22.40%	27.16%	20.13%	25.91%	15.47%	16.46%	17.81%	20.06%	22.76%	26.78%	24.79%	25.55%	25.57%	27.02%	23.64%	18.27%	19.19%	26.50%	27.31%	19.49%	12.36%	17.16%	16.88%	18.17%	11.97%	9.97%	16.18%	7.95%	15.14%	10.00%	17.61%	9.47%	10.34%	9.51%	14.97%	15.11%	12.83%	13.94%	12.23%	13.15%	13.69%	16.92%	9.70%	16.79%	17.44%	7.72%	17.53%	15.47%	16.81%	14.76%	15.84%	21.75%	10.55%	10.27%	14.25%	14.01%	13.97%	9.79%	15.55%	19.59%	18.72%	17.25%	11.11%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	329	8	2	7	6	9	1	9	18	6	5	15	4	5	7	14	9	2	4	4	11	7	2	0	6	2	0	4	11	0	4	0	2	0	1	3	4	8	9	11	0	2	2	3	1	3	6	0	11	15	4	3	7	17	3	2	4	1	4	4	3	3	7	4	0					
		0.63%	0.66%	0.22%	0.65%	0.56%	0.91%	0.36%	0.76%	2.14%	0.64%	0.38%	1.19%	0.33%	0.44%	0.55%	1.53%	0.66%	0.22%	0.51%	0.27%	1.12%	0.43%	0.27%	0.00%	0.70%	0.21%	0.00%	1.08%	1.53%	0.00%	0.92%	0.00%	0.16%	0.00%	0.69%	0.98%	0.31%	0.59%	0.65%	0.71%	0.00%	0.34%	0.15%	0.51%	0.75%	1.15%	0.67%	0.00%	1.04%	0.95%	0.56%	0.37%	0.74%	1.17%	1.09%	1.08%	0.98%	0.48%	1.47%	0.93%	0.91%	0.24%	0.50%	0.66%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	71	1	2	2	2	0	0	0	1	0	2	4	2	1	0	0	1	3	0	2	2	2	1	1	1	0	2	0	0	0	1	0	2	0	0	1	3	1	4	2	0	1	1	0	0	0	1	0	1	3	1	1	4	0	1	1	0	0	0	0	4	3	0	1	2					
		0.14%	0.08%	0.22%	0.19%	0.19%	0.00%	0.00%	0.00%	0.12%	0.00%	0.15%	0.32%	0.17%	0.09%	0.00%	0.00%	0.07%	0.32%	0.00%	0.13%	0.20%	0.12%	0.14%	0.75%	0.12%	0.00%	0.47%	0.00%	0.00%	0.00%	0.23%	0.00%	0.16%	0.00%	0.00%	0.33%	0.23%	0.07%	0.29%	0.13%	0.00%	0.17%	0.07%	0.00%	0.00%	0.00%	0.11%	0.00%	0.09%	0.19%	0.14%	0.12%	0.42%	0.00%	0.36%	0.54%	0.00%	0.00%	0.00%	0.00%	1.22%	0.24%	0.00%	0.17%	0.67%					
24	7.Политическая партия «Либерально-демократическая партия России»	3700	92	78	72	73	73	16	81	51	67	91	74	79	82	97	67	94	80	62	121	62	225	67	6	51	69	25	20	36	4	20	17	74	5	9	15	100	101	98	116	22	42	104	25	8	21	36	29	100	82	64	41	77	104	11	8	25	14	22	31	19	96	86	36	27					
		7.12%	7.63%	8.44%	6.70%	6.77%	7.42%	5.76%	6.80%	6.06%	7.15%	6.84%	5.86%	6.57%	7.22%	7.63%	7.30%	6.92%	8.65%	7.83%	8.08%	6.29%	13.66%	9.10%	4.48%	5.98%	7.25%	5.87%	5.39%	5.02%	2.27%	4.59%	11.33%	5.85%	2.96%	6.21%	4.92%	7.64%	7.44%	7.07%	7.49%	7.91%	7.08%	7.61%	4.27%	5.97%	8.02%	4.00%	9.32%	9.43%	5.18%	8.96%	5.00%	8.13%	7.18%	4.00%	4.32%	6.14%	6.76%	8.09%	7.23%	5.79%	7.58%	6.19%	5.97%	9.09%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6358	122	132	143	170	119	35	225	131	106	230	157	159	195	183	84	215	122	132	195	115	219	83	8	124	81	54	56	75	21	51	17	150	29	13	37	110	110	151	153	31	71	102	113	11	24	65	36	109	160	63	67	127	135	39	22	59	52	34	97	31	184	125	49	40					
		12.24%	10.12%	14.29%	13.30%	15.77%	12.09%	12.59%	18.89%	15.56%	11.31%	17.28%	12.44%	13.23%	17.18%	14.40%	9.15%	15.83%	13.19%	16.67%	13.02%	11.68%	13.30%	11.28%	5.97%	14.54%	8.51%	12.68%	15.09%	10.46%	11.93%	11.70%	11.33%	11.85%	17.16%	8.97%	12.13%	8.40%	8.11%	10.89%	9.88%	11.15%	11.97%	7.47%	19.32%	8.21%	9.16%	7.22%	11.58%	10.27%	10.10%	8.82%	8.17%	13.41%	9.32%	14.18%	11.89%	14.50%	25.12%	12.50%	22.61%	9.45%	14.53%	8.99%	8.13%	13.47%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	331	12	3	8	5	11	2	5	6	5	3	9	7	15	14	5	10	14	5	21	5	15	1	0	3	6	3	0	0	1	1	0	6	0	1	2	9	7	10	7	3	2	14	0	2	0	3	0	6	9	5	4	8	5	2	0	2	1	3	6	3	6	6	2	2					
		0.64%	0.99%	0.32%	0.74%	0.46%	1.12%	0.72%	0.42%	0.71%	0.53%	0.23%	0.71%	0.58%	1.32%	1.10%	0.54%	0.74%	1.51%	0.63%	1.40%	0.51%	0.91%	0.14%	0.00%	0.35%	0.63%	0.70%	0.00%	0.00%	0.57%	0.23%	0.00%	0.47%	0.00%	0.69%	0.66%	0.69%	0.52%	0.72%	0.45%	1.08%	0.34%	1.02%	0.00%	1.49%	0.00%	0.33%	0.00%	0.57%	0.57%	0.70%	0.49%	0.84%	0.35%	0.73%	0.00%	0.49%	0.48%	1.10%	1.40%	0.91%	0.47%	0.43%	0.33%	0.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	27819	569	445	493	531	475	156	601	376	493	596	565	574	487	575	388	619	495	375	652	441	748	432	90	428	574	274	221	447	123	253	94	727	102	98	200	826	850	864	936	176	352	894	312	88	149	569	213	564	937	420	513	502	723	171	121	248	93	156	237	184	644	807	370	183					
		53.56%	47.22%	48.16%	45.86%	49.26%	48.27%	56.12%	50.46%	44.66%	52.61%	44.78%	44.77%	47.75%	42.91%	45.24%	42.27%	45.58%	53.51%	47.35%	43.52%	44.77%	45.42%	58.70%	67.16%	50.18%	60.29%	64.32%	59.57%	62.34%	69.89%	58.03%	62.67%	57.42%	60.36%	67.59%	65.57%	63.10%	62.64%	62.29%	60.43%	63.31%	59.36%	65.45%	53.33%	65.67%	56.87%	63.22%	68.49%	53.16%	59.15%	58.82%	62.56%	53.01%	49.93%	62.18%	65.41%	60.93%	44.93%	57.35%	55.24%	56.10%	50.87%	58.10%	61.36%	61.62%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	464	11	12	13	6	10	0	13	10	11	21	17	13	13	18	7	18	7	9	33	15	21	9	0	9	4	0	4	1	3	0	1	11	2	1	0	15	11	12	7	1	8	8	3	0	1	4	1	8	17	3	4	4	7	0	2	0	2	0	2	1	8	9	2	1					
		0.89%	0.91%	1.30%	1.21%	0.56%	1.02%	0.00%	1.09%	1.19%	1.17%	1.58%	1.35%	1.08%	1.15%	1.42%	0.76%	1.33%	0.76%	1.14%	2.20%	1.52%	1.28%	1.22%	0.00%	1.06%	0.42%	0.00%	1.08%	0.14%	1.70%	0.00%	0.67%	0.87%	1.18%	0.69%	0.00%	1.15%	0.81%	0.87%	0.45%	0.36%	1.35%	0.59%	0.51%	0.00%	0.38%	0.44%	0.32%	0.75%	1.07%	0.42%	0.49%	0.42%	0.48%	0.00%	1.08%	0.00%	0.97%	0.00%	0.47%	0.30%	0.63%	0.65%	0.33%	0.34%					
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
