Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Екатеринбург, Ленинская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №983	УИК №985	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3365	0	20	50	60	20	30	40	30	30	50	20	40	60	40	50	50	90	40	40	50	60	65	70	50	60	40	50	40	40	20	60	70	40	30	40	40	70	40	40	50	40	75	50	40	60	70	55	55	40	50	48	42	58	50	40	40	42	60	50	40	60	60	50	60	40	85	60	60	40	40	0	0	0	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2776	0	9	44	55	13	24	31	26	16	38	9	34	53	37	39	45	75	33	40	38	48	63	65	39	43	30	46	35	23	15	52	64	27	20	32	28	65	28	29	37	24	73	34	30	52	62	54	48	37	42	43	41	54	44	29	35	37	52	45	27	52	57	40	46	33	65	48	48	31	36	0	0	0	9	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2073	127	8	93	89	125	32	36	25	18	39	29	15	28	27	21	22	44	13	59	23	37	20	74	18	14	15	21	15	21	28	21	24	30	7	35	21	21	18	26	33	16	37	18	16	16	15	28	30	17	18	26	12	13	19	17	18	12	20	34	10	28	21	18	22	26	25	31	12	15	18	12	10	41	25	5					
14	Число погашенных неиспользованных открепительных удостоверений	589	0	11	6	5	7	6	9	4	14	12	11	6	7	3	11	5	15	7	0	12	12	2	5	11	17	10	4	5	17	5	8	6	13	10	8	12	5	12	11	13	16	2	16	10	8	8	1	7	3	8	5	1	4	6	11	5	5	8	5	13	8	3	10	14	7	20	12	12	9	4	0	0	0	11	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	2	0	0	0	2	0	1	2	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	1	0	0	1	2	1	0	1	0	1	0	4	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	19775	32	46	238	278	132	213	277	178	79	261	50	194	337	226	283	319	276	191	219	186	304	355	449	303	275	308	381	279	236	193	378	356	260	237	337	270	213	200	367	352	297	448	341	370	328	353	251	295	312	340	332	293	360	292	223	243	324	404	369	414	414	344	342	349	266	365	254	231	158	134	53	39	109	48	12					
		28.20%	25.20%	31.94%	18.55%	20.56%	26.09%	26.69%	29.72%	26.69%	25.82%	25.17%	19.23%	27.29%	27.24%	25.20%	24.06%	27.98%	26.93%	27.76%	23.93%	24.16%	28.76%	29.63%	29.72%	29.94%	27.45%	30.56%	30.09%	29.52%	28.10%	30.49%	29.39%	26.31%	31.03%	26.42%	29.10%	33.83%	21.09%	25.84%	31.77%	27.91%	29.79%	31.00%	32.23%	32.20%	31.94%	32.09%	30.68%	33.71%	28.44%	31.39%	31.98%	27.26%	30.69%	27.89%	26.05%	29.49%	32.11%	32.71%	29.95%	29.05%	32.55%	27.81%	30.54%	30.99%	29.04%	24.46%	26.68%	26.04%	20.20%	19.48%	27.32%	30.47%	31.41%	11.97%	24.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9658	17	6	215	222	35	82	102	78	47	93	41	80	144	106	265	162	140	80	147	111	118	143	212	122	101	149	165	148	112	85	165	204	91	120	151	89	178	115	141	169	158	180	135	138	132	124	111	99	165	141	136	138	162	125	136	136	132	163	175	192	209	151	155	155	161	224	121	155	158	140	24	26	41	96	13					
		13.77%	13.39%	4.17%	16.76%	16.42%	6.92%	10.28%	10.94%	11.69%	15.36%	8.97%	15.77%	11.25%	11.64%	11.82%	22.53%	14.21%	13.66%	11.63%	16.07%	14.42%	11.16%	11.94%	14.03%	12.06%	10.08%	14.78%	13.03%	15.66%	13.33%	13.43%	12.83%	15.08%	10.86%	13.38%	13.04%	11.15%	17.62%	14.86%	12.21%	13.40%	15.85%	12.46%	12.76%	12.01%	12.85%	11.27%	13.57%	11.31%	15.04%	13.02%	13.10%	12.84%	13.81%	11.94%	15.89%	16.50%	13.08%	13.20%	14.20%	13.47%	16.43%	12.21%	13.84%	13.77%	17.58%	15.01%	12.71%	17.47%	20.20%	20.35%	12.37%	20.31%	11.82%	23.94%	26.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	798	0	5	18	13	5	11	8	2	4	14	4	9	10	11	13	4	15	9	13	8	13	10	16	8	11	12	15	9	7	6	11	18	6	9	6	5	16	10	20	16	11	19	8	15	14	15	13	11	16	9	12	7	17	13	10	8	8	15	10	16	16	17	13	11	15	21	15	9	8	14	3	2	2	5	0					
		1.14%	0.00%	3.47%	1.40%	0.96%	0.99%	1.38%	0.86%	0.30%	1.31%	1.35%	1.54%	1.27%	0.81%	1.23%	1.11%	0.35%	1.46%	1.31%	1.42%	1.04%	1.23%	0.83%	1.06%	0.79%	1.10%	1.19%	1.18%	0.95%	0.83%	0.95%	0.86%	1.33%	0.72%	1.00%	0.52%	0.63%	1.58%	1.29%	1.73%	1.27%	1.10%	1.31%	0.76%	1.31%	1.36%	1.36%	1.59%	1.26%	1.46%	0.83%	1.16%	0.65%	1.45%	1.24%	1.17%	0.97%	0.79%	1.21%	0.81%	1.12%	1.26%	1.37%	1.16%	0.98%	1.64%	1.41%	1.58%	1.01%	1.02%	2.03%	1.55%	1.56%	0.58%	1.25%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	12234	13	10	237	232	111	156	162	148	67	213	43	141	227	223	216	199	193	123	236	158	202	221	253	206	177	189	216	179	163	92	206	237	157	135	190	127	187	138	199	213	148	234	173	188	143	163	147	132	200	194	147	177	197	180	126	144	157	176	177	248	198	243	173	212	126	296	190	151	110	114	33	14	63	59	6					
		17.45%	10.24%	6.94%	18.47%	17.16%	21.94%	19.55%	17.38%	22.19%	21.90%	20.54%	16.54%	19.83%	18.35%	24.86%	18.37%	17.46%	18.83%	17.88%	25.79%	20.52%	19.11%	18.45%	16.74%	20.36%	17.66%	18.75%	17.06%	18.94%	19.40%	14.53%	16.02%	17.52%	18.74%	15.05%	16.41%	15.91%	18.51%	17.83%	17.23%	16.89%	14.84%	16.19%	16.35%	16.36%	13.92%	14.82%	17.97%	15.09%	18.23%	17.91%	14.16%	16.47%	16.79%	17.19%	14.72%	17.48%	15.56%	14.25%	14.37%	17.40%	15.57%	19.64%	15.45%	18.83%	13.76%	19.84%	19.96%	17.02%	14.07%	16.57%	17.01%	10.94%	18.16%	14.71%	12.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	6789	13	5	63	84	70	132	136	74	21	197	52	103	193	96	72	140	110	98	131	84	102	102	150	98	105	87	132	83	82	62	135	169	93	104	104	78	115	79	90	122	83	130	80	85	68	93	64	66	83	81	92	108	101	101	74	72	83	120	99	124	98	120	139	100	72	177	138	58	29	49	12	2	9	11	2					
		9.68%	10.24%	3.47%	4.91%	6.21%	13.83%	16.54%	14.59%	11.09%	6.86%	18.99%	20.00%	14.49%	15.60%	10.70%	6.12%	12.28%	10.73%	14.24%	14.32%	10.91%	9.65%	8.51%	9.93%	9.68%	10.48%	8.63%	10.43%	8.78%	9.76%	9.79%	10.50%	12.49%	11.10%	11.59%	8.98%	9.77%	11.39%	10.21%	7.79%	9.67%	8.32%	8.99%	7.56%	7.40%	6.62%	8.45%	7.82%	7.54%	7.57%	7.48%	8.86%	10.05%	8.61%	9.65%	8.64%	8.74%	8.23%	9.72%	8.04%	8.70%	7.70%	9.70%	12.41%	8.88%	7.86%	11.86%	14.50%	6.54%	3.71%	7.12%	6.19%	1.56%	2.59%	2.74%	4.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18010	49	58	480	488	126	172	207	154	76	221	59	163	287	199	284	276	263	159	131	192	268	317	361	239	300	219	307	213	212	171	326	312	207	258	330	200	250	213	288	344	262	374	273	304	293	309	187	226	270	280	269	311	294	289	247	184	252	303	352	360	270	298	256	254	252	355	201	231	285	207	56	38	111	165	13					
		25.68%	38.58%	40.28%	37.41%	36.09%	24.90%	21.55%	22.21%	23.09%	24.84%	21.31%	22.69%	22.93%	23.20%	22.19%	24.15%	24.21%	25.66%	23.11%	14.32%	24.94%	25.35%	26.46%	23.89%	23.62%	29.94%	21.73%	24.25%	22.54%	25.24%	27.01%	25.35%	23.06%	24.70%	28.76%	28.50%	25.06%	24.75%	27.52%	24.94%	27.28%	26.28%	25.88%	25.80%	26.46%	28.53%	28.09%	22.86%	25.83%	24.61%	25.85%	25.92%	28.93%	25.06%	27.60%	28.86%	22.33%	24.98%	24.53%	28.57%	25.26%	21.23%	24.09%	22.86%	22.56%	27.51%	23.79%	21.11%	26.04%	36.45%	30.09%	28.87%	29.69%	31.99%	41.15%	26.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1310	1	3	15	15	15	16	17	12	3	22	5	6	16	13	27	20	13	12	31	16	31	19	27	19	11	18	24	16	10	12	31	33	11	18	20	12	30	9	24	21	14	13	24	20	21	19	15	19	30	19	19	16	7	17	19	9	24	23	26	32	28	35	20	12	14	42	11	39	15	12	3	3	6	9	1					
		1.87%	0.79%	2.08%	1.17%	1.11%	2.96%	2.01%	1.82%	1.80%	0.98%	2.12%	1.92%	0.84%	1.29%	1.45%	2.30%	1.75%	1.27%	1.74%	3.39%	2.08%	2.93%	1.59%	1.79%	1.88%	1.10%	1.79%	1.90%	1.69%	1.19%	1.90%	2.41%	2.44%	1.31%	2.01%	1.73%	1.50%	2.97%	1.16%	2.08%	1.67%	1.40%	0.90%	2.27%	1.74%	2.04%	1.73%	1.83%	2.17%	2.73%	1.75%	1.83%	1.49%	0.60%	1.62%	2.22%	1.09%	2.38%	1.86%	2.11%	2.25%	2.20%	2.83%	1.79%	1.07%	1.53%	2.82%	1.16%	4.40%	1.92%	1.74%	1.55%	2.34%	1.73%	2.24%	2.00%					
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
