Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																														
Дата голосования: 02.12.2007																																																																														
																																																																														
"Наименование Избирательной комиссии:    Екатеринбург, Ленинская"																																																																														
																																																																														
Сводная таблица результатов выборов																																																																														
																																																																														
		Сумма	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3406	431	170	27	43	27	32	69	20	30	48	89	160	117	59	44	67	30	40	26	46	19	23	15	115	18	13	107	17	40	45	9	79	112	84	13	33	37	17	37	22	21	21	19	24	23	26	22	32	14	22	18	19	19	15	34	44	9	62	22	26	18	25	12	47	14	25	8	33	30	227	45					
14	Число погашенных неиспользованных открепительных удостоверений	260	0	7	0	2	9	0	0	1	2	11	5	5	12	3	4	0	5	4	6	5	3	8	4	5	0	1	5	0	4	6	6	0	8	14	4	6	5	8	1	7	0	0	6	7	4	9	0	4	5	0	4	1	0	4	1	2	9	6	5	0	5	5	0	0	2	1	3	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	308	0	1	1	5	3	2	8	0	3	1	5	5	5	3	6	2	0	7	3	1	3	2	4	6	2	5	0	5	5	2	5	4	5	6	4	6	7	16	4	3	13	8	11	4	5	10	3	3	6	7	7	5	4	6	11	7	3	7	3	11	8	3	0	6	1	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																														
18	1.Политическая партия «Аграрная партия России»	1637	6	12	15	20	16	10	19	4	17	14	13	27	20	33	21	25	23	31	34	45	30	32	26	33	30	22	8	30	27	18	14	41	28	16	9	29	35	30	25	20	32	29	31	23	22	47	19	23	25	18	23	23	26	26	27	33	25	46	40	24	30	28	1	40	18	13	10	3	2	11	11					
		2.06%	0.91%	1.80%	1.76%	1.72%	1.89%	2.45%	2.07%	1.23%	1.99%	1.05%	1.15%	1.61%	1.37%	2.51%	2.54%	2.05%	2.32%	2.47%	2.55%	2.71%	2.44%	2.80%	2.06%	2.08%	2.53%	2.33%	0.87%	1.99%	1.84%	1.79%	1.45%	2.92%	2.34%	1.27%	1.27%	2.41%	2.49%	2.53%	1.61%	1.67%	2.34%	2.32%	2.20%	2.10%	2.22%	3.55%	1.48%	1.89%	2.14%	1.33%	1.82%	2.34%	2.47%	2.24%	1.84%	2.18%	1.68%	3.06%	2.64%	1.73%	2.31%	2.60%	1.47%	2.50%	1.52%	1.35%	1.31%	1.75%	1.05%	1.99%	2.34%					
19	2.Всероссийская политическая партия «Гражданская Сила»	5367	30	60	75	87	63	22	75	36	67	125	83	65	116	114	50	164	78	59	72	104	83	53	87	118	64	53	54	95	132	69	86	94	58	90	40	71	100	86	87	62	72	64	105	73	69	81	82	68	60	100	62	74	66	103	138	89	109	116	133	106	84	58	2	151	74	29	35	6	5	18	8					
		6.76%	4.55%	9.01%	8.81%	7.49%	7.44%	5.39%	8.16%	11.08%	7.85%	9.34%	7.35%	3.87%	7.92%	8.66%	6.05%	13.45%	7.86%	4.70%	5.40%	6.27%	6.74%	4.63%	6.89%	7.45%	5.39%	5.62%	5.88%	6.31%	9.01%	6.87%	8.93%	6.70%	4.84%	7.17%	5.65%	5.91%	7.13%	7.24%	5.60%	5.19%	5.26%	5.12%	7.45%	6.66%	6.96%	6.12%	6.37%	5.57%	5.14%	7.37%	4.90%	7.54%	6.28%	8.87%	9.40%	5.88%	7.33%	7.72%	8.79%	7.63%	6.47%	5.39%	2.94%	9.42%	6.26%	3.00%	4.60%	3.51%	2.63%	3.25%	1.70%					
20	3.Политическая партия «Демократическая партия России»	176	0	2	2	0	2	1	2	1	4	5	2	6	1	2	0	17	1	3	1	3	8	2	4	4	3	1	2	7	4	2	3	3	0	0	2	2	1	1	1	2	2	3	5	2	0	2	1	4	3	1	2	1	0	1	4	7	2	3	8	2	3	3	0	3	1	1	1	0	1	2	1					
		0.22%	0.00%	0.30%	0.24%	0.00%	0.24%	0.25%	0.22%	0.31%	0.47%	0.37%	0.18%	0.36%	0.07%	0.15%	0.00%	1.39%	0.10%	0.24%	0.07%	0.18%	0.65%	0.17%	0.32%	0.25%	0.25%	0.11%	0.22%	0.47%	0.27%	0.20%	0.31%	0.21%	0.00%	0.00%	0.28%	0.17%	0.07%	0.08%	0.06%	0.17%	0.15%	0.24%	0.35%	0.18%	0.00%	0.15%	0.08%	0.33%	0.26%	0.07%	0.16%	0.10%	0.00%	0.09%	0.27%	0.46%	0.13%	0.20%	0.53%	0.14%	0.23%	0.28%	0.00%	0.19%	0.08%	0.10%	0.13%	0.00%	0.53%	0.36%	0.21%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6285	20	66	106	125	82	34	76	18	74	103	111	99	107	114	68	85	90	120	117	121	144	104	103	141	101	101	56	119	96	86	69	99	110	87	55	115	76	99	114	96	111	94	116	109	73	103	105	99	107	114	91	78	73	94	102	99	135	105	93	103	100	63	4	140	84	49	41	12	4	48	29					
		7.92%	3.03%	9.91%	12.46%	10.76%	9.68%	8.33%	8.27%	5.54%	8.67%	7.70%	9.82%	5.89%	7.31%	8.66%	8.23%	6.97%	9.07%	9.55%	8.77%	7.29%	11.70%	9.09%	8.16%	8.90%	8.50%	10.71%	6.09%	7.91%	6.55%	8.57%	7.17%	7.06%	9.17%	6.93%	7.77%	9.57%	5.42%	8.33%	7.34%	8.03%	8.10%	7.52%	8.23%	9.95%	7.36%	7.79%	8.15%	8.11%	9.17%	8.40%	7.19%	7.95%	6.95%	8.10%	6.95%	6.54%	9.08%	6.99%	6.15%	7.41%	7.70%	5.85%	5.88%	8.73%	7.10%	5.07%	5.39%	7.02%	2.11%	8.66%	6.16%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2771	19	33	53	52	40	15	36	19	39	46	39	31	86	56	30	80	28	37	49	79	36	33	42	57	49	29	33	55	70	43	33	36	36	33	19	40	40	25	37	41	37	35	43	33	29	33	53	48	42	62	44	33	33	30	50	52	47	37	50	42	64	27	1	56	47	21	38	4	2	18	6					
		3.49%	2.88%	4.95%	6.23%	4.48%	4.72%	3.68%	3.92%	5.85%	4.57%	3.44%	3.45%	1.84%	5.87%	4.26%	3.63%	6.56%	2.82%	2.95%	3.67%	4.76%	2.92%	2.88%	3.33%	3.60%	4.12%	3.08%	3.59%	3.65%	4.78%	4.28%	3.43%	2.57%	3.00%	2.63%	2.68%	3.33%	2.85%	2.10%	2.38%	3.43%	2.70%	2.80%	3.05%	3.01%	2.92%	2.49%	4.11%	3.93%	3.60%	4.57%	3.48%	3.36%	3.14%	2.58%	3.41%	3.44%	3.16%	2.46%	3.30%	3.02%	4.93%	2.51%	1.47%	3.49%	3.97%	2.17%	4.99%	2.34%	1.05%	3.25%	1.27%					
23	6.Политическая партия «Партия социальной справедливости»	329	1	5	4	3	2	2	1	5	10	12	5	11	5	4	4	8	3	9	6	5	3	2	1	2	2	1	5	6	8	4	2	3	2	6	5	0	7	9	5	7	9	4	7	5	4	4	7	2	1	5	7	11	10	5	3	6	4	6	8	6	2	3	0	5	5	5	2	1	0	3	4					
		0.41%	0.15%	0.75%	0.47%	0.26%	0.24%	0.49%	0.11%	1.54%	1.17%	0.90%	0.44%	0.65%	0.34%	0.30%	0.48%	0.66%	0.30%	0.72%	0.45%	0.30%	0.24%	0.17%	0.08%	0.13%	0.17%	0.11%	0.54%	0.40%	0.55%	0.40%	0.21%	0.21%	0.17%	0.48%	0.71%	0.00%	0.50%	0.76%	0.32%	0.59%	0.66%	0.32%	0.50%	0.46%	0.40%	0.30%	0.54%	0.16%	0.09%	0.37%	0.55%	1.12%	0.95%	0.43%	0.20%	0.40%	0.27%	0.40%	0.53%	0.43%	0.15%	0.28%	0.00%	0.31%	0.42%	0.52%	0.26%	0.58%	0.00%	0.54%	0.85%					
24	7.Политическая партия «Либерально-демократическая партия России»	7436	64	58	79	87	57	40	67	34	79	136	94	208	126	110	70	138	96	132	114	152	112	104	125	141	135	75	75	137	152	78	103	118	122	124	75	117	121	100	163	110	135	109	116	85	82	126	119	115	89	108	125	76	107	76	114	122	144	184	151	138	123	132	4	163	138	95	87	17	30	38	60					
		9.37%	9.70%	8.71%	9.28%	7.49%	6.73%	9.80%	7.29%	10.46%	9.25%	10.16%	8.32%	12.37%	8.61%	8.36%	8.47%	11.32%	9.68%	10.51%	8.55%	9.16%	9.10%	9.09%	9.90%	8.90%	11.36%	7.95%	8.16%	9.10%	10.38%	7.77%	10.70%	8.41%	10.18%	9.87%	10.59%	9.73%	8.62%	8.42%	10.49%	9.21%	9.85%	8.72%	8.23%	7.76%	8.27%	9.52%	9.24%	9.43%	7.63%	7.96%	9.88%	7.75%	10.18%	6.55%	7.77%	8.06%	9.68%	12.24%	9.98%	9.93%	9.47%	12.26%	5.88%	10.17%	11.67%	9.83%	11.43%	9.94%	15.79%	6.86%	12.74%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6830	29	43	62	98	74	22	56	25	62	100	106	102	104	115	70	102	97	117	119	154	107	109	110	143	125	89	86	143	91	107	78	109	127	74	49	97	108	98	130	99	150	127	128	87	118	115	121	115	115	144	117	84	99	95	152	132	128	119	130	123	120	96	9	147	95	69	46	17	12	59	25					
		8.61%	4.39%	6.46%	7.29%	8.43%	8.74%	5.39%	6.09%	7.69%	7.26%	7.47%	9.38%	6.07%	7.10%	8.74%	8.47%	8.37%	9.78%	9.32%	8.92%	9.28%	8.69%	9.53%	8.71%	9.03%	10.52%	9.44%	9.36%	9.50%	6.21%	10.66%	8.10%	7.77%	10.59%	5.89%	6.92%	8.07%	7.70%	8.25%	8.37%	8.28%	10.95%	10.16%	9.08%	7.94%	11.90%	8.69%	9.39%	9.43%	9.85%	10.61%	9.25%	8.56%	9.42%	8.18%	10.35%	8.72%	8.61%	7.92%	8.59%	8.85%	9.24%	8.91%	13.24%	9.17%	8.03%	7.14%	6.04%	9.94%	6.32%	10.65%	5.31%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	665	6	5	6	11	7	7	8	4	8	12	11	13	7	11	8	9	8	12	7	14	16	9	8	11	10	11	9	15	13	10	9	11	10	12	3	8	11	5	9	15	11	16	8	4	2	13	8	17	14	13	13	12	8	5	8	16	17	9	16	10	7	10	2	12	6	12	5	1	3	3	5					
		0.84%	0.91%	0.75%	0.71%	0.95%	0.83%	1.72%	0.87%	1.23%	0.94%	0.90%	0.97%	0.77%	0.48%	0.84%	0.97%	0.74%	0.81%	0.96%	0.52%	0.84%	1.30%	0.79%	0.63%	0.69%	0.84%	1.17%	0.98%	0.99%	0.89%	0.99%	0.93%	0.78%	0.83%	0.96%	0.42%	0.67%	0.78%	0.42%	0.58%	1.26%	0.80%	1.28%	0.57%	0.36%	0.20%	0.98%	0.62%	1.39%	1.20%	0.96%	1.03%	1.22%	0.76%	0.43%	0.54%	1.06%	1.14%	0.60%	1.06%	0.72%	0.54%	0.93%	2.94%	0.75%	0.51%	1.24%	0.66%	0.58%	1.58%	0.54%	1.06%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	43017	458	335	383	573	431	242	494	159	412	703	587	1045	798	657	444	443	494	666	713	870	630	628	675	838	612	484	534	801	757	521	494	794	631	738	425	655	820	669	913	684	710	701	753	627	542	709	701	668	649	703	707	543	577	672	781	877	777	784	796	740	697	608	45	791	671	645	462	103	122	336	310					
		54.20%	69.39%	50.30%	45.01%	49.31%	50.89%	59.31%	53.75%	48.92%	48.24%	52.54%	51.95%	62.17%	54.51%	49.92%	53.75%	36.34%	49.80%	53.03%	53.45%	52.44%	51.18%	54.90%	53.44%	52.90%	51.52%	51.33%	58.11%	53.22%	51.67%	51.89%	51.30%	56.59%	52.63%	58.76%	60.03%	54.49%	58.45%	56.31%	58.75%	57.24%	51.82%	56.08%	53.44%	57.21%	54.64%	53.59%	54.43%	54.75%	55.61%	51.81%	55.89%	55.35%	54.90%	57.88%	53.20%	57.96%	52.25%	52.16%	52.61%	53.24%	53.66%	56.45%	66.18%	49.34%	56.72%	66.77%	60.71%	60.23%	64.21%	60.65%	65.82%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3938	12	41	57	92	65	9	65	16	74	66	63	52	80	84	55	120	61	57	81	99	53	56	76	82	45	67	44	86	90	52	61	79	61	52	22	51	59	50	57	51	84	56	85	41	45	72	60	52	48	68	61	32	39	46	74	62	81	68	75	77	56	39	0	70	31	16	28	6	8	10	5					
		4.96%	1.82%	6.16%	6.70%	7.92%	7.67%	2.21%	7.07%	4.92%	8.67%	4.93%	5.58%	3.09%	5.46%	6.38%	6.66%	9.84%	6.15%	4.54%	6.07%	5.97%	4.31%	4.90%	6.02%	5.18%	3.79%	7.10%	4.79%	5.71%	6.14%	5.18%	6.33%	5.63%	5.09%	4.14%	3.11%	4.24%	4.21%	4.21%	3.67%	4.27%	6.13%	4.48%	6.03%	3.74%	4.54%	5.44%	4.66%	4.26%	4.11%	5.01%	4.82%	3.26%	3.71%	3.96%	5.04%	4.10%	5.45%	4.52%	4.96%	5.54%	4.31%	3.62%	0.00%	4.37%	2.62%	1.66%	3.68%	3.51%	4.21%	1.81%	1.06%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
