Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Курагинская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	229	1	0	1	1	1	2	0	6	0	2	5	7	5	7	8	11	5	6	10	1	13	6	0	1	1	1	2	0	0	1	0	3	1	4	2	4	2	7	0	2	2	8	15	18	2	6	5	8	12	21	0	1	2									
		1.63%	0.56%	0.00%	0.31%	0.81%	1.82%	0.75%	0.00%	3.39%	0.00%	1.29%	2.39%	1.28%	1.04%	1.37%	1.34%	2.59%	0.83%	2.18%	2.10%	1.54%	1.92%	0.93%	0.00%	0.56%	1.11%	1.35%	1.89%	0.00%	0.00%	0.50%	0.00%	2.88%	3.70%	1.14%	0.81%	1.41%	2.25%	5.98%	0.00%	0.65%	0.96%	3.15%	5.14%	3.01%	0.55%	2.88%	1.19%	1.73%	2.20%	3.26%	0.00%	1.67%	2.56%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	493	5	1	12	8	2	10	6	4	17	3	6	11	6	16	14	12	31	17	17	4	36	26	1	4	7	4	6	1	2	6	2	3	0	14	2	7	1	5	0	11	2	4	1	9	21	21	13	18	34	27	0	1	2									
		3.50%	2.78%	0.91%	3.73%	6.45%	3.64%	3.75%	3.61%	2.26%	4.49%	1.94%	2.87%	2.01%	1.24%	3.13%	2.35%	2.82%	5.18%	6.18%	3.57%	6.15%	5.31%	4.02%	1.30%	2.25%	7.78%	5.41%	5.66%	3.85%	5.88%	2.99%	3.17%	2.88%	0.00%	3.99%	0.81%	2.46%	1.12%	4.27%	0.00%	3.57%	0.96%	1.57%	0.34%	1.50%	5.77%	10.10%	3.10%	3.89%	6.24%	4.19%	0.00%	1.67%	2.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	381	4	1	6	3	0	5	3	7	10	4	8	18	10	19	12	3	25	2	18	0	20	23	0	4	4	0	1	1	0	7	0	2	1	13	7	16	5	2	2	7	5	3	4	9	12	8	18	4	15	29	0	0	1									
		2.71%	2.22%	0.91%	1.86%	2.42%	0.00%	1.87%	1.81%	3.95%	2.64%	2.58%	3.83%	3.29%	2.07%	3.72%	2.01%	0.71%	4.17%	0.73%	3.78%	0.00%	2.95%	3.56%	0.00%	2.25%	4.44%	0.00%	0.94%	3.85%	0.00%	3.48%	0.00%	1.92%	3.70%	3.70%	2.85%	5.63%	5.62%	1.71%	1.85%	2.27%	2.39%	1.18%	1.37%	1.50%	3.30%	3.85%	4.30%	0.86%	2.75%	4.50%	0.00%	0.00%	1.28%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6421	87	60	159	74	26	147	79	100	197	69	109	217	215	218	270	174	236	126	226	42	242	213	38	117	45	58	55	18	26	89	46	40	10	167	132	132	39	67	61	166	121	155	184	373	128	81	172	191	178	169	7	29	41									
		45.59%	48.33%	54.55%	49.38%	59.68%	47.27%	55.06%	47.59%	56.50%	51.98%	44.52%	52.15%	39.67%	44.51%	42.66%	45.23%	40.94%	39.40%	45.82%	47.48%	64.62%	35.69%	32.97%	49.35%	65.73%	50.00%	78.38%	51.89%	69.23%	76.47%	44.28%	73.02%	38.46%	37.04%	47.58%	53.66%	46.48%	43.82%	57.26%	56.48%	53.90%	57.89%	61.02%	63.01%	62.27%	35.16%	38.94%	41.05%	41.25%	32.66%	26.24%	36.84%	48.33%	52.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	126	1	0	3	1	0	0	2	1	0	0	3	2	8	3	1	7	4	4	6	0	6	4	1	0	0	1	0	0	0	0	0	1	0	4	6	1	1	0	0	2	0	1	10	21	3	1	4	4	4	3	0	1	1									
		0.89%	0.56%	0.00%	0.93%	0.81%	0.00%	0.00%	1.20%	0.56%	0.00%	0.00%	1.44%	0.37%	1.66%	0.59%	0.17%	1.65%	0.67%	1.45%	1.26%	0.00%	0.88%	0.62%	1.30%	0.00%	0.00%	1.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	1.14%	2.44%	0.35%	1.12%	0.00%	0.00%	0.65%	0.00%	0.39%	3.42%	3.51%	0.82%	0.48%	0.95%	0.86%	0.73%	0.47%	0.00%	1.67%	1.28%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	1	1	0	0	0	0	1	1	1	0	0	1	1	0	2	0	1	0	1	1	3	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	4	0	1	0	4	0	0	0	0									
		0.21%	0.56%	0.91%	0.00%	0.00%	0.00%	0.00%	0.60%	0.56%	0.26%	0.00%	0.00%	0.18%	0.21%	0.00%	0.34%	0.00%	0.17%	0.00%	0.21%	1.54%	0.44%	0.15%	0.00%	0.00%	1.11%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.17%	1.10%	0.00%	0.24%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2728	32	28	56	20	13	57	44	40	80	48	39	129	101	116	117	83	127	59	63	3	153	133	9	21	16	2	10	3	1	58	7	20	6	61	51	60	12	10	17	45	25	13	25	39	72	45	105	123	114	177	8	11	21									
		19.37%	17.78%	25.45%	17.39%	16.13%	23.64%	21.35%	26.51%	22.60%	21.11%	30.97%	18.66%	23.58%	20.91%	22.70%	19.60%	19.53%	21.20%	21.45%	13.24%	4.62%	22.57%	20.59%	11.69%	11.80%	17.78%	2.70%	9.43%	11.54%	2.94%	28.86%	11.11%	19.23%	22.22%	17.38%	20.73%	21.13%	13.48%	8.55%	15.74%	14.61%	11.96%	5.12%	8.56%	6.51%	19.78%	21.63%	25.06%	26.57%	20.92%	27.48%	42.11%	18.33%	26.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	58	0	0	1	0	0	0	0	0	1	0	0	0	1	7	3	1	1	0	0	0	8	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	3	1	2	2	3	1	4	2	2	1	5	5	0	0	0									
		0.41%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.21%	1.37%	0.50%	0.24%	0.17%	0.00%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.50%	0.00%	0.00%	3.70%	0.00%	0.41%	0.00%	0.00%	0.00%	2.78%	0.32%	0.96%	0.79%	1.03%	0.17%	1.10%	0.96%	0.48%	0.22%	0.92%	0.78%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	93	1	0	0	1	2	1	1	1	3	0	0	10	6	1	4	8	5	1	1	2	1	3	1	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	4	0	3	2	3	4	2	3	3	2	7	0	0	0									
		0.66%	0.56%	0.00%	0.00%	0.81%	3.64%	0.37%	0.60%	0.56%	0.79%	0.00%	0.00%	1.83%	1.24%	0.20%	0.67%	1.88%	0.83%	0.36%	0.21%	3.08%	0.15%	0.46%	1.30%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.81%	0.00%	0.00%	0.00%	0.00%	1.30%	0.00%	1.18%	0.68%	0.50%	1.10%	0.96%	0.72%	0.65%	0.37%	1.09%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	28	1	1	2	0	0	0	1	0	1	0	0	1	0	2	1	0	0	2	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	1	0	2	0	1	0	2	0	0	0	0	0	1	0	0	1									
		0.20%	0.56%	0.91%	0.62%	0.00%	0.00%	0.00%	0.60%	0.00%	0.26%	0.00%	0.00%	0.18%	0.00%	0.39%	0.17%	0.00%	0.00%	0.73%	0.21%	0.00%	0.15%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.96%	0.00%	0.00%	0.41%	0.70%	0.00%	0.85%	0.00%	0.65%	0.00%	0.39%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	1.28%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	120	0	0	0	2	0	1	0	0	1	1	2	12	2	4	9	6	5	3	6	1	3	5	0	1	1	1	0	0	0	1	1	0	0	3	1	1	0	0	0	2	1	4	4	5	4	1	4	7	11	4	0	0	0									
		0.85%	0.00%	0.00%	0.00%	1.61%	0.00%	0.37%	0.00%	0.00%	0.26%	0.65%	0.96%	2.19%	0.41%	0.78%	1.51%	1.41%	0.83%	1.09%	1.26%	1.54%	0.44%	0.77%	0.00%	0.56%	1.11%	1.35%	0.00%	0.00%	0.00%	0.50%	1.59%	0.00%	0.00%	0.85%	0.41%	0.35%	0.00%	0.00%	0.00%	0.65%	0.48%	1.57%	1.37%	0.83%	1.10%	0.48%	0.95%	1.51%	2.02%	0.62%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2299	32	15	63	13	9	36	18	15	60	14	26	100	82	78	119	84	112	44	112	8	143	163	21	18	11	5	21	3	4	25	7	29	8	54	21	32	16	20	6	23	25	13	10	29	77	34	74	77	122	148	3	14	3									
		16.32%	17.78%	13.64%	19.57%	10.48%	16.36%	13.48%	10.84%	8.47%	15.83%	9.03%	12.44%	18.28%	16.98%	15.26%	19.93%	19.76%	18.70%	16.00%	23.53%	12.31%	21.09%	25.23%	27.27%	10.11%	12.22%	6.76%	19.81%	11.54%	11.76%	12.44%	11.11%	27.88%	29.63%	15.38%	8.54%	11.27%	17.98%	17.09%	5.56%	7.47%	11.96%	5.12%	3.42%	4.84%	21.15%	16.35%	17.66%	16.63%	22.39%	22.98%	15.79%	23.33%	3.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	223	2	1	3	0	0	1	1	1	0	1	2	6	10	11	11	9	15	4	5	1	17	37	1	4	0	1	1	0	0	3	0	0	0	0	4	3	1	0	1	7	1	1	0	8	7	2	1	6	18	13	0	0	2									
		1.58%	1.11%	0.91%	0.93%	0.00%	0.00%	0.37%	0.60%	0.56%	0.00%	0.65%	0.96%	1.10%	2.07%	2.15%	1.84%	2.12%	2.50%	1.45%	1.05%	1.54%	2.51%	5.73%	1.30%	2.25%	0.00%	1.35%	0.94%	0.00%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	1.63%	1.06%	1.12%	0.00%	0.93%	2.27%	0.48%	0.39%	0.00%	1.34%	1.92%	0.96%	0.24%	1.30%	3.30%	2.02%	0.00%	0.00%	2.56%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	299	6	1	4	0	1	3	3	1	5	8	1	18	16	17	15	12	14	6	5	1	20	12	2	2	0	1	1	0	0	6	0	2	0	7	3	9	3	1	0	3	2	3	1	5	12	4	9	12	18	23	0	0	1									
		2.12%	3.33%	0.91%	1.24%	0.00%	1.82%	1.12%	1.81%	0.56%	1.32%	5.16%	0.48%	3.29%	3.31%	3.33%	2.51%	2.82%	2.34%	2.18%	1.05%	1.54%	2.95%	1.86%	2.60%	1.12%	0.00%	1.35%	0.94%	0.00%	0.00%	2.99%	0.00%	1.92%	0.00%	1.99%	1.22%	3.17%	3.37%	0.85%	0.00%	0.97%	0.96%	1.18%	0.34%	0.83%	3.30%	1.92%	2.15%	2.59%	3.30%	3.57%	0.00%	0.00%	1.28%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
