Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Московская №19																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087					
11	Число полученных открепительных  удостоверений	3973	55	70	55	70	55	55	38	55	55	55	55	70	69	56	55	55	55	100	25	70	70	70	70	55	70	70	70	70	70	70	70	70	70	70	70	70	70	70	30	110	70	70	70	55	55	55	55	70	70	70	70	70	55	55	55	70	55	70	55	55	55	55	55					
12	Число выданных открепительных удостоверений	1787	23	35	19	70	17	42	7	18	32	16	27	64	39	56	23	20	19	91	18	34	19	39	26	11	19	24	22	37	31	20	28	19	20	31	22	25	32	33	28	90	16	42	18	18	30	43	24	20	15	31	14	22	13	21	11	65	16	28	9	16	22	23	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1862	37	15	29	48	20	30	555	17	32	14	15	28	47	18	6	25	28	50	18	18	15	24	10	10	16	20	9	27	25	21	13	41	20	15	19	18	24	15	25	14	15	23	19	30	23	19	18	17	6	23	16	21	7	30	29	43	7	19	15	4	18	19	10					
14	Число неиспользованных открепительных удостоверений	2186	32	35	36	0	38	13	31	37	23	39	28	6	30	0	32	35	36	9	7	36	51	31	44	44	51	46	48	33	39	50	42	51	50	39	48	45	38	37	2	20	54	28	52	37	25	12	31	50	55	39	56	48	42	34	44	5	39	42	46	39	33	32	31					
15	"Число открепительных удостоверений, выданных в ТИК"	27	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	2	1	0	1	1	1	3	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																						
18	. Глазьев Сергей Юрьевич	3509	28	41	35	37	29	38	33	50	47	51	35	49	58	28	77	63	64	47	36	59	65	65	64	45	85	59	88	70	66	83	68	61	69	60	70	65	74	57	80	77	53	51	65	38	64	40	68	70	62	59	56	37	45	27	46	46	68	90	62	58	69	29	30					
		4.75%	3.27%	4.69%	3.74%	2.85%	3.12%	4.91%	2.50%	5.13%	4.50%	6.51%	3.69%	4.81%	5.22%	3.15%	7.00%	5.91%	5.55%	3.96%	4.17%	4.47%	5.95%	4.69%	4.27%	4.38%	6.61%	4.79%	5.44%	4.88%	4.59%	6.02%	4.75%	4.07%	5.24%	4.69%	4.76%	4.52%	4.94%	4.65%	5.41%	5.45%	4.48%	4.68%	5.28%	4.09%	6.17%	3.70%	6.09%	5.53%	5.02%	4.54%	4.36%	2.47%	4.70%	4.43%	4.55%	3.42%	6.53%	6.34%	5.91%	4.96%	6.01%	2.97%	3.08%					
19	. Малышкин Олег Александрович	478	13	4	8	15	5	8	12	8	2	2	4	5	10	4	6	4	9	10	4	7	3	6	10	11	7	9	11	11	6	9	7	11	3	5	11	12	7	5	16	6	6	0	12	5	5	11	2	12	8	5	8	12	2	10	5	16	5	9	5	9	9	6	10					
		0.65%	1.52%	0.46%	0.85%	1.16%	0.54%	1.03%	0.91%	0.82%	0.19%	0.26%	0.42%	0.49%	0.90%	0.45%	0.55%	0.38%	0.78%	0.84%	0.46%	0.53%	0.27%	0.43%	0.67%	1.07%	0.54%	0.73%	0.68%	0.77%	0.42%	0.65%	0.49%	0.73%	0.23%	0.39%	0.75%	0.83%	0.47%	0.41%	1.08%	0.42%	0.51%	0.00%	0.98%	0.54%	0.48%	1.02%	0.18%	0.95%	0.65%	0.38%	0.62%	0.80%	0.21%	1.64%	0.49%	1.19%	0.48%	0.63%	0.48%	0.77%	0.78%	0.61%	1.03%					
20	. Миронов Сергей Михайлович	1076	15	14	18	18	9	12	7	13	11	13	11	12	16	11	12	15	16	15	14	23	14	17	24	9	24	21	20	32	25	17	15	29	39	26	25	24	28	15	16	23	18	15	23	12	11	14	10	16	19	21	22	18	15	9	10	21	14	19	29	16	11	5	10					
		1.46%	1.75%	1.60%	1.92%	1.39%	0.97%	1.55%	0.53%	1.33%	1.05%	1.66%	1.16%	1.18%	1.44%	1.24%	1.09%	1.41%	1.39%	1.26%	1.62%	1.74%	1.28%	1.23%	1.60%	0.88%	1.87%	1.70%	1.24%	2.23%	1.74%	1.23%	1.05%	1.94%	2.96%	2.03%	1.70%	1.67%	1.87%	1.22%	1.08%	1.63%	1.52%	1.38%	1.87%	1.29%	1.06%	1.29%	0.90%	1.26%	1.54%	1.62%	1.71%	1.20%	1.57%	1.48%	0.99%	1.56%	1.34%	1.34%	2.76%	1.37%	0.96%	0.51%	1.03%					
21	. Путин Владимир Владимирович	53598	697	677	741	1009	643	541	1107	727	745	554	685	801	775	665	728	709	738	854	630	939	759	1003	1128	733	898	843	1136	1037	1045	954	974	1113	909	915	1038	1054	1086	884	1087	986	829	785	863	662	720	822	785	938	904	970	970	1183	695	477	750	1010	711	1012	749	826	827	774	789					
		72.59%	81.52%	77.46%	79.17%	77.73%	69.21%	69.90%	83.99%	74.64%	71.36%	70.75%	72.18%	78.68%	69.76%	74.89%	66.18%	66.51%	64.01%	71.95%	72.92%	71.19%	69.51%	72.42%	75.25%	71.30%	69.88%	68.37%	70.25%	72.32%	72.67%	69.23%	68.02%	74.30%	68.97%	71.48%	70.52%	73.25%	72.55%	72.10%	73.50%	69.83%	70.08%	72.08%	70.16%	71.18%	69.43%	75.97%	70.34%	74.09%	73.26%	74.62%	75.55%	78.97%	72.62%	78.33%	74.11%	75.09%	68.30%	71.27%	71.40%	70.60%	72.04%	79.14%	80.92%					
22	. Хакамада Ирина Муцуовна	6230	62	57	53	101	114	93	58	67	101	47	100	99	115	83	127	109	148	108	96	133	103	120	111	83	136	152	162	101	118	121	132	91	106	94	96	119	121	77	78	132	156	105	121	101	92	75	122	103	92	111	67	112	53	29	83	113	84	96	78	125	81	66	41					
		8.44%	7.25%	6.52%	5.66%	7.78%	12.27%	12.02%	4.40%	6.88%	9.67%	6.00%	10.54%	9.72%	10.35%	9.35%	11.55%	10.23%	12.84%	9.10%	11.11%	10.08%	9.43%	8.66%	7.40%	8.07%	10.58%	12.33%	10.02%	7.04%	8.21%	8.78%	9.22%	6.07%	8.04%	7.34%	6.52%	8.27%	8.08%	6.28%	5.27%	9.35%	13.19%	9.64%	9.84%	10.86%	8.87%	6.93%	10.93%	8.14%	7.46%	8.54%	5.22%	7.48%	5.54%	4.76%	8.20%	8.40%	8.07%	6.76%	7.44%	10.68%	7.06%	6.75%	4.21%					
23	. Харитонов Николай Михайлович	5969	36	50	50	70	78	57	51	60	90	74	62	50	73	60	101	100	116	98	50	101	110	132	104	101	83	114	136	118	118	133	174	136	160	142	161	108	128	134	140	121	78	82	89	81	93	69	78	84	95	86	123	113	96	42	73	79	110	133	95	83	111	44	52					
		8.08%	4.21%	5.72%	5.34%	5.39%	8.40%	7.36%	3.87%	6.16%	8.62%	9.45%	6.53%	4.91%	6.57%	6.76%	9.18%	9.38%	10.06%	8.26%	5.79%	7.66%	10.07%	9.53%	6.94%	9.82%	6.46%	9.25%	8.41%	8.23%	8.21%	9.65%	12.15%	9.08%	12.14%	11.09%	10.94%	7.51%	8.55%	10.93%	9.47%	8.57%	6.59%	7.53%	7.24%	8.71%	8.97%	6.38%	6.99%	6.64%	7.70%	6.62%	9.58%	7.54%	10.03%	6.90%	7.21%	5.87%	10.57%	9.37%	9.06%	7.09%	9.67%	4.50%	5.33%					
																																																																						
24	Против всех	2706	4	27	27	44	49	24	40	43	48	37	47	2	56	32	47	62	58	49	32	55	34	39	53	44	48	33	59	57	58	58	56	54	29	38	62	51	45	47	54	63	40	49	53	30	50	50	47	40	49	45	34	20	45	13	43	58	42	59	27	37	31	44	35					
		3.66%	0.47%	3.09%	2.88%	3.39%	5.27%	3.10%	3.03%	4.41%	4.60%	4.73%	4.95%	0.20%	5.04%	3.60%	4.27%	5.82%	5.03%	4.13%	3.70%	4.17%	3.11%	2.82%	3.54%	4.28%	3.74%	2.68%	3.65%	3.97%	4.03%	4.21%	3.91%	3.60%	2.20%	2.97%	4.21%	3.54%	3.01%	3.83%	3.65%	4.46%	3.38%	4.50%	4.31%	3.23%	4.82%	4.62%	4.21%	3.16%	3.97%	3.46%	2.65%	1.34%	4.70%	2.13%	4.25%	4.31%	4.03%	4.15%	2.57%	3.16%	2.70%	4.50%	3.59%					
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
