Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    район Ясенево																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №3749	УИК №3750	УИК №8374									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1439	24	29	24	9	9	10	22	22	25	36	23	12	11	15	26	9	26	15	5	26	28	33	28	26	25	30	17	1	38	8	22	24	24	12	32	9	18	28	14	25	9	23	14	15	24	20	27	19	38	20	11	19	30	39	24	14	41	20	43	26	15	12	27	25	13	22	22	2	4	1									
		3.61%	2.84%	3.28%	3.39%	3.64%	2.65%	2.08%	2.93%	3.40%	4.27%	4.19%	2.75%	2.32%	1.81%	1.61%	4.92%	5.63%	3.51%	2.87%	1.40%	4.08%	3.81%	4.57%	3.61%	4.95%	5.22%	4.85%	3.17%	2.00%	5.56%	3.74%	3.50%	3.02%	3.13%	3.13%	4.40%	2.74%	2.58%	3.78%	3.00%	3.10%	1.89%	4.70%	3.81%	3.42%	3.22%	3.60%	5.99%	4.42%	4.41%	3.49%	3.93%	2.84%	5.44%	5.05%	3.90%	2.30%	5.77%	4.45%	4.78%	4.21%	3.28%	3.17%	3.98%	3.61%	2.28%	3.46%	2.81%	1.98%	3.51%	1.96%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	746	20	20	15	3	2	10	10	18	15	21	14	17	12	19	9	3	11	11	8	3	14	17	15	11	7	7	12	1	13	3	13	7	16	1	14	4	15	10	3	17	8	9	4	9	13	14	13	4	16	8	4	11	8	12	16	13	17	8	16	12	6	7	16	18	9	14	14	1	5	0									
		1.87%	2.37%	2.27%	2.12%	1.21%	0.59%	2.08%	1.33%	2.78%	2.56%	2.44%	1.67%	3.29%	1.98%	2.04%	1.70%	1.88%	1.48%	2.11%	2.25%	0.47%	1.90%	2.35%	1.94%	2.10%	1.46%	1.13%	2.24%	2.00%	1.90%	1.40%	2.07%	0.88%	2.08%	0.26%	1.92%	1.22%	2.15%	1.35%	0.64%	2.11%	1.68%	1.84%	1.09%	2.05%	1.74%	2.52%	2.88%	0.93%	1.86%	1.40%	1.43%	1.64%	1.45%	1.55%	2.60%	2.13%	2.39%	1.78%	1.78%	1.94%	1.31%	1.85%	2.36%	2.60%	1.58%	2.20%	1.79%	0.99%	4.39%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1219	32	27	21	4	13	15	17	22	21	27	17	17	20	36	17	8	18	8	7	24	20	16	16	20	9	17	14	4	22	8	17	26	21	6	21	15	24	20	15	20	17	24	10	9	25	21	16	12	25	19	13	14	22	17	17	16	24	13	37	23	9	9	18	25	25	17	29	2	8	1									
		3.06%	3.79%	3.06%	2.97%	1.62%	3.83%	3.13%	2.26%	3.40%	3.58%	3.14%	2.03%	3.29%	3.29%	3.87%	3.22%	5.00%	2.43%	1.53%	1.97%	3.76%	2.72%	2.22%	2.06%	3.81%	1.88%	2.75%	2.61%	8.00%	3.22%	3.74%	2.71%	3.27%	2.73%	1.56%	2.88%	4.56%	3.44%	2.70%	3.22%	2.48%	3.56%	4.91%	2.72%	2.05%	3.35%	3.78%	3.55%	2.79%	2.90%	3.32%	4.64%	2.09%	3.99%	2.20%	2.76%	2.63%	3.38%	2.90%	4.12%	3.73%	1.97%	2.38%	2.65%	3.61%	4.38%	2.67%	3.70%	1.98%	7.02%	1.96%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13784	233	292	229	76	122	169	265	219	160	251	302	204	234	318	201	47	225	211	141	210	283	197	248	186	143	232	212	14	229	63	259	320	261	167	224	119	206	278	171	317	170	155	134	180	261	204	163	148	261	218	81	251	155	280	198	194	238	128	280	180	172	156	246	256	178	220	307	47	53	32									
		34.56%	27.61%	33.07%	32.39%	30.77%	35.99%	35.21%	35.29%	33.80%	27.30%	29.19%	36.12%	39.46%	38.55%	34.16%	38.07%	29.38%	30.36%	40.42%	39.61%	32.92%	38.50%	27.29%	32.00%	35.43%	29.85%	37.54%	39.55%	28.00%	33.53%	29.44%	41.24%	40.30%	33.98%	43.49%	30.77%	36.17%	29.56%	37.57%	36.70%	39.33%	35.64%	31.70%	36.51%	41.10%	34.99%	36.69%	36.14%	34.42%	30.31%	38.05%	28.93%	37.52%	28.13%	36.27%	32.20%	31.86%	33.52%	28.51%	31.15%	29.17%	37.55%	41.27%	36.28%	36.94%	31.17%	34.59%	39.16%	46.53%	46.49%	62.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	797	22	23	18	6	8	11	14	8	11	21	10	7	24	13	11	7	22	9	3	11	18	24	19	12	7	14	9	1	24	5	8	15	13	3	21	5	14	19	9	12	4	6	11	1	14	8	7	7	17	15	4	12	11	18	10	11	15	12	20	11	3	4	16	13	7	12	13	3	0	1									
		1.99%	2.61%	2.60%	2.55%	2.43%	2.36%	2.29%	1.86%	1.23%	1.88%	2.44%	1.20%	1.35%	3.95%	1.40%	2.08%	4.38%	2.97%	1.72%	0.84%	1.72%	2.45%	3.32%	2.45%	2.29%	1.46%	2.27%	1.68%	2.00%	3.51%	2.34%	1.27%	1.89%	1.69%	0.78%	2.88%	1.52%	2.01%	2.57%	1.93%	1.49%	0.84%	1.23%	2.99%	0.23%	1.88%	1.44%	1.55%	1.63%	1.97%	2.62%	1.43%	1.79%	1.99%	2.33%	1.63%	1.81%	2.11%	2.67%	2.22%	1.78%	0.66%	1.06%	2.36%	1.88%	1.23%	1.89%	1.66%	2.97%	0.00%	1.96%									
24	"6. Политическая партия ""Гражданская Платформа"""	112	3	2	2	1	0	0	5	5	5	2	2	1	1	1	0	1	4	3	0	1	0	1	1	1	1	3	2	0	3	0	2	0	2	2	1	0	1	3	3	0	2	4	3	0	3	2	1	0	2	0	0	2	4	2	1	2	1	2	4	4	1	1	0	1	1	3	1	0	0	0									
		0.28%	0.36%	0.23%	0.28%	0.40%	0.00%	0.00%	0.67%	0.77%	0.85%	0.23%	0.24%	0.19%	0.16%	0.11%	0.00%	0.63%	0.54%	0.57%	0.00%	0.16%	0.00%	0.14%	0.13%	0.19%	0.21%	0.49%	0.37%	0.00%	0.44%	0.00%	0.32%	0.00%	0.26%	0.52%	0.14%	0.00%	0.14%	0.41%	0.64%	0.00%	0.42%	0.82%	0.82%	0.00%	0.40%	0.36%	0.22%	0.00%	0.23%	0.00%	0.00%	0.30%	0.73%	0.26%	0.16%	0.33%	0.14%	0.45%	0.44%	0.65%	0.22%	0.26%	0.00%	0.14%	0.18%	0.47%	0.13%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4999	92	103	83	27	48	60	110	76	67	112	91	62	72	128	75	21	107	122	50	72	112	88	78	49	41	71	60	7	75	22	91	100	81	69	91	38	73	114	75	103	57	61	57	106	117	78	59	59	113	67	35	87	64	85	66	48	85	49	78	70	85	31	105	93	55	71	81	9	7	5									
		12.53%	10.90%	11.66%	11.74%	10.93%	14.16%	12.50%	14.65%	11.73%	11.43%	13.02%	10.89%	11.99%	11.86%	13.75%	14.20%	13.13%	14.44%	23.37%	14.04%	11.29%	15.24%	12.19%	10.06%	9.33%	8.56%	11.49%	11.19%	14.00%	10.98%	10.28%	14.49%	12.59%	10.55%	17.97%	12.50%	11.55%	10.47%	15.41%	16.09%	12.78%	11.95%	12.47%	15.53%	24.20%	15.68%	14.03%	13.08%	13.72%	13.12%	11.69%	12.50%	13.00%	11.62%	11.01%	10.73%	7.88%	11.97%	10.91%	8.68%	11.35%	18.56%	8.20%	15.49%	13.42%	9.63%	11.16%	10.33%	8.91%	6.14%	9.80%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1132	32	22	27	5	9	6	20	14	19	32	25	12	18	25	18	1	32	6	9	20	16	38	22	11	20	20	12	3	25	5	11	17	24	8	22	11	32	19	8	17	25	8	8	6	22	20	11	19	25	13	12	20	17	24	26	24	22	10	22	11	7	13	16	8	9	19	17	1	2	2									
		2.84%	3.79%	2.49%	3.82%	2.02%	2.65%	1.25%	2.66%	2.16%	3.24%	3.72%	2.99%	2.32%	2.97%	2.69%	3.41%	0.63%	4.32%	1.15%	2.53%	3.13%	2.18%	5.26%	2.84%	2.10%	4.18%	3.24%	2.24%	6.00%	3.66%	2.34%	1.75%	2.14%	3.13%	2.08%	3.02%	3.34%	4.59%	2.57%	1.72%	2.11%	5.24%	1.64%	2.18%	1.37%	2.95%	3.60%	2.44%	4.42%	2.90%	2.27%	4.29%	2.99%	3.09%	3.11%	4.23%	3.94%	3.10%	2.23%	2.45%	1.78%	1.53%	3.44%	2.36%	1.15%	1.58%	2.99%	2.17%	0.99%	1.75%	3.92%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1448	34	38	36	19	7	15	29	37	28	28	25	15	26	37	8	10	20	9	9	28	24	37	35	16	30	26	22	5	18	6	12	30	40	7	17	14	41	12	16	19	25	22	11	7	22	23	13	10	33	30	10	20	22	27	31	28	25	20	35	22	9	9	16	17	18	22	32	2	2	0									
		3.63%	4.03%	4.30%	5.09%	7.69%	2.06%	3.13%	3.86%	5.71%	4.78%	3.26%	2.99%	2.90%	4.28%	3.97%	1.52%	6.25%	2.70%	1.72%	2.53%	4.39%	3.27%	5.12%	4.52%	3.05%	6.26%	4.21%	4.10%	10.00%	2.64%	2.80%	1.91%	3.78%	5.21%	1.82%	2.34%	4.26%	5.88%	1.62%	3.43%	2.36%	5.24%	4.50%	2.99%	1.60%	2.95%	4.14%	2.88%	2.33%	3.83%	5.24%	3.57%	2.99%	3.99%	3.50%	5.04%	4.60%	3.52%	4.45%	3.89%	3.57%	1.97%	2.38%	2.36%	2.45%	3.15%	3.46%	4.08%	1.98%	1.75%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	97	1	3	0	0	2	0	3	2	3	3	1	1	1	3	0	0	0	2	0	5	1	1	0	3	2	0	1	0	1	1	1	2	2	0	1	2	3	0	1	3	1	1	1	1	1	4	0	2	3	0	1	1	0	2	1	2	3	3	4	3	0	3	2	0	2	0	1	0	0	0									
		0.24%	0.12%	0.34%	0.00%	0.00%	0.59%	0.00%	0.40%	0.31%	0.51%	0.35%	0.12%	0.19%	0.16%	0.32%	0.00%	0.00%	0.00%	0.38%	0.00%	0.78%	0.14%	0.14%	0.00%	0.57%	0.42%	0.00%	0.19%	0.00%	0.15%	0.47%	0.16%	0.25%	0.26%	0.00%	0.14%	0.61%	0.43%	0.00%	0.21%	0.37%	0.21%	0.20%	0.27%	0.23%	0.13%	0.72%	0.00%	0.47%	0.35%	0.00%	0.36%	0.15%	0.00%	0.26%	0.16%	0.33%	0.42%	0.67%	0.44%	0.49%	0.00%	0.79%	0.29%	0.00%	0.35%	0.00%	0.13%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3951	122	68	51	34	30	49	47	53	74	124	93	37	55	78	31	16	62	19	36	73	65	101	87	44	75	57	58	3	81	36	29	65	92	25	82	34	100	63	33	62	57	42	34	8	52	50	36	53	92	47	39	93	86	81	61	84	61	63	110	59	18	35	53	63	94	58	62	11	5	0									
		9.91%	14.45%	7.70%	7.21%	13.77%	8.85%	10.21%	6.26%	8.18%	12.63%	14.42%	11.12%	7.16%	9.06%	8.38%	5.87%	10.00%	8.37%	3.64%	10.11%	11.44%	8.84%	13.99%	11.23%	8.38%	15.66%	9.22%	10.82%	6.00%	11.86%	16.82%	4.62%	8.19%	11.98%	6.51%	11.26%	10.33%	14.35%	8.51%	7.08%	7.69%	11.95%	8.59%	9.26%	1.83%	6.97%	8.99%	7.98%	12.33%	10.69%	8.20%	13.93%	13.90%	15.61%	10.49%	9.92%	13.79%	8.59%	14.03%	12.24%	9.56%	3.93%	9.26%	7.82%	9.09%	16.46%	9.12%	7.91%	10.89%	4.39%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5706	132	156	116	44	43	63	101	88	84	108	140	74	68	131	61	17	131	65	44	99	84	99	138	97	73	88	61	8	95	41	74	113	114	35	112	34	108	106	58	122	58	73	39	57	85	67	63	51	122	95	46	77	85	93	104	99	98	80	109	112	74	59	102	91	100	103	103	15	18	3									
		14.31%	15.64%	17.67%	16.41%	17.81%	12.68%	13.13%	13.45%	13.58%	14.33%	12.56%	16.75%	14.31%	11.20%	14.07%	11.55%	10.63%	17.68%	12.45%	12.36%	15.52%	11.43%	13.71%	17.81%	18.48%	15.24%	14.24%	11.38%	16.00%	13.91%	19.16%	11.78%	14.23%	14.84%	9.11%	15.38%	10.33%	15.49%	14.32%	12.45%	15.14%	12.16%	14.93%	10.63%	13.01%	11.39%	12.05%	13.97%	11.86%	14.17%	16.58%	16.43%	11.51%	15.43%	12.05%	16.91%	16.26%	13.80%	17.82%	12.12%	18.15%	16.16%	15.61%	15.04%	13.13%	17.51%	16.19%	13.14%	14.85%	15.79%	5.88%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	307	8	7	8	1	0	5	6	12	0	5	6	3	6	2	4	0	10	1	2	3	7	2	8	4	13	7	4	0	4	2	8	7	5	3	5	2	6	3	4	12	5	7	2	0	3	4	4	3	5	2	2	3	8	9	6	3	7	3	1	3	5	2	5	0	4	5	5	2	1	3									
		0.77%	0.95%	0.79%	1.13%	0.40%	0.00%	1.04%	0.80%	1.85%	0.00%	0.58%	0.72%	0.58%	0.99%	0.21%	0.76%	0.00%	1.35%	0.19%	0.56%	0.47%	0.95%	0.28%	1.03%	0.76%	2.71%	1.13%	0.75%	0.00%	0.59%	0.93%	1.27%	0.88%	0.65%	0.78%	0.69%	0.61%	0.86%	0.41%	0.86%	1.49%	1.05%	1.43%	0.54%	0.00%	0.40%	0.72%	0.89%	0.70%	0.58%	0.35%	0.71%	0.45%	1.45%	1.17%	0.98%	0.49%	0.99%	0.67%	0.11%	0.49%	1.09%	0.53%	0.74%	0.00%	0.70%	0.79%	0.64%	1.98%	0.88%	5.88%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3371	72	72	67	13	36	52	79	64	58	80	72	50	51	76	51	18	59	26	27	55	50	60	67	36	27	39	48	2	42	13	56	50	52	41	80	34	48	49	50	57	33	49	33	35	91	39	31	34	93	21	19	46	29	61	48	63	58	31	128	68	50	31	39	59	52	56	80	5	7	3									
		8.45%	8.53%	8.15%	9.48%	5.26%	10.62%	10.83%	10.52%	9.88%	9.90%	9.30%	8.61%	9.67%	8.40%	8.16%	9.66%	11.25%	7.96%	4.98%	7.58%	8.62%	6.80%	8.31%	8.65%	6.86%	5.64%	6.31%	8.96%	4.00%	6.15%	6.07%	8.92%	6.30%	6.77%	10.68%	10.99%	10.33%	6.89%	6.62%	10.73%	7.07%	6.92%	10.02%	8.99%	7.99%	12.20%	7.01%	6.87%	7.91%	10.80%	3.66%	6.79%	6.88%	5.26%	7.90%	7.80%	10.34%	8.17%	6.90%	14.24%	11.02%	10.92%	8.20%	5.75%	8.51%	9.11%	8.81%	10.20%	4.95%	6.14%	5.88%									
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
