Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Баргузинская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36					
11	Число полученных открепительных  удостоверений	499	33	30	10	15	5	20	20	20	20	20	10	10	10	10	10	10	15	10	15	10	10	15	10	10	10	17	3	25	25	10	5	31	10	5	5	5					
12	Число выданных открепительных удостоверений	197	6	13	4	6	0	7	12	5	5	6	3	2	1	9	4	3	1	3	0	2	0	0	0	0	0	17	0	25	25	2	1	29	4	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	122	13	5	0	2	1	4	3	5	2	1	19	7	3	2	0	3	5	2	6	0	2	6	1	3	1	5	3	5	3	3	4	1	0	1	0	1					
14	Число неиспользованных открепительных удостоверений	302	27	17	6	9	5	13	8	15	15	14	7	8	9	1	6	7	14	7	15	8	10	15	10	10	10	0	3	0	0	8	4	2	6	3	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	339	16	24	17	11	4	16	28	17	18	27	9	0	3	3	4	1	9	4	6	1	3	2	2	1	1	15	6	35	11	6	5	8	1	7	12	6					
		2.54%	2.05%	2.75%	3.52%	2.67%	2.67%	2.04%	3.29%	1.98%	2.26%	3.69%	5.20%	0.00%	1.33%	1.84%	2.58%	0.76%	2.93%	3.36%	1.22%	0.80%	2.42%	0.42%	0.87%	0.38%	0.65%	2.81%	2.87%	4.93%	1.81%	2.29%	4.59%	1.76%	0.61%	4.61%	13.64%	6.25%					
19	. Малышкин Олег Александрович	133	7	8	0	1	3	10	15	14	8	6	5	3	4	6	4	1	2	0	4	1	1	2	1	0	3	11	1	3	3	1	1	2	0	1	1	0					
		1.00%	0.90%	0.92%	0.00%	0.24%	2.00%	1.27%	1.76%	1.63%	1.00%	0.82%	2.89%	2.97%	1.77%	3.68%	2.58%	0.76%	0.65%	0.00%	0.81%	0.80%	0.81%	0.42%	0.43%	0.00%	1.95%	2.06%	0.48%	0.42%	0.49%	0.38%	0.92%	0.44%	0.00%	0.66%	1.14%	0.00%					
20	. Миронов Сергей Михайлович	84	9	2	1	2	1	4	11	8	10	5	2	0	1	1	1	2	1	2	1	2	1	2	1	0	0	1	1	4	2	0	1	4	1	0	0	0					
		0.63%	1.15%	0.23%	0.21%	0.49%	0.67%	0.51%	1.29%	0.93%	1.25%	0.68%	1.16%	0.00%	0.44%	0.61%	0.65%	1.53%	0.33%	1.68%	0.20%	1.60%	0.81%	0.42%	0.43%	0.00%	0.00%	0.19%	0.48%	0.56%	0.33%	0.00%	0.92%	0.88%	0.61%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10391	544	614	387	302	81	674	616	701	593	597	132	95	181	130	83	96	242	97	415	95	108	407	182	231	140	379	177	571	455	221	86	357	142	122	55	83					
		77.88%	69.74%	70.33%	80.12%	73.30%	54.00%	85.86%	72.39%	81.80%	74.40%	81.56%	76.30%	94.06%	80.09%	79.75%	53.55%	73.28%	78.83%	81.51%	84.52%	76.00%	87.10%	86.23%	79.13%	87.50%	90.91%	70.97%	84.69%	80.42%	74.71%	84.35%	78.90%	78.63%	86.59%	80.26%	62.50%	86.46%					
22	. Хакамада Ирина Муцуовна	330	34	13	8	6	2	6	24	12	19	9	7	0	3	3	0	4	5	2	4	2	0	3	1	2	1	13	6	25	45	23	5	30	1	4	5	3					
		2.47%	4.36%	1.49%	1.66%	1.46%	1.33%	0.76%	2.82%	1.40%	2.38%	1.23%	4.05%	0.00%	1.33%	1.84%	0.00%	3.05%	1.63%	1.68%	0.81%	1.60%	0.00%	0.64%	0.43%	0.76%	0.65%	2.43%	2.87%	3.52%	7.39%	8.78%	4.59%	6.61%	0.61%	2.63%	5.68%	3.12%					
23	. Харитонов Николай Михайлович	1749	162	200	60	85	59	60	124	91	112	62	15	2	30	18	50	25	42	13	56	24	9	40	39	17	7	97	14	57	84	8	9	34	13	15	13	3					
		13.11%	20.77%	22.91%	12.42%	20.63%	39.33%	7.64%	14.57%	10.62%	14.05%	8.47%	8.67%	1.98%	13.27%	11.04%	32.26%	19.08%	13.68%	10.92%	11.41%	19.20%	7.26%	8.47%	16.96%	6.44%	4.55%	18.16%	6.70%	8.03%	13.79%	3.05%	8.26%	7.49%	7.93%	9.87%	14.77%	3.12%					
																																											
24	Против всех	135	3	8	3	1	0	9	20	7	23	7	3	1	4	1	5	2	5	0	3	0	1	5	0	1	0	5	0	2	3	3	1	3	2	2	2	0					
		1.01%	0.38%	0.92%	0.62%	0.24%	0.00%	1.15%	2.35%	0.82%	2.89%	0.96%	1.73%	0.99%	1.77%	0.61%	3.23%	1.53%	1.63%	0.00%	0.61%	0.00%	0.81%	1.06%	0.00%	0.38%	0.00%	0.94%	0.00%	0.28%	0.49%	1.15%	0.92%	0.66%	1.22%	1.32%	2.27%	0.00%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
