Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Ухтинская городская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	Участок  №331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364					
11	Число полученных открепительных  удостоверений	720	15	5	10	15	15	15	15	20	10	15	25	10	10	15	10	10	20	15	15	10	5	15	10	20	5	15	10	10	10	10	15	10	10	5	15	10	25	15	15	10	10	25	15	15	25	5	5	10	20	10	5	15	10	10	5	10	10					
12	Число выданных открепительных удостоверений	436	7	1	4	14	15	5	14	17	6	7	20	4	6	13	10	2	10	5	8	4	2	12	7	11	1	11	5	7	5	8	9	6	1	3	11	5	10	12	14	6	5	16	12	7	16	1	2	10	11	10	5	9	1	3	0	7	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	311	16	0	3	11	7	7	5	13	12	6	9	9	3	14	5	5	3	1	2	10	2	0	8	18	4	6	6	7	1	3	7	3	35	2	8	0	3	5	3	3	6	4	4	2	5	1	3	1	1	1	0	1	2	8	1	3	3					
14	Число неиспользованных открепительных удостоверений	284	8	4	6	1	0	10	1	3	4	8	5	6	4	2	0	8	10	10	7	6	3	3	3	9	4	4	5	3	5	2	6	4	9	2	4	5	15	3	1	4	5	9	3	8	9	4	3	0	9	0	0	6	9	7	5	3	7					
15	"Число открепительных удостоверений, выданных в ТИК"	28	1	1	0	1	0	1	2	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	1	1	0	0	2	0	1	0	1	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	2126	66	7	25	36	54	64	51	41	33	53	55	32	37	41	12	5	37	29	44	28	3	43	39	64	24	46	50	49	45	35	77	55	30	5	71	30	50	54	69	26	31	61	38	56	57	7	2	15	32	15	4	49	17	46	0	37	44					
		3.76%	3.76%	2.42%	3.08%	2.75%	4.10%	5.08%	3.89%	3.43%	2.79%	4.32%	3.21%	4.09%	5.30%	4.30%	2.22%	1.83%	4.34%	2.69%	3.92%	3.33%	2.36%	3.21%	3.25%	3.68%	4.81%	3.76%	3.69%	5.05%	4.34%	3.91%	6.05%	4.92%	4.07%	2.00%	4.36%	5.30%	5.31%	4.43%	4.77%	2.68%	4.29%	3.55%	3.66%	4.08%	3.21%	1.65%	0.85%	1.73%	3.29%	1.70%	4.71%	4.70%	2.95%	3.34%	0.00%	3.31%	3.50%					
19	. Малышкин Олег Александрович	1275	36	11	12	26	29	32	25	12	15	20	32	19	11	15	18	13	23	25	39	22	4	27	35	20	9	28	17	15	17	14	37	25	11	10	25	13	20	25	29	21	21	28	23	17	43	22	8	29	21	41	1	30	13	44	0	50	47					
		2.25%	2.05%	3.81%	1.48%	1.99%	2.20%	2.54%	1.91%	1.01%	1.27%	1.63%	1.87%	2.43%	1.58%	1.57%	3.33%	4.76%	2.70%	2.32%	3.48%	2.62%	3.15%	2.02%	2.92%	1.15%	1.80%	2.29%	1.25%	1.55%	1.64%	1.56%	2.91%	2.23%	1.49%	4.00%	1.54%	2.30%	2.12%	2.05%	2.00%	2.16%	2.90%	1.63%	2.22%	1.24%	2.43%	5.20%	3.39%	3.34%	2.16%	4.65%	1.18%	2.88%	2.26%	3.20%	0.00%	4.47%	3.74%					
20	. Миронов Сергей Михайлович	497	12	4	7	14	17	6	12	13	13	15	17	6	7	10	2	0	4	8	5	1	0	14	9	16	1	12	14	11	11	4	12	9	8	2	4	5	6	10	10	17	10	17	11	8	10	2	0	12	15	5	2	9	1	15	1	17	14					
		0.88%	0.68%	1.38%	0.86%	1.07%	1.29%	0.48%	0.92%	1.09%	1.10%	1.22%	0.99%	0.77%	1.00%	1.05%	0.37%	0.00%	0.47%	0.74%	0.45%	0.12%	0.00%	1.05%	0.75%	0.92%	0.20%	0.98%	1.03%	1.13%	1.06%	0.45%	0.94%	0.80%	1.09%	0.80%	0.25%	0.88%	0.64%	0.82%	0.69%	1.75%	1.38%	0.99%	1.06%	0.58%	0.56%	0.47%	0.00%	1.38%	1.54%	0.57%	2.35%	0.86%	0.17%	1.09%	1.59%	1.52%	1.11%					
21	. Путин Владимир Владимирович	42061	1279	225	610	1016	954	925	941	876	847	892	1291	574	498	666	456	201	667	850	835	666	103	1020	878	1308	361	933	999	703	772	715	924	812	536	205	1262	420	693	922	1094	733	510	1287	763	1049	1388	338	182	639	694	597	63	731	452	990	54	773	889					
		74.35%	72.79%	77.85%	75.12%	77.74%	72.38%	73.35%	71.83%	73.37%	71.66%	72.64%	75.28%	73.40%	71.35%	69.81%	84.44%	73.63%	78.29%	78.78%	74.42%	79.19%	81.10%	76.23%	73.23%	75.17%	72.34%	76.35%	73.73%	72.47%	74.52%	79.80%	72.64%	72.56%	72.73%	82.00%	77.57%	74.20%	73.57%	75.57%	75.55%	75.57%	70.54%	74.87%	73.51%	76.40%	78.29%	79.91%	77.12%	73.53%	71.25%	67.76%	74.12%	70.15%	78.47%	71.90%	85.71%	69.14%	70.67%					
22	. Хакамада Ирина Муцуовна	2236	81	7	30	58	63	48	67	53	65	64	79	33	40	50	5	4	20	32	37	22	5	38	34	76	26	55	57	54	45	25	55	50	37	6	73	29	47	54	70	36	48	83	43	48	43	9	4	18	16	30	0	19	10	58	3	42	32					
		3.95%	4.61%	2.42%	3.69%	4.44%	4.78%	3.81%	5.11%	4.44%	5.50%	5.21%	4.61%	4.22%	5.73%	5.24%	0.93%	1.47%	2.35%	2.97%	3.30%	2.62%	3.94%	2.84%	2.84%	4.37%	5.21%	4.50%	4.21%	5.57%	4.34%	2.79%	4.32%	4.47%	5.02%	2.40%	4.49%	5.12%	4.99%	4.43%	4.83%	3.71%	6.64%	4.83%	4.14%	3.50%	2.43%	2.13%	1.69%	2.07%	1.64%	3.41%	0.00%	1.82%	1.74%	4.21%	4.76%	3.76%	2.54%					
23	. Харитонов Николай Михайлович	5692	198	20	88	88	138	124	160	145	148	134	176	87	64	119	43	42	62	100	114	79	6	155	154	168	44	92	152	97	81	67	99	123	77	14	121	45	66	96	103	79	63	172	102	125	165	29	35	116	129	169	12	128	55	123	1	127	173					
		10.06%	11.27%	6.92%	10.84%	6.73%	10.47%	9.83%	12.21%	12.14%	12.52%	10.91%	10.26%	11.13%	9.17%	12.47%	7.96%	15.38%	7.28%	9.27%	10.16%	9.39%	4.72%	11.58%	12.84%	9.66%	8.82%	7.53%	11.22%	10.00%	7.82%	7.48%	7.78%	10.99%	10.45%	5.60%	7.44%	7.95%	7.01%	7.87%	7.11%	8.14%	8.71%	10.01%	9.83%	9.10%	9.31%	6.86%	14.83%	13.35%	13.24%	19.18%	14.12%	12.28%	9.55%	8.93%	1.59%	11.36%	13.75%					
																																																																
24	Против всех	2337	78	12	34	67	50	57	46	47	52	47	55	29	36	43	3	6	32	27	42	17	4	38	30	78	32	49	62	37	60	32	67	41	33	8	66	21	52	54	63	49	36	68	48	63	57	13	2	29	59	17	2	63	18	95	2	59	50					
		4.13%	4.44%	4.15%	4.19%	5.13%	3.79%	4.52%	3.51%	3.94%	4.40%	3.83%	3.21%	3.71%	5.16%	4.51%	0.56%	2.20%	3.76%	2.50%	3.74%	2.02%	3.15%	2.84%	2.50%	4.48%	6.41%	4.01%	4.58%	3.81%	5.79%	3.57%	5.27%	3.66%	4.48%	3.20%	4.06%	3.71%	5.52%	4.43%	4.35%	5.05%	4.98%	3.96%	4.62%	4.59%	3.21%	3.07%	0.85%	3.34%	6.06%	1.93%	2.35%	6.05%	3.12%	6.90%	3.17%	5.28%	3.97%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
