Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Мишкинская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681					
		0.20%	0.42%	0.14%	0.0%	0.0%	0.17%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.46%	0.86%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.88%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	0	1	1	0	2	0	0	0	0	0	0	0	3	0	0	1	1	1	1	0	0	0	1	0	1	2	1	0	0	0	1	0	0	0	0					
		0.17%	0.0%	0.14%	0.34%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	1.29%	0.29%	0.46%	0.10%	0.0%	0.0%	0.0%	0.37%	0.0%	0.42%	0.89%	0.44%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	33	0	3	2	0	3	4	0	0	0	2	2	0	1	1	0	0	2	0	4	0	2	0	0	0	0	1	1	1	0	0	0	0	3	0	1					
		0.33%	0.0%	0.43%	0.69%	0.0%	0.51%	0.62%	0.0%	0.0%	0.0%	2.77%	2.08%	0.0%	0.19%	1.42%	0.0%	0.0%	0.58%	0.0%	0.43%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.44%	0.44%	0.46%	0.0%	0.0%	0.0%	0.0%	1.42%	0.0%	1.12%					
25	"8. ""Народно-республиканская партия России"""	11	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0					
		0.11%	0.0%	0.14%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	2.38%	0.19%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.18%	0.0%	0.37%	0.0%	0.0%	0.44%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	1.04%	2.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	772	22	20	19	4	41	43	7	44	31	5	1	0	46	5	19	1	26	32	57	40	61	15	30	8	56	18	14	13	10	1	32	8	18	15	10					
		7.87%	3.09%	2.90%	6.62%	1.81%	7.04%	6.77%	5.22%	15.54%	7.57%	6.94%	1.04%	0.0%	9.14%	7.14%	11.11%	1.29%	7.55%	14.95%	6.16%	11.14%	11.01%	13.15%	11.36%	10.38%	24.03%	8.07%	6.22%	6.01%	7.69%	1.11%	12.12%	6.29%	8.57%	9.25%	11.23%					
28	"11. ""Истинные патриоты России"""	6	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.34%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	2.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	153	16	9	6	7	10	14	1	0	2	0	0	0	9	8	9	0	8	0	7	10	8	1	1	1	3	5	5	4	1	2	3	2	1	0	0					
		1.56%	2.25%	1.30%	2.09%	3.18%	1.71%	2.20%	0.74%	0.0%	0.48%	0.0%	0.0%	0.0%	1.78%	11.42%	5.26%	0.0%	2.32%	0.0%	0.75%	2.78%	1.44%	0.87%	0.37%	1.29%	1.28%	2.24%	2.22%	1.85%	0.76%	2.22%	1.13%	1.57%	0.47%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	22	0	0	1	2	1	3	0	0	2	0	0	0	2	0	0	1	1	0	0	1	3	0	1	1	0	1	0	1	0	0	0	0	0	0	1					
		0.22%	0.0%	0.0%	0.34%	0.90%	0.17%	0.47%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	1.29%	0.29%	0.0%	0.0%	0.27%	0.54%	0.0%	0.37%	1.29%	0.0%	0.44%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	1	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0					
		0.13%	0.14%	0.0%	0.34%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	1.38%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.27%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	13	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0					
		0.13%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.46%	0.21%	0.0%	0.0%	0.0%	0.37%	1.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.78%	0.47%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	433	27	39	15	8	49	31	2	28	16	6	7	0	18	2	5	0	7	5	36	11	27	5	3	1	6	11	11	4	2	4	13	14	7	10	3					
		4.41%	3.79%	5.66%	5.22%	3.63%	8.41%	4.88%	1.49%	9.89%	3.91%	8.33%	7.29%	0.0%	3.57%	2.85%	2.92%	0.0%	2.03%	2.33%	3.89%	3.06%	4.87%	4.38%	1.13%	1.29%	2.57%	4.93%	4.88%	1.85%	1.53%	4.44%	4.92%	11.02%	3.33%	6.17%	3.37%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	5	2	5	0	0	0	0	0	0	0	0	0	2	1	0	0	0					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.0%	0.29%	0.0%	0.54%	0.55%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.78%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1737	134	127	56	36	85	124	32	34	108	21	16	13	83	15	27	18	68	45	112	74	85	36	41	5	50	29	42	30	25	10	45	27	37	39	8					
		17.72%	18.84%	18.43%	19.51%	16.36%	14.60%	19.52%	23.88%	12.01%	26.40%	29.16%	16.66%	30.95%	16.50%	21.42%	15.78%	23.37%	19.76%	21.02%	12.10%	20.61%	15.34%	31.57%	15.53%	6.49%	21.45%	13.00%	18.66%	13.88%	19.23%	11.11%	17.04%	21.25%	17.61%	24.07%	8.98%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	181	19	14	11	7	10	12	1	6	7	0	2	0	5	2	1	3	9	2	17	6	11	4	1	2	5	0	2	4	2	1	8	0	2	4	1					
		1.84%	2.67%	2.03%	3.83%	3.18%	1.71%	1.88%	0.74%	2.12%	1.71%	0.0%	2.08%	0.0%	0.99%	2.85%	0.58%	3.89%	2.61%	0.93%	1.83%	1.67%	1.98%	3.50%	0.37%	2.59%	2.14%	0.0%	0.88%	1.85%	1.53%	1.11%	3.03%	0.0%	0.95%	2.46%	1.12%					
37	"20. ""Политическая партия ""Единая Россия"""	3506	233	266	106	82	192	255	46	114	133	18	37	11	207	19	60	31	140	66	351	122	204	27	118	30	38	90	46	97	59	34	63	41	78	44	48					
		35.77%	32.77%	38.60%	36.93%	37.27%	32.98%	40.15%	34.32%	40.28%	32.51%	25.0%	38.54%	26.19%	41.15%	27.14%	35.08%	40.25%	40.69%	30.84%	37.94%	33.98%	36.82%	23.68%	44.69%	38.96%	16.30%	40.35%	20.44%	44.90%	45.38%	37.77%	23.86%	32.28%	37.14%	27.16%	53.93%					
38	"21. ""Российская Конституционно-демократическая партия"""	21	2	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	2	1	4	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0					
		0.21%	0.28%	0.14%	0.34%	0.45%	0.0%	0.0%	0.0%	0.35%	0.24%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	1.29%	0.58%	0.46%	0.43%	0.27%	0.0%	0.0%	0.0%	1.29%	0.0%	0.44%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	13	2	0	0	1	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0					
		0.13%	0.28%	0.0%	0.0%	0.45%	0.0%	0.47%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.18%	0.0%	0.0%	1.29%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1829	178	132	39	36	135	90	33	30	66	14	13	13	64	12	34	6	41	34	230	62	91	13	34	17	39	41	77	36	13	29	70	26	46	24	11					
		18.66%	25.03%	19.15%	13.58%	16.36%	23.19%	14.17%	24.62%	10.60%	16.13%	19.44%	13.54%	30.95%	12.72%	17.14%	19.88%	7.79%	11.91%	15.88%	24.86%	17.27%	16.42%	11.40%	12.87%	22.07%	16.73%	18.38%	34.22%	16.66%	10.0%	32.22%	26.51%	20.47%	21.90%	14.81%	12.35%					
																																										
41	Против всех	378	22	28	7	11	15	15	5	19	17	2	11	0	28	5	2	9	10	16	17	7	25	3	14	2	10	16	11	14	8	4	5	0	4	12	4					
		3.85%	3.09%	4.06%	2.43%	5.0%	2.57%	2.36%	3.73%	6.71%	4.15%	2.77%	11.45%	0.0%	5.56%	7.14%	1.16%	11.68%	2.90%	7.47%	1.83%	1.94%	4.51%	2.63%	5.30%	2.59%	4.29%	7.17%	4.88%	6.48%	6.15%	4.44%	1.89%	0.0%	1.90%	7.40%	4.49%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
