Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Приаргунская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749	УИК  750	УИК  751	УИК  752	УИК  753					
		2.35%	3.49%	2.74%	1.25%	2.52%	3.71%	3.66%	2.49%	1.45%	1.76%	0.0%	3.22%	1.25%	1.39%	1.62%	2.11%	2.58%	2.40%	1.58%	2.42%	8.77%	2.67%	2.40%	1.13%	1.76%	5.14%	3.33%	1.82%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	144	14	16	23	15	18	5	1	1	1	0	2	0	13	2	7	1	0	0	1	0	1	7	2	12	0	1	1					
		1.28%	1.95%	1.62%	1.81%	2.70%	2.57%	1.14%	0.35%	0.36%	0.22%	0.0%	0.80%	0.0%	2.58%	0.54%	1.85%	0.36%	0.0%	0.0%	0.34%	0.0%	0.89%	1.20%	2.27%	0.91%	0.0%	0.47%	0.60%					
22	"5. ""За Русь Святую"""	40	2	4	7	2	5	2	1	0	1	0	1	1	1	2	1	2	0	0	0	2	2	2	0	2	0	0	0					
		0.35%	0.27%	0.40%	0.55%	0.36%	0.71%	0.45%	0.35%	0.0%	0.22%	0.0%	0.40%	0.62%	0.19%	0.54%	0.26%	0.73%	0.0%	0.0%	0.0%	3.50%	1.78%	0.34%	0.0%	0.15%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	0	1	4	4	2	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1					
		0.17%	0.0%	0.10%	0.31%	0.72%	0.28%	0.0%	0.0%	0.0%	0.22%	0.49%	0.40%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.17%	0.0%	0.07%	0.0%	0.0%	0.60%					
24	"7. ""Новый курс - Автомобильная Россия"""	64	6	3	14	2	4	1	1	2	1	2	0	1	5	6	4	1	1	0	0	0	1	0	0	7	0	1	1					
		0.57%	0.83%	0.30%	1.10%	0.36%	0.57%	0.22%	0.35%	0.72%	0.22%	0.98%	0.0%	0.62%	0.99%	1.62%	1.05%	0.36%	0.30%	0.0%	0.0%	0.0%	0.89%	0.0%	0.0%	0.53%	0.0%	0.47%	0.60%					
25	"8. ""Народно-республиканская партия России"""	12	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	3	0	1	0					
		0.10%	0.0%	0.0%	0.07%	0.18%	0.28%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	1.58%	0.0%	0.0%	0.0%	0.17%	0.0%	0.22%	0.0%	0.47%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	20	0	1	5	3	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	1	0	1	0	3	0	0	1					
		0.17%	0.0%	0.10%	0.39%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.26%	1.10%	0.0%	0.0%	0.0%	1.75%	0.0%	0.17%	0.0%	0.22%	0.0%	0.0%	0.60%					
27	"10. ""Аграрная партия России"""	1239	42	40	37	27	44	13	37	44	22	42	42	16	116	108	153	47	38	17	32	14	29	112	16	48	25	50	28					
		11.04%	5.86%	4.07%	2.91%	4.86%	6.29%	2.98%	13.21%	16.0%	4.84%	20.68%	16.93%	10.0%	23.10%	29.26%	40.47%	17.34%	11.41%	26.98%	11.07%	24.56%	25.89%	19.21%	18.18%	3.67%	11.68%	23.80%	17.07%					
28	"11. ""Истинные патриоты России"""	32	0	3	18	0	0	0	0	0	0	1	0	1	1	2	1	1	0	0	0	1	0	2	1	0	0	0	0					
		0.28%	0.0%	0.30%	1.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.62%	0.19%	0.54%	0.26%	0.36%	0.0%	0.0%	0.0%	1.75%	0.0%	0.34%	1.13%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	250	21	31	31	9	19	42	2	2	6	1	3	0	11	5	3	3	1	0	2	1	1	41	2	11	0	1	1					
		2.22%	2.93%	3.15%	2.44%	1.62%	2.71%	9.63%	0.71%	0.72%	1.32%	0.49%	1.20%	0.0%	2.19%	1.35%	0.79%	1.10%	0.30%	0.0%	0.69%	1.75%	0.89%	7.03%	2.27%	0.84%	0.0%	0.47%	0.60%					
30	"13. ""Демократическая партия России"""	23	2	4	2	2	0	3	0	0	1	0	1	0	0	1	1	0	0	0	3	0	0	2	0	1	0	0	0					
		0.20%	0.27%	0.40%	0.15%	0.36%	0.0%	0.68%	0.0%	0.0%	0.22%	0.0%	0.40%	0.0%	0.0%	0.27%	0.26%	0.0%	0.0%	0.0%	1.03%	0.0%	0.0%	0.34%	0.0%	0.07%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	1	0	2	1	2	0	0	2	0	1	2	0	1	1	1	0	0	0	0	0	0	2	0	3	0	0	0					
		0.16%	0.13%	0.0%	0.15%	0.18%	0.28%	0.0%	0.0%	0.72%	0.0%	0.49%	0.80%	0.0%	0.19%	0.27%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.22%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	12	1	0	4	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0					
		0.10%	0.13%	0.0%	0.31%	0.18%	0.0%	0.22%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	435	43	78	45	22	55	43	5	5	11	6	7	4	11	9	2	5	11	2	2	1	3	12	0	45	2	6	0					
		3.87%	6.00%	7.94%	3.54%	3.96%	7.86%	9.86%	1.78%	1.81%	2.42%	2.95%	2.82%	2.5%	2.19%	2.43%	0.52%	1.84%	3.30%	3.17%	0.69%	1.75%	2.67%	2.05%	0.0%	3.44%	0.93%	2.85%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	2	0	8	2	0	0	3	2	0	0	1	0	0	0	2	1	1	0	1	1	0	3	1	6	2	1	1					
		0.33%	0.27%	0.0%	0.62%	0.36%	0.0%	0.0%	1.07%	0.72%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.52%	0.36%	0.30%	0.0%	0.34%	1.75%	0.0%	0.51%	1.13%	0.45%	0.93%	0.47%	0.60%					
35	"18. ""ЛДПР"""	1546	87	104	242	111	150	70	32	13	52	15	39	33	56	43	25	24	36	3	25	1	3	50	25	216	40	21	30					
		13.78%	12.15%	10.59%	19.05%	20.0%	21.45%	16.05%	11.42%	4.72%	11.45%	7.38%	15.72%	20.62%	11.15%	11.65%	6.61%	8.85%	10.81%	4.76%	8.65%	1.75%	2.67%	8.57%	28.40%	16.55%	18.69%	10.0%	18.29%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	173	14	23	23	12	5	12	5	1	3	4	0	1	15	5	3	1	4	0	6	0	4	5	4	14	2	4	3					
		1.54%	1.95%	2.34%	1.81%	2.16%	0.71%	2.75%	1.78%	0.36%	0.66%	1.97%	0.0%	0.62%	2.98%	1.35%	0.79%	0.36%	1.20%	0.0%	2.07%	0.0%	3.57%	0.85%	4.54%	1.07%	0.93%	1.90%	1.82%					
37	"20. ""Политическая партия ""Единая Россия"""	4835	298	407	523	189	210	114	136	145	309	114	116	94	184	125	106	118	198	33	129	22	45	218	25	715	116	79	67					
		43.10%	41.62%	41.44%	41.18%	34.05%	30.04%	26.14%	48.57%	52.72%	68.06%	56.15%	46.77%	58.75%	36.65%	33.87%	28.04%	43.54%	59.45%	52.38%	44.63%	38.59%	40.17%	37.39%	28.40%	54.78%	54.20%	37.61%	40.85%					
38	"21. ""Российская Конституционно-демократическая партия"""	21	2	1	3	2	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	6	0	0	1					
		0.18%	0.27%	0.10%	0.23%	0.36%	0.0%	0.22%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.45%	0.0%	0.0%	0.60%					
39	"22. ""Развитие предпринимательства"""	20	0	4	5	2	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	0	1					
		0.17%	0.0%	0.40%	0.39%	0.36%	0.0%	0.22%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.15%	0.0%	0.0%	0.60%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1241	120	157	120	81	118	87	31	38	17	12	12	2	47	32	47	39	20	1	58	1	11	54	5	93	6	20	12					
		11.06%	16.75%	15.98%	9.44%	14.59%	16.88%	19.95%	11.07%	13.81%	3.74%	5.91%	4.83%	1.25%	9.36%	8.67%	12.43%	14.39%	6.00%	1.58%	20.06%	1.75%	9.82%	9.26%	5.68%	7.12%	2.80%	9.52%	7.31%					
																																		
41	Против всех	301	19	30	76	27	12	9	8	4	5	1	0	1	9	10	3	9	3	1	6	2	2	17	2	37	2	4	2					
		2.68%	2.65%	3.05%	5.98%	4.86%	1.71%	2.06%	2.85%	1.45%	1.10%	0.49%	0.0%	0.62%	1.79%	2.71%	0.79%	3.32%	0.90%	1.58%	2.07%	3.50%	1.78%	2.91%	2.27%	2.83%	0.93%	1.90%	1.21%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
