Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
Наименование Избирательной комиссии:    Дюртюлинская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1402	30	30	28	35	34	41	25	54	36	34	18	37	25	41	15	12	0	0	20	20	33	37	32	50	10	10	15	6	11	15	10	20	10	15	10	39	20	15	16	25	20	15	15	20	20	25	10	20	6	10	5	45	30	30	10	38	10	10	10	15	5	15	9	0	5	0	30	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1365	30	27	28	35	34	41	23	54	36	34	18	35	23	41	15	11	0	0	20	20	33	37	32	50	10	10	15	6	9	7	2	20	10	15	10	39	20	15	16	25	20	15	15	20	20	23	10	20	6	10	5	45	30	30	10	38	6	10	8	15	4	15	9	0	5	0	30	40					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	452	18	9	17	20	6	12	6	17	8	16	13	14	10	19	6	4	2	107	5	6	2	0	5	3	0	2	4	0	0	0	2	2	1	1	1	6	3	11	3	9	2	7	0	7	4	3	2	1	2	1	3	2	4	4	3	10	0	1	1	4	3	1	2	0	1	1	4	9					
14	Число погашенных неиспользованных открепительных удостоверений	37	0	3	0	0	0	0	2	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	98	7	4	3	5	1	2	2	3	3	4	1	4	3	2	0	2	0	0	1	1	1	9	0	3	0	1	1	0	0	0	1	0	0	0	0	3	6	0	0	2	0	0	1	1	0	6	0	1	0	0	0	5	1	2	0	2	0	0	0	0	1	1	0	0	0	1	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2774	107	100	91	168	79	90	80	155	117	126	85	172	97	173	73	19	5	0	26	20	38	25	36	18	2	5	8	1	28	1	3	10	14	22	1	51	49	32	93	44	26	28	10	35	4	7	2	36	4	10	24	27	18	35	2	102	11	5	20	9	4	29	4	5	1	9	36	7					
		7.12%	11.31%	9.64%	6.17%	12.10%	10.09%	7.51%	9.35%	10.05%	10.47%	10.95%	10.02%	15.32%	12.08%	13.35%	10.22%	3.63%	8.62%	0.00%	4.17%	2.81%	6.43%	4.45%	4.84%	2.50%	1.20%	5.38%	1.83%	0.88%	5.86%	0.29%	1.52%	2.08%	4.86%	4.75%	0.36%	10.41%	7.83%	13.17%	13.48%	3.89%	3.30%	6.65%	2.61%	8.52%	0.97%	2.05%	1.65%	7.07%	1.89%	3.28%	5.73%	3.43%	5.57%	7.48%	1.64%	10.60%	3.69%	2.37%	4.43%	1.95%	5.88%	7.46%	0.88%	3.91%	0.19%	3.60%	9.16%	1.56%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2040	35	81	84	106	86	75	70	115	57	95	81	102	81	104	74	8	4	1	42	21	60	23	22	23	3	4	4	1	18	3	5	8	10	7	2	25	41	19	58	52	24	11	16	24	5	3	2	12	2	12	14	18	6	25	3	78	7	3	4	2	3	28	3	4	2	7	10	2					
		5.24%	3.70%	7.81%	5.69%	7.63%	10.98%	6.26%	8.18%	7.46%	5.10%	8.25%	9.55%	9.08%	10.09%	8.02%	10.36%	1.53%	6.90%	0.18%	6.74%	2.95%	10.15%	4.09%	2.96%	3.20%	1.81%	4.30%	0.91%	0.88%	3.77%	0.87%	2.53%	1.67%	3.47%	1.51%	0.72%	5.10%	6.55%	7.82%	8.41%	4.59%	3.05%	2.61%	4.18%	5.84%	1.21%	0.88%	1.65%	2.36%	0.94%	3.93%	3.34%	2.28%	1.86%	5.34%	2.46%	8.11%	2.35%	1.42%	0.89%	0.43%	4.41%	7.20%	0.66%	3.13%	0.38%	2.80%	2.54%	0.44%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	299	9	7	11	18	11	9	12	5	13	12	7	13	6	16	10	4	1	0	0	6	7	7	3	5	2	0	0	1	2	0	0	1	0	2	1	5	9	2	8	10	5	1	2	3	0	0	0	5	2	0	2	3	3	0	1	20	2	0	0	5	1	5	0	1	1	1	1	0					
		0.77%	0.95%	0.68%	0.75%	1.30%	1.40%	0.75%	1.40%	0.32%	1.16%	1.04%	0.83%	1.16%	0.75%	1.23%	1.40%	0.76%	1.72%	0.00%	0.00%	0.84%	1.18%	1.25%	0.40%	0.70%	1.20%	0.00%	0.00%	0.88%	0.42%	0.00%	0.00%	0.21%	0.00%	0.43%	0.36%	1.02%	1.44%	0.82%	1.16%	0.88%	0.64%	0.24%	0.52%	0.73%	0.00%	0.00%	0.00%	0.98%	0.94%	0.00%	0.48%	0.38%	0.93%	0.00%	0.82%	2.08%	0.67%	0.00%	0.00%	1.08%	1.47%	1.29%	0.00%	0.78%	0.19%	0.40%	0.25%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6805	99	309	182	482	221	293	202	461	247	342	249	321	259	397	202	31	12	2	45	27	109	98	43	124	10	9	46	8	68	23	10	13	29	84	12	89	101	35	143	28	67	31	58	51	27	17	8	73	25	26	36	43	66	80	9	226	22	21	27	51	11	91	64	6	79	30	38	57					
		17.47%	10.47%	29.80%	12.33%	34.70%	28.22%	24.46%	23.60%	29.90%	22.11%	29.71%	29.36%	28.58%	32.25%	30.63%	28.29%	5.93%	20.69%	0.37%	7.22%	3.80%	18.44%	17.44%	5.78%	17.25%	6.02%	9.68%	10.50%	7.08%	14.23%	6.69%	5.05%	2.71%	10.07%	18.14%	4.33%	18.16%	16.13%	14.40%	20.72%	2.47%	8.51%	7.36%	15.14%	12.41%	6.55%	4.97%	6.61%	14.34%	11.79%	8.52%	8.59%	5.46%	20.43%	17.09%	7.38%	23.49%	7.38%	9.95%	5.99%	11.04%	16.18%	23.39%	14.13%	4.69%	14.91%	12.00%	9.67%	12.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	425	13	16	17	38	16	9	5	22	15	22	23	22	17	20	13	3	0	0	1	6	3	3	5	8	2	0	0	1	4	0	0	0	0	4	1	8	9	6	13	8	6	0	0	1	3	0	0	4	0	1	3	2	2	2	0	18	1	1	0	3	1	5	0	0	2	0	2	15					
		1.09%	1.37%	1.54%	1.15%	2.74%	2.04%	0.75%	0.58%	1.43%	1.34%	1.91%	2.71%	1.96%	2.12%	1.54%	1.82%	0.57%	0.00%	0.00%	0.16%	0.84%	0.51%	0.53%	0.67%	1.11%	1.20%	0.00%	0.00%	0.88%	0.84%	0.00%	0.00%	0.00%	0.00%	0.86%	0.36%	1.63%	1.44%	2.47%	1.88%	0.71%	0.76%	0.00%	0.00%	0.24%	0.73%	0.00%	0.00%	0.79%	0.00%	0.33%	0.72%	0.25%	0.62%	0.43%	0.00%	1.87%	0.34%	0.47%	0.00%	0.65%	1.47%	1.29%	0.00%	0.00%	0.38%	0.00%	0.51%	3.33%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26030	664	512	1079	546	346	708	480	760	657	525	388	470	328	554	329	448	36	544	509	627	369	403	632	532	145	75	374	101	345	309	180	446	235	336	254	305	407	141	362	968	647	347	292	296	372	314	109	372	177	251	325	691	206	316	107	495	249	181	397	391	48	229	375	112	438	201	296	367					
		66.84%	70.19%	49.37%	73.10%	39.31%	44.19%	59.10%	56.07%	49.29%	58.82%	45.61%	45.75%	41.85%	40.85%	42.75%	46.08%	85.66%	62.07%	99.45%	81.70%	88.19%	62.44%	71.71%	84.95%	73.99%	87.35%	80.65%	85.39%	89.38%	72.18%	89.83%	90.91%	92.92%	81.60%	72.57%	91.70%	62.24%	65.02%	58.02%	52.46%	85.51%	82.21%	82.42%	76.24%	72.02%	90.29%	91.81%	90.08%	73.08%	83.49%	82.30%	77.57%	87.69%	63.78%	67.52%	87.70%	51.46%	83.56%	85.78%	88.03%	84.63%	70.59%	58.87%	82.78%	87.50%	82.64%	80.40%	75.32%	81.56%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	131	3	4	4	8	4	5	2	6	6	9	2	7	6	9	3	2	0	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	0	1	1	1	4	4	2	2	3	0	1	1	0	0	0	0	3	5	0	3	0	0	7	0	0	0	0	0	1	0	0	2	1	1	2					
		0.34%	0.32%	0.39%	0.27%	0.58%	0.51%	0.42%	0.23%	0.39%	0.54%	0.78%	0.24%	0.62%	0.75%	0.69%	0.42%	0.38%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.40%	0.00%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.20%	0.16%	1.65%	0.58%	0.18%	0.25%	0.71%	0.00%	0.24%	0.24%	0.00%	0.00%	0.00%	0.00%	0.98%	1.19%	0.00%	0.93%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.38%	0.40%	0.25%	0.44%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
