Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    Красноармейская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7778	155	392	213	120	84	151	95	82	50	98	158	176	83	74	58	252	308	208	192	44	74	35	10	39	54	138	85	52	61	20	12	18	91	133	158	176	174	69	71	112	193	122	125	145	104	105	230	144	218	122	126	121	124	217	62	70	25	8	97	57	117	85	234	152	200					
		12.26%	12.01%	16.85%	14.01%	10.91%	7.89%	14.99%	12.31%	8.61%	7.54%	13.44%	13.13%	14.08%	9.01%	13.83%	8.52%	14.99%	14.91%	13.79%	14.10%	15.71%	12.27%	10.45%	3.27%	11.21%	11.56%	11.27%	8.93%	7.48%	7.24%	5.43%	14.81%	13.53%	11.06%	14.94%	9.48%	14.94%	16.29%	9.68%	14.82%	13.15%	21.47%	14.01%	12.51%	13.27%	13.13%	12.32%	15.59%	11.75%	13.32%	10.06%	13.14%	7.59%	12.19%	14.39%	12.04%	4.71%	12.08%	5.16%	16.93%	8.01%	6.57%	8.73%	13.59%	14.39%	16.53%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3126	47	113	52	126	119	41	31	84	61	37	10	131	93	51	25	36	42	25	120	6	24	33	7	7	33	19	35	59	53	59	0	0	5	10	102	25	9	20	3	43	59	14	19	21	17	19	50	169	5	38	103	105	29	45	16	97	24	10	21	5	159	62	156	41	46					
		4.93%	3.64%	4.86%	3.42%	11.45%	11.18%	4.07%	4.02%	8.82%	9.20%	5.08%	0.83%	10.48%	10.10%	9.53%	3.67%	2.14%	2.03%	1.66%	8.81%	2.14%	3.98%	9.85%	2.29%	2.01%	7.07%	1.55%	3.68%	8.49%	6.29%	16.03%	0.00%	0.00%	0.61%	1.12%	6.12%	2.12%	0.84%	2.81%	0.63%	5.05%	6.56%	1.61%	1.90%	1.92%	2.15%	2.23%	3.39%	13.78%	0.31%	3.13%	10.74%	6.59%	2.85%	2.98%	3.11%	6.53%	11.59%	6.45%	3.66%	0.70%	8.93%	6.37%	9.06%	3.88%	3.80%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	337	6	15	5	10	13	5	0	5	6	9	16	5	6	8	2	3	8	7	11	2	0	1	4	0	4	2	2	2	3	2	0	0	3	4	22	0	2	0	0	2	8	2	1	1	5	9	12	13	1	11	7	6	2	8	5	8	1	0	5	0	4	1	9	17	6					
		0.53%	0.46%	0.64%	0.33%	0.91%	1.22%	0.50%	0.00%	0.53%	0.90%	1.23%	1.33%	0.40%	0.65%	1.50%	0.29%	0.18%	0.39%	0.46%	0.81%	0.71%	0.00%	0.30%	1.31%	0.00%	0.86%	0.16%	0.21%	0.29%	0.36%	0.54%	0.00%	0.00%	0.36%	0.45%	1.32%	0.00%	0.19%	0.00%	0.00%	0.23%	0.89%	0.23%	0.10%	0.09%	0.63%	1.06%	0.81%	1.06%	0.06%	0.91%	0.73%	0.38%	0.20%	0.53%	0.97%	0.54%	0.48%	0.00%	0.87%	0.00%	0.22%	0.10%	0.52%	1.61%	0.50%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8738	223	233	230	199	167	82	91	187	81	80	305	300	138	160	127	215	295	220	135	37	82	30	46	43	60	116	167	108	130	32	7	20	150	135	295	237	218	116	106	114	188	130	144	224	79	126	65	209	51	206	133	210	133	61	21	289	12	20	37	122	230	111	77	45	98					
		13.77%	17.27%	10.01%	15.13%	18.09%	15.70%	8.14%	11.79%	19.64%	12.22%	10.97%	25.35%	24.00%	14.98%	29.91%	18.65%	12.79%	14.28%	14.59%	9.91%	13.21%	13.60%	8.96%	15.03%	12.36%	12.85%	9.47%	17.54%	15.54%	15.42%	8.70%	8.64%	15.04%	18.23%	15.17%	17.71%	20.12%	20.41%	16.27%	22.13%	13.38%	20.91%	14.93%	14.41%	20.49%	9.97%	14.79%	4.41%	17.05%	3.12%	16.98%	13.87%	13.17%	13.08%	4.05%	4.08%	19.46%	5.80%	12.90%	6.46%	17.13%	12.91%	11.40%	4.47%	4.26%	8.10%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	502	17	31	14	13	16	9	2	18	6	6	24	5	15	7	5	2	6	19	7	3	0	1	1	0	3	2	9	9	3	1	0	0	6	0	32	0	4	0	0	0	9	2	7	3	6	7	25	24	1	25	5	7	2	7	4	18	0	0	6	0	21	5	19	0	3					
		0.79%	1.32%	1.33%	0.92%	1.18%	1.50%	0.89%	0.26%	1.89%	0.90%	0.82%	1.99%	0.40%	1.63%	1.31%	0.73%	0.12%	0.29%	1.26%	0.51%	1.07%	0.00%	0.30%	0.33%	0.00%	0.64%	0.16%	0.95%	1.29%	0.36%	0.27%	0.00%	0.00%	0.73%	0.00%	1.92%	0.00%	0.37%	0.00%	0.00%	0.00%	1.00%	0.23%	0.70%	0.27%	0.76%	0.82%	1.69%	1.96%	0.06%	2.06%	0.52%	0.44%	0.20%	0.46%	0.78%	1.21%	0.00%	0.00%	1.05%	0.00%	1.18%	0.51%	1.10%	0.00%	0.25%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	41916	839	1517	992	615	647	705	410	548	398	443	664	607	548	228	422	1160	1352	982	867	187	419	235	235	258	306	930	642	463	583	244	61	95	486	608	1049	740	659	489	299	579	435	601	694	697	579	582	1092	646	1358	779	577	1121	723	1152	402	992	142	116	403	524	1236	710	1205	791	848					
		66.05%	64.99%	65.19%	65.26%	55.91%	60.81%	70.01%	53.11%	57.56%	60.03%	60.77%	55.20%	48.56%	59.50%	42.62%	61.97%	69.01%	65.44%	65.12%	63.66%	66.79%	69.49%	70.15%	76.80%	74.14%	65.52%	75.92%	67.44%	66.62%	69.16%	66.30%	75.31%	71.43%	59.05%	68.31%	62.97%	62.82%	61.70%	68.58%	62.42%	67.96%	48.39%	69.00%	69.47%	63.77%	73.11%	68.31%	74.03%	52.69%	82.96%	64.22%	60.17%	70.33%	71.09%	76.39%	78.06%	66.80%	68.60%	74.84%	70.33%	73.60%	69.40%	72.90%	69.98%	74.91%	70.08%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	205	2	11	8	3	6	5	0	7	4	2	15	6	2	2	1	3	6	2	2	1	0	0	1	0	2	1	2	2	5	0	0	0	3	0	4	0	1	0	0	1	1	0	6	2	1	4	1	2	2	12	2	7	2	6	0	2	3	1	3	0	4	0	22	10	2					
		0.32%	0.15%	0.47%	0.53%	0.27%	0.56%	0.50%	0.00%	0.74%	0.60%	0.27%	1.25%	0.48%	0.22%	0.37%	0.15%	0.18%	0.29%	0.13%	0.15%	0.36%	0.00%	0.00%	0.33%	0.00%	0.43%	0.08%	0.21%	0.29%	0.59%	0.00%	0.00%	0.00%	0.36%	0.00%	0.24%	0.00%	0.09%	0.00%	0.00%	0.12%	0.11%	0.00%	0.60%	0.18%	0.13%	0.47%	0.07%	0.16%	0.12%	0.99%	0.21%	0.44%	0.20%	0.40%	0.00%	0.13%	1.45%	0.65%	0.52%	0.00%	0.22%	0.00%	1.28%	0.95%	0.17%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
