Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Партизанская городская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2280									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	418	13	20	11	8	2	9	10	7	13	19	23	19	19	6	4	9	14	12	12	9	11	12	0	17	24	2	1	18	8	5	25	7	10	6	18	4	1	0	2	0	7	0	1									
		3.48%	4.28%	4.80%	2.86%	4.76%	2.90%	3.31%	3.50%	2.86%	5.06%	3.44%	3.24%	3.53%	4.17%	3.82%	4.08%	3.53%	3.66%	2.18%	4.62%	3.75%	2.13%	3.90%	0.00%	4.09%	5.06%	0.96%	1.61%	4.34%	2.31%	2.34%	5.24%	3.27%	3.34%	2.19%	4.69%	1.92%	1.75%	0.00%	2.15%	0.00%	6.48%	0.00%	3.85%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3341	76	116	116	50	30	70	81	56	78	145	205	139	122	38	34	65	112	174	72	50	105	74	55	118	126	66	17	103	95	62	120	59	90	92	113	57	20	5	45	16	56	13	5									
		27.81%	25.00%	27.82%	30.13%	29.76%	43.48%	25.74%	28.32%	22.86%	30.35%	26.22%	28.87%	25.84%	26.75%	24.20%	34.69%	25.49%	29.24%	31.64%	27.69%	20.83%	20.31%	24.03%	25.35%	28.37%	26.58%	31.58%	27.42%	24.82%	27.46%	28.97%	25.16%	27.57%	30.10%	33.58%	29.43%	27.40%	35.09%	35.71%	48.39%	51.61%	51.85%	27.66%	19.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	85	2	3	5	2	2	0	2	3	3	7	5	1	3	1	0	4	1	3	1	3	4	2	2	4	1	4	0	2	1	2	3	2	1	0	1	1	1	0	1	1	0	1	0									
		0.71%	0.66%	0.72%	1.30%	1.19%	2.90%	0.00%	0.70%	1.22%	1.17%	1.27%	0.70%	0.19%	0.66%	0.64%	0.00%	1.57%	0.26%	0.55%	0.38%	1.25%	0.77%	0.65%	0.92%	0.96%	0.21%	1.91%	0.00%	0.48%	0.29%	0.93%	0.63%	0.93%	0.33%	0.00%	0.26%	0.48%	1.75%	0.00%	1.08%	3.23%	0.00%	2.13%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	2	1	0	0	0	0	0	1	2	0	2	1	1	0	0	2	0	0	0	1	1	0	0	1	2	1	0	1	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0									
		0.20%	0.66%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.78%	0.00%	0.28%	0.19%	0.22%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.42%	0.19%	0.00%	0.00%	0.24%	0.42%	0.48%	0.00%	0.24%	0.00%	0.00%	0.21%	0.47%	0.00%	0.73%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2571	62	101	89	55	8	52	55	67	48	98	139	127	80	35	16	60	65	111	47	61	126	73	56	116	106	49	15	99	66	45	119	49	57	76	45	47	12	2	9	1	13	6	8									
		21.40%	20.39%	24.22%	23.12%	32.74%	11.59%	19.12%	19.23%	27.35%	18.68%	17.72%	19.58%	23.61%	17.54%	22.29%	16.33%	23.53%	16.97%	20.18%	18.08%	25.42%	24.37%	23.70%	25.81%	27.88%	22.36%	23.44%	24.19%	23.86%	19.08%	21.03%	24.95%	22.90%	19.06%	27.74%	11.72%	22.60%	21.05%	14.29%	9.68%	3.23%	12.04%	12.77%	30.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	65	3	2	0	0	0	2	3	2	1	0	6	3	2	1	1	2	4	1	0	3	4	2	1	0	2	0	0	3	2	1	8	0	3	0	1	2	0	0	0	0	0	0	0									
		0.54%	0.99%	0.48%	0.00%	0.00%	0.00%	0.74%	1.05%	0.82%	0.39%	0.00%	0.85%	0.56%	0.44%	0.64%	1.02%	0.78%	1.04%	0.18%	0.00%	1.25%	0.77%	0.65%	0.46%	0.00%	0.42%	0.00%	0.00%	0.72%	0.58%	0.47%	1.68%	0.00%	1.00%	0.00%	0.26%	0.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	110	2	2	1	0	0	4	3	2	1	11	8	3	3	3	1	5	4	7	1	3	3	2	2	2	5	3	1	4	2	3	9	0	1	3	1	0	0	0	2	0	3	0	0									
		0.92%	0.66%	0.48%	0.26%	0.00%	0.00%	1.47%	1.05%	0.82%	0.39%	1.99%	1.13%	0.56%	0.66%	1.91%	1.02%	1.96%	1.04%	1.27%	0.38%	1.25%	0.58%	0.65%	0.92%	0.48%	1.05%	1.44%	1.61%	0.96%	0.58%	1.40%	1.89%	0.00%	0.33%	1.09%	0.26%	0.00%	0.00%	0.00%	2.15%	0.00%	2.78%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	1	0	0	0	0	1	1	2	0	0	2	0	1	1	0	1	0	0	0	1	1	3	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		0.15%	0.33%	0.00%	0.00%	0.00%	0.00%	0.37%	0.35%	0.82%	0.00%	0.00%	0.28%	0.00%	0.22%	0.64%	0.00%	0.39%	0.00%	0.00%	0.00%	0.42%	0.19%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.29%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	130	5	2	2	1	1	4	3	1	1	9	6	10	8	2	0	7	1	9	0	7	9	1	1	4	3	5	1	1	6	3	6	0	2	1	3	2	0	0	0	0	3	0	0									
		1.08%	1.64%	0.48%	0.52%	0.60%	1.45%	1.47%	1.05%	0.41%	0.39%	1.63%	0.85%	1.86%	1.75%	1.27%	0.00%	2.75%	0.26%	1.64%	0.00%	2.92%	1.74%	0.32%	0.46%	0.96%	0.63%	2.39%	1.61%	0.24%	1.73%	1.40%	1.26%	0.00%	0.67%	0.36%	0.78%	0.96%	0.00%	0.00%	0.00%	0.00%	2.78%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3506	94	100	124	33	8	81	93	71	73	188	200	161	139	45	27	58	136	160	83	68	162	108	66	103	126	46	19	133	113	66	124	58	87	56	137	63	15	7	24	9	13	21	8									
		29.19%	30.92%	23.98%	32.21%	19.64%	11.59%	29.78%	32.52%	28.98%	28.40%	33.99%	28.17%	29.93%	30.48%	28.66%	27.55%	22.75%	35.51%	29.09%	31.92%	28.33%	31.33%	35.06%	30.41%	24.76%	26.58%	22.01%	30.65%	32.05%	32.66%	30.84%	25.99%	27.10%	29.10%	20.44%	35.68%	30.29%	26.32%	50.00%	25.81%	29.03%	12.04%	44.68%	30.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	0	3	2	1	0	0	1	0	1	1	4	0	5	0	1	1	0	1	1	2	3	1	2	1	3	0	1	1	0	1	1	1	0	1	3	0	0	0	0	1	1	0	0									
		0.37%	0.00%	0.72%	0.52%	0.60%	0.00%	0.00%	0.35%	0.00%	0.39%	0.18%	0.56%	0.00%	1.10%	0.00%	1.02%	0.39%	0.00%	0.18%	0.38%	0.83%	0.58%	0.32%	0.92%	0.24%	0.63%	0.00%	1.61%	0.24%	0.00%	0.47%	0.21%	0.47%	0.00%	0.36%	0.78%	0.00%	0.00%	0.00%	0.00%	3.23%	0.93%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	443	11	23	14	7	1	18	12	8	7	17	34	18	18	5	2	17	13	19	12	5	21	7	6	9	20	6	0	12	4	8	20	10	16	7	15	7	3	0	4	0	2	2	3									
		3.69%	3.62%	5.52%	3.64%	4.17%	1.45%	6.62%	4.20%	3.27%	2.72%	3.07%	4.79%	3.35%	3.95%	3.18%	2.04%	6.67%	3.39%	3.45%	4.62%	2.08%	4.06%	2.27%	2.76%	2.16%	4.22%	2.87%	0.00%	2.89%	1.16%	3.74%	4.19%	4.67%	5.35%	2.55%	3.91%	3.37%	5.26%	0.00%	4.30%	0.00%	1.85%	4.26%	11.54%									
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
