Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
"Наименование Избирательной комиссии:    Рязань, Советская"																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №272	УИК №273	УИК №274	УИК  275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302					
14	Число погашенных открепительных удостоверений	389	11	12	15	3	12	13	12	20	20	15	13	20	9	12	11	13	10	12	7	8	13	8	5	17	18	17	12	7	11	19	14					
15	Число открепительных удостоверений выданных ТИК	16	1	1	1	3	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	341	6	2	11	17	27	14	11	15	12	8	6	7	8	4	15	9	13	9	10	6	6	10	10	16	16	9	13	6	13	11	21					
		1.07%	0.78%	0.44%	0.82%	1.41%	1.72%	1.50%	0.74%	2.38%	2.22%	1.13%	1.24%	0.67%	0.96%	0.55%	1.59%	1.08%	1.17%	0.68%	0.66%	0.79%	0.59%	0.71%	1.06%	1.30%	1.44%	0.81%	1.08%	0.51%	1.04%	0.96%	2.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1511	45	27	67	49	25	40	58	15	11	51	28	65	57	36	27	31	57	81	84	46	61	70	59	63	35	49	50	62	71	28	63					
		4.78%	5.85%	6.06%	5.03%	4.08%	1.59%	4.28%	3.92%	2.38%	2.03%	7.26%	5.79%	6.25%	6.90%	5.00%	2.87%	3.73%	5.14%	6.15%	5.61%	6.11%	6.05%	5.02%	6.28%	5.14%	3.17%	4.43%	4.15%	5.31%	5.72%	2.45%	6.45%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1568	40	23	35	65	7	48	82	35	52	30	11	56	53	58	58	64	61	64	40	45	40	82	63	76	58	60	73	64	42	43	40					
		4.96%	5.20%	5.16%	2.62%	5.41%	0.44%	5.14%	5.55%	5.55%	9.62%	4.27%	2.27%	5.38%	6.42%	8.06%	6.17%	7.70%	5.50%	4.85%	2.67%	5.98%	3.97%	5.88%	6.70%	6.20%	5.25%	5.43%	6.06%	5.48%	3.38%	3.77%	4.09%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1869	58	20	67	91	19	53	104	17	18	39	35	70	45	52	61	60	68	102	92	33	81	87	67	96	57	63	59	62	81	41	71					
		5.91%	7.55%	4.49%	5.03%	7.58%	1.21%	5.68%	7.04%	2.69%	3.33%	5.55%	7.24%	6.73%	5.45%	7.23%	6.48%	7.22%	6.13%	7.74%	6.14%	4.38%	8.04%	6.24%	7.13%	7.84%	5.16%	5.70%	4.90%	5.31%	6.53%	3.59%	7.27%					
22	"5. ""За Русь Святую"""	201	7	3	7	4	4	4	15	12	8	4	8	2	6	4	6	4	5	6	13	5	6	3	4	5	8	7	10	5	3	16	7					
		0.63%	0.91%	0.67%	0.52%	0.33%	0.25%	0.42%	1.01%	1.90%	1.48%	0.56%	1.65%	0.19%	0.72%	0.55%	0.63%	0.48%	0.45%	0.45%	0.86%	0.66%	0.59%	0.21%	0.42%	0.40%	0.72%	0.63%	0.83%	0.42%	0.24%	1.40%	0.71%					
23	"6. ""Объединенная Российская партия ""Русь"""	65	2	0	4	4	6	5	1	1	3	0	0	1	3	1	4	1	0	3	2	1	1	1	0	4	3	5	2	1	1	2	3					
		0.20%	0.26%	0.0%	0.30%	0.33%	0.38%	0.53%	0.06%	0.15%	0.55%	0.0%	0.0%	0.09%	0.36%	0.13%	0.42%	0.12%	0.0%	0.22%	0.13%	0.13%	0.09%	0.07%	0.0%	0.32%	0.27%	0.45%	0.16%	0.08%	0.08%	0.17%	0.30%					
24	"7. ""Новый курс - Автомобильная Россия"""	346	7	6	16	11	12	12	16	7	8	5	9	10	9	11	6	4	15	15	24	6	10	20	5	9	10	16	17	19	16	3	12					
		1.09%	0.91%	1.34%	1.20%	0.91%	0.76%	1.28%	1.08%	1.11%	1.48%	0.71%	1.86%	0.96%	1.09%	1.52%	0.63%	0.48%	1.35%	1.13%	1.60%	0.79%	0.99%	1.43%	0.53%	0.73%	0.90%	1.44%	1.41%	1.62%	1.29%	0.26%	1.22%					
25	"8. ""Народно-республиканская партия России"""	40	2	0	0	2	1	0	0	1	1	2	0	2	1	1	2	0	4	2	4	1	0	0	2	0	1	1	0	2	2	2	4					
		0.12%	0.26%	0.0%	0.0%	0.16%	0.06%	0.0%	0.0%	0.15%	0.18%	0.28%	0.0%	0.19%	0.12%	0.13%	0.21%	0.0%	0.36%	0.15%	0.26%	0.13%	0.0%	0.0%	0.21%	0.0%	0.09%	0.09%	0.0%	0.17%	0.16%	0.17%	0.40%					
26	"9. ""Российская экологическая партия ""Зеленые"""	157	3	4	8	8	5	5	10	2	1	5	2	8	6	5	2	5	7	0	9	9	7	2	8	1	5	4	9	4	3	4	6					
		0.49%	0.39%	0.89%	0.60%	0.66%	0.31%	0.53%	0.67%	0.31%	0.18%	0.71%	0.41%	0.76%	0.72%	0.69%	0.21%	0.60%	0.63%	0.0%	0.60%	1.19%	0.69%	0.14%	0.85%	0.08%	0.45%	0.36%	0.74%	0.34%	0.24%	0.35%	0.61%					
27	"10. ""Аграрная партия России"""	705	24	14	13	27	2	15	23	18	13	18	10	15	21	17	26	14	25	31	31	18	19	60	17	29	26	23	51	18	27	43	17					
		2.23%	3.12%	3.14%	0.97%	2.25%	0.12%	1.60%	1.55%	2.85%	2.40%	2.56%	2.07%	1.44%	2.54%	2.36%	2.76%	1.68%	2.25%	2.35%	2.07%	2.39%	1.88%	4.30%	1.81%	2.36%	2.35%	2.08%	4.23%	1.54%	2.17%	3.77%	1.74%					
28	"11. ""Истинные патриоты России"""	39	1	0	18	0	2	2	1	1	2	0	2	0	0	1	0	0	0	0	3	0	0	2	0	1	0	2	0	1	0	0	0					
		0.12%	0.13%	0.0%	1.35%	0.0%	0.12%	0.21%	0.06%	0.15%	0.37%	0.0%	0.41%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.14%	0.0%	0.08%	0.0%	0.18%	0.0%	0.08%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	441	13	13	14	10	24	11	17	15	10	23	2	11	11	7	18	16	10	11	22	5	13	21	7	19	13	19	20	12	12	25	17					
		1.39%	1.69%	2.92%	1.05%	0.83%	1.53%	1.17%	1.15%	2.38%	1.85%	3.27%	0.41%	1.05%	1.33%	0.97%	1.91%	1.92%	0.90%	0.83%	1.47%	0.66%	1.29%	1.50%	0.74%	1.55%	1.17%	1.72%	1.66%	1.02%	0.96%	2.19%	1.74%					
30	"13. ""Демократическая партия России"""	50	2	0	1	2	4	2	6	1	3	0	0	1	1	3	0	0	1	1	3	0	0	4	2	0	2	1	1	3	2	3	1					
		0.15%	0.26%	0.0%	0.07%	0.16%	0.25%	0.21%	0.40%	0.15%	0.55%	0.0%	0.0%	0.09%	0.12%	0.41%	0.0%	0.0%	0.09%	0.07%	0.20%	0.0%	0.0%	0.28%	0.21%	0.0%	0.18%	0.09%	0.08%	0.25%	0.16%	0.26%	0.10%					
31	"14. ""Великая Россия - Евразийский Союз"""	85	1	1	0	0	23	2	8	1	5	0	0	0	1	2	2	2	2	4	1	0	4	1	1	4	1	1	8	1	5	0	4					
		0.26%	0.13%	0.22%	0.0%	0.0%	1.46%	0.21%	0.54%	0.15%	0.92%	0.0%	0.0%	0.0%	0.12%	0.27%	0.21%	0.24%	0.18%	0.30%	0.06%	0.0%	0.39%	0.07%	0.10%	0.32%	0.09%	0.09%	0.66%	0.08%	0.40%	0.0%	0.40%					
32	"15. ""Партия СЛОН"""	64	3	0	5	5	13	1	2	3	1	0	0	2	0	0	1	1	1	1	4	3	1	1	2	0	3	0	1	2	5	1	2					
		0.20%	0.39%	0.0%	0.37%	0.41%	0.82%	0.10%	0.13%	0.47%	0.18%	0.0%	0.0%	0.19%	0.0%	0.0%	0.10%	0.12%	0.09%	0.07%	0.26%	0.39%	0.09%	0.07%	0.21%	0.0%	0.27%	0.0%	0.08%	0.17%	0.40%	0.08%	0.20%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4351	112	68	138	179	78	150	211	65	50	98	62	144	94	83	145	126	162	258	256	133	185	204	137	166	124	144	150	160	211	132	126					
		13.76%	14.58%	15.28%	10.36%	14.91%	4.97%	16.07%	14.28%	10.31%	9.25%	13.96%	12.83%	13.85%	11.39%	11.54%	15.42%	15.16%	14.62%	19.58%	17.11%	17.68%	18.37%	14.63%	14.58%	13.56%	11.23%	13.04%	12.46%	13.72%	17.01%	11.58%	12.90%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	45	1	0	1	1	3	2	1	1	1	1	0	0	2	1	0	2	1	0	3	1	3	3	2	3	1	2	5	2	1	1	0					
		0.14%	0.13%	0.0%	0.07%	0.08%	0.19%	0.21%	0.06%	0.15%	0.18%	0.14%	0.0%	0.0%	0.24%	0.13%	0.0%	0.24%	0.09%	0.0%	0.20%	0.13%	0.29%	0.21%	0.21%	0.24%	0.09%	0.18%	0.41%	0.17%	0.08%	0.08%	0.0%					
35	"18. ""ЛДПР"""	3142	38	41	159	120	254	83	179	90	56	76	46	101	79	73	79	75	84	92	123	38	70	119	64	125	142	144	131	143	106	113	99					
		9.94%	4.94%	9.21%	11.94%	10.0%	16.20%	8.89%	12.11%	14.28%	10.37%	10.82%	9.52%	9.72%	9.57%	10.15%	8.40%	9.02%	7.58%	6.98%	8.22%	5.05%	6.95%	8.53%	6.81%	10.21%	12.86%	13.04%	10.88%	12.26%	8.54%	9.92%	10.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	449	9	11	14	24	6	16	27	21	7	8	6	20	13	14	9	9	22	17	14	11	12	16	19	12	16	18	22	19	14	14	9					
		1.42%	1.17%	2.47%	1.05%	2.0%	0.38%	1.71%	1.82%	3.33%	1.29%	1.13%	1.24%	1.92%	1.57%	1.94%	0.95%	1.08%	1.98%	1.29%	0.93%	1.46%	1.19%	1.14%	2.02%	0.98%	1.44%	1.63%	1.82%	1.62%	1.12%	1.22%	0.92%					
37	"20. ""Политическая партия ""Единая Россия"""	9585	170	127	517	329	881	274	474	178	150	181	145	326	220	189	261	241	334	334	443	190	300	392	286	364	348	331	339	307	349	309	296					
		30.33%	22.13%	28.53%	38.84%	27.41%	56.22%	29.36%	32.09%	28.25%	27.77%	25.78%	30.02%	31.37%	26.66%	26.28%	27.76%	29.00%	30.14%	25.36%	29.61%	25.26%	29.79%	28.12%	30.45%	29.73%	31.52%	29.98%	28.17%	26.32%	28.14%	27.12%	30.32%					
38	"21. ""Российская Конституционно-демократическая партия"""	35	2	0	3	0	8	0	1	0	2	1	1	0	2	0	0	1	0	2	1	0	0	1	0	3	4	0	1	0	1	0	1					
		0.11%	0.26%	0.0%	0.22%	0.0%	0.51%	0.0%	0.06%	0.0%	0.37%	0.14%	0.20%	0.0%	0.24%	0.0%	0.0%	0.12%	0.0%	0.15%	0.06%	0.0%	0.0%	0.07%	0.0%	0.24%	0.36%	0.0%	0.08%	0.0%	0.08%	0.0%	0.10%					
39	"22. ""Развитие предпринимательства"""	94	4	1	4	3	8	0	4	1	3	0	1	0	5	2	1	1	2	5	5	2	3	7	5	5	6	1	2	4	6	1	2					
		0.29%	0.52%	0.22%	0.30%	0.25%	0.51%	0.0%	0.27%	0.15%	0.55%	0.0%	0.20%	0.0%	0.60%	0.27%	0.10%	0.12%	0.18%	0.37%	0.33%	0.26%	0.29%	0.50%	0.53%	0.40%	0.54%	0.09%	0.16%	0.34%	0.48%	0.08%	0.20%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4248	168	61	108	155	53	137	117	62	82	96	62	129	109	109	158	106	174	191	221	155	128	210	112	155	129	133	159	185	194	285	105					
		13.44%	21.87%	13.70%	8.11%	12.91%	3.38%	14.68%	7.92%	9.84%	15.18%	13.67%	12.83%	12.41%	13.21%	15.15%	16.80%	12.75%	15.70%	14.50%	14.77%	20.61%	12.71%	15.06%	11.92%	12.66%	11.68%	12.04%	13.21%	15.86%	15.64%	25.02%	10.75%					
																																						
41	Против всех	1818	44	18	112	84	84	45	97	33	25	36	37	58	56	35	48	53	54	82	78	39	53	72	57	53	83	64	65	74	66	50	63					
		5.75%	5.72%	4.04%	8.41%	7.0%	5.36%	4.82%	6.56%	5.23%	4.62%	5.12%	7.66%	5.58%	6.78%	4.86%	5.10%	6.37%	4.87%	6.22%	5.21%	5.18%	5.26%	5.16%	6.07%	4.33%	7.51%	5.79%	5.40%	6.34%	5.32%	4.38%	6.45%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
