Выборы Президента Российской Федерации																																																																														
																																																																														
Наименование Избирательной комиссии:    Иркутская																																																																														
																																																																														
Итоги голосования 																																																																														
																																																																														
		Сумма	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
		3.69%	2.25%	1.67%	2.93%	2.41%	0.97%	0.82%	3.27%	1.14%	5.28%	1.79%	2.56%	0.89%	7.46%	4.52%	4.05%	9.68%	3.90%	2.39%	4.56%	6.44%	4.01%	4.23%	2.99%	11.86%	3.93%	5.14%	8.24%	2.56%	8.33%	7.48%	2.52%	2.63%	0.00%	5.56%	9.49%	5.30%	2.96%	6.67%	3.97%	3.83%	2.81%	2.63%	0.93%	0.00%	3.76%	7.03%	1.87%	0.00%	3.74%	1.96%	4.57%	4.46%	5.10%	2.26%	4.56%	4.64%	5.51%	2.95%	3.78%	2.18%	6.83%	3.39%	1.49%	5.58%	7.26%	3.12%	2.24%	3.90%	4.78%	1.65%	4.17%					
20	. Миронов Сергей Михайлович	191	2	11	5	2	0	3	3	2	4	1	2	0	2	0	1	0	4	8	4	2	3	2	1	3	7	3	1	3	2	1	0	2	0	0	3	3	5	0	3	2	1	7	0	1	0	8	0	1	0	0	6	10	1	0	1	1	4	5	7	3	4	1	1	1	0	1	10	10	3	4	0					
		0.83%	0.90%	1.15%	1.22%	1.20%	0.00%	0.61%	1.22%	1.14%	0.57%	0.36%	0.73%	0.00%	1.49%	0.00%	1.35%	0.00%	0.56%	1.19%	1.01%	0.86%	0.75%	1.06%	1.49%	1.19%	0.76%	1.40%	0.55%	1.54%	2.78%	0.93%	0.00%	1.75%	0.00%	0.00%	1.90%	2.27%	0.62%	0.00%	0.54%	0.70%	0.35%	1.84%	0.00%	2.70%	0.00%	2.16%	0.00%	0.95%	0.00%	0.00%	0.88%	0.99%	0.32%	0.00%	0.35%	0.52%	3.15%	0.57%	0.78%	0.50%	2.48%	0.56%	0.30%	0.51%	0.00%	0.78%	0.97%	0.89%	0.62%	0.95%	0.00%					
21	. Путин Владимир Владимирович	15650	160	600	271	147	185	433	175	167	502	197	193	63	81	112	55	18	481	436	249	160	275	127	55	136	523	129	115	114	54	82	179	71	44	154	118	91	576	95	392	223	173	243	67	28	106	198	82	82	81	77	405	613	242	108	174	131	81	671	589	439	94	119	220	144	102	100	691	698	313	321	20					
		67.89%	72.07%	62.57%	66.26%	88.55%	89.37%	88.55%	71.43%	94.89%	71.61%	70.36%	70.70%	56.25%	60.45%	72.26%	74.32%	58.06%	66.99%	65.07%	63.04%	68.67%	68.92%	67.20%	82.09%	53.75%	57.03%	60.28%	63.19%	58.46%	75.00%	76.64%	75.21%	62.28%	81.48%	61.11%	74.68%	68.94%	71.11%	63.33%	70.76%	77.70%	60.70%	63.95%	62.04%	75.68%	79.70%	53.51%	76.64%	78.10%	75.70%	75.49%	59.65%	60.69%	77.07%	81.20%	61.05%	67.53%	63.78%	76.08%	65.44%	73.53%	58.39%	67.23%	65.67%	73.10%	82.26%	78.12%	67.28%	61.88%	65.07%	75.89%	83.33%					
22	. Хакамада Ирина Муцуовна	938	6	61	32	4	6	9	9	2	12	12	1	2	2	1	0	0	27	28	19	4	20	5	2	9	36	15	10	11	0	2	8	11	3	6	3	8	29	9	16	10	14	22	2	4	3	18	3	2	1	1	43	49	7	4	30	5	4	14	40	11	5	3	18	8	0	9	43	73	37	14	1					
		4.07%	2.70%	6.36%	7.82%	2.41%	2.90%	1.84%	3.67%	1.14%	1.71%	4.29%	0.37%	1.79%	1.49%	0.65%	0.00%	0.00%	3.76%	4.18%	4.81%	1.72%	5.01%	2.65%	2.99%	3.56%	3.93%	7.01%	5.49%	5.64%	0.00%	1.87%	3.36%	9.65%	5.56%	2.38%	1.90%	6.06%	3.58%	6.00%	2.89%	3.48%	4.91%	5.79%	1.85%	10.81%	2.26%	4.86%	2.80%	1.90%	0.93%	0.98%	6.33%	4.85%	2.23%	3.01%	10.53%	2.58%	3.15%	1.59%	4.44%	1.84%	3.11%	1.69%	5.37%	4.06%	0.00%	7.03%	4.19%	6.47%	7.69%	3.31%	4.17%					
23	. Харитонов Николай Михайлович	3247	32	133	51	1	4	10	15	0	97	45	57	37	28	32	12	8	113	110	83	37	57	39	6	53	213	46	30	38	2	11	28	16	4	62	8	16	92	13	61	27	55	55	24	1	10	78	15	12	18	19	95	168	32	10	34	24	13	100	104	76	35	38	59	23	7	5	155	171	38	46	0					
		14.08%	14.41%	13.87%	12.47%	0.60%	1.93%	2.04%	6.12%	0.00%	13.84%	16.07%	20.88%	33.04%	20.90%	20.65%	16.22%	25.81%	15.74%	16.42%	21.01%	15.88%	14.29%	20.63%	8.96%	20.95%	23.23%	21.50%	16.48%	19.49%	2.78%	10.28%	11.76%	14.04%	7.41%	24.60%	5.06%	12.12%	11.36%	8.67%	11.01%	9.41%	19.30%	14.47%	22.22%	2.70%	7.52%	21.08%	14.02%	11.43%	16.82%	18.63%	13.99%	16.63%	10.19%	7.52%	11.93%	12.37%	10.24%	11.34%	11.56%	12.73%	21.74%	21.47%	17.61%	11.68%	5.65%	3.91%	15.09%	15.16%	7.90%	10.87%	0.00%					
																																																																														
24	Против всех	754	5	45	15	7	7	23	20	0	9	10	6	3	7	2	0	2	17	33	6	9	9	0	0	9	23	1	6	9	2	2	5	1	1	7	7	4	27	6	13	4	3	13	7	2	0	13	3	4	1	2	37	54	7	1	11	10	11	13	42	12	2	8	10	3	2	4	23	54	28	12	0					
		3.27%	2.25%	4.69%	3.67%	4.22%	3.38%	4.70%	8.16%	0.00%	1.28%	3.57%	2.20%	2.68%	5.22%	1.29%	0.00%	6.45%	2.37%	4.93%	1.52%	3.86%	2.26%	0.00%	0.00%	3.56%	2.51%	0.47%	3.30%	4.62%	2.78%	1.87%	2.10%	0.88%	1.85%	2.78%	4.43%	3.03%	3.33%	4.00%	2.35%	1.39%	1.05%	3.42%	6.48%	5.41%	0.00%	3.51%	2.80%	3.81%	0.93%	1.96%	5.45%	5.35%	2.23%	0.75%	3.86%	5.15%	8.66%	1.47%	4.67%	2.01%	1.24%	4.52%	2.99%	1.52%	1.61%	3.12%	2.24%	4.79%	5.82%	2.84%	0.00%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
