Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Ленинск-Кузнецкая городская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	114	0	0	1	1	0	2	2	2	10	1	2	1	1	1	2	4	3	8	1	3	0	1	4	0	1	5	2	8	0	1	3	2	0	0	2	0	3	1	2	9	1	4	0	0	1	3	0	6	0	0	1	0	0	1	2	2	3	1									
		0.17%	0.00%	0.00%	0.08%	0.09%	0.00%	0.09%	0.16%	0.19%	0.96%	0.55%	0.16%	0.04%	0.04%	0.11%	0.20%	0.41%	0.19%	1.09%	0.10%	0.16%	0.00%	0.07%	0.52%	0.00%	0.11%	0.40%	0.15%	0.54%	0.00%	0.10%	0.46%	0.14%	0.00%	0.00%	0.24%	0.00%	0.40%	0.11%	0.37%	0.86%	0.18%	0.53%	0.00%	0.00%	0.05%	0.16%	0.00%	0.53%	0.00%	0.00%	0.08%	0.00%	0.00%	0.06%	0.13%	0.12%	0.25%	0.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	136	2	2	1	1	0	2	1	3	3	0	1	2	2	1	0	1	2	0	1	2	2	1	1	2	1	4	2	2	3	1	11	1	1	2	1	0	1	1	2	10	1	1	0	1	1	2	0	22	0	0	1	9	10	1	1	2	7	1									
		0.20%	0.10%	0.10%	0.08%	0.09%	0.00%	0.09%	0.08%	0.28%	0.29%	0.00%	0.08%	0.08%	0.08%	0.11%	0.00%	0.10%	0.13%	0.00%	0.10%	0.11%	0.17%	0.07%	0.13%	0.21%	0.11%	0.32%	0.15%	0.13%	0.22%	0.10%	1.69%	0.07%	0.08%	0.99%	0.12%	0.00%	0.13%	0.11%	0.37%	0.96%	0.18%	0.13%	0.00%	0.40%	0.05%	0.11%	0.00%	1.93%	0.00%	0.00%	0.08%	0.63%	0.84%	0.06%	0.07%	0.12%	0.59%	0.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	177	10	0	1	1	0	3	3	2	15	0	0	1	2	1	3	3	1	0	2	7	2	4	3	5	1	6	2	4	0	0	1	2	0	2	3	12	4	5	7	5	1	8	0	0	0	2	0	29	0	2	1	0	0	2	2	0	6	1									
		0.26%	0.48%	0.00%	0.08%	0.09%	0.00%	0.13%	0.24%	0.19%	1.44%	0.00%	0.00%	0.04%	0.08%	0.11%	0.30%	0.31%	0.06%	0.00%	0.19%	0.37%	0.17%	0.27%	0.39%	0.53%	0.11%	0.47%	0.15%	0.27%	0.00%	0.00%	0.15%	0.14%	0.00%	0.99%	0.36%	0.95%	0.53%	0.55%	1.31%	0.48%	0.18%	1.07%	0.00%	0.00%	0.00%	0.11%	0.00%	2.54%	0.00%	1.40%	0.08%	0.00%	0.00%	0.12%	0.13%	0.00%	0.51%	0.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	52844	1624	1497	969	913	212	1746	1028	848	560	150	1021	2019	1924	762	852	724	1344	508	797	1554	937	1047	562	622	650	1009	1072	1185	1129	711	490	1070	933	155	548	935	540	734	422	712	469	544	945	213	1529	1310	350	880	1088	125	996	1117	870	1450	1201	1340	856	1046									
		76.75%	78.30%	76.57%	74.71%	80.80%	68.17%	77.81%	82.37%	79.77%	53.79%	82.87%	79.89%	84.16%	77.67%	83.92%	85.03%	74.10%	85.17%	68.93%	76.34%	82.92%	78.21%	71.96%	72.89%	65.75%	72.95%	79.76%	81.03%	79.96%	82.41%	72.92%	75.27%	77.09%	73.46%	76.35%	64.85%	73.68%	71.90%	80.57%	78.88%	68.20%	82.57%	72.53%	67.69%	85.54%	74.59%	69.39%	56.18%	77.06%	73.46%	87.41%	76.50%	78.28%	73.36%	87.24%	80.88%	79.95%	72.67%	81.40%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	70	0	0	1	1	0	1	0	9	6	0	0	0	3	1	0	4	2	0	1	2	0	1	0	0	1	4	1	5	1	1	0	1	0	2	1	3	0	0	0	2	1	0	0	0	1	1	0	6	0	0	2	0	0	0	1	3	0	1									
		0.10%	0.00%	0.00%	0.08%	0.09%	0.00%	0.04%	0.00%	0.85%	0.58%	0.00%	0.00%	0.00%	0.12%	0.11%	0.00%	0.41%	0.13%	0.00%	0.10%	0.11%	0.00%	0.07%	0.00%	0.00%	0.11%	0.32%	0.08%	0.34%	0.07%	0.10%	0.00%	0.07%	0.00%	0.99%	0.12%	0.24%	0.00%	0.00%	0.00%	0.19%	0.18%	0.00%	0.00%	0.00%	0.05%	0.05%	0.00%	0.53%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.07%	0.18%	0.00%	0.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	0	0	1	1	0	1	0	2	0	0	0	0	3	1	0	8	1	0	0	0	0	0	0	0	1	2	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	2	1	1									
		0.05%	0.00%	0.00%	0.08%	0.09%	0.00%	0.04%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.12%	0.11%	0.00%	0.82%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.16%	0.00%	0.07%	0.00%	0.10%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.09%	0.00%	0.70%	0.08%	0.00%	0.00%	0.00%	0.07%	0.12%	0.08%	0.08%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6021	91	137	146	81	84	198	81	87	316	18	94	108	133	61	44	79	95	98	116	112	106	134	74	87	98	101	50	74	92	106	62	116	108	20	108	122	54	81	53	204	39	92	201	21	301	201	99	95	133	10	114	63	108	61	119	130	104	101									
		8.74%	4.39%	7.01%	11.26%	7.17%	27.01%	8.82%	6.49%	8.18%	30.36%	9.94%	7.36%	4.50%	5.37%	6.72%	4.39%	8.09%	6.02%	13.30%	11.11%	5.98%	8.85%	9.21%	9.60%	9.20%	10.99%	7.98%	3.78%	4.99%	6.72%	10.87%	9.52%	8.36%	8.50%	9.85%	12.78%	9.61%	7.19%	8.89%	9.91%	19.54%	6.87%	12.27%	14.40%	8.43%	14.68%	10.65%	15.89%	8.32%	8.98%	6.99%	8.76%	4.41%	9.11%	3.67%	8.01%	7.76%	8.83%	7.86%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	55	0	0	1	1	0	1	3	6	0	0	0	0	3	1	0	3	2	0	0	0	0	0	1	0	1	1	1	6	3	2	0	2	0	1	0	1	0	0	0	2	1	0	0	0	0	2	0	4	0	0	2	0	0	0	1	0	2	1									
		0.08%	0.00%	0.00%	0.08%	0.09%	0.00%	0.04%	0.24%	0.56%	0.00%	0.00%	0.00%	0.00%	0.12%	0.11%	0.00%	0.31%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.11%	0.08%	0.08%	0.40%	0.22%	0.21%	0.00%	0.14%	0.00%	0.49%	0.00%	0.08%	0.00%	0.00%	0.00%	0.19%	0.18%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.35%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.07%	0.00%	0.17%	0.08%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	57	0	0	1	1	0	0	1	5	6	0	0	0	3	1	1	4	2	0	0	0	1	1	2	0	1	0	1	1	0	0	0	1	0	1	0	5	0	1	0	0	2	0	0	0	1	1	0	2	0	0	1	0	0	1	0	2	5	2									
		0.08%	0.00%	0.00%	0.08%	0.09%	0.00%	0.00%	0.08%	0.47%	0.58%	0.00%	0.00%	0.00%	0.12%	0.11%	0.10%	0.41%	0.13%	0.00%	0.00%	0.00%	0.08%	0.07%	0.26%	0.00%	0.11%	0.00%	0.08%	0.07%	0.00%	0.00%	0.00%	0.07%	0.00%	0.49%	0.00%	0.39%	0.00%	0.11%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.05%	0.05%	0.00%	0.18%	0.00%	0.00%	0.08%	0.00%	0.00%	0.06%	0.00%	0.12%	0.42%	0.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	59	3	0	1	1	0	0	1	0	0	0	8	0	4	1	0	11	0	0	0	0	1	1	0	0	1	0	0	2	0	1	0	1	0	1	0	1	2	1	1	1	1	0	0	0	1	1	0	3	0	0	2	0	0	0	2	0	4	1									
		0.09%	0.14%	0.00%	0.08%	0.09%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.63%	0.00%	0.16%	0.11%	0.00%	1.13%	0.00%	0.00%	0.00%	0.00%	0.08%	0.07%	0.00%	0.00%	0.11%	0.00%	0.00%	0.13%	0.00%	0.10%	0.00%	0.07%	0.00%	0.49%	0.00%	0.08%	0.27%	0.11%	0.19%	0.10%	0.18%	0.00%	0.00%	0.00%	0.05%	0.05%	0.00%	0.26%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.13%	0.00%	0.34%	0.08%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	129	3	2	1	5	0	3	1	0	8	2	1	1	4	1	0	1	3	0	0	3	2	1	1	1	1	18	1	2	2	1	0	1	2	0	1	2	1	1	1	4	1	2	6	2	2	3	0	9	0	0	1	8	3	2	2	3	1	2									
		0.19%	0.14%	0.10%	0.08%	0.44%	0.00%	0.13%	0.08%	0.00%	0.77%	1.10%	0.08%	0.04%	0.16%	0.11%	0.00%	0.10%	0.19%	0.00%	0.00%	0.16%	0.17%	0.07%	0.13%	0.11%	0.11%	1.42%	0.08%	0.13%	0.15%	0.10%	0.00%	0.07%	0.16%	0.00%	0.12%	0.16%	0.13%	0.11%	0.19%	0.38%	0.18%	0.27%	0.43%	0.80%	0.10%	0.16%	0.00%	0.79%	0.00%	0.00%	0.08%	0.56%	0.25%	0.12%	0.13%	0.18%	0.08%	0.16%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6019	85	142	131	114	15	192	91	82	88	9	87	101	159	53	60	83	95	92	97	121	107	201	104	182	96	93	118	133	101	94	78	121	168	15	129	131	102	60	39	80	36	67	171	9	209	250	97	60	148	2	121	140	122	52	108	127	136	115									
		8.74%	4.10%	7.26%	10.10%	10.09%	4.82%	8.56%	7.29%	7.71%	8.45%	4.97%	6.81%	4.21%	6.42%	5.84%	5.99%	8.50%	6.02%	12.48%	9.29%	6.46%	8.93%	13.81%	13.49%	19.24%	10.77%	7.35%	8.92%	8.97%	7.37%	9.64%	11.98%	8.72%	13.23%	7.39%	15.27%	10.32%	13.58%	6.59%	7.29%	7.66%	6.34%	8.93%	12.25%	3.61%	10.20%	13.24%	15.57%	5.25%	9.99%	1.40%	9.29%	9.81%	10.29%	3.13%	7.27%	7.58%	11.54%	8.95%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	79	2	2	1	1	0	2	1	0	0	0	1	2	3	1	0	1	1	0	1	2	1	1	1	1	1	8	2	0	0	1	1	1	1	0	1	0	1	1	2	5	1	3	11	0	1	2	0	4	0	0	1	0	0	1	0	2	1	2									
		0.11%	0.10%	0.10%	0.08%	0.09%	0.00%	0.09%	0.08%	0.00%	0.00%	0.00%	0.08%	0.08%	0.12%	0.11%	0.00%	0.10%	0.06%	0.00%	0.10%	0.11%	0.08%	0.07%	0.13%	0.11%	0.11%	0.63%	0.15%	0.00%	0.00%	0.10%	0.15%	0.07%	0.08%	0.00%	0.12%	0.00%	0.13%	0.11%	0.37%	0.48%	0.18%	0.40%	0.79%	0.00%	0.05%	0.11%	0.00%	0.35%	0.00%	0.00%	0.08%	0.00%	0.00%	0.06%	0.00%	0.12%	0.08%	0.16%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2974	254	167	41	8	0	56	29	13	26	1	63	164	233	22	40	51	27	31	24	68	31	58	18	42	37	14	71	59	39	55	5	68	57	4	51	57	43	24	6	10	14	28	57	3	3	107	77	21	112	3	58	90	73	91	45	63	52	10									
		4.32%	12.25%	8.54%	3.16%	0.71%	0.00%	2.50%	2.32%	1.22%	2.50%	0.55%	4.93%	6.84%	9.41%	2.42%	3.99%	5.22%	1.71%	4.21%	2.30%	3.63%	2.59%	3.99%	2.33%	4.44%	4.15%	1.11%	5.37%	3.98%	2.85%	5.64%	0.77%	4.90%	4.49%	1.97%	6.04%	4.49%	5.73%	2.63%	1.12%	0.96%	2.46%	3.73%	4.08%	1.20%	0.15%	5.67%	12.36%	1.84%	7.56%	2.10%	4.45%	6.31%	6.16%	5.48%	3.03%	3.76%	4.41%	0.78%									
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
