Выборы Президента Российской Федерации																																																																
																																																																
"Наименование Избирательной комиссии:    Иваново, Ленинская"																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56	УИК  57					
11	Число полученных открепительных  удостоверений	1930	70	120	80	30	70	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30					
12	Число выданных открепительных удостоверений	896	11	87	76	11	12	10	9	21	21	12	6	16	11	12	8	9	4	12	14	15	11	27	13	13	11	20	11	11	26	14	16	14	17	9	13	14	14	14	26	13	10	12	9	5	17	15	12	14	9	16	9	18	20	11	13	12	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	572	10	21	28	14	18	5	3	10	6	11	5	8	9	9	5	24	7	12	5	10	12	6	13	6	5	10	10	10	10	17	10	8	8	5	10	12	13	6	7	9	18	13	2	8	10	7	7	11	28	5	2	11	13	9	7	9	5					
14	Число неиспользованных открепительных удостоверений	1034	59	33	4	19	58	20	21	9	9	18	24	14	19	18	22	21	26	18	16	15	19	3	17	17	19	10	19	19	4	16	14	16	13	21	17	16	16	16	4	17	20	18	21	25	13	15	18	16	21	14	21	12	10	19	17	18	20					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	3923	26	45	26	76	58	39	42	52	94	24	42	62	75	65	61	45	15	75	76	81	70	43	58	78	67	66	102	60	65	81	107	92	52	46	70	84	68	75	72	56	76	96	66	69	84	84	69	79	91	96	81	117	76	79	97	82	90					
		6.03%	5.23%	5.96%	3.93%	5.97%	5.25%	4.17%	4.44%	6.21%	7.61%	3.08%	4.78%	5.21%	6.50%	6.47%	5.83%	5.74%	2.56%	6.37%	6.87%	6.92%	4.86%	4.52%	6.52%	6.25%	6.05%	5.52%	7.49%	5.69%	4.87%	7.23%	7.31%	5.41%	4.68%	4.84%	5.08%	5.91%	5.06%	6.17%	6.71%	5.14%	6.03%	7.06%	6.78%	7.27%	6.78%	6.75%	7.27%	5.82%	6.87%	6.94%	6.25%	7.83%	5.99%	6.46%	7.22%	5.78%	6.37%					
19	. Малышкин Олег Александрович	1601	6	12	13	20	23	13	20	19	27	32	23	27	24	17	26	23	8	23	26	24	29	25	16	34	21	25	30	27	31	24	34	51	32	25	44	40	34	30	31	30	30	37	20	18	34	29	37	40	48	32	31	43	23	30	52	48	30					
		2.46%	1.21%	1.59%	1.96%	1.57%	2.08%	1.39%	2.12%	2.27%	2.18%	4.10%	2.62%	2.27%	2.08%	1.69%	2.49%	2.93%	1.36%	1.95%	2.35%	2.05%	2.02%	2.63%	1.80%	2.72%	1.90%	2.09%	2.20%	2.56%	2.32%	2.14%	2.32%	3.00%	2.88%	2.63%	3.19%	2.81%	2.53%	2.47%	2.89%	2.75%	2.38%	2.72%	2.06%	1.90%	2.74%	2.33%	3.90%	2.95%	3.63%	2.31%	2.39%	2.88%	1.81%	2.45%	3.87%	3.39%	2.12%					
20	. Миронов Сергей Михайлович	566	2	3	10	11	5	12	9	12	18	5	9	8	11	10	10	11	3	16	10	9	16	9	6	15	8	12	11	8	6	12	16	12	11	8	20	11	16	8	8	10	10	4	6	5	11	7	13	11	10	9	5	13	8	15	5	9	18					
		0.87%	0.40%	0.40%	1.51%	0.86%	0.45%	1.28%	0.95%	1.43%	1.46%	0.64%	1.03%	0.67%	0.95%	1.00%	0.96%	1.40%	0.51%	1.36%	0.90%	0.77%	1.11%	0.95%	0.67%	1.20%	0.72%	1.00%	0.81%	0.76%	0.45%	1.07%	1.09%	0.71%	0.99%	0.84%	1.45%	0.77%	1.19%	0.66%	0.75%	0.92%	0.79%	0.29%	0.62%	0.53%	0.89%	0.56%	1.37%	0.81%	0.76%	0.65%	0.39%	0.87%	0.63%	1.23%	0.37%	0.63%	1.27%					
21	. Путин Владимир Владимирович	43078	325	509	455	780	731	576	616	523	825	533	602	803	742	664	672	517	413	737	703	746	934	658	599	774	748	797	884	732	883	716	1018	1212	747	643	916	955	927	807	705	762	831	880	631	625	809	776	629	896	861	906	851	975	881	825	887	951	975					
		66.21%	65.39%	67.42%	68.73%	61.32%	66.15%	61.60%	65.19%	62.41%	66.75%	68.33%	68.56%	67.48%	64.35%	66.14%	64.24%	65.94%	70.36%	62.62%	63.56%	63.76%	64.91%	69.19%	67.30%	62.02%	67.57%	66.69%	64.90%	69.45%	66.09%	63.87%	69.58%	71.25%	67.18%	67.68%	66.42%	67.21%	69.02%	66.37%	65.70%	69.97%	65.95%	64.71%	64.85%	65.86%	65.29%	62.38%	66.28%	66.03%	65.03%	65.51%	65.61%	65.26%	69.48%	67.46%	66.00%	67.07%	69.00%					
22	. Хакамада Ирина Муцуовна	3660	48	50	53	90	100	77	87	51	88	33	59	86	74	63	62	41	38	76	58	86	117	43	29	61	62	61	79	47	92	55	59	68	50	44	92	52	64	62	57	43	69	79	36	38	51	76	58	87	69	75	47	85	79	42	71	72	69					
		5.63%	9.66%	6.62%	8.01%	7.08%	9.05%	8.24%	9.21%	6.09%	7.12%	4.23%	6.72%	7.23%	6.42%	6.27%	5.93%	5.23%	6.47%	6.46%	5.24%	7.35%	8.13%	4.52%	3.26%	4.89%	5.60%	5.10%	5.80%	4.46%	6.89%	4.91%	4.03%	4.00%	4.50%	4.63%	6.67%	3.66%	4.77%	5.10%	5.31%	3.95%	5.48%	5.81%	3.70%	4.00%	4.12%	6.11%	6.11%	6.41%	5.21%	5.42%	3.62%	5.69%	6.23%	3.43%	5.28%	5.08%	4.88%					
23	. Харитонов Николай Михайлович	8397	65	79	61	223	132	156	108	132	121	100	105	144	138	129	164	111	71	143	163	137	182	133	133	198	139	170	182	114	174	170	175	172	167	135	164	209	158	178	123	140	173	190	168	159	189	194	77	169	176	179	205	167	126	139	139	115	134					
		12.91%	13.08%	10.46%	9.21%	17.53%	11.95%	16.68%	11.43%	15.75%	9.79%	12.82%	11.96%	12.10%	11.97%	12.85%	15.68%	14.16%	12.10%	12.15%	14.74%	11.71%	12.65%	13.99%	14.94%	15.87%	12.56%	14.23%	13.36%	10.82%	13.02%	15.17%	11.96%	10.11%	15.02%	14.21%	11.89%	14.71%	11.76%	14.64%	11.46%	12.86%	13.73%	13.97%	17.27%	16.75%	15.25%	15.59%	8.11%	12.45%	13.29%	12.94%	15.81%	11.18%	9.94%	11.37%	10.34%	8.11%	9.48%					
																																																																
24	Против всех	3491	23	57	42	68	53	61	57	46	59	50	38	53	81	49	48	31	29	99	66	81	87	34	45	85	57	56	68	59	75	49	50	84	50	33	68	62	61	47	71	43	61	67	43	34	56	65	62	65	61	72	74	93	65	82	86	133	97					
		5.37%	4.63%	7.55%	6.34%	5.35%	4.80%	6.52%	6.03%	5.49%	4.77%	6.41%	4.33%	4.45%	7.03%	4.88%	4.59%	3.95%	4.94%	8.41%	5.97%	6.92%	6.05%	3.58%	5.06%	6.81%	5.15%	4.69%	4.99%	5.60%	5.61%	4.37%	3.42%	4.94%	4.50%	3.47%	4.93%	4.36%	4.54%	3.87%	6.62%	3.95%	4.84%	4.93%	4.42%	3.58%	4.52%	5.23%	6.53%	4.79%	4.61%	5.21%	5.71%	6.22%	5.13%	6.70%	6.40%	9.38%	6.86%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
