Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Новоржевская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308									
		2.08%	0.98%	1.54%	1.04%	1.70%	7.00%	3.55%	1.52%	2.38%	1.79%	1.73%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	673	162	137	41	44	22	61	52	38	90	26									
		20.54%	26.38%	23.50%	21.24%	18.72%	11.00%	18.05%	26.26%	12.93%	20.09%	15.03%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	0	2	0	0	1	0	1	0	1	1									
		0.18%	0.00%	0.34%	0.00%	0.00%	0.50%	0.00%	0.51%	0.00%	0.22%	0.58%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	221	32	37	20	16	9	30	19	24	23	11									
		6.75%	5.21%	6.35%	10.36%	6.81%	4.50%	8.88%	9.60%	8.16%	5.13%	6.36%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
