Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Сланцевская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840					
		71.10%	65.23%	68.60%	68.47%	65.67%	69.46%	67.70%	67.41%	71.35%	67.90%	67.64%	71.85%	67.01%	71.32%	70.91%	67.60%	71.53%	81.36%	74.28%	71.96%	69.03%	64.49%	62.36%	83.50%	82.02%	88.89%	78.87%	79.77%	80.77%	80.73%	68.95%	71.36%	78.28%	79.54%					
22	. Хакамада Ирина Муцуовна	581	22	19	16	26	23	16	29	22	29	30	33	16	32	26	17	25	0	33	23	8	24	19	2	1	8	11	13	3	11	19	9	8	8					
		2.68%	2.70%	2.12%	2.06%	3.10%	2.92%	2.25%	3.41%	3.06%	3.83%	3.81%	4.38%	2.07%	3.36%	3.35%	2.37%	3.54%	0.00%	3.97%	2.94%	1.32%	2.96%	2.64%	0.50%	1.12%	1.59%	1.83%	2.99%	1.65%	1.12%	2.20%	2.18%	3.00%	1.53%					
23	. Харитонов Николай Михайлович	3484	161	159	150	156	121	148	155	104	144	123	88	163	141	121	144	88	8	98	115	112	187	181	34	7	22	62	48	11	120	167	74	21	51					
		16.07%	19.78%	17.77%	19.31%	18.59%	15.34%	20.79%	18.24%	14.46%	19.02%	15.61%	11.69%	21.09%	14.81%	15.57%	20.11%	12.46%	13.56%	11.78%	14.72%	18.45%	23.06%	25.14%	8.50%	7.87%	4.37%	10.32%	11.03%	6.04%	12.23%	19.35%	17.96%	7.87%	9.75%					
																																								
24	Против всех	565	31	12	16	26	21	25	23	22	9	31	31	28	22	22	20	29	2	16	22	20	19	17	11	2	2	10	8	8	16	16	7	11	10					
		2.61%	3.81%	1.34%	2.06%	3.10%	2.66%	3.51%	2.71%	3.06%	1.19%	3.93%	4.12%	3.62%	2.31%	2.83%	2.79%	4.11%	3.39%	1.92%	2.82%	3.29%	2.34%	2.36%	2.75%	2.25%	0.40%	1.66%	1.84%	4.40%	1.63%	1.85%	1.70%	4.12%	1.91%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
