Выборы Президента Российской Федерации																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Гатчинская																																																																																						
																																																																																						
Итоги голосования 																																																																																						
																																																																																						
		Сумма	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435					
11	Число полученных открепительных  удостоверений	1287	15	10	10	20	15	10	10	10	10	20	20	25	10	10	10	10	10	10	10	20	20	20	10	10	10	20	20	20	20	25	20	10	20	15	20	10	10	10	20	20	10	20	15	20	20	32	10	15	20	20	20	15	20	10	20	10	15	25	25	10	15	10	20	15	20	20	20	10	20	35	20	20	30	10	10	25	15	15	10					
12	Число выданных открепительных удостоверений	681	1	3	2	15	8	3	2	2	4	14	17	21	5	3	9	4	7	1	2	14	15	9	0	5	9	18	12	10	20	23	14	2	13	4	6	0	1	1	17	16	1	6	12	4	15	26	1	7	5	6	6	2	12	4	9	5	9	21	16	4	5	0	16	3	15	8	8	3	11	33	8	7	25	2	2	18	2	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	805	12	7	10	26	8	16	11	18	16	5	3	11	19	9	8	13	9	18	25	19	13	6	19	5	7	14	3	15	17	5	5	8	5	1	14	1	9	8	9	13	3	6	9	5	2	3	0	5	10	16	5	6	6	6	10	1	4	7	5	4	7	0	23	2	9	36	7	30	14	17	32	18	17	10	3	3	7	0	17					
14	Число неиспользованных открепительных удостоверений	606	14	7	8	5	7	7	8	8	6	6	3	4	5	7	1	6	3	9	8	6	5	11	10	5	1	2	8	10	0	2	6	8	7	11	14	10	9	9	3	4	9	14	3	16	5	6	9	8	15	14	14	13	8	6	11	5	6	4	9	6	10	10	4	12	5	12	12	7	9	2	12	13	5	8	8	7	13	3	10					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																						
18	. Глазьев Сергей Юрьевич	1418	28	15	8	35	21	6	5	13	12	28	20	20	9	7	5	13	10	10	9	20	33	22	12	2	9	49	28	40	52	26	22	8	40	18	26	1	7	6	27	32	1	29	12	11	24	9	5	13	27	22	20	7	8	9	37	3	14	31	31	12	10	6	45	13	15	21	28	6	24	45	39	19	24	6	2	20	6	5	5					
		2.88%	5.29%	3.68%	4.00%	3.00%	3.27%	1.74%	1.74%	3.23%	3.59%	3.44%	2.88%	3.28%	3.15%	2.67%	1.87%	5.58%	3.37%	3.55%	3.06%	3.36%	5.15%	3.94%	2.00%	0.81%	2.62%	4.74%	4.71%	3.42%	4.75%	2.63%	2.94%	2.42%	2.98%	2.87%	2.95%	0.82%	2.12%	2.59%	2.52%	2.43%	0.32%	2.96%	2.14%	2.64%	3.65%	3.40%	3.31%	1.92%	4.71%	2.83%	2.43%	1.38%	1.09%	5.11%	3.59%	1.30%	2.71%	1.98%	1.91%	2.61%	1.89%	3.95%	3.99%	2.17%	1.85%	2.21%	3.33%	1.79%	2.59%	4.07%	3.58%	1.71%	2.48%	1.92%	1.44%	2.08%	1.34%	1.11%	2.94%					
19	. Малышкин Олег Александрович	603	4	4	1	13	2	6	2	3	3	9	17	8	5	2	4	4	6	4	2	11	2	6	15	3	6	17	16	6	11	15	9	4	13	8	10	3	1	1	23	38	4	9	3	6	6	5	5	3	7	7	5	3	6	4	12	7	2	23	15	2	8	2	16	13	11	8	9	2	7	14	12	8	10	8	3	7	7	6	1					
		1.22%	0.76%	0.98%	0.50%	1.11%	0.31%	1.74%	0.69%	0.74%	0.90%	1.10%	2.45%	1.31%	1.75%	0.76%	1.49%	1.72%	2.02%	1.42%	0.68%	1.85%	0.31%	1.07%	2.50%	1.22%	1.75%	1.65%	2.69%	0.51%	1.00%	1.52%	1.20%	1.21%	0.97%	1.27%	1.14%	2.46%	0.30%	0.43%	2.14%	2.89%	1.29%	0.92%	0.53%	1.44%	0.91%	1.89%	3.31%	0.44%	1.22%	0.90%	0.61%	0.59%	0.82%	2.27%	1.16%	3.03%	0.39%	1.47%	0.93%	0.44%	1.51%	1.32%	1.42%	2.17%	1.36%	0.84%	1.07%	0.60%	0.75%	1.26%	1.10%	0.72%	1.03%	2.56%	2.16%	0.73%	1.56%	1.34%	0.59%					
20	. Миронов Сергей Михайлович	606	6	5	2	16	15	3	0	8	7	7	11	8	2	7	2	2	3	2	3	3	6	3	5	3	3	8	8	33	10	15	6	0	10	3	10	1	2	7	19	20	6	13	11	7	11	5	0	9	9	8	1	3	6	1	19	1	7	29	9	5	10	1	15	4	8	12	11	5	9	14	35	10	12	2	0	7	5	1	1					
		1.23%	1.13%	1.23%	1.00%	1.37%	2.34%	0.87%	0.00%	1.99%	2.10%	0.86%	1.58%	1.31%	0.70%	2.67%	0.75%	0.86%	1.01%	0.71%	1.02%	0.50%	0.94%	0.54%	0.83%	1.22%	0.87%	0.77%	1.34%	2.82%	0.91%	1.52%	0.80%	0.00%	0.75%	0.48%	1.14%	0.82%	0.61%	3.02%	1.77%	1.52%	1.94%	1.33%	1.96%	1.68%	1.67%	1.89%	0.00%	1.33%	1.57%	1.03%	0.12%	0.59%	0.82%	0.57%	1.84%	0.43%	1.36%	1.85%	0.56%	1.09%	1.89%	0.66%	1.33%	0.67%	0.99%	1.26%	1.31%	1.49%	0.97%	1.26%	3.21%	0.90%	1.24%	0.64%	0.00%	0.73%	1.12%	0.22%	0.59%					
21	. Путин Владимир Владимирович	38402	356	328	159	903	442	260	218	331	267	579	457	476	225	193	206	172	214	199	221	429	450	382	487	185	262	751	408	878	839	778	575	270	1104	498	719	103	275	166	832	1029	274	745	441	340	481	218	107	524	406	619	703	427	570	132	780	176	407	1274	1369	340	411	125	849	505	627	761	655	257	770	801	876	919	783	268	98	808	389	401	140					
		77.92%	67.30%	80.39%	79.50%	77.38%	68.85%	75.58%	75.69%	82.13%	79.94%	71.04%	65.76%	78.16%	78.67%	73.66%	76.87%	73.82%	72.05%	70.57%	75.17%	72.10%	70.20%	68.34%	81.30%	75.20%	76.38%	72.70%	68.57%	75.11%	76.62%	78.67%	76.87%	81.57%	82.33%	79.30%	81.61%	84.43%	83.33%	71.55%	77.54%	78.19%	88.67%	75.94%	78.47%	81.53%	73.21%	82.26%	70.86%	77.29%	70.86%	79.67%	85.52%	84.06%	77.98%	75.00%	75.58%	76.19%	78.88%	81.25%	84.56%	74.07%	77.55%	82.24%	75.20%	84.31%	77.41%	80.02%	77.98%	76.72%	82.97%	72.36%	80.37%	82.94%	80.97%	85.62%	70.50%	83.90%	86.83%	89.31%	82.35%					
22	. Хакамада Ирина Муцуовна	1360	8	10	6	29	24	10	14	7	9	23	19	15	6	10	7	4	13	10	6	28	20	33	14	4	13	32	21	48	45	22	18	12	31	16	24	3	5	17	31	37	6	26	10	10	32	5	8	28	14	18	9	9	20	4	13	7	21	59	33	16	17	5	41	15	23	10	20	1	14	37	12	33	25	7	12	19	5	10	2					
		2.76%	1.51%	2.45%	3.00%	2.49%	3.74%	2.91%	4.86%	1.74%	2.69%	2.82%	2.73%	2.46%	2.10%	3.82%	2.61%	1.72%	4.38%	3.55%	2.04%	4.71%	3.12%	5.90%	2.34%	1.63%	3.79%	3.10%	3.53%	4.11%	4.11%	2.22%	2.41%	3.63%	2.31%	2.55%	2.72%	2.46%	1.52%	7.33%	2.89%	2.81%	1.94%	2.65%	1.78%	2.40%	4.87%	1.89%	5.30%	4.13%	2.44%	2.32%	1.09%	1.77%	2.74%	2.27%	1.26%	3.03%	4.07%	3.76%	2.04%	3.49%	3.21%	3.29%	3.63%	2.50%	2.84%	1.05%	2.38%	0.30%	1.51%	3.34%	1.10%	2.98%	2.59%	2.24%	8.63%	1.97%	1.12%	2.23%	1.18%					
23	. Харитонов Николай Михайлович	5084	114	37	18	127	104	45	46	31	33	130	136	64	36	34	31	35	39	47	45	74	102	84	42	47	44	106	57	127	92	92	95	32	101	63	63	4	30	23	116	112	9	127	65	28	53	9	20	65	87	85	72	43	93	21	125	27	39	112	108	70	44	8	100	35	87	93	87	53	88	156	89	85	80	17	13	74	29	12	18					
		10.32%	21.55%	9.07%	9.00%	10.88%	16.20%	13.08%	15.97%	7.69%	9.88%	15.95%	19.57%	10.51%	12.59%	12.98%	11.57%	15.02%	13.13%	16.67%	15.31%	12.44%	15.91%	15.03%	7.01%	19.11%	12.83%	10.26%	9.58%	10.86%	8.40%	9.30%	12.70%	9.67%	7.53%	10.03%	7.15%	3.28%	9.09%	9.91%	10.81%	8.51%	2.91%	12.95%	11.57%	6.71%	8.07%	3.40%	13.25%	9.59%	15.18%	10.94%	8.76%	8.46%	12.72%	11.93%	12.11%	11.69%	7.56%	7.14%	6.67%	15.25%	8.30%	5.26%	8.86%	5.84%	10.74%	9.78%	10.36%	15.82%	9.48%	14.09%	8.17%	7.67%	8.27%	5.43%	9.35%	7.68%	6.47%	2.67%	10.59%					
																																																																																						
24	Против всех	1427	11	6	5	39	31	13	2	8	3	26	28	14	2	7	9	1	10	10	7	25	24	25	21	2	4	57	51	33	28	28	16	5	34	19	20	7	10	10	22	34	7	26	20	13	49	14	6	28	21	16	6	11	23	5	30	6	19	34	35	8	20	5	49	10	28	31	20	9	15	34	16	27	27	4	11	18	4	13	2					
		2.90%	2.08%	1.47%	2.50%	3.34%	4.83%	3.78%	0.69%	1.99%	0.90%	3.19%	4.03%	2.30%	0.70%	2.67%	3.36%	0.43%	3.37%	3.55%	2.38%	4.20%	3.74%	4.47%	3.51%	0.81%	1.17%	5.52%	8.57%	2.82%	2.56%	2.83%	2.14%	1.51%	2.54%	3.03%	2.27%	5.74%	3.03%	4.31%	2.05%	2.58%	2.27%	2.65%	3.56%	3.12%	7.46%	5.28%	3.97%	4.13%	3.66%	2.06%	0.73%	2.17%	3.15%	2.84%	2.91%	2.60%	3.68%	2.17%	2.16%	1.74%	3.77%	3.29%	4.34%	1.67%	3.46%	3.26%	2.38%	2.69%	1.62%	3.07%	1.47%	2.44%	2.79%	1.28%	7.91%	1.87%	0.89%	2.90%	1.18%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
