Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																										
																																																																										
Наименование Избирательной комиссии:    Новочеркасская																																																																										
																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																										
																																																																										
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №2487	УИК №2488					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2424	60	40	70	34	20	20	60	40	70	70	20	30	35	40	40	40	70	40	120	20	30	40	50	20	20	20	20	40	40	50	40	30	70	30	20	20	40	30	30	20	20	20	20	20	20	20	30	40	40	30	20	20	40	70	40	20	20	20	20	20	20	20	40	20	35	140	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1616	52	27	19	28	16	2	29	34	48	41	14	23	31	20	30	18	44	22	98	12	22	21	28	12	13	17	16	33	29	32	23	23	31	22	6	5	30	24	20	20	14	13	15	18	18	16	24	24	19	30	20	14	34	22	25	8	3	7	18	20	16	14	30	13	21	125	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	678	10	12	6	7	3	0	8	4	12	12	27	11	16	16	14	28	10	11	12	7	12	8	8	5	5	10	15	39	10	11	11	21	12	7	3	2	6	6	3	7	13	5	5	10	14	7	6	6	10	9	6	11	4	9	7	6	18	22	7	4	8	5	13	7	9	12	18					
14	Число погашенных открепительных удостоверений	808	8	13	51	6	4	18	31	6	22	29	6	7	4	20	10	22	26	18	22	8	8	19	22	8	7	3	4	7	11	18	17	7	39	8	14	15	10	6	10	0	6	7	5	2	2	4	6	16	21	0	0	6	6	48	15	12	17	13	2	0	4	6	10	7	14	15	0					
15	Число открепительных удостоверений выданных ТИК	66	1	1	0	1	0	2	2	1	0	0	0	1	1	0	1	0	0	2	0	0	1	3	4	0	0	2	0	0	3	0	4	2	3	0	0	0	1	2	4	3	0	0	0	2	0	1	0	3	1	1	0	0	4	1	2	0	0	1	0	0	0	0	1	2	2	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
18	"1. ""ЕДИНЕНИЕ"""	769	10	9	10	6	9	5	8	7	9	2	3	8	7	5	31	13	7	3	16	13	37	10	17	9	5	21	11	6	1	6	11	3	22	9	10	8	25	14	12	9	13	8	4	11	9	13	15	15	14	10	8	7	8	14	12	11	3	6	13	3	26	20	10	19	29	34	7					
		1.01%	0.62%	0.67%	0.93%	0.51%	1.07%	1.85%	0.59%	0.47%	0.66%	0.22%	0.36%	0.97%	0.52%	0.63%	1.73%	0.86%	0.59%	0.36%	1.25%	1.45%	2.70%	0.97%	1.43%	0.94%	0.87%	1.80%	1.21%	0.42%	0.09%	0.53%	0.76%	0.36%	1.97%	1.31%	2.13%	2.91%	1.75%	0.93%	0.85%	0.66%	1.14%	0.79%	0.40%	0.96%	0.88%	1.13%	1.34%	1.14%	1.11%	0.71%	0.83%	0.75%	0.65%	1.14%	0.96%	1.98%	0.78%	0.84%	1.20%	0.17%	2.08%	1.30%	0.53%	1.11%	1.79%	1.90%	0.75%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2249	63	55	29	27	32	4	55	61	46	38	22	17	39	25	50	57	54	30	37	26	54	18	21	19	10	20	20	65	47	57	58	26	29	32	5	4	37	41	39	27	26	20	22	27	21	26	29	38	22	44	24	16	23	24	22	13	7	8	19	35	32	63	100	56	57	51	28					
		2.96%	3.96%	4.13%	2.71%	2.32%	3.83%	1.48%	4.11%	4.17%	3.39%	4.23%	2.66%	2.07%	2.91%	3.19%	2.79%	3.81%	4.56%	3.63%	2.91%	2.91%	3.94%	1.75%	1.77%	2.0%	1.75%	1.71%	2.20%	4.64%	4.45%	5.10%	4.04%	3.12%	2.60%	4.69%	1.06%	1.45%	2.60%	2.73%	2.79%	1.98%	2.28%	1.99%	2.22%	2.37%	2.06%	2.26%	2.59%	2.88%	1.75%	3.15%	2.50%	1.72%	1.87%	1.95%	1.76%	2.34%	1.82%	1.12%	1.75%	2.08%	2.57%	4.10%	5.35%	3.29%	3.53%	2.85%	3.01%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2252	60	50	39	39	32	7	38	44	34	17	31	36	45	14	27	42	33	27	28	19	32	31	54	46	9	32	39	38	30	9	48	29	38	14	14	6	43	62	44	38	32	42	30	35	26	42	37	32	39	53	32	21	38	33	31	13	17	26	27	39	55	43	60	55	50	19	7					
		2.96%	3.77%	3.75%	3.64%	3.36%	3.83%	2.59%	2.84%	3.01%	2.51%	1.89%	3.74%	4.38%	3.35%	1.79%	1.51%	2.80%	2.79%	3.26%	2.20%	2.13%	2.33%	3.03%	4.56%	4.84%	1.58%	2.74%	4.29%	2.71%	2.84%	0.80%	3.34%	3.48%	3.41%	2.05%	2.98%	2.18%	3.02%	4.13%	3.15%	2.79%	2.80%	4.18%	3.03%	3.07%	2.55%	3.65%	3.31%	2.43%	3.11%	3.80%	3.33%	2.26%	3.09%	2.69%	2.48%	2.34%	4.42%	3.65%	2.49%	2.32%	4.41%	2.80%	3.21%	3.23%	3.09%	1.06%	0.75%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3805	106	76	65	82	38	8	90	75	81	48	42	60	90	50	64	124	110	48	61	58	71	50	59	50	35	30	24	109	83	53	121	49	59	56	15	2	48	53	46	48	57	36	62	82	43	47	49	61	51	67	33	53	75	63	63	14	9	25	57	54	48	63	88	78	53	31	6					
		5.01%	6.67%	5.71%	6.08%	7.06%	4.55%	2.96%	6.73%	5.13%	5.98%	5.35%	5.07%	7.30%	6.71%	6.39%	3.58%	8.29%	9.30%	5.81%	4.80%	6.50%	5.18%	4.88%	4.98%	5.26%	6.15%	2.57%	2.64%	7.79%	7.86%	4.74%	8.44%	5.88%	5.30%	8.21%	3.19%	0.72%	3.37%	3.53%	3.29%	3.53%	5.0%	3.58%	6.26%	7.20%	4.22%	4.08%	4.38%	4.63%	4.06%	4.80%	3.44%	5.71%	6.10%	5.14%	5.05%	2.52%	2.34%	3.51%	5.26%	3.22%	3.85%	4.10%	4.70%	4.58%	3.28%	1.73%	0.64%					
22	"5. ""За Русь Святую"""	358	7	10	3	3	3	0	4	3	5	5	8	7	7	4	13	4	8	5	3	10	11	7	5	9	1	3	2	3	2	7	8	3	5	4	2	1	8	5	5	7	2	4	4	8	8	8	8	1	5	4	7	3	4	2	5	1	6	4	5	6	4	9	9	11	9	6	5					
		0.47%	0.44%	0.75%	0.28%	0.25%	0.35%	0.0%	0.29%	0.20%	0.36%	0.55%	0.96%	0.85%	0.52%	0.51%	0.72%	0.26%	0.67%	0.60%	0.23%	1.12%	0.80%	0.68%	0.42%	0.94%	0.17%	0.25%	0.22%	0.21%	0.18%	0.62%	0.55%	0.36%	0.44%	0.58%	0.42%	0.36%	0.56%	0.33%	0.35%	0.51%	0.17%	0.39%	0.40%	0.70%	0.78%	0.69%	0.71%	0.07%	0.39%	0.28%	0.72%	0.32%	0.32%	0.16%	0.40%	0.18%	1.56%	0.56%	0.46%	0.35%	0.32%	0.58%	0.48%	0.64%	0.55%	0.33%	0.53%					
23	"6. ""Объединенная Российская партия ""Русь"""	175	6	0	4	3	1	3	2	4	2	0	0	1	7	0	2	3	1	3	3	2	5	1	1	9	1	5	1	3	1	5	4	3	1	1	2	0	1	7	3	3	3	1	8	2	4	1	4	1	4	2	1	1	4	2	2	4	1	1	3	1	5	4	3	5	0	4	0					
		0.23%	0.37%	0.0%	0.37%	0.25%	0.11%	1.11%	0.14%	0.27%	0.14%	0.0%	0.0%	0.12%	0.52%	0.0%	0.11%	0.20%	0.08%	0.36%	0.23%	0.22%	0.36%	0.09%	0.08%	0.94%	0.17%	0.42%	0.11%	0.21%	0.09%	0.44%	0.27%	0.36%	0.08%	0.14%	0.42%	0.0%	0.07%	0.46%	0.21%	0.22%	0.26%	0.09%	0.80%	0.17%	0.39%	0.08%	0.35%	0.07%	0.31%	0.14%	0.10%	0.10%	0.32%	0.16%	0.16%	0.72%	0.26%	0.14%	0.27%	0.05%	0.40%	0.26%	0.16%	0.29%	0.0%	0.22%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	734	25	8	5	3	9	3	9	14	9	5	14	9	12	9	29	14	11	5	12	15	11	11	13	9	6	7	6	14	17	14	8	14	16	11	6	2	10	12	10	25	9	5	7	9	9	6	10	18	18	13	5	7	10	14	12	11	2	7	2	6	14	10	16	25	21	23	3					
		0.96%	1.57%	0.60%	0.46%	0.25%	1.07%	1.11%	0.67%	0.95%	0.66%	0.55%	1.69%	1.09%	0.89%	1.15%	1.62%	0.93%	0.93%	0.60%	0.94%	1.68%	0.80%	1.07%	1.09%	0.94%	1.05%	0.60%	0.66%	1.00%	1.61%	1.25%	0.55%	1.68%	1.43%	1.61%	1.27%	0.72%	0.70%	0.80%	0.71%	1.84%	0.78%	0.49%	0.70%	0.79%	0.88%	0.52%	0.89%	1.36%	1.43%	0.93%	0.52%	0.75%	0.81%	1.14%	0.96%	1.98%	0.52%	0.98%	0.18%	0.35%	1.12%	0.65%	0.85%	1.47%	1.30%	1.28%	0.32%					
25	"8. ""Народно-республиканская партия России"""	93	1	0	1	0	1	1	2	1	1	0	1	1	0	1	1	2	1	1	2	0	4	1	0	2	0	1	2	0	1	18	1	0	2	0	0	1	1	0	0	4	1	0	1	2	1	0	0	0	1	0	1	0	3	1	1	3	0	3	0	0	4	2	3	3	3	4	0					
		0.12%	0.06%	0.0%	0.09%	0.0%	0.11%	0.37%	0.14%	0.06%	0.07%	0.0%	0.12%	0.12%	0.0%	0.12%	0.05%	0.13%	0.08%	0.12%	0.15%	0.0%	0.29%	0.09%	0.0%	0.21%	0.0%	0.08%	0.22%	0.0%	0.09%	1.61%	0.06%	0.0%	0.17%	0.0%	0.0%	0.36%	0.07%	0.0%	0.0%	0.29%	0.08%	0.0%	0.10%	0.17%	0.09%	0.0%	0.0%	0.0%	0.07%	0.0%	0.10%	0.0%	0.24%	0.08%	0.08%	0.54%	0.0%	0.42%	0.0%	0.0%	0.32%	0.13%	0.16%	0.17%	0.18%	0.22%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	380	8	7	4	10	2	0	7	2	7	10	0	4	6	1	17	6	5	1	15	8	14	7	8	5	1	6	7	9	5	0	7	10	5	4	1	0	3	9	4	6	4	6	4	7	9	4	2	5	5	13	4	6	10	7	6	1	0	5	5	3	5	7	6	7	12	5	1					
		0.50%	0.50%	0.52%	0.37%	0.86%	0.23%	0.0%	0.52%	0.13%	0.51%	1.11%	0.0%	0.48%	0.44%	0.12%	0.95%	0.40%	0.42%	0.12%	1.18%	0.89%	1.02%	0.68%	0.67%	0.52%	0.17%	0.51%	0.77%	0.64%	0.47%	0.0%	0.48%	1.20%	0.44%	0.58%	0.21%	0.0%	0.21%	0.60%	0.28%	0.44%	0.35%	0.59%	0.40%	0.61%	0.88%	0.34%	0.17%	0.38%	0.39%	0.93%	0.41%	0.64%	0.81%	0.57%	0.48%	0.18%	0.0%	0.70%	0.46%	0.17%	0.40%	0.45%	0.32%	0.41%	0.74%	0.27%	0.10%					
27	"10. ""Аграрная партия России"""	1613	34	32	36	29	19	5	39	30	26	12	16	13	24	19	27	46	30	21	24	20	25	23	21	22	8	15	10	24	26	19	42	25	11	13	12	11	40	30	47	26	18	38	6	29	16	17	18	36	10	29	22	22	29	30	34	13	7	14	33	35	32	45	42	43	30	12	1					
		2.12%	2.13%	2.40%	3.36%	2.5%	2.27%	1.85%	2.91%	2.05%	1.92%	1.33%	1.93%	1.58%	1.79%	2.42%	1.51%	3.07%	2.53%	2.54%	1.88%	2.24%	1.82%	2.24%	1.77%	2.31%	1.40%	1.28%	1.10%	1.71%	2.46%	1.70%	2.93%	3.00%	0.98%	1.90%	2.55%	4.01%	2.81%	2.00%	3.36%	1.91%	1.57%	3.78%	0.60%	2.54%	1.57%	1.47%	1.61%	2.73%	0.79%	2.08%	2.29%	2.37%	2.36%	2.44%	2.72%	2.34%	1.82%	1.96%	3.04%	2.08%	2.57%	2.93%	2.24%	2.52%	1.85%	0.67%	0.10%					
28	"11. ""Истинные патриоты России"""	81	1	1	1	1	1	0	0	2	1	1	2	0	0	1	3	0	0	1	4	1	5	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	5	0	0	6	1	1	0	1	1	1	1	0	1	5	1	1	0	1	2	1	0	1	0	0	3	3	2	3	1	4	2					
		0.10%	0.06%	0.07%	0.09%	0.08%	0.11%	0.0%	0.0%	0.13%	0.07%	0.11%	0.24%	0.0%	0.0%	0.12%	0.16%	0.0%	0.0%	0.12%	0.31%	0.11%	0.36%	0.0%	0.0%	0.0%	0.17%	0.08%	0.11%	0.0%	0.0%	0.08%	0.06%	0.12%	0.08%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.44%	0.08%	0.09%	0.0%	0.08%	0.09%	0.08%	0.08%	0.0%	0.07%	0.35%	0.10%	0.10%	0.0%	0.08%	0.16%	0.18%	0.0%	0.14%	0.0%	0.0%	0.24%	0.19%	0.10%	0.17%	0.06%	0.22%	0.21%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1708	46	22	34	18	18	5	23	50	28	20	9	31	15	11	45	24	25	17	17	17	31	20	25	19	12	28	17	27	21	13	34	28	22	19	9	8	45	34	31	23	35	27	31	38	28	28	25	33	41	30	28	23	43	36	32	11	6	26	20	24	38	25	35	35	40	25	4					
		2.24%	2.89%	1.65%	3.18%	1.55%	2.15%	1.85%	1.72%	3.42%	2.06%	2.22%	1.08%	3.77%	1.11%	1.40%	2.51%	1.60%	2.11%	2.05%	1.33%	1.90%	2.26%	1.95%	2.11%	2.0%	2.10%	2.40%	1.87%	1.93%	1.99%	1.16%	2.37%	3.36%	1.97%	2.78%	1.91%	2.91%	3.16%	2.26%	2.22%	1.69%	3.07%	2.68%	3.13%	3.33%	2.75%	2.43%	2.23%	2.50%	3.26%	2.15%	2.91%	2.48%	3.50%	2.93%	2.56%	1.98%	1.56%	3.65%	1.84%	1.43%	3.05%	1.63%	1.87%	2.05%	2.47%	1.39%	0.43%					
30	"13. ""Демократическая партия России"""	312	5	5	6	7	3	1	7	4	5	0	5	6	3	4	5	4	10	1	4	4	2	3	10	2	4	12	7	14	3	9	16	0	7	7	2	0	2	5	7	3	5	0	4	2	5	0	3	7	2	3	1	9	3	5	4	0	2	2	5	4	6	3	9	4	10	8	2					
		0.41%	0.31%	0.37%	0.56%	0.60%	0.35%	0.37%	0.52%	0.27%	0.36%	0.0%	0.60%	0.73%	0.22%	0.51%	0.27%	0.26%	0.84%	0.12%	0.31%	0.44%	0.14%	0.29%	0.84%	0.21%	0.70%	1.03%	0.77%	1.00%	0.28%	0.80%	1.11%	0.0%	0.62%	1.02%	0.42%	0.0%	0.14%	0.33%	0.50%	0.22%	0.43%	0.0%	0.40%	0.17%	0.49%	0.0%	0.26%	0.53%	0.15%	0.21%	0.10%	0.97%	0.24%	0.40%	0.32%	0.0%	0.52%	0.28%	0.46%	0.23%	0.48%	0.19%	0.48%	0.23%	0.61%	0.44%	0.21%					
31	"14. ""Великая Россия - Евразийский Союз"""	117	2	2	0	1	0	1	1	0	2	1	1	3	7	2	5	1	1	0	1	0	5	2	3	1	0	2	4	1	3	3	0	0	1	0	0	0	2	0	2	3	0	0	0	1	1	3	4	1	3	4	2	1	2	3	2	3	0	4	0	3	2	0	3	5	2	5	0					
		0.15%	0.12%	0.15%	0.0%	0.08%	0.0%	0.37%	0.07%	0.0%	0.14%	0.11%	0.12%	0.36%	0.52%	0.25%	0.27%	0.06%	0.08%	0.0%	0.07%	0.0%	0.36%	0.19%	0.25%	0.10%	0.0%	0.17%	0.44%	0.07%	0.28%	0.26%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.14%	0.0%	0.14%	0.22%	0.0%	0.0%	0.0%	0.08%	0.09%	0.26%	0.35%	0.07%	0.23%	0.28%	0.20%	0.10%	0.16%	0.24%	0.16%	0.54%	0.0%	0.56%	0.0%	0.17%	0.16%	0.0%	0.16%	0.29%	0.12%	0.27%	0.0%					
32	"15. ""Партия СЛОН"""	112	1	0	5	1	1	0	0	1	0	0	0	0	2	1	6	4	1	0	5	4	4	4	2	0	1	3	0	1	4	4	0	1	1	3	1	0	2	2	0	1	1	0	1	2	1	2	3	3	0	1	1	2	3	2	3	5	1	1	0	1	1	0	2	1	3	5	1					
		0.14%	0.06%	0.0%	0.46%	0.08%	0.11%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.14%	0.12%	0.33%	0.26%	0.08%	0.0%	0.39%	0.44%	0.29%	0.39%	0.16%	0.0%	0.17%	0.25%	0.0%	0.07%	0.37%	0.35%	0.0%	0.12%	0.08%	0.43%	0.21%	0.0%	0.14%	0.13%	0.0%	0.07%	0.08%	0.0%	0.10%	0.17%	0.09%	0.17%	0.26%	0.22%	0.0%	0.07%	0.10%	0.21%	0.24%	0.16%	0.24%	0.90%	0.26%	0.14%	0.0%	0.05%	0.08%	0.0%	0.10%	0.05%	0.18%	0.27%	0.10%					
33	"16. ""Родина"" (народно-патриотический союз)"""	9107	217	255	178	207	116	12	207	228	252	129	103	124	160	98	127	250	148	92	135	101	126	138	127	91	59	55	110	214	179	79	194	87	112	85	45	22	161	213	175	124	126	134	152	137	142	188	138	177	175	192	148	117	175	156	148	34	30	42	154	207	93	146	200	170	125	64	2					
		11.99%	13.65%	19.17%	16.65%	17.84%	13.90%	4.44%	15.49%	15.60%	18.62%	14.38%	12.45%	15.10%	11.94%	12.53%	7.10%	16.72%	12.52%	11.13%	10.62%	11.32%	9.19%	13.48%	10.72%	9.57%	10.36%	4.72%	12.12%	15.30%	16.96%	7.07%	13.53%	10.45%	10.07%	12.46%	9.59%	8.02%	11.32%	14.20%	12.53%	9.13%	11.05%	13.34%	15.36%	12.03%	13.94%	16.34%	12.35%	13.46%	13.95%	13.78%	15.43%	12.62%	14.25%	12.73%	11.87%	6.12%	7.81%	5.89%	14.23%	12.35%	7.46%	9.52%	10.70%	10.0%	7.74%	3.58%	0.21%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	160	3	2	6	1	2	0	0	1	0	3	0	2	0	0	1	0	1	3	2	3	6	3	3	2	0	3	1	1	1	2	0	2	3	1	8	1	8	5	3	4	1	1	0	2	1	4	4	2	3	2	2	2	0	5	2	2	1	0	2	4	2	7	2	1	5	10	6					
		0.21%	0.18%	0.15%	0.56%	0.08%	0.23%	0.0%	0.0%	0.06%	0.0%	0.33%	0.0%	0.24%	0.0%	0.0%	0.05%	0.0%	0.08%	0.36%	0.15%	0.33%	0.43%	0.29%	0.25%	0.21%	0.0%	0.25%	0.11%	0.07%	0.09%	0.17%	0.0%	0.24%	0.26%	0.14%	1.70%	0.36%	0.56%	0.33%	0.21%	0.29%	0.08%	0.09%	0.0%	0.17%	0.09%	0.34%	0.35%	0.15%	0.23%	0.14%	0.20%	0.21%	0.0%	0.40%	0.16%	0.36%	0.26%	0.0%	0.18%	0.23%	0.16%	0.45%	0.10%	0.05%	0.30%	0.55%	0.64%					
35	"18. ""ЛДПР"""	8442	147	122	85	104	88	40	114	159	112	108	83	55	183	86	256	142	126	92	159	112	219	132	157	138	75	184	111	164	92	176	156	103	136	60	61	50	146	161	172	181	104	79	88	87	91	89	142	149	137	146	79	88	133	120	137	91	38	96	114	208	125	151	173	221	211	159	139					
		11.11%	9.25%	9.17%	7.95%	8.96%	10.55%	14.81%	8.53%	10.88%	8.27%	12.04%	10.03%	6.69%	13.65%	10.99%	14.32%	9.49%	10.65%	11.13%	12.51%	12.55%	15.98%	12.90%	13.26%	14.52%	13.18%	15.79%	12.23%	11.73%	8.72%	15.77%	10.88%	12.37%	12.23%	8.79%	13.00%	18.24%	10.26%	10.74%	12.32%	13.32%	9.12%	7.86%	8.89%	7.64%	8.93%	7.73%	12.71%	11.33%	10.92%	10.48%	8.23%	9.49%	10.83%	9.79%	10.99%	16.39%	9.89%	13.48%	10.53%	12.41%	10.04%	9.84%	9.25%	13.0%	13.07%	8.89%	14.96%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1449	21	25	25	32	18	5	28	30	24	32	20	11	29	17	32	21	21	20	20	12	21	21	19	24	8	22	16	38	26	38	41	21	23	13	15	3	19	29	33	30	22	20	14	19	7	23	33	19	19	20	10	16	23	28	25	6	13	13	15	35	25	36	33	19	26	15	12					
		1.90%	1.32%	1.87%	2.33%	2.75%	2.15%	1.85%	2.09%	2.05%	1.77%	3.56%	2.41%	1.33%	2.16%	2.17%	1.79%	1.40%	1.77%	2.42%	1.57%	1.34%	1.53%	2.05%	1.60%	2.52%	1.40%	1.88%	1.76%	2.71%	2.46%	3.40%	2.86%	2.52%	2.06%	1.90%	3.19%	1.09%	1.33%	1.93%	2.36%	2.20%	1.92%	1.99%	1.41%	1.66%	0.68%	2.0%	2.95%	1.44%	1.51%	1.43%	1.04%	1.72%	1.87%	2.28%	2.00%	1.08%	3.38%	1.82%	1.38%	2.08%	2.00%	2.34%	1.76%	1.11%	1.61%	0.83%	1.29%					
37	"20. ""Политическая партия ""Единая Россия"""	23553	470	335	239	284	230	96	359	388	357	267	293	258	462	262	612	406	338	271	502	279	374	333	385	315	202	434	309	363	242	361	353	253	348	186	160	106	446	448	428	450	340	282	251	349	318	312	338	366	352	412	295	268	326	343	369	169	140	206	322	561	364	438	565	477	465	1071	650					
