Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Солнечногорская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032									
		3.29%	4.77%	4.33%	3.49%	7.38%	6.38%	6.16%	6.91%	4.21%	7.36%	5.56%	2.30%	2.79%	3.18%	6.07%	4.32%	3.90%	3.10%	2.61%	2.74%	4.35%	3.47%	2.52%	3.50%	3.22%	1.84%	3.06%	2.78%	2.71%	1.81%	3.76%	4.21%	2.73%	3.63%	2.05%	2.17%	3.05%	0.00%	1.38%	1.49%	2.43%	1.92%	3.25%	1.14%	1.69%	0.21%	0.36%	4.57%	6.35%	7.64%	2.26%	1.71%	3.05%	2.55%	1.62%	1.99%	1.79%	1.81%	3.60%	1.43%	0.79%	2.04%	0.67%	1.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6679	130	76	130	137	141	100	139	23	137	135	135	111	97	111	103	139	140	135	140	182	137	186	204	238	146	156	107	158	126	167	142	40	55	112	175	27	30	116	138	139	165	202	37	106	86	37	72	25	52	49	43	74	85	64	98	89	29	73	21	61	26	24	121									
		16.37%	14.41%	12.20%	16.19%	17.13%	16.67%	14.01%	18.48%	8.07%	19.03%	18.75%	18.24%	20.63%	14.70%	16.84%	17.11%	19.36%	18.09%	17.65%	16.69%	19.78%	16.41%	20.42%	18.78%	24.71%	19.24%	17.71%	13.51%	14.75%	18.98%	20.27%	18.11%	15.63%	14.25%	19.18%	18.08%	16.46%	19.23%	7.64%	22.81%	11.67%	17.63%	20.49%	14.07%	19.96%	17.92%	13.31%	11.36%	8.36%	11.04%	12.31%	12.29%	12.52%	12.02%	14.78%	15.05%	13.30%	10.51%	29.20%	7.50%	15.97%	13.27%	16.11%	14.74%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	231	4	4	4	1	5	3	2	3	1	5	6	5	6	3	3	5	4	5	6	5	0	7	3	3	9	2	4	6	6	5	4	1	4	3	5	0	2	8	3	11	5	7	3	3	4	1	2	6	0	3	1	1	3	5	0	7	4	1	0	1	1	1	6									
		0.57%	0.44%	0.64%	0.50%	0.13%	0.59%	0.42%	0.27%	1.05%	0.14%	0.69%	0.81%	0.93%	0.91%	0.46%	0.50%	0.70%	0.52%	0.65%	0.72%	0.54%	0.00%	0.77%	0.28%	0.31%	1.19%	0.23%	0.51%	0.56%	0.90%	0.61%	0.51%	0.39%	1.04%	0.51%	0.52%	0.00%	1.28%	0.53%	0.50%	0.92%	0.53%	0.71%	1.14%	0.56%	0.83%	0.36%	0.32%	2.01%	0.00%	0.75%	0.29%	0.17%	0.42%	1.15%	0.00%	1.05%	1.45%	0.40%	0.00%	0.26%	0.51%	0.67%	0.73%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2413	38	52	91	63	46	25	61	8	68	74	29	23	15	33	26	61	64	64	80	82	60	60	91	68	38	72	47	77	59	61	59	6	32	29	84	3	4	25	28	58	55	80	13	18	23	10	29	12	20	17	15	14	12	19	27	23	11	9	3	8	5	5	21									
		5.91%	4.21%	8.35%	11.33%	7.88%	5.44%	3.50%	8.11%	2.81%	9.44%	10.28%	3.92%	4.28%	2.27%	5.01%	4.32%	8.50%	8.27%	8.37%	9.54%	8.91%	7.19%	6.59%	8.38%	7.06%	5.01%	8.17%	5.93%	7.19%	8.89%	7.40%	7.53%	2.34%	8.29%	4.97%	8.68%	1.83%	2.56%	1.65%	4.63%	4.87%	5.88%	8.11%	4.94%	3.39%	4.79%	3.60%	4.57%	4.01%	4.25%	4.27%	4.29%	2.37%	1.70%	4.39%	4.15%	3.44%	3.99%	3.60%	1.07%	2.09%	2.55%	3.36%	2.56%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
