Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Холмская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013									
		3.36%	3.14%	3.88%	3.56%	4.23%	2.52%	3.66%	1.09%	4.88%	2.04%	1.03%	4.88%	2.33%	4.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	51	5	8	7	11	2	0	1	4	1	4	3	2	3									
		2.26%	1.57%	2.39%	1.92%	3.87%	1.68%	0.00%	1.09%	4.88%	0.68%	4.12%	3.66%	1.55%	2.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	913	129	113	121	124	32	37	42	39	63	38	25	82	68									
		40.42%	40.57%	33.73%	33.15%	43.66%	26.89%	45.12%	45.65%	47.56%	42.86%	39.18%	30.49%	63.57%	53.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	12	2	1	4	2	0	1	0	0	1	0	1	0	0									
		0.53%	0.63%	0.30%	1.10%	0.70%	0.00%	1.22%	0.00%	0.00%	0.68%	0.00%	1.22%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	0	1	1	2	0	0	0	0	0	1	0	0									
		0.22%	0.00%	0.00%	0.27%	0.35%	1.68%	0.00%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	430	64	70	74	39	29	13	17	11	35	22	22	15	19									
		19.03%	20.13%	20.90%	20.27%	13.73%	24.37%	15.85%	18.48%	13.41%	23.81%	22.68%	26.83%	11.63%	14.96%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	1	4	3	3	0	0	0	0	0	0	0	1	2									
		0.62%	0.31%	1.19%	0.82%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	1.57%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	3	3	3	1	0	0	1	0	2	4	1	3	1									
		0.97%	0.94%	0.90%	0.82%	0.35%	0.00%	0.00%	1.09%	0.00%	1.36%	4.12%	1.22%	2.33%	0.79%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	2	0	0	2	0	1	0	0	0	0	0	0									
		0.27%	0.31%	0.60%	0.00%	0.00%	1.68%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	30	5	8	6	4	0	2	0	1	1	2	0	1	0									
		1.33%	1.57%	2.39%	1.64%	1.41%	0.00%	2.44%	0.00%	1.22%	0.68%	2.06%	0.00%	0.78%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	423	60	62	77	52	34	17	18	12	26	20	18	8	19									
		18.73%	18.87%	18.51%	21.10%	18.31%	28.57%	20.73%	19.57%	14.63%	17.69%	20.62%	21.95%	6.20%	14.96%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	0	2	2	3	0	0	1	0	0	0	1	2	1									
		0.53%	0.00%	0.60%	0.55%	1.06%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	1.22%	1.55%	0.79%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	187	27	38	44	18	10	6	8	10	10	3	3	7	3									
		8.28%	8.49%	11.34%	12.05%	6.34%	8.40%	7.32%	8.70%	12.20%	6.80%	3.09%	3.66%	5.43%	2.36%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
