Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																		
Дата голосования: 04.12.2011																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Екатеринбург, Чкаловская"																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №2408	УИК №2409					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4796	50	100	48	58	60	50	37	75	69	94	68	89	80	55	60	85	40	68	79	60	63	68	68	55	78	60	53	98	40	43	65	86	65	100	40	55	70	68	73	71	58	67	35	74	76	60	58	42	45	25	35	40	48	48	20	20	43	20	50	40	45	73	30	50	43	40	40	38	30	40	65	58	40	45	58	90	50	5	5	0	0	54	74	10	70	90	30	25	50	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	4613	48	100	48	57	59	47	37	64	68	93	67	89	79	54	59	85	39	68	77	57	63	65	66	55	74	57	46	97	37	41	65	86	64	100	40	41	64	68	70	70	57	66	33	69	74	49	57	42	44	24	34	38	46	47	19	19	42	19	48	32	40	64	30	48	36	35	40	36	29	38	64	56	39	43	57	88	50	5	2	0	0	54	73	7	66	90	26	24	50	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2620	67	50	76	67	51	38	23	28	31	22	32	28	31	28	11	45	9	53	46	34	19	40	44	34	62	14	8	12	40	7	12	9	7	31	11	11	22	11	13	19	11	77	135	12	10	29	29	41	45	4	9	69	19	50	20	32	13	55	9	13	39	27	25	11	10	11	29	30	7	9	13	25	7	9	52	5	18	4	8	16	4	9	13	36	14	8	14	124	112	0	53					
14	Число погашенных неиспользованных открепительных удостоверений	183	2	0	0	1	1	3	0	11	1	1	1	0	1	1	1	0	1	0	2	3	0	3	2	0	4	3	7	1	3	2	0	0	1	0	0	14	6	0	3	1	1	1	2	5	2	11	1	0	1	1	1	2	2	1	1	1	1	1	2	8	5	9	0	2	7	5	0	2	1	2	1	2	1	2	1	2	0	0	3	0	0	0	1	3	4	0	4	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	5	2	3	2	1	2	0	2	0	0	1	1	1	2	3	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	5	0	0	3	0	1	3	0	0	0	1	0	1	0	0	1	1	2	1	1	0	2	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	22305	214	463	385	371	354	295	403	410	338	419	403	366	387	400	339	337	199	411	335	255	284	282	282	262	305	247	180	323	135	169	225	210	252	322	263	119	177	220	243	304	273	236	176	240	325	223	330	201	272	128	195	183	170	215	45	123	139	165	406	307	369	229	240	320	251	271	259	349	249	186	270	319	99	127	382	189	164	11	62	54	34	292	291	97	215	208	124	158	196	36	14					
		25.33%	23.59%	28.23%	25.94%	32.32%	31.05%	29.32%	31.44%	30.85%	26.89%	30.14%	27.62%	24.58%	26.45%	26.90%	25.37%	24.05%	27.56%	32.46%	28.34%	30.50%	28.15%	19.61%	25.00%	27.04%	29.36%	26.99%	27.65%	28.79%	20.64%	24.82%	22.77%	22.11%	28.09%	26.99%	26.17%	24.24%	24.25%	26.73%	28.09%	27.34%	24.12%	22.18%	20.88%	23.67%	31.13%	27.56%	30.44%	25.13%	26.96%	24.52%	23.47%	25.07%	24.46%	22.01%	9.66%	19.52%	19.66%	23.98%	33.95%	28.45%	33.01%	25.79%	27.52%	27.68%	26.82%	28.05%	23.87%	28.91%	29.47%	26.38%	24.48%	28.03%	13.87%	17.19%	29.52%	18.12%	17.47%	12.79%	23.05%	29.03%	21.66%	24.50%	24.43%	6.93%	24.13%	23.06%	6.29%	24.65%	20.94%	16.51%	26.42%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	13614	109	207	198	152	120	152	154	181	185	212	231	228	217	220	206	189	104	185	183	133	146	232	147	148	130	156	99	151	103	95	179	154	141	174	154	85	165	141	147	184	198	173	168	161	154	129	148	141	147	80	134	121	92	160	106	111	158	130	161	186	140	113	139	180	140	158	173	144	105	110	182	190	133	119	174	190	165	11	18	22	30	191	189	361	120	108	373	85	177	10	9					
		15.46%	12.02%	12.62%	13.34%	13.24%	10.53%	15.11%	12.01%	13.62%	14.72%	15.25%	15.83%	15.31%	14.83%	14.79%	15.42%	13.49%	14.40%	14.61%	15.48%	15.91%	14.47%	16.13%	13.03%	15.27%	12.51%	17.05%	15.21%	13.46%	15.75%	13.95%	18.12%	16.21%	15.72%	14.59%	15.32%	17.31%	22.60%	17.13%	16.99%	16.55%	17.49%	16.26%	19.93%	15.88%	14.75%	15.95%	13.65%	17.63%	14.57%	15.33%	16.13%	16.58%	13.24%	16.38%	22.75%	17.62%	22.35%	18.90%	13.46%	17.24%	12.52%	12.73%	15.94%	15.57%	14.96%	16.36%	15.94%	11.93%	12.43%	15.60%	16.50%	16.70%	18.63%	16.10%	13.45%	18.22%	17.57%	12.79%	6.69%	11.83%	19.11%	16.02%	15.87%	25.79%	13.47%	11.97%	18.92%	13.26%	18.91%	4.59%	16.98%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	930	10	18	20	9	12	8	8	20	14	13	14	14	17	19	23	15	8	15	13	7	11	14	15	7	12	6	10	10	4	8	6	7	10	17	16	6	7	4	13	14	9	7	6	8	10	7	12	12	12	4	10	10	8	8	5	3	8	7	16	9	9	9	6	12	12	13	7	8	13	6	16	13	9	3	17	11	14	1	7	2	1	15	9	17	6	13	15	1	10	10	0					
		1.06%	1.10%	1.10%	1.35%	0.78%	1.05%	0.80%	0.62%	1.50%	1.11%	0.94%	0.96%	0.94%	1.16%	1.28%	1.72%	1.07%	1.11%	1.18%	1.10%	0.84%	1.09%	0.97%	1.33%	0.72%	1.15%	0.66%	1.54%	0.89%	0.61%	1.17%	0.61%	0.74%	1.11%	1.42%	1.59%	1.22%	0.96%	0.49%	1.50%	1.26%	0.80%	0.66%	0.71%	0.79%	0.96%	0.87%	1.11%	1.50%	1.19%	0.77%	1.20%	1.37%	1.15%	0.82%	1.07%	0.48%	1.13%	1.02%	1.34%	0.83%	0.81%	1.01%	0.69%	1.04%	1.28%	1.35%	0.65%	0.66%	1.54%	0.85%	1.45%	1.14%	1.26%	0.41%	1.31%	1.05%	1.49%	1.16%	2.60%	1.08%	0.64%	1.26%	0.76%	1.21%	0.67%	1.44%	0.76%	0.16%	1.07%	4.59%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	15937	147	293	289	183	164	182	236	231	241	244	259	280	294	280	250	287	141	176	214	117	165	229	234	164	155	143	120	211	103	135	178	147	135	252	164	83	131	156	169	217	270	234	97	202	201	138	168	137	172	109	184	133	165	238	58	109	117	151	214	215	230	164	160	218	182	183	228	259	150	148	220	192	184	158	212	223	176	27	31	33	16	219	258	95	183	184	142	114	218	14	5					
		18.10%	16.21%	17.87%	19.47%	15.94%	14.39%	18.09%	18.41%	17.38%	19.17%	17.55%	17.75%	18.80%	20.10%	18.83%	18.71%	20.49%	19.53%	13.90%	18.10%	13.99%	16.35%	15.92%	20.74%	16.92%	14.92%	15.63%	18.43%	18.81%	15.75%	19.82%	18.02%	15.47%	15.05%	21.12%	16.32%	16.90%	17.95%	18.96%	19.54%	19.51%	23.85%	21.99%	11.51%	19.92%	19.25%	17.06%	15.50%	17.13%	17.05%	20.88%	22.14%	18.22%	23.74%	24.36%	12.45%	17.30%	16.55%	21.95%	17.89%	19.93%	20.57%	18.47%	18.35%	18.86%	19.44%	18.94%	21.01%	21.46%	17.75%	20.99%	19.95%	16.87%	25.77%	21.38%	16.38%	21.38%	18.74%	31.40%	11.52%	17.74%	10.19%	18.37%	21.66%	6.79%	20.54%	20.40%	7.20%	17.78%	23.29%	6.42%	9.43%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5649	133	190	167	103	76	77	111	108	95	145	154	196	154	178	137	173	73	79	63	34	47	49	57	49	52	47	29	73	28	27	45	46	53	70	47	16	33	27	43	62	45	42	16	45	64	37	89	48	57	40	72	37	48	60	11	21	59	47	80	60	76	48	57	75	60	60	58	67	50	32	62	78	25	11	106	30	33	3	3	4	10	51	83	20	49	43	26	37	57	8	3					
		6.42%	14.66%	11.59%	11.25%	8.97%	6.67%	7.65%	8.66%	8.13%	7.56%	10.43%	10.56%	13.16%	10.53%	11.97%	10.25%	12.35%	10.11%	6.24%	5.33%	4.07%	4.66%	3.41%	5.05%	5.06%	5.00%	5.14%	4.45%	6.51%	4.28%	3.96%	4.55%	4.84%	5.91%	5.87%	4.68%	3.26%	4.52%	3.28%	4.97%	5.58%	3.98%	3.95%	1.90%	4.44%	6.13%	4.57%	8.21%	6.00%	5.65%	7.66%	8.66%	5.07%	6.91%	6.14%	2.36%	3.33%	8.35%	6.83%	6.69%	5.56%	6.80%	5.41%	6.54%	6.49%	6.41%	6.21%	5.35%	5.55%	5.92%	4.54%	5.62%	6.85%	3.50%	1.49%	8.19%	2.88%	3.51%	3.49%	1.12%	2.15%	6.37%	4.28%	6.97%	1.43%	5.50%	4.77%	1.32%	5.77%	6.09%	3.67%	5.66%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25956	252	403	362	289	369	257	315	335	320	309	341	356	334	325	334	334	167	361	332	261	317	588	346	297	349	268	184	313	252	218	312	344	273	327	315	159	185	240	223	295	304	324	353	324	255	245	289	237	302	132	213	219	178	260	216	210	181	172	278	265	257	280	221	306	257	246	316	327	242	194	301	303	235	266	346	340	311	30	130	63	60	379	312	767	289	301	1230	223	228	57	21					
		29.48%	27.78%	24.57%	24.39%	25.17%	32.37%	25.55%	24.57%	25.21%	25.46%	22.23%	23.37%	23.91%	22.83%	21.86%	25.00%	23.84%	23.13%	28.52%	28.09%	31.22%	31.42%	40.89%	30.67%	30.65%	33.59%	29.29%	28.26%	27.90%	38.53%	32.01%	31.58%	36.21%	30.43%	27.41%	31.34%	32.38%	25.34%	29.16%	25.78%	26.53%	26.86%	30.45%	41.87%	31.95%	24.43%	30.28%	26.66%	29.63%	29.93%	25.29%	25.63%	30.00%	25.61%	26.61%	46.35%	33.33%	25.60%	25.00%	23.24%	24.56%	22.99%	31.53%	25.34%	26.47%	27.46%	25.47%	29.12%	27.09%	28.64%	27.52%	27.29%	26.63%	32.91%	35.99%	26.74%	32.60%	33.12%	34.88%	48.33%	33.87%	38.22%	31.80%	26.20%	54.79%	32.44%	33.37%	62.40%	34.79%	24.36%	26.15%	39.62%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1435	24	31	39	18	22	15	22	21	33	24	29	22	30	30	28	48	15	12	15	4	17	19	18	16	10	14	7	26	5	13	8	17	12	12	8	4	12	7	9	13	13	12	15	14	13	9	16	9	17	21	12	8	13	12	15	35	10	6	20	13	15	12	18	26	11	19	20	16	16	16	24	18	4	12	31	14	29	0	5	3	0	14	26	10	11	17	12	10	10	4	0					
		1.63%	2.65%	1.89%	2.63%	1.57%	1.93%	1.49%	1.72%	1.58%	2.63%	1.73%	1.99%	1.48%	2.05%	2.02%	2.10%	3.43%	2.08%	0.95%	1.27%	0.48%	1.68%	1.32%	1.60%	1.65%	0.96%	1.53%	1.08%	2.32%	0.76%	1.91%	0.81%	1.79%	1.34%	1.01%	0.80%	0.81%	1.64%	0.85%	1.04%	1.17%	1.15%	1.13%	1.78%	1.38%	1.25%	1.11%	1.48%	1.13%	1.68%	4.02%	1.44%	1.10%	1.87%	1.23%	3.22%	5.56%	1.41%	0.87%	1.67%	1.20%	1.34%	1.35%	2.06%	2.25%	1.18%	1.97%	1.84%	1.33%	1.89%	2.27%	2.18%	1.58%	0.56%	1.62%	2.40%	1.34%	3.09%	0.00%	1.86%	1.61%	0.00%	1.17%	2.18%	0.71%	1.23%	1.88%	0.61%	1.56%	1.07%	1.83%	0.00%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
